surah_number,ayah_number,tafsir_text
8,1,"قوله تعالى : { يَسْأَلُونَكَ عَنِ الأَنفَالِ } ،   الآية : :

اعلم أن النفل هو الزيادة في اللغة ،   على القدر المستحق ،   ومنه النوافل والنفل يكون من الإمام للسرايا التي تتقدم الجيش الأعظم ،   مثل أن يقول للسريّة : لكم الربع بعد الخمس ،   أو يقول : من أصاب سهماً فهو له ،   على وجه الحث على القتال والتضرية على العدو ،   أو يقول : من قتل قتيلاً فله سلبه ،   فأما بعد إحراز الغنيمة فلا يجوز له أن ينفل شيئاً من نصيب الجيش ،   ويجوز له أن ينفل من الخمس .

وقد اختلف في سبب نزول الآية ،   فقد روي عن سعد أنه قال :

أصبت يوم بدر سيفاً ،   فأتيت به النبي صلى الله عليه وسلم ،   فقلت له : نفلنيه : فقال : ضعه من حيث أخذت ،   فنزل قوله : { يَسأَلُونَكَ عَنِ الأَنْفَالِ } ،   قال فدعاني رسول الله صلى الله عليه وسلم فقال : اذهب خذ سيفك .

وروي عن ابن عباس أنه قال : { يَسأَلُونَكَ عَنِ الأَنْفَالِ } ،   الأنفال هي الغنائم التي كانت لرسول الله صلى الله عليه وسلم خاصة ليس لأحد فيها شيء ،   ثم أنزل الله تعالى : { واعْلَمُوا أَنّمَا غَنِمْتُم مِنْ شَيءٍ فَأَنَّ للهِ خُمسَهُ وَلِلرَّسُولِ } .

وروى أبو هريرة قال : قال رسول الله صلى الله عليه وسلم : لم تحل الغنائم لقوم سود الرؤوس قبلكم ،   كانت تنزل نار من السماء فتأكلها ،   فلما كان يوم بدر أسرع الناس في الغنائم ،   فأنزل الله تعالى : { لَوْلاَ كِتَابٌ مِنَ اللهِ سَبَقَ لَمَسّكُم فِيمَا أَخَذْتُم عَذَابٌ عَظِيمٌ ،   فَكلُوا مِمّا غَنِمتُمْ حَلاَلاً طَيِّباً } .

ورووا عن عبادة بن الصامت وابن عباس وغيرهما : أن رسول الله صلى الله عليه وسلم نفل يوم بدر أنفالاً كثيرة مختلفة وقال : من أخذ شيئاً فهو له .   واختلفت الصحابة فقال بعضهم : نحن حمينا رسول الله صلى الله عليه وسلم وكنا ردءاً لكم ،   وقال قوم : نحن قاتلنا وأخذنا ،   فلما اختلفنا وساءت أخلاقنا انتزعه الله من أيدينا وجعله إلى رسول الله صلى الله عليه وسلم ،   فقسمه غير الخمس ،   وكان في ذلك تقوى وطاعة رسول الله ،   وصلاح ذات البين لقوله تعالى : { يَسْأَلُونَكَ عَنِ الأنْفَالِ قُلِ الأَنْفَالُ للهِ والرَّسُولِ فَاتّقُوا اللهَ وأَصْلِحُوا ذَاتَ بَيْنكُم } ،   فقال صلى الله عليه وسلم :  "" ليرد قوي المسلمين على ضعيفهم ""  .

وبين الله تعالى ،   أن ذلك مما يظهر به إيمانهم ،   وأنه لا يجدون في أنفسهم حرجاً بما قضى به رسول الله تعالى ،   فهو معنى قوله : إن كنتم مؤمنين .

قال الرازي : وهذا غلط ،   وإنما قال النبي عليه الصلاة والسلام يوم حنين :  "" من قتل قتيلاً فله سلبه ""  .

وقوله تعالى : { يَسْأَلُونَكَ عَنِ الأنْفَالِ قُلِ الأَنْفَالُ للهِ والرَّسُولِ } : نزل بعد حيازة غنائم بدر ،   وما كانت الغنائم قبل ذلك تحل .   وهذا ليس بصحيح ،   لإمكان أن الله تعالى أحلها يوم بدر للمسلمين ،   ولكن لما اختلفوا انتزع منهم وجعل ذلك لرسول الله صلى الله عليه وسلم .

ومما قاله في ذلك ،   أنه عليه الصلاة والسلام كيف يقول : من أخذ شيئاً فهو له ويخلف وعده .   وهذا ليس بشيء ،   فإنه ما أخلف وعده ،   لإمكان أنه كان كذلك ،   ولكن ورد بعده الناسخ ،   لما اختلفوا ،   وإنما جعل لهم ذلك بشرط ألا يختلفوا ،   خلا خبر فيما قاله .

فإذا ثبت ذلك ،   فاعلم أن قوله : يسألونك عن الأنفال ،   ظاهر في أنهم سألوه عن مال معلوم ،   وأن الجواب في ذلك ،   أن ذلك لله والرسول ،   ومعلوم أن كل شيء فهو لله تعالى ملكاً حقاً ،   فلم يختلف العلماء أن المراد به استضياع كلام .

فتحصل من الجواب أن الأنفال للرسول ،   وظاهر هذا القول يقتضي أمرين : إما أن يكون ملكاً لرسول الله صلى الله عليه وسلم ،   أو وضعه حيث يريد ،   وإن لم يملكه حقيقة .

فعلى هذا الوجه اختلف العلماء ،   فقال بعضهم : إن للرسول عليه الصلاة والسلام أن ينفل ذلك على المجاهدين على ما يراه صلاحاً ،   وقال بعضهم : بل ذلك ملك الرسول أو كالملك له ،   حتى يصرفه إلى من شاء .

وظاهر قوله : { فاتقُوا اللهَ وأَصْلِحُوا ذَاتَ بَينِكم } : كالدلالة على أنه متى أراد وضع ذلك فيهم ،   تنازعوا واختلفوا ،   فأنزل الله تعالى ذلك ،   بعثاً لهم على الرضا بما يفعله من القسمة بينهم ،   وذلك دليل على أنه ليس بملك له ولا لهم وإلا كانوا في ذلك كغيرهم ،   وكان لا يكون لقوله تعالى : { فاتقُوا اللهَ وأَصْلِحُوا ذَاتَ بَينِكُم } معنى ،   فإن أراد المريد بالملك أن له أن يتصرف فيه على ما يراه ويختاره فنعم ،   وإن أراد به الاستبداد والانتفاع به ،   فما ذكرناه كالمانع منه ،   وقيل لذلك نفل ،   لأن الغنائم لما لم تكن مباحة من قبل ،   كانت كأنها عطية زائدة من الله تعالى ،   فسميت أنفالاً لذلك ."
8,16,"قوله تعالى : { وَمَنْ يُوَلِّهم يَوْمَئِذٍ دُبُرَهُ إلاّ مُتَحَرِّفاً لِقِتَالٍ أَوْ مُتَحَيِّزاً إلَى فِئَةٍ } ،   الآية : :

روى أبو نضرة عن أبي سعيد ،   أن ذلك إنما كان يوم بدر ،   وقال أبو نضرة : لأنهم لو انحازوا يومئذ ،   لانحازوا إلى المشركين ،   ولم يكن يومئذ مسلم غيرهم .

وهذا الذي قاله أبو نضرة فيه نظر ،   لأنه كان بالمدينة خلق كثير من الأنصار لم يأمرهم النبي عليه الصلاة والسلام بالخروج ،   ولم يكونوا يرون أنه يكون قتال ،   وإنما ظنوا أنها العير ،   فخرجوا لرسول الله صلى الله عليه وسلم فيمن خف معه .

فقول أبي نضرة إنه لم يكن هناك مسلم ،   وإنهم لو انحازوا لانحازوا إلى المشركين ،   غلط لما بيناه .

وقد قيل : إنه لم يجز لهم الانحياز يومئذ ،   لأنهم كانوا مع رسول الله صلى الله عليه وسلم ،   فلم يكن الانحياز جائزاً لهم ،   قال الله تعالى : { مَا كَانَ لأَهلِ المَدينَة وَمَنْ حَوْلَهم مِنَ الأَعْرَابِ أَنْ يَتَخَلّفُوا عَن رَسُولِ اللهِ وَلاَ يَرْغَبُوا بِأنفُسِهِمْ عَنْ نَفسِهِ } ،   فلم يكن لهم أن يسلموا نبيهم ،   وإن تكفل الله بنُصرته وعصمته من الناس ،   كما قال تعالى : { واللهُ يَعصِمُكَ مِنَ النّاسِ } ،

فكان ذلك فرضاً عليهم ،   قلَّ أعداؤه أو كثروا ،   وكان رسول الله صلى الله عليه وسلم يومئذ ،   ومن كان ينحاز عن القتال ،   فإنما كان ينحاز إلى فئة ،   وما كان للمسلمين فئة غير رسول الله صلى الله عليه وسلم .

قال ابن عمر : كنت في جيش ،   فخاض الناس خيضة ،   ورجعنا إلى المدينة فقلنا : نحن الفرارون ،   فقال النبي عليه الصلاة والسلام : "" أنا فئتكم ""  ،

فلم يكن للمسلمين إذ ذاك أن ينحازوا قل عدد العدو أو كثر ،   وقال تعالى في آية أخرى : { يَا أَيُّهَا النّبِيُ حَرِّضِ المؤْمِنِينَ عَلَى القِتَالِ } ،   ثم نسخ بقوله : { الآنَ خفَّفَ اللهُ عَنكُم } ،   وليس عند أصحاب الشافعي في ذلك تفصيل ،   فيجوز فرار الواحد من ثلاثة .

وقال محمد : إذا بلغ الجيش اثني عشر ألفاً ،   فليس لهم أن يفروا من عدوهم وإن كثر عددهم ،   ولم يذكر عن أصحاب أبي حنيفة خلافاً فيه ،   واحتج بحديث الزهري عن عبد الله بن عبد الله عن ابن عباس قال : قال رسول الله صلى الله عليه وسلم :  "" خير الأصحاب أربعة ،   وخير السرايا أربعمائة ،   وخير الجيوش أربعة آلاف ،   ولن يؤتى اثنا عشر ألفاً من قلة ،   وفي بعضها ما يغلب قوم يبلغون اثني عشر ألفاً إذا اجتمعت كلمتهم ""  ،

وهذا ليس بيان حكم شرعي وإنما هو بيان حكم العرف .

وذكر الطحاوي أن مالكاً سئل فقيل له : أيسعنا التخلف عن قتال من خرج عن أحكام الله تعالى وحكم بغيرها ؟ فقال مالك : إن كان معك اثنا عشر ألفاً مثلك فلا يسعك التخلف ،   وإلا فأنت في سعة من التخلف ."
8,25,قوله تعالى : { واتّقُوا فِتنَةً لاَ تُصِيبَنَّ الّذِينَ ظَلَمُوا مِنكُم خَاصَّةً } ،   الآية : : عنى بذلك هرجاً يعم المصلح والمفسد .
8,39,"قوله تعالى : { وقَاتِلُوهُم حَتّى لاَ تَكُونَ فِتنَةٌ } الآية : ،   معناه شرك ،

وقيل حتى لا يفتن مؤمن عن دينه ،   ويدل على ذلك أن قتل الكفار لدفع الضرار لا جزاء على الكفر ،   وقد شرحناه من قبل ."
8,41,"قوله تعالى : { واعلَمُوا أَنّما غَنِمتُم مِنْ شَيءٍ } ،   الآية : ،   وقال في آية أخرى : { فَكُلُوا مِمّا غَنِمتُم حَلاَلاً طَيِّباً } :

قال ابن عباس ومجاهد : إن هذه الآية ناسخة لقوله تعالى : { قُلِ الأَنْفَالُ للهِ والرَّسُولِ } ،   وذلك أنه عليه الصلاة والسلام ،   جعل ينفل ما أحرزوه بالقتال لمن شاء ،   ولم يكن لأحد فيه حق ،   إلا من جعله الرسول له ،   وذلك كان في يوم بدر ،   وقد روينا حديث سعد في قصة السيف الذي استوهبه من رسول الله صلى الله عليه وسلم يوم بدر وقال : إنك سألتني هذا السيف ،   وليس هو لي ولا لك ،   ثم نزل : { قُلِ الأَنْفَالُ للهِ و الرَّسُولِ } ،   فدعاه فقال :  "" إنك سألتني هذا السيف ،   وما كان لي ولا لك ،   وإن الله تعالى جعله لي وجعلته لك ""  .

وروى أبو صالح عن أبي هريرة قال : لما كان يوم بدر ،   تعجل ناس من المسلمين ،   فأصابوا من الغنائم ،   فقال رسول الله عليه وسلم :  "" لم تبح الغنائم لقوم سود الرؤوس من قبلكم ،   كان النبي إذا غنم هو وأصحابه جمعوا غنائمهم ،   فتنزل نار من السماء فتأكلها ""  فأنزل الله تعالى : { لَوْلاَ كِتَابٌ مِنَ اللهِ سَبَقَ لَمَسّكُم فِيمَا أَخّذْتُم عَذَابٌ عَظِيمٌ ،   فَكُلُوا مِمّا غَنِمتُم حَلاَلاً طَيِّباً } : يقتضي ظاهره أن تكون الغنيمة للغانم فقط ،   وأن يكونوا مشتركين فيها على سواء ،   إلا أن قوله تعالى : { واعلَمُوا أَنّمَا غَنِمتُم مِنْ شَيءٍ } ،   بين وجوب إخراج الخمس منه وصرفه إلى الوجوه المذكورة ،   ثم بعده يخلص للقائمين بعد الصفي والسلب والعطايا المتقدمة ،   ولولا الأخبار المأثورة لكان الفارس كالراجل ،   والعبد كالحر ،   والصبي كالبالغ .

واعلم أن الاتفاق حاصل على أن المراد بقوله : { غَنِمْتُم مِنْ شَيءٍ } : مال الكفار ،   إذا ظهر به المسلمون على وجه الغلبة ،   ولا تقتضي اللغة هذا التخصيص ،   ولكن عرف الشرع قيد اللفظ بهذا النوع : وسمى الشرع الواصل إلينا من الكفار من الأقوال باسمين : أحدهما : الفيء ،   وهو الذي يصل إلينا من الكفار من غير حرب ،   كالجزية والخراج الحق ،   ثم إن الله تعالى كما أضاف الغنيمة إلى الغانمين ،   أضاف الفيء إلى رسول الله صلى الله عليه وسلم ،   فقال : { مَا أَفَاءَ اللهُ عَلَى رَسُولِهِ مِنْ أَهلِ القُرَى } ،

فاقتضى ظاهر الآية ،   أن يجعل بعد إخراج الخمس أربعة أخماس ،   والفيء لرسول الله صلى الله عليه وسلم ،   كما يختص الغانمون بأربعة أخماس الغنيمة ،   فإنه تعالى قال : { مَا غَنِمتُم مِنْ شَيءٍ } ،   وقال : { فَكُلُوا مِمّا غَنِمتُم حَلاَلاً طَيِّباً } ،   فاقتضى ظاهره أن يكون كله له ،   خص منه البعض ،   بقي الثاني على مقتضى الإضافة ،   وهذا حسن بين .

ومن جملة الفيء ،   مال المرتد إذا قتل على الردة ،   ومال الكافر غنيمة إن كان وصوله إلينا بقهره وقتله ،   فإن مات من غير قتال ،   فوجدنا ماله فهو فيء .

وإذا ثبت القول في أربعة أخماس الفيء والغنيمة فنقول : أما الخمس ،   فإن الذي لا خلاف فيه ،   أن لليتامى والمساكين وابن السبيل حقاً باقياً في خمس الغنيمة .

واختلف الناس بعد الثلاثة في قوله : { للهِ ولِلرَّسُولِ ولِذي القُرْبَى } ،   فأما قوله : { فَأَنَّ للهِ خُمسَهُ } : فأكثر العلماء على أنه استفتاح كلام ،   وأن لله تعالى الدنيا والآخرة ،   وروى الطحاوي عن أبي العالية ،   أن سهم الله تعالى مصروف في نفقات الكعبة ،   والذي ذكره بعيد ،   فإنا إن أقررنا سهماً لله تعالى ،   أدى ذلك إلى أن يكون الخمس مقسوماً على ستة ،   فعلى هذا يجب أن نقول : فأن لله سدسه ،   ولأنه ليس بأن يجب صرفه إلى بيت الله تعالى بأولى من صرفه إلى أولياء الله .   .   نعم قد قال تعالى : { فَأنّ للهِ خُمسَهُ } ،   يعني كل ذلك الخمس يصرفه فيما شاء ،   وأراد لا أن له البعض دون البعض ،   ولا يجوز أن يعتقد من الإطلاق ،   كون مال الفيء مشتركاً بين الله وبين غيره .

وأما سهم الرسول ،   فقد كان له الخمس من خمس الغنيمة ،   فيصرفه في كفاية أولاده ونسائه ،   ويدخر من ذلك قوت سنة ،   وما يفضل يصرفه إلى الكراع والسلاح وغير ذلك من المصالح .   وقال الشعبي : ما كان رسول الله صلى الله عليه وسلم يطلب من الغنائم لنفسه شيئاً قط ،   إلا الصفي من المغنم ،   وهو ما كان يتناوله من عبد أو أمة أو فرس ،   حكى الطحاوي ذلك عن الشعبي ،   وذكر عنه أن سهمه من الغنيمة ،   كان كسهم رجل من المسلمين وراء ما خص به من الصفي .

والظاهر يدل على أن الخمس مشترك بين رسول الله وبينهم ،   ولا يمكن أن يقال إن الصفي من جملة ذلك ،   فإن الصفي كان يتناوله من جملة الغنيمة قبل القسمة ،   فهو حق ،   سوى هذا الخمس المذكور ،   ولرسول الله صلى الله عليه وسلم إذا حضر الوقعة ما لسائر من حضرها من أربعة أخماس الغنيمة .

واختلفوا في سهمه ،   فقال الطحاوي : إن طائفة قالت : هو للخليفة بعده ،

وقالت أخرى : يصرف في الحمل والعدة في سبيل الله ،   وطائفة قالت : بل زال بموته .

ولا يدل الظاهر على أكثر من استحقاقه في حياة رسول الله صلى الله عليه وسلم ،   ولا يدل على مصرف من هذه المصارف بعده ،   وقد دل الدليل على أن ملك رسول الله صلى الله عليه وسلم المستقر في حالة حياته لا يورث عنه ،   فلأن لا يورث عنه ما يتجدد من الغنيمة ولا يوجد سبب ملكه أولى .

ولا دليل على قيام الإمام مقامه بعده ،   لأنه اختص به لمنصب النبوة ،   كما اختص بالصفي من المغنم ،   وأقرب شيء يتخيل فيه صرفه في الكراع والسلاح ،   بدلالة أنه عليه السلام كان يصرف الفاضل من الخمس في هذا الوجه .

والجواب : أنه كان يصرفه اختياراً لا استحقاقاً ،   ولو ثبت أنه كان يصرفه إلى هذا الوجه استحقاقاً ،   لقرب أن يقال : إن الأولى بهذا السهم هذا الوجه ،   فعلى هذا الأقرب ،   أنه يصرف خمس الخمس إلى الباقين ،   قياساً على الصدقة الواجب صرفها إلى الأصناف ،   إذا تعذر صنف وجب صرفه إلى الباقين .

فعلى هذا قال الشافعي : يقسم الخمس بعد وفاة رسول الله صلى الله عليه وسلم على أربعة ،   وهذا مذهب الشافعي ،   فإنه قال : إن لبني هاشم وبني عبد المطلب سهماً من الخمس .   وقال أبو حنيفة : يقسم الخمس على ثلاثة أسهم : على اليتامى والمساكين وابن السبيل ،   وخالفه أبو يوسف .   وقال قائلون : هو لفقرائهم عوضاً عما حرموا من الصدقة .   وقال آخرون : هو للفقراء والأغنياء منهم .

ثم إن الذين أثبتوا لهم الاستحقاق اختلفوا : فمنهم من قال : يقسم قسمة الغنيمة على التساوي ،   ومنهم من قال : يقسم كقسمة المواريث ،   فإنه مال مستحق بالقرابة .

والظاهر تعلق الاستحقاق بالقرابة ،   إلا أن القرآن ورد بذكر ذي القربى ،   وقد صار بعض السلف لأجله ،   إلى أنه لجميع قريش ،   وثبت أنه عليه الصلاة والسلام لم يعط من ذلك من انتمى إليه بالقرابة مطلقاً ،   والمراد به الخصوص ،   وليس يتأتى تعليله بالقرابة المطلقة ،   لأن سعيد بن المسيب ،   روى عن جبير بن مطعم ،   أنه وعثمان جاءا إلى رسول الله صلى الله عليه وسلم يكلمانه فيما قسمه من خمس الخمس بين بني هاشم وبني المطلب ،   فقالا : يا رسول الله ،   قسمت لإخواننا بني المطلب وقرابتنا وقرابتهم واحدة ،   فقال :  "" إنما أرى هاشماً والمطلب شيئاً واحداً ""  ،

وروى أنه قال :  "" إن بني المطلب لم يفارقوني في جاهلية ولا إسلام ""  .

فلم يعط لبني أمية ولا لبني نوفل شيئاً ،   وقرابتهم كقرابة بني المطلب ،   وهذا يدل على التخصيص .   فعلى هذا ،   رأى أبو حنيفة استحقاقهم بالنصرة في حياة رسول الله .

وقال آخرون : لا بل لا استحقاق لهم إلا بالفقر ،   إلا أن ذكر ذوي القربى مع أن الفقر مستقل ،   كذكر اليتامى ،   ولا يصرف إلى اليتامى إلا إذا كانوا فقراء ،   ولا فرق .   .   .   ولا معنى لقول من يقول : إن اليتم عبارة عن الحاجة ،   فإن اليتم عبارة عن الحاجة إلى الكافل لا إلى المال ،   وليس في اسم اليتم ما يدل على عدم المال ،   ولعلهم يقولون : إنما ذكر ذوي القربى مع أن الفقر شرط ،   حتى لا يتوهم متوهم ،   أنهم كما فارقوا الفقراء من المسلمين في أن لا تصرف الصدقات إليهم مع الفقر ،   فكذلك الخمس ،   فقطع الشرع هذا الاحتمال ،   وهذا محتمل ،   ويصرف إلى اليتامى مع أن الفقر شرط ،   والمقصود من ذكره أن الخمس يقسم على أربعة أسهم عند الشافعي ،   وعلى ثلاثة عند أبي حنيفة ،   ولا بد من الصرف إلى هذه الأجناس .

والمقصود من ذكرها مع اشتراط الفقر فيها ،   تعديد جهات الحاجات واستيعابها ،   فأما الأربعة أخماس ،   فظاهر القرآن يقتضي أنها لمن غنمه .

وقوله : { مَا غَنِمتُم } : يشتمل الرقاب والعقار ،   إلا أن الرقاب الخيرة فيها إلى الإمام بلا خلاف ،   وفي الديار اختلف العلماء فيها وليس في كتاب الله تعالى تفضيل للفارس على الراجل ،   بل فيه أنهما على سواء .

وفي المأخوذ على جهة التلصص ،   اتفق العلماء على أنه لا تخميس ،   وظاهر القرآن يقتضي تخميس كل مغنوم ،   وذلك يستوي فيه هذا وما سواه .   وظاهر اللفظ أيضاً يقتضي التسوية فيه بين الصبي والبالغ ،   إلا أن الدليل قام على أن الصبي يرضخ له .

واعلم أن ظاهر قوله : { واعْلَمُوا أن مَا غَنِمْتُم مِنْ شيءٍ } ،   ربما لا يظهر عند الناس في تعارف اللغة ،   أن من استولى على مثله فقد غنمه ،   وأنه يصرف خمسه إلى كذا وكذا ،   في أن الحرية تسلب عن المسترق ،   وإنما ظهر ذلك بعرف الشرع ،   وعرف الشرع دل على أن الغنيمة اسم للمأخوذ من الكفار بطريق القهر ،   ولا يدل على أخذ أنفسهم من حيث عرف اللغة ،   وفي الشرع ،   الإمام على التخيير بين الخلال التي بينها الفقهاء ."
8,45,"قوله تعالى : { إذَا لَقِيتُم فِئَةً فَاثبُتُوا وَاذْكُرُوا اللهَ كَثيِراً } ،   الآية  :

الأمر بالثبات تقدم بيانه عند النهي عن القرار من الزحف ،   إلا على تفصيل ذكرناه ،   قوله : { وَاذْكُرُوا اللهَ كَثيِراً } : يحتمل الذكر بالقلب ،   وذلك بأحد وجهين : إما بتذكر ما عند الله تعالى من ثواب المجاهدين ،   وتهوين أمر الدنيا في جنب ما عند الله تعالى .   والثاني : ذكر دلائله ونعمه وما يستحقه الله تعالى على عباده من بذل المهج في مرضاته ،   وأنهم وإن بلغوا الغاية في طاعته ،   فلا يبلغ كنه جلاله ،   وكل ذلك مما يعين على الصبر والثبات ،   ويستمد بها النصر من الله تعالى ،   والجرأة على العدو والاستهانة بهم ."
8,46,قوله تعالى : { وَلاَ تَنَازَعُوا فَتَفْشَلُوا } ،   الآية : : نهى عن الاختلاف المؤدي إلى الفشل وجرأة العدو .
8,57,"قوله تعالى : { فَإمّا تَثَقَفَنّهُم في الحَرْبِ فَشَرِّدْ بِهِمْ مَنْ خَلفَهُم } :

أبان أن المقصود من التنكيل بالأسر ،   زجر من سواهم ،   ولأجله شرعت العقوبات ،   ولأجله أمر الصديق بالتنكيل بأهل الردة ،   وإحراق بعضهم بالنيران ،   ورمي بعضهم من رؤوس الجبال ،   وطرحهم في الآبار ."
8,58,"قوله تعالى : { وإمّا تَخَافَنَّ مِنْ قَوْمٍ خِيَانةً فَانبِذْ إلَيهِم عَلَى سَواءٍ } ،   الآية  :

أباح الله لرسوله إذا توقع من أعدائه غائلة من مكر ،   أن ينبذ إليهم على سواء ،   حتى لا يقول المبطل : إنك نقضت العهد بنصب الحرب ،   ولم ينبذ إلى أهل مكة عهودهم ،   بل غزاهم نبذاً ،   لأنهم كانوا نقضوا العهد ،   لمعاونة هذيل على خزاعة حلفاء النبي ،   ولذلك جاء أبو سفيان إلى المدينة يسأل تجديد العهد بينه وبين قريش ،   فلم يجبه الرسول عليه الصلاة والسلام إلى ذلك ،   فلأجل ذلك لم يحتج إلى النبذ إليهم ،   إذ كانوا أظهروا نقض العهد بنصب الحرب لحلفاء الرسول عليه الصلاة والسلام ."
8,60,"قوله تعالى : { وأَعِدُّوا لَهُمْ مَا اسْتَطَعْتُم مِنْ قَوَّةٍ وَمِنْ رِبَاطِ الخَيْلِ } ،   الآية  :

هو الأمر بالاستعداد للعدو ،   وبإعداد الكراع والسلاح قبل وقت القتال إرهاباً للعدو ،   والتقدم في ارتباط الخيل استعداداً لقتال المشركين ،   ومنه أخذ إعداد الأموال والخزائن لحاجة المسلمين إليها يوم القتال .

قوله تعالى : { وإنْ جَنَحُوا لِلسلمِ فاجْنَحْ لَهَا } ،   الآية  : منسوخ بقوله تعالى : { فاقتُلُوا المُشرِكِينَ } ،   و { وقَاتِلُوا الّذيِنَ لاَ يُؤْمِنُونَ بِاللهِ وَلاَ بِاليَوْمِ الآخِرِ } وهو الظاهر .

فإن سورة براءة ،   آخر ما نزلت ،   فكان العهد بين رسول الله والمشركين قبل ذلك ،   وقد قال تعالى : { فَلاَ تَهِنُوا وَتَدْعُوا إلَى السّلمِ وأَنتُمُ الأَعلَوْنَ } ،

فنهى عن المسالمة عند القوة على قهر العدو وقتلهم ،   ولذلك قال بعض أصحابنا : إذا قدر بعض أهل الثغور على قتال العدو لم يجز مسالمتهم ،   قالوا : وإن قدروا بعد ذلك على قتالهم ،   نبذوا إليهم على سواء إن توقعوا منهم غائلة ،   وإن لم يمكنهم دفع العدو عن أنفسهم إلا بمال يبذلونه لهم ،   جاز لهم ذلك ،   لأن النبي عليه الصلاة والسلام قد كان صالح عيينة بن حصن وغيره يوم الأحزاب على نصف ثمار المدينة ،   حتى إنه لما شاور الأنصار ،   قالوا : هذا مما أمرك الله به أم الرأي والمكيدة ؟ فقال : لا بل هو رأي ،   لأني رأيت العرب قد رمتكم عن قوس واحد ،   فأردت أن أدفعه عنكم إلى يوم ،   فقال السعدان : سعد بن عبادة وسعد بن معاذ رضي الله عنهما : والله يا رسول الله إنهم لم يطعموا فيها منا إلا بشراء أو قراء ،   ونحن كفار ،   فكيف وقد أعزنا الله تعالى بالإسلام ،   ولا نعطيهم إلا بالسيف ،   وشقا الصحيفة ."
