surah_number,ayah_number,tafsir_text
11,15,"قوله عز وجل : { مَنْ كَانَ يُرِيدُ الحَيَاةَ الدُّنْيَا وَزِينَتَهَا نُوَفِّ إِلَيْهِمْ أَعْمَالَهُمْ فِيهَا وَهُمْ فِيهَا لا يُبْخَسُونَ أُولئِكَ الَّذِينَ لَيْسَ لَهُمْ في الآخِرَةِ إِلاَّ النَّارُ } .   فيه إخبار أن من عمل عملاً للدنيا لم يكن له به في الآخرة نصيب ،   وهو مثل قوله : { من كان يريد حرث الآخرة نزد له في حرثه ومن كان يريد حرث الدنيا نؤته منها وما له في الآخرة من نصيب } [ الشورى : 20 ] .

ومثله ما رُوي عن النبي صلى الله عليه وسلم أنه قال :  "" بَشِّرْ أُمَّتِي بالسَّنَاءِ والتَّمْكِينِ في الأَرْضِ فَمَنْ عَمِلَ مِنْهُمْ عَمَلاً للدُّنْيَا لم يَكُنْ لَه في الآخِرَةِ نَصِيبٌ ""  .   وهذا يدل على أن ما سبيله أن لا يفعل إلا على وجه القربة لا يجوز أخذ الأجرة عليه ؛ لأن الأجرة من حظوظ الدنيا ،   فمتى أخذ عليه الأجرة فقد خرج من أن يكون قربة بمقتضى الكتاب والسنة .

وقيل في قوله : { نُوَفِّ إِلَيْهِمْ أَعْمَالَهُمْ } فيها وجهان ،   أحدهما : أن يصل الكافر رَحِماً أو يعطي سائلاً أو يرحم مضطراً أو نحو ذلك من أعمال البر فيجعل الله له جزاء عمله في الدنيا بتوسعة الرزق وقرة العين فيما خوّل ودفع مكاره الدنيا ،   رُوي ذلك عن مجاهد والضحاك .   والوجه الثاني : من كان يريد الحياة الدنيا بالغزو مع النبي صلى الله عليه وسلم للغنيمة دون ثواب الآخرة فإنه يستحق نصيبه وسهمه من المغنم ،   وهذا من صفة المنافقين .   فإن كان التأويل هو الثاني فإنه يدل على أن الكافر إذا شهد القتال مع المسلمين استحق من الغنيمة نصيباً .   وهذا يدل أيضاً على أنه جائز الاستعانة بالكفار في قتال غيرهم من الكفار ،   وكذلك قال أصحابنا إذا كانوا متى غلبوا كان حكم الإسلام هو الجاري عليهم دون حكم الكفر ومتى حضروا رضخ لهم ؛ وليس في الآية دلالة على أن الذي يستحقه الكافر بحضور القتال هو السهم أو الرّضخ ."
11,34,"قوله تعالى : { وَلا يَنْفَعُكُمْ نُصْحي إِنْ أَرَدْتُ أَنْ أَنْصَحَ لَكُمْ إِنْ كَانَ الله يُرِيدُ أَنْ يُغْوِيَكُمْ } ؛ يُحتجُّ به في أن الشرط المعترض حكمه أن يكون مقدماً على ما قبله في المعنى ،   وهو قول القائل :  "" إن دخلت الدار إن كلمت زيداً فعبدي حرّ ""  أنه لا يحنث حتى يكلم ثم يدخل ؛ لأن قوله :  "" إن كلمت ""  شرط معترض على الشرط الأول قبل استتمام جوابه ،   كقوله : { إِنْ كَانَ الله يُرِيدُ أَنْ يُغْوِيَكُمْ } شرط اعترض على قوله : { إِنْ أَرَدْتُ أَنْ أَنْصَحَ لَكُمْ } قبل استتمام الجواب ،   فصار تقديره : ولا ينفعكم نصحي إن كان الله يريد أن يغويكم إن أردت أن أنصح لكم ؛ وهذا المعنى فيه خلاف بين أبي يوسف ومحمد والفراء في مسائل قد ذكرناها في شرح الجامع الكبير .

وقوله : { يُرِيدُ أَنْ يُغْوِيَكُمْ } أي يخيبكم من رحمته ،   يقال : غَوَى يَغْوي غَيّاً ،   ومنه : { فسوف يلقون غيّاً } [ مريم : 59 ] ؛ وقال الشاعر :

* فَمَنْ يَلْقَ خَيْراً يَحْمَدِ النَّاسُ أَمْرَهُ * ومَنْ يَغْوِ لا يَعْدَمْ على الغَيِّ لائِماً *

وحدثنا أبو عمر غلام ثعلب عن ثعلب عن ابن الأعرابي قال : يقال غَوَى الرجل يغوي غَيّاً إذا فسد عليه أمره أو فسد هو في نفسه ،   قال : ومنه قوله تعالى في قصة آدم : { وعصى آدم ربه فغوى } [ طه : 121 ] أي فسد عليه عيشه في الجنة .   قال أبو بكر : وهذا يؤول إلى المعنى الأول ؛ وذلك أن الخيبة فيها فساد العيش ،   فقوله : { يُغْوِيَكُمْ } يفسد عليكم عيشكم وأمركم بأن يخيبكم من رحمته ."
11,37,قوله تعالى : { وَاصْنَعِ الفُلْكَ بأَعْيُنِنَا وَوَحْيِنَا } ،   يعني بحيث نراها فكأنها تُرى بأعين على طريق البلاغة ،   والمعنى : بحفظنا إياك حِفْظَ من يراك ويملك دفع السوء عنك ؛ وقيل : بأعين أوليائنا من الملائكة الموكلين بك .   وقوله : { وَوَحْيِنَا } يعني : على ما أوحينا إليك من صفتها وحالها ،   ويجوز : بوحينا إليك أن اصنعها .
11,38,قوله تعالى : { فإِنَّا نَسْخَرُ مِنْكُمْ كَمَا تَسْخَرُونَ } مجاز ،   وإنما أطلق ذلك لأن جزاء الذم على السخرية بالمقدار المستحق ،   كقوله تعالى : { وجزاء سيئة سيئة مثلها } [ الشورى : 40 ] وقوله تعالى : { قالوا إنما نحن مستهزؤون الله يستهزىء بهم } [ البقرة : 14 و 15 ] .   وقال بعضهم معناه فإنا نستجهلكم كما تستجهلون .
11,45,"قوله تعالى : { وَنَادَى نُوحٌ رَبَّهُ فَقَالَ رَبِّ إِنَّ ابْني مِنْ أَهْلي } ،   سمَّى ابنه من أهله ،   وهذا يدل على أن من أوصى لأهله بثلث ماله أنه على من هو في عياله ابناً كان أو زوجة أو أخاً أو أجنبيّاً ،   وكذلك قال أصحابنا .   والقياس أن يكون للزوجة خاصة ،   ولكن استحسن فجعله لجميع من تضمنه منزله وهو في عياله ،   وقول نوح عليه السلام يدل على ذلك ؛ وقال الله تعالى في آية أخرى : { ولقد نادانا نوح فلنعم المجيبون ونجيناه وأهله من الكرب العظيم } [ الصافات : 75 و 76 ] فسمَّى جميع من ضمه منزله وسفينته من أهله .   وقول نوح عليه السلام :  "" إن ابني من أهلي ""  يعني من أهلي الذين وعدتني أن تنجيهم ،   فأخبر الله تعالى أنه ليس من أهلك الذين وعدتك أن أنجيهم .

قوله تعالى : { إِنَّهُ عَمَلٌ غَيْرُ صَالِحٍ } ،   قيل فيه : معناه ذو عمل غير صالح ،   فجاء على المبالغة في الصفة كما قالت الخنساء :

* تَرْتَعُ ما رَتَعَتْ حتَّى إذا ادَّكَرَتْ * فإنّما هي إِقْبَالٌ وإِدْبَارُ *

تعني : ذات إقبال وإدبار ،   أو مقبلة ومدبرة .   ورُوي عن ابن عباس ومجاهد وإبراهيم قال :  "" سؤالك هذا عمل غير صالح ""  .   وقرأ الكسائي :  "" إنه عَمِلَ غَيْرَ صَالح ""  على الفعل ونصب غير .   ورُوي عن ابن عباس وسعيد بن جبير والضحاك أنه كان ابنه لصلبه ؛ لأنه قال تعالى : { وَنَادَى نُوحٌ ابْنَهُ } .   وقال : { إِنَّهُ لَيْسَ مِنْ أَهْلِكَ } يعني ليس من أهل دينك .   ورُوي عن الحسن ومجاهد أنه لم يكن ابنه لصلبه وكان لغير رشدة ؛ وقال الحسن : وكان منافقاً يُظهر الإيمان ويُسِرُّ الكفر .   وقيل : إنه كان ابن امرأته .   وإنما كان نوح يدعوه إلى الركوب مع نَهْي الله عز وجل إياه أن يركب فيها كافر لأنه كان ينافق بإظهار الإيمان ،   وقيل إنه دعاه على شريطة الإيمان كأنه قال : آمِنْ وارْكَبْ معنا ."
11,62,"قوله تعالى : { هُوَ أَنْشَأَكُمْ مِنَ الأَرْضِ واسْتَعْمَرَكُمْ فِيهَا } ؛ نسبهم إلى الأرض ؛ لأن أصلهم وهو آدم خُلق من تراب الأرض والناس كلهم من آدم عليه السلام .   وقيل إن معناه أنه خلفكم في الأرض .

مطلب : تجب عمارة الأرض للزراعة والغراس والأبنية

وقوله : { وَاسْتَعْمَرَكُمْ فِيهَا } يعني : أمركم من عمارتها بما تحتاجون إليه .   وفيه الدلالة على وجوب عمارة الأرض للزراعة والغِرَاس والأبنية .

ورُوي عن مجاهد :  "" معناه : أعمركم بأن جعلها لكم طول أعماركم ""  ،   وهذا كقول القائل :  "" أعْمَرْتُك داري هذه ""  يعني ملّكتك طول عمرك .   وقال النبي صلى الله عليه وسلم :  "" مَنْ أُعْمِرَ عُمْرَى فَهِيَ لَهُ ولوَرَثَتِهِ مِنْ بَعْدِهِ ""  .   والعُمْرَى هي العطية ،   إلا أن معناها راجع إلى تمليكه طول عمره ،   فأجاز النبي صلى الله عليه وسلم العمرى والهبة وأبطل الشرط في تمليكه عمره لأنهم كانوا يعقدون ذلك على أنه بعد موته يرجع إلى الواهب ."
11,69,قوله تعالى : { قَالُوا سَلاماً قَالَ سَلامٌ } معنى الأول : سلّمت سلاماً ؛ ولذلك نصبه ،   والثاني جوابه : عليكم سلام ،   ولذلك رفعه .   ومعناهما واحد ،   إلا أنه خولف بينهما لئلا يتوهم متوهِّمٌ الحكاية .   وفيه الدلالة على أن السلام قد كان تحيّة أهل الإسلام وأنه تحية الملائكة .
11,72,قوله تعالى : { قَالَتْ يَا وَيْلَتَى أَأَلِدُ وأَنَا عَجُوزٌ وَهَذَا بَعْلي شَيْخاً إِنَّ هَذا لشَيْءٌ عَجِيبٌ } ؛ فإنها مع علمها بأن ذلك في مقدور الله تعجّبت بطبع البشرية قبل الفِكرِ والرَّوِيَّة ،   كما ولّى موسى عليه السلام مُدْبراً حين صارت عصاه حية حتى قيل له : { أقبل ولا تخف إنك من الآمنين } [ القصص : 31 ] ،   وإنما تعجبت لأن إبراهيم عليه السلام يقال إنه كان له في ذلك الوقت مائة وعشرون سنة ولسارة تسعون سنة .
11,73,قوله تعالى : { أَتَعْجَبِينَ مِنْ أَمْرِ الله رَحْمَةُ اللهِ وبَرَكَاتُهُ عَلَيْكُمْ أَهْلَ البَيْتِ } ،   يدل على أن أزواج النبي صلى الله عليه وسلم من أهل بيته ؛ لأن الملائكة قد سمَّت امرأة إبراهيم من أهل بيته ،   وكذلك قال الله تعالى في مخاطبة أزواج النبي صلى الله عليه وسلم في قوله : { ومن يقنت منكن لله ورسوله ويعمل صالحاً } [ الأحزاب : 31 ] إلى قوله : { وأطعن الله ورسوله إنما يريد الله ليذهب عنكم الرجس أهل البيت } [ الأحزاب : 33 ] قد دخل فيه أزواج النبيّ صلى الله عليه وسلم ،   لأن ابتداء الخطاب لهنّ .
11,74,قوله تعالى : { فَلَمَّا ذَهَبَ عَنْ إِبْرَاهِيمَ الرَّوْعُ وجَاءَتْهُ البُشْرَى يُجَادِلُنَا في قَوْمِ لُوطٍ } يعني : لما ذهب عنه الفزع جادل الملائكة حتى قالوا إنا أرسلنا إلى قوم لوط لتهلكهم ،   فقال : إن فيها لوطاً ! قالوا : نحن أعلم بمن فيها لننجينه وأهله ؛ يروى ذلك عن الحسن .   وقيل : إنه سألهم فقال : أتهلكونهم إن كان فيها خمسون من المؤمنين ؟ قالوا : لا ،   ثم نزّلهم إلى عشرة ،   فقالوا : لا ،   يروى ذلك عن قتادة .   ويقال : جادلهم ليعلم بأي شيء استحقّوا عذاب الاستيصال وهل ذلك واقع بهم لا محالة أم على سبيل الإخافة ليقبلوا إلى الطاعة .   ومن الناس من يحتجّ بذلك في جواز تأخير البيان ؛ لأن الملائكة أخبرت أنها تهلك قوم لوط ولم تبيّن المنجَّيْنَ منهم ،   ومع ذلك فإن إبراهيم عليه السلام جادلهم وقال لهم : أتهلكونهم وفيهم كذا رجلاً ! فيستدلون بذلك على جواز تأخير البيان ،   وهذا ليس بشيء ؛ لأن إبراهيم سألهم عن الوجه الذي به استحقّوا عذاب الاستيصال وهل ذلك واقع بهم لا محالة أو على سبيل التخويف ليرجعوا إلى الطاعة .
