surah_number,ayah_number,tafsir_text
84,1,"قوله تعالى :  {  إِذَا السَّمَاءُ انشَقَّتْ } .

تقدم الكلام عليه في أول سورة الانفطار ،  عند قوله تعالى :  {  إِذَا السَّمَاءُ انفَطَرَتْ } ،  والإحالة على كلام الشيخ رحمة الله تعالى علينا وعليه في سورتي الشورى وق ."
84,2,"قوله تعالى :  {  وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ } .

تقدم بيان مادة أذن في سورة الجمعة ،  عند الكلام على الأذان ،  وأذنت هنا بمعنى استمعت وأطاعت ،  وحقت أي حق لها أو هي محقوقة بذلك ،  أي لا يوجد ممانع لهذا الأمر .

وقد حمله بعض المفسرين على المعنى المجازي في أذنت ،  أي لما لم يكن ممانعة من تشققها ،  كان ذلك بمثابة الامتثال والاستماع .

وقد قدمنا أن للجمادات بالنسبة إلى الله تعالى حالة لا كهي بالنسبة للمخلوقين ،  في مبحث أول الحشر في معنى التسبيح من الجمادات .

وقد جاء صريحاً في حق السماء والأرض من ذلك قوله تعالى :  {  إِنَّا عَرَضْنَا الأَمَانَةَ عَلَى السَّمَاوَاتِ وَالأَرْضِ وَالْجِبَالِ فَأَبَيْنَ أَن يَحْمِلْنَهَا وَأَشْفَقْنَ مِنْهَا } ،  وقال تعالى :  {  ثُمَّ اسْتَوَى إِلَى السَّمَاءِ وَهِيَ دُخَانٌ فَقَالَ لَهَا وَلِلأَرْضِ ائْتِيَا طَوْعاً أَوْ كَرْهاً قَالَتَا أَتَيْنَا طَائِعِينَ } ."
84,3,"قوله تعالى :  {  وَإِذَا الأَرْضُ مُدَّتْ } .

أي سويت وأزيلت جبالها ،  وسويت وهادها ،  كما قال تعالى :  {  وَيَسْألُونَكَ عَنِ الْجِبَالِ فَقُلْ يَنسِفُهَا رَبِّي نَسْفاً 105 فَيَذَرُهَا قَاعاً صَفْصَفاً 106 لاَّ تَرَى فِيهَا عِوَجاً وَلا أَمْتاً } .

ومن هذا الحديث عن ابن عباس وعن علي .  وساق هذا الثاني ابن كثير عن ابن جرير بسنده إلى علي بن الحسين أن النَّبي صلى الله عليه وسلم قال :   "" إذا كان يوم القيامة مد الله الأرض مد الأديم ،  حتى لا يكون لبشر من الناس إلا موضع قدميه ،  فأكون أول من يدعى ""  الحديث .

وعن ابن عباس  "" تمد كما يمد الأديم العكاظي ""  .

وعند القرطبي عن ابن عباس  "" يزاد فيها كذا وكذا ""  .

وقال الرازي :  هو بمعنى تبدل الأرض غير الأرض ،  والواقع أن استبدال الأرض غير الأرض ليس على معنى الذهاب بهذه الموجودة والإتيان بأرض جديدة ،  لما جاء في حديث الأذان :   "" ما من حجر ولا مدر ولا شجر ،  يسمع صوت المؤذن إلا سيشهد له يوم القيامة ""  والذي يؤتى له من جديد ،  لا يتأَتى له أن يشهد على شيء لم يشهده ،  وعلى كل فإن تسيير الجبال وتسوية الأرض لا شك أنه يوجد زيادة في وجه الأرض ومساحتها ،  فسواء مدت بكذا وكذا .  كما قال ابن عباس ،  أو مدت بتوسعة أديمها وزيد في بسطها ،  بعد أن تلقى ما في جوفها كالشيء السميك إذا ما ضغط ،  فخفت سماكته وزادت مساحته ،  كما يشير إليه قوله تعالى :  {  كَلاَّ إِذَا دُكَّتِ الأرْضُ دَكّاً دَكّاً } .

وقوله :  {  فَإِذَا نُفِخَ في الصُّورِ نَفْخَةٌ وَاحِدَةٌ 13 وَحُمِلَتِ الأَرْضُ وَالْجِبَالُ فَدُكَّتَا دَكَّةً وَاحِدَةً 14 فَيَوْمَئِذٍ وَقَعَتِ الْوَاقِعَةُ 15 وَانشَقَّتِ السَّمَاءُ فَهِيَ يَوْمَئِذٍ وَاهِيَةٌ } .

فيكون مد الأرض بسبب دكها ،  فيزاد في بسطها ،  ولعل هذا الوجه هو ما يشهد له القرآن لجمع الأمرين هنا ،  وحملت الأرض والجبال فدكتا دكة واحدة فيومئذ وقعت الواقعة وانشقت السماء ،  فهو وفق ما في هذه السورة {  إِذَا السَّماءُ انشَقَّتْ } ،  وبعدها {  وَإِذَا الأَرْضُ مُدَّتْ } والله أعلم ."
84,4,"قوله تعالى :  {  وَأَلْقَتْ مَا فِيهَا وَتَخَلَّتْ } .

قيل :  ألقت كنوزها وتخلت عنها ،  ورد هذا بأن ذلك قد يكون قبل الساعة .

وقيل :  ألقت الموتى وتخلت عنهم بعد قيامهم وبعثهم من قبورهم فلم يبق في جوف الأرض أحد .

وقوله تعالى :  وتخلت :  أي بعد أن كانت لهم كفاناً أحياءً وأمواتاً ،  وبعد أن كانت لهم مهاداً ،  لفظتهم وتخلت عنهم ،  وهذا ما يزيد في رهبة الموقف وشدته والتضييق على العباد ،  وألا ملجأ لهم ولا منجي إلا إلى الله ،  كما قال تعالى :  {  كَلاَّ لاَ وَزَرَ 11 إِلَى رَبِّكَ يَوْمَئِذٍ الْمُسْتَقَرُّ } ."
84,5,"قوله تعالى :  {  وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ } .

أي كما أذنت السماء ،  فالكون كله إذن مطيع منقاد لأوامر الله ،  طوعاً أو كرهاً ."
84,6,"قوله تعالى :  {  يا أَيُّهَا الإِنسَانُ إِنَّكَ كَادِحٌ إِلَى رَبِّكَ كَدْحاً فَمُلاَقِيهِ 6 } .

قيل :  الإنسان للجنس وقيل لفرد ،  وهو محمد صلى الله عليه وسلم ،  ولكن السياق يدل للأول للتقسيم الآتي ،  فأما من أوتي كتابه بيمينه ،  وأما من أوتي كتابه بشماله ،  لأنه لا يكون لفرد ،  وإنما للجنس وعلى أنه للجنس فالكدح العمل جهد النفس .

وقال ابن مقبل :

وما الدَّهر إلا تارتان فمنهما *** أموت وأخرى أبتغي العَيش أكدح

وقال غيره مشيرًا إلى أن الكدح فيه معنى النصب :

ومضت بشاشة كُل عيش صالح *** وبقيت أكدح للحياة وأَنْصب

ويشهد لهذا قوله تعالى :  {  لَقَدْ خَلَقْنَا الإِنسَانَ في كَبَدٍ } ،  كما قدمنا في محله .

تنبيه

من هذا العرض القرآني الكريم من مقدمة تغيير أوضاع الكون سماء وأرضاً ،  ووضع الإنسان فيه يكدح إلى ربه كدحاً فملاقيه ،  أي بعلمه الذي يحصل عليه من خلال كدحه ،  فإن العاقل المتبصر لا يجعل كدحه إلاّ فيما يرضي الله ويرضى هو به ،  وإذا لقي ربه ما دام أنه كادح ،  لا محالة كما هو مشاهد .

تنبيه آخر

قوله تعالى :  {  يا أَيُّهَا الإِنسَانُ } عام في الشمول لكل إنسان مهما كان حاله من مؤمن وكافر ،  ومن بر وفاجر ،  والكل يكدح ويعمل جاهد التحصيل ما هو مقبل عليه ،  كما في الحديث :   "" اعملوا كل ميسر لما خلق له ""  أي ومجد فيه وراض به ،  وهذا منتهى حكمة العليم الخبير .

ومما هو جدير بالتنبيه عليه ،  هو أنه إذا كانت السماء مع عظم جرمها ،  والأرض مع مساحة أصلها } أذنت لربها وحقت {   ،  مع أنها لم تتحمل أمانة ،  ولن تسأل عن واجب فكيف بالإنسان على ضعفه ،  {  أَأَنتُمْ أَشَدُّ خَلْقاً أَمِ السَّمَاءُ } ،  وقد تحمل أمانة التكليف فأشفقن منها وحملها الإنسان ،  فكان أحق بالسمع والطاعة في كدحه ،  إلى أن يلقى ربه لما يرضيه ."
84,7,"قوله تعالى :  {  فَأَمَّا مَنْ أُوتيَ كِتَابَهُ بِيَمِينِهِ فَسَوْفَ يُحَاسَبُ حِسَاباً يَسِيراً وَيَنقَلِبُ إِلَى أَهْلِهِ مَسْرُوراً وَأَمَّا مَنْ أُوتيَ كِتَابَهُ وَرَاءَ ظَهْرِهِ فَسَوْفَ يَدْعُو ثُبُوراً وَيَصْلَى سَعِيراً إِنَّهُ كَانَ في أَهْلِهِ مَسْرُوراً إِنَّهُ ظَنَّ أَن لَّن يَحُورَ } .

في هذا التفصيل بيان لمصير الإنسان نتيجة كدحه ،  وما سجل عليه في كتاب أعماله ،  وذلك بعد أن تقدم في الانفطار قوله :  {  وَإِنَّ عَلَيْكُمْ لَحَافِظِينَ 10 كِرَاماً كَاتِبِينَ 11 يَعْلَمُونَ مَا تَفْعَلُونَ 12 إِنَّ الأَبْرَارَ لَفِي نَعِيمٍ 13 وَإِنَّ الْفُجَّارَ لَفِي جَحِيمٍ } .

وجاء في المطففين {  كَلاَّ إِنَّ كِتَابَ الْفُجَّارِ لَفِي سِجِّينٍ 7 } ثم بعده {  كَلاَّ إِنَّ كِتَابَ الأَبْرَارِ لَفِي عِلِّيِّينَ } .

جاء هنا بيان إتيانهم هذه الكتب مما يشير إلى ارتباط هذه السور بعضها ببعض ،  في بيان مآل العالم كله ومصير الإنسان نتيجة عمله .

وتقدم للشيخ مباحث إتيان الكتب باليمين وبالشمال ومن وراء الظهر ،  عند كل من قوله تعالى :  {  يَوْمَ نَدْعُواْ كُلَّ أُنَاسٍ بِإِمَامِهِمْ } في سورة الإسراء  إلى قوله تعالى  {  فَمَنْ أُوتِىَ كِتَابَهُ بِيَمِينِهِ } ،  وبين أحوال الفريقين أهل اليمين وأهل الشمال ،  وأحال على أول السورة .

وقوله :  {  وَوُضِعَ الْكِتَابُ فَتَرَى الْمُجْرِمِينَ مُشْفِقِينَ مِمَّا فِيهِ } ،  في سورة الكهف وهنا ذكر سبحانه وتعالى حالة من حالات كلا الفريقين .

فالأولى :  يحاسب حساباً يسيراً {  وهو العرض فقط دون مناقشة ،  كما في حديث عائشة رضي الله عنها  "" من نوقش الحساب عذَّب ""  .

والثانية :  يدعو على نفسه بالثبور وهو الهلاك ،  ومنه :  المواطأة على الشيء سميت مثابرة ،  لأنه كأنه يريد أن يهلك نفسه في طلبه .

وهنا مقابلة عجيبة بالغة الأهمية ،  وذلك بين سرورين أحدهما آجل والآخر عاجل .

فالأول في حق من أوتي كتابه بيمينه ،  أنه ينقلب إلى أهله مسروراً ينادي فرحاً {  هَآؤُمُ اقْرَؤُاْ كِتَابيَهْ } ،  وأهله آنذاك في الجنة من الحور والولدان ،  ومن أقاربه الذين دخلوا الجنة ،  كما في قوله تعالى :  {  جَنَّاتُ عَدْنٍ يَدْخُلُونَهَا وَمَنْ صَلَحَ مِنْ آبَائِهِمْ وَأَزْوَاجِهِمْ وَذُرِّيَّاتِهِمْ } .

وقوله :  {  وَالَّذِينَ آمَنُواْ وَاتَّبَعَتْهُمْ ذُرِّيَّتُهُم بِإِيمَانٍ أَلْحَقْنَا بِهِمْ ذُرِّيَّتَهُمْ } ،  فهم وإن كانوا ملحقين بهم إلا أنهم من أهلهم ،  وهذا من تمام النعمة أن يعلم بها من يعرفه من أهله ،  وهذا مما يزيد سرور العبد ،  وهو السرور الدائم .

والآخر سرور عاجل ،  وهو لمن أعطوا كتبهم بشمالهم ،  لأنهم كانوا في أملهم مسرورين في الدنيا ،  وشتان بين سرور وسرور .

وقد بين هنا نتيجة سرور أولئك في الدنيا ،  بأنهم يصلون سعيراً ،  ولم يبين سبب سرور الآخرين ،  ولكن بينه في موضع آخر وهو خوفهم من الله في قوله تعالى :  {  قَالُواْ إِنَّا كُنَّا قَبْلُ في أَهْلِنَا مُشْفِقِينَ فَمَنَّ اللَّهُ عَلَيْنَا وَوَقَانَا عَذَابَ السَّمُومِ 27 إِنَّا كُنَّا مِن قَبْلُ نَدْعُوهُ إِنَّهُ هُوَ الْبَرُّ الرَّحِيمُ } .

وهنا يقال :  إن الله سبحانه لم يجمع على عبده خوفان ،  ولم يعطه الأمنان معاً ،  فمن خافه في الدنيا أمنه في الآخرة {  وَلِمَنْ خَافَ مَقَامَ رَبِّهِ جَنَّتَانِ } .

{  وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ وَنَهَى النَّفْسَ عَنِ الْهَوَى 40 فَإِنَّ الْجَنَّةَ هِيَ الْمَأْوَى 41 } .

ومن أمن مكر الله وقضى كل شهواته وكان لا يبالي فيؤتى كتابه بشماله ويصلى سعيراً ،  كما في قوله تعالى :  {  وَأَصْحَابُ الشِّمَالِ مَا أَصْحَابُ الشِّمَالِ 41 في سَمُومٍ وَحَمِيمٍ 42 وَظِلٍّ مِّن يَحْمُومٍ 43 لاَّ بَارِدٍ وَلاَ كَرِيمٍ 44 إِنَّهُمْ كَانُواْ قَبْلَ ذَلِكَ مُتْرَفِينَ 45 وَكَانُواْ يُصِرُّونَ عَلَى الْحِنثِ الْعَظِيمِ 46 وَكَانُواْ يِقُولُونَ أَئِذَا مِتْنَا وَكُنَّا تُرَاباً وَعِظَاماً أَئِنَّا لَمَبْعُوثُونَ } ،  تكذيباً للبعث .

وقوله هذا هو بعينه المذكور في هذه الآيات {  إِنَّهُ ظَنَّ أَن لَّن يَحُورَ 14 } ."
84,8,/ت7
84,9,/ت7
84,10,/ت7
