surah_number,ayah_number,tafsir_text
71,1,بسم الله الرحمن الرحيم  إنا أرسلنا نوحا إلى قومه أن أنذر  أي بأن أنذر أي بالأنذار أو بأن قلنا له أنذر ويجوز أن تكون مفسرة لتضمن الإرسال معنى القول وقرىء بغير أن على إرادة القول  قومك من قبل أن يأتيهم عذاب أليم  عذاب الآخرة أو الطوفان .
71,2,قال يا قوم إني لكم نذير مبين * أن اعبدوا الله واتقوه وأطيعون مر في الشعراء نظيره وفي أن يحتمل الوجهان .
71,3,/ت2
71,4,يغفر لكم من ذنوبكم  يغفر لكم بعض ذنوبكم وهو ما سبق فإن الإسلام يجبه فلا يؤاخذكم به في الآخرة  ويؤخركم إلى أجل مسمى  هو أقصى ما قدر لكم بشرط الإيمان والطاعة  إن أجل الله  إن الأجل الذي قدره  إذا جاء  على الوجه المقدر به آجلا وقيل إذا جاء الأجل الأطول  لا يؤخر  فبادروا في أوقات الإمهال والتأخير  لو كنتم تعلمون  لو كنتم من أهل العلم والنظر لعلمتم ذلك وفيه أنهم لانهماكهم في حب الحياة كأنهم شاكون في الموت .
71,5,قال رب إني دعوت قومي ليلا ونهارا  أي دائما .
71,6,فلم يزدهم دعائي إلا فرارا  عن الإيمان والطاعة وإسناد الزيادة إلى الدعاء على السببية كقوله  فزادتهم إيمانا .
71,7,وإني كلما دعوتهم  إلى الإيمان اتغفر لهم بسببه  جعلوا أصابعهم في آذانهم  سدوا مسامعهم عن استماع الدعوة  واستغشوا ثيابهم  تغطوا بها لئلا يروني كراهة النظر إلي من فرط كراهة دعوتي أو لئلا أعرفهم فأدعوهم والتعبير بصيغة الطلب للمبالغة وأصروا وأكبوا على الكفر والمعاصي مستعار من أصر الحمار على العانة إذا صر أذنيه وأقبل عليها واستكبروا عن اتباعي استكبارا عظيما .
71,8,ثم إني دعوتهم جهارا * ثم إني أعلنت لهم وأسررت لهم إسرارا  أي دعوتهم مرة بعد أخرى وكرة بعد أولى على أي وجه أمكنني و ثم لتفاوت الوجوه فإن الجهار أغلظ من الإسرار والجمع بينهما أغلظ من الإفراد لتراخي بعضها عن بعض و جهارا نصب على المصدر لأنه أحد نوعي الدعاء أو صفة مصدر محذوف بمعنى دعاء جهارا أي مجاهرا به أو الحال فيكون بمعنى مجاهرا .
71,10,فقلت استغفروا ربكم  بالتوبة عن الكفر  إنه كان غفارا  للتائبين وكأنهم لما أمرهم بالعبادة قالوا إن كنا على حق فلا نتركه وإن كنا على باطل فكيف يقبلنا ويلطف بنا من عصيناه فأمرهم بما يجب معاصيهم ويجلب إليهم المنح ولذلك وعدهم عليه ما هو أوقع في قلبهم وقيل لما طالت دعوتهم وتمادى إصرارهم حبس الله عنهم القطر أربعين سنة وأعقم أرحام نسائهم فوعدهم بذلك على الاستغفار عما كانوا عليه بقوله .
71,11,يرسل السماء عليكم مدرارا * ويمددكم بأموال وبنين ويجعل لكم جنات ويجعل لكم أنهارا  ولذلك شرع الاستغفار في الاستسقاء و السماء تحتمل المظلة والسحاب والمدرار كثير الدرور ويستوي في هذا البناء المذكر والمؤنث والمراد بال جنات البساتين .
