surah_number,ayah_number,tafsir_text
16,1,"شرح الكلمات :

{  أتى أمر الله } :  أي دنا وقرب أمر الله بعذابكم أيها المشركون فلا تستعجلون .

المعنى :

لقد استعجل المشركون بمكة العذاب وطالبوا به غير مرة فأنزل الله تعالى قوله :  {  أتى أمر الله } أي بعذابكم أيها المستعجلون له .  لقد دنا منكم وقرب فالنضر بن الحارث القائل :  {  اللهم أن كان هذا هو الحق من عندك فأمطر علينا حجارة من السماء ،  أو إئتنا بعذاب أليم } جاءه بعد سُنيات قلائل فهلك ببدر صبراً ،  إلى جهنم ،  وعذاب يوم القيامة لمن استعجله قد قرب وقته ولذا عبر عنه بالماضي لتحقق وقوعه مجيئه فلا معنى لاستعجاله فلذا قال الله تعالى :  {  فلا تستعجلوه } وقوله {  سبحان وتعالى عما يشركون } أي تنزه وتقدس عما يشكرون به من الآلهة الباطلة إذ لا اله إلا هو .

/ذ2

الهداية :

- قرب يوم القيامة فلا معنى لاستعجاله فإنه آتٍ لا محالة ،  وكل آتٍ قريب ."
16,2,"شرح الكلمات :

{  ينزل الملائكة بالروح } :  أي بالوحي الذي به حياة الأرواح والمراد من الملائكة جبريل .

المعنى :

وقوله {  ينزل الملائكة بالروح من أمره } أي بإرادته وإذنه {  على من يشاء من عباده } .  أي ينزل جبريل عليه السلام بالوحي على من يشاء من عباده وهو محمد صلى الله عليه وسلم وقوله {  أن أنذروا أنه لا إله إلا أنا فاتقون } أي بأن انذروا أي خوفوا المشركين عاقبة شركهم فإن شركهم باطل سيجر عليهم عذاباً لا طاقة لهم به ،  لأنه لا إله إلا الله ،  وكل الآلهة دونه باطلة .  إذ فاتقوا الله بترك الشرك والمعاصي وإلا تعرضتم للعذاب الأليم .

/ذ2

الهداية :

- تسمية الوحي بالروح من أجل أنه يحيى القلوب ،  كما تحيى الأجسام بالأرواح ."
16,3,"المعنى :

وقوله تعالى في الآية التالية :  {  خلق السموات والأرض بالحق تعالى عما يشركون } استدلال على وجوب التوحيد وبطلان الشرك فالذي خلق السموات والأرض بقدرته وعمله وحده دون ما معين له ولا مساعد حق أن يعبد ،  لا تلك الآلهة الميتة التي لا تسمع ولا تبصر ولا تنطق {  تعالى عما يشركون } أي تنزه وتقدس تعالى عما يشركون به من أصنام وأوثان .

/ذ3"
16,4,"شرح الكلمات :

{  خلق الإنسان من نطفة } :  أي من قطرة المني .

المعنى :

وقوله :  {  خلق الإنسان من نطفة } أي من أضعف شيء وأحقره قطرة المني خلقه في ظلمات ثلاث وأخرجه من بطن أمه لا يعلم شيئاً حتى إذ رباه وأصبح رجلاً إذا هو خصيم لله يجادل ويعاند ،  ويقول من يحيى العظام وهي رميم .

/ذ3"
16,5,"شرح الكلمات :

{  دفء ومنافع } :  أي ما تستدفئون به ،  ومنافع من العسل واللبن واللحم والركوب .

المعنى :

وقوله تعالى {  والأنعام خلقها لكم فيها دفء ومنافع ومنها تأكلون } فهذه مظاهر القدرة الإلهية والعلم والحكمة والرحمة وهي الموجبة لعبادته تعالى وترك عبادة ما سواه .

فالأنعام وهي الإبل والبقر والغنم خلقها الله تعالى لبني آدم فلم يخلقها لغيرهم ،  لهم فيها دفء إذ يصنعون الملابس والفرش والأغطية من صوف الغنم ووبر الإبل ولهم فيها منافع كاللبن والزبدة والسمن والجبن والنسل حيث تلد كل سنة فينتفعون بأولادها .  ومنا يأكلون اللحوم المختلفة فالمنعم هو الواجب العبادة دون غيره من سائر مخلوقاته .

/ذ3"
16,6,"شرح الكلمات :

{  حين تريحون } :  أي حين ترونها من مراحها .

{  وحين تسرحون } :  أي وحين إخراجها من مراحها إلى مسارحها أي الأماكن التي تسرح فيها .

المعنى :

وقوله :  {  ولكم فيها جمال } أي منظر حسن جميل حين تريحونها عشية من المرعى إلى المراح {  وحين تسرحون } أي تخرجونها صباحاً من مراحها إلى مراعيها ،  فهذه لذة روحية ببهجة المنظر .

/ذ3"
16,7,"شرح الكلمات :

{  إلا بشق الأنفس } :  أي بجهد الأنفس ومشقة عظيمة .

المعنى :

وقوله ( وتحمل أثقالكم إلى بلدٍ لم تكونوا بالغيه إلا بشق وبذل الجهود والطاقة ،  لولا الإبل سفن الصحراء ومثل الإبل الخيل والبغال والحمير في حمل الأثقال .  فالخلق لهذه الأنعام هو ربكم لا اله إلا هو فاعبدوه ولا تشركوا به شيئاً وقوله تعالى :  {  إن ربكم } أي خالقكم ورازقكم ومربيكم وإلهكم الحق الذي لا اله لكم غير لرؤوف رحيم ،  ومظاهر رحمته ورأفته ظاهره في كل حياة الإنسان فلولا لطف الله بالإنسان ورحمته له لما عاش ساعة في الحياة الدنيا فلله الحمد وله المنة .

/ذ3"
16,8,"شرح الكلمات :

{  ويخلق ما لا تعلمون } :  من سائر الحيوانات ومن ذلك السيارات والطائرات والقطر .

المعنى :

/د8

إذ قال تعالى :  {  والخيل والبغال والحمير } أي خلقها وهو خالق كل شيء لعله ركوبهم أياها إذ قال :  {  لتركبوها وزينة } أي ولأجل أن تكون زينة لكم في حياتكم وقوله {  ويخلق ما لا تعلمون } أي مما هو مركوب وغير مركوب من مخلوقات عجيبة ومن المركوب هذه السيارات على اختلافها والطائرات والقطر السريعة والبطيئة هذا كله إفضاله وإنعامه على عباده فهل يليق بهم أن يكفروه ولا يشكروه ؟  وهل يليق بهم أن يشركوا في عبادته سواه .

الهداية :

- كون الخيل والبغال والحمير خلقت للركوب والزينة لا ينفي منفعة أخرى فيها وهي أكل لحوم الخيل لثبوت السنة بإباحة لحوم الخيل ،  ومنع لحوم البغال والحمير كما في الصحيحين ."
16,9,"شرح الكلمات :

{  وعلى الله قصد السبيل } :  أي تفضلاً وامتناناً ببيان السبيل القاصده وهي الإسلام .

{  ومنها جائر } :  أي عادل عن القصد وهو سائر الملل كاليهودية والنصرانية .

المعنى :

/د8

وقوله {  وعلى الله قصد السبيل } ومن إفضاله وإنعامه الموجب لشكره ولعبادته دون غيره أن بين السبيل القاصد الموصل إلى رضاه وهو الإسلام ،  في حين أن ما عدا الإسلام من سائر الملل كاليهودية والنصرانية والمجوسية وغيرها سبل جائرة عن العدل والقصد سالكوها ضالون غير مهتدين إلى كمال ولا إلى إسعاد هذا معنى قوله تعالى {  وعلى الله قصد السبيل } وقوله {  ولو شاء لهداكم أجمعين } أي لو تعلقت بإرادته هداية الناس أجمعين لهداهم أجمعين وذلك لكمال قدرته وعلمه ،  إلا أن حكمته لم تقتض هداية لكل الناس فهدئ من رغب في الهداية وأضل من رغب في الضلال .

الهداية :

- الإسلام هو السبيل التي بينها تعالى فضلاً منه ورحمة وما عداه فهي سبل جائرة عن العدل والحق ."
16,10,"شرح الكلمات :

{  ومنه شجر } :  أي وبسببه يكون الشجر وهو هنا عام في سائر النباتات .

{  فيه تسيمون } :  ترعون مواشيكم .

المعنى :

/د8

/د10

إذ قال تعالى :  {  هو الذي أنزل من السماء ماء لكم منه شراب } تشربون منه وتطهرون ،  {  ومنه } أي من الماء الذي أنزل من السماء شجر لأن الشجرة والمراد هنا سائر النباتات يتوقف وجوده على الماء وقوله {  فيه تسيمون } أي في ذلك النبات ترعون مواشيكم .  يقال سام الماشية أي ساقها إلى المرعى وسامت الماشية أي رعت بنفسها ."
