surah_number,ayah_number,tafsir_text
70,1,{ سَآئِلٌ }  (1) - اسْتَعْجَلَ سَائِلٌ مِنَ المُشْرِكِينَ بِإِيقَاعِ العَذَابِ بِهِمْ، وَهُوَ وَاقِعٌ بِهِمْ فِي الآخِرَةِ لاَ مَحَالَةَ، فَلِمَاذَا يَطْلُبُونَهُ اسْتِهْزَاءً؟  (وَقِيلَ إِنَّ هَذَا السَّائِلَ بِوُقُوعِ العَذَابِ هُوَ النَّضْرُ بْنُ الحَارِثِ).
70,2,{ لِّلْكَافِرِينَ }  (2) - وَهَذَا العَذَابُ الذِي سَيََقَعُ هُوَ مُرْصَدٌ لِلْكَافِرِينَ، وَمُعَدٌّ لَهُمْ، وَلاَ دَافِعَ لَهُ إِذَا أَرَادَ اللهُ وُقُوعَهُ بِهِمْ.
70,3,(3) - وَلَيْسَ لِهَذَا العَذَابِ الصَّادِرِ عَنِ اللهِ دَافِعٌ مِنْ جِهَتِهِ إِذَا جَاءَ وَقْتُهُ، فَإِذَا اقْتَضَتْ حِكْمَتُهُ تَعَالَى وُقُوعَهُ امْتَنَعَ أَلاَّ يَفْعَلَهُ. وَاللهُ سُبْحَانَهُ هُوَ صَاحِبُ النِّعَمِ والأَفْضَالِ التِي تَصِلُ إِلَى النَّاسِ عَلَى دَرَجَاتٍ مُتَفَاوِتَةٍ وَمَرَاتِبَ مُخْتَلِفَةٍ.  المَعَارِجِ - المَرَاتِبِ والدَّرَجَاتِ والمَصَاعِدِ.
70,4,{ ٱلْمَلاَئِكَةُ }  (4) - وَتَصْعَدُ المَلاَئِكَةُ وَجِبْرِيلُ فِي هَذِهِ المَعَارِجِ فِي زَمَنٍ قَلِيلٍ، مَعَ أَنَّ أَهْلَ الدُّنْيَا لَوْ أَرَادُوا الصُّعُودَ فِيهَا لاَقْتَضَاهُمْ ذَلِكَ زَمَناً طَوِيلاً (خَمْسِينَ أَلْفَ سَنَةٍ - وَقِيلَ إِنَّ ذِكْرَ الخَمْسِينَ أَلْفَ سَنَةٍ لاَ يَعْنِي هُنَا زَمَناً مُحَدَّداً وَإِنَّمَا هُوَ كِنَايَةٌ عَنْ طُولِ المُدَّةِ).  (وَقِيلَ إِنَّ المَقْصُودَ بِهَذَا اليَوْمِ هُوَ يَوْمُ القِيَامَةِ فَإِنَّهُ يَخِفُّ عَلَى المُؤْمِنِينَ حَتَّى يَكُونَ أَخَفَّ مِنْ صَلاَةٍ مَكْتُوبَةٍ، يُصَلِّيهَا فِي الدُّنْيَا مُؤْمِنٌ، وَيَشُقُّ عَلَى الكَافِرِينَ - كَمَا جَاءَ فِي الأَثَرِ عَنِ النَّبِيِّ صلى الله عليه وسلم -). (رَوَاهُ أَحْمَدُ).  تَعْرُجُ - تَصْعَدُ فِي تِلْكَ المَعَارِجِ.  الرُّوحُ - جِبْرِيلُ عَلَيْهِ السَّلاَمُ.  فِي يَوْمٍ - إِمَّا أَنْ يَكُونَ المَعْنَى مُدَّةَ يَوْمٍ أَوْ يَوْمَ القِيَامَةِ.
70,5,(5) - فَاصْبِرْ يَا مُحَمَّدُ عَلَى تَكْذِيبِ قَوْمِكَ لَكَ، وَعَلَى اسْتِعْجَالِهِم العَذَابَ اسْتِبْعَاداً لِوُقُوعِهِ، وَاحْتَمِلْ أَذَاهُمْ لَكَ بِلاَ جَزَعٍ وَلاَ شَكْوَى، لأَِنَّ وُقُوعَ العَذَابِ بِهِمْ أَمْرٌ مُحَقَّقٌ، وَكُلُّ آتٍ قَرِيبٌ.  صَبْراً جَمِيلاً - لاَ شَكْوَى فِيهِ لِغَيْرِ اللهِ تَعَالَى.
70,6,(6) - إِنَّ الكَافِرِينَ يَرَوْنَ قِيَامَ السَّاعَةِ، وَوُقُوعَ العَذَابِ أَمْراً مُسْتَبْعَداً.
70,7,{ نَرَاهُ }  (7) - وَيَعْتَقِدُ المُؤْمِنُونَ أَنَّهُ حَاصِلٌ قَرِيبُ الوُقُوعِ، وَإِنْ كَانَ مَوْعِدُ حُصُولِهِ لاَ يَعْلَمُهُ إِلاَّ اللهُ تَعَالَى، لأَِنَّ كُلَّ مَا هُوَ آتٍ فَهُوَ قَرِيبٌ.  (أَوْ إِنَّ المَعْنَى - وَنَرَاهُ هَيِّناً فِي قُدْرَتِنَا، غَيْرَ مُتَعَذَّرٍ عَلَيْنَا).
70,8,(8) - وَتَقُومُ السَّاعَةُ، وَيَقَعُ العَذَابُ بِالكَافِرِينَ حِينَمَا تُصْبحُ السَّمَاءُ كَعَكَرِ الزَّيْتِ.  المُهْلُ - عَكَرُ الزَّيْتِ، وَقِيلَ إِنَّهُ الفِضَّةُ الذَّائِبَةُ.
70,9,(9) - وَفِي ذَلِكَ اليَوْمِ تُصْبحُ الجِبَالُ هَشَّةً غَيْرَ مُتَمَاسِكَةٍ وَكَأَنَّهَا الصُّوفُ المَتْفُوشُ إِذَا لَعِبَتْ بِهِ الرِّيحُ.  العِهْنِ - الصُّوفِ المَنْفُوشِ أَوِ المَصْبُوغِ أَلْوَاناً.
70,10,{ يَسْأَلُ }  (10) - وَلاَ يَسْأَلُ قَرِيبٌ مُشفِقٌ قَرِيباً مُشْفِقاً عَنْ حَالِهِ، وَلاَ يُكَلِّمُهُ، لأَِنَّ كُلَّ وَاحِدٍ مِنَ الخَلْقِ مُنْشَغِلٌ بِمَا هُوَ فِيهِ.  الحَمِيمُ - القَرِيبُ المُشْفِقُ.
70,11,{ يَوْمِئِذٍ }  (11) - وَيُبْصِرُ الأَقَارِبُ بَعْضُهُمْ بَعْضاً، فِي ذَلِكَ اليَوْمِ، وَيَتَعَارَفُونَ، ثُمَّ يَفِرُّ بَعْضُهُمْ مِنْ بَعْضٍ، وَيَتَمَنَّى الكَافِرُ لَوْ أَنَّهُ يَسْتَطِيعُ أَنْ يَفْدِيَ نَفْسَهُ مِنْ عَذَابِ ذَلِكَ اليَوْمِ بِأَبْنَائِهِ، وَهُمْ أَعَزُّ النَّاسِ عَلَيْهِ، فَيَدْفَعُ بِهِمْ إِلَى العَذَابِ لِيَنْجُوَ هُوَ مِنْهُ.  يُبَصَّرُونَهُمْ - يَجْعَلُونَهُمْ يُبْصِرُ بَعْضُهُمْ بَعْضاً.
70,12,{ صَاحِبَتِهِ }  (12) - أَوْ أَنْ يُقَدِّم فِدَاءً عَنْهُ زَوْجَتَهُ أَوْ أَخَاهُ.
70,13,{ تُؤْوِيهِ }  (13) - أَوْ أَنْ يُقَدِّمَ جَمِيعَ أَفْرَادِ عَشِيرَتِهِ التِي تَضُمُّهُ إِلَيْهَا.  فَصِيلَتِهِ - عَشِيرَتِهِ الأَقْرَبِينَ.
70,14,(14) - أَوْ أَنْ يُقَدِّمَ جَمِيعَ أَهْلِ الأَرْضِ فِدَاءً لَهُ لِيَخْلُصَ هُوَ مِنْ ذَلِكَ العَذَابِ.
70,15,(15) - كَلاَّ لاَ يُقْبَلُ فِدَاءٌ مِنَ الكَافِرِ، وَلَوْ أَنَّهُ افْتَدَى بِجَمِيعِ أَهْلِ الأَرْضِ، وَبِجَمِيعِ مَا فِي الأَرْضِ مِنْ ذَهَبٍ وَمَالٍ، إِنَّهَا النَّارُ الشَّدِيدَةُ الحَرَارَةِ.  اللَّظَى - النَّارُ ذَاتُ اللَّهَبِ.
70,16,(16) - تَحْرُقُ كُلَّ شَيءٍ بَارِزٍ مِنْ جِسْمِ الإِنْسَانِ فَتُزِيلُهُ وَكَأَنَّهَا تَنْزِعُهُ انْتِزَاعاً.  الشَّوَى - الأَطْرَافُ البَارِزَةُ كَاليَدَيْنِ والرِّجْلَيْنِ والرَّأْسِ. وَقِيلَ إِنَّهَا جِلْدَةُ الرَّأْسِ.
