surah_number,ayah_number,tafsir_text
21,1,"{ اقترب للناس حسابهم } لقلة ما بقي بالإضافة إلى ما مضى .  أو لأن كل آت قريب .

وحساب الله "" العبد "" إظهاره "" تعالى "" ما للعبد وما عليه للجزاء ."
21,2,{ محدث } أي :في التنزيل .
21,3,"{ لاهية قلوبهم } مشتغلة ،  من لهيت ألهي ،  أو طالبة للهو من/لهوت ألهو .  وإذا تقدمت الصفةانتصب كقول الشاعر :

لمية موحشا طلل يلوح كأنه خلل

{ وأسروا النجوى } تم الكلام عليه .  ثم كأنه فسره فقال :هم( الذين ظلموا )كقوله : { ثم عموا وصموا كثير منهم }  .

{ أفتأتون السحر } أفتقبلونه ."
21,10,{ فيه ذكركم } شرفكم إن علمتم به .
21,12,{ يركضون } يسرعون ويستحثون .
21,13,{ لعلكم تسألون } لتسألوا عما كنتم تعملون .
21,15,{ حصيدا خامدين } خمدوا كالنار ،  وحصدوا كما يحصد الزرع .
21,19,{ ولا يستحسرون } لا يتعبون ،  ولا ينقطعون عن العمل ،  من البعير الحسير  .
21,21,{ ينشرون } يحيون ،   أنشر الله الموتى فنشروا .
21,29,{ ومن يقل منهم إني إله } قيل :إنه إبليس في دعائه إلى طاعته .
21,30,{ كانتا رتقا } ملتصقتين ففتق الله بينهما بالهواء ،   أو فتق السماء بالمطر والأرض بالنبات .
21,36,{ يذكر آلهتكم } يعيبهم  .
21,37,"{ خلق الإنسان من عجل } فسر بالجنس أي :خلق على حب العجلة في أمره كقوله { وكان الإنسان عجولا }  .  وفسر بآدم عليه السلام وإنه لما نفخ فيه الروح فقبل أن استكمله نهض .

وقال الأخفش :معناه خلق الإنسان في عجلة .

وقيل :العجل :العجل الطين .  وتلفيقه بقوله { فلا تستعجلون } أن من خلق الإنسان مع ما فيه من بديع الصنعة لا يعجزه ما استعجلوه من الآيات ."
21,40,{ فتبهتهم } تفجأهم ،  أو تحيرهم .
21,46,{ نفحة } دفعة يسيرة .  وقيل :نصيب ،  نفح له من عطائه .
21,47,"{ الموازين القسط } أي :ذوات القسط .  والقسط :العدل ،  مصدر يوصف به "" يكون ""  للواحدوالجمع ."
21,58,"{ جذاذا } قطعا ،  جمع جذاذة كزجاجة و وزجاج .

وجذاذاجمع جذيد كخفيف وخفاف ."
21,63,"{ بل فعله كبيرهم } أي :يجب أن يفعله كبيرهم- أن لو كان معبودا- لئلا يعبد معه غيره على إلزام الحجة لا الخبر .

أو هو خبر معلق بشرط لا يكون ،  وهو نطق الأصنام ،  فيكون نفيا للمخبر به .  فإذا وقفت على  "" بل فعله "" كان المعنى :بل فعله من فعله ،  ثم الابتداء بقوله  "" كبيرهم هذا ."
21,68,{ حرقوه } قال رجل من أكراد فارس ،  ولم تحرق النار إلا وثاقه ،  ولما أوثقوه قال :لا إله إلا أنت سبحانك رب العالمين لك الحمد ولك الملك لا شريك لك .
21,69,"{ كوني بردا } قيل :أحدث "" الله "" فيها البرد بدلا من الحر .

وقيل :حيل بينها وبينه فلم تصل إليه ."
21,71,{ إلى الأرض التي باركنا فيها } أرض الشام .   وبركتها أن  أكثر الأنبياء منها ،  وهي أرض خصب ،  يطيب فيها عيش الغني والفقير .
21,74,"{ القرية التي كانت تعمل الخبائث } قرية  "" سدوم ""  ،  وخباثهم :/إتيان الذكران ،  وتضارطهم في أنديتهم ."
21,78,"{ نفشت فيه غنم القوم } رعت ليلا ،  نفشت الغنم ونفشها أهلها .  [ وأسداها :أيضا بالليل ،  وأهملها بالنهار ] .

{ وكنا لحكمهم } جمع في موضع التثنية ،  لإضافته إلى المحكوم لهومن حكم[ عليه ] ."
21,79,{ ففهمناها سليمان } دفع الغنم إلى صاحب الحرث لينتفع بدرها ونسلها .  ودفع الحرث إلى صاحب الغنم وجعل عليه عمارته ،  حتى إذا نبتت في السنة القابلة ترادا .   79 { وكنا فاعلين } نقدر على ما نريد .
21,82,"{ ومن الشياطين من يغوصون } كثفأجسام الجن حتى أمكنهم تلك الأعمال معجزة لسليمان .

وسخر الطير له بأن قوى أفهامها كصبيانناالذين يفهمون التخويف ."
21,83,"{ أني مسني الضر } لم يكن ما نزل به من المرض فعلا للشياطين ،  [ كما ذكره في سورة  "" ص "" ولكن ]  إنما آذاه بالوسوسة ونحوها ."
21,84,{ وآتيناه أهله } ابن عباس قال :أبدل بكل شيء ذهب له ضعفين .
21,85,{ وذا الكفل } رجل صالح كفل لنبي بصيام النهار وقيام الليل ،   وألا يغضب ،   ويقضي بالحق .
21,87,"{ وذا النون } صاحب الحوت ،   { إذ ذهب مغاضبا } [ أي :مغاضبا ] لقومه حين استبطأ وعد الله فخرج بغير أمر ولم يصبربدليل قوله { فاصبر لحكم ربك ولا تكن كصاحب الحوت }  .

{ فظن أن لن نقدر عليه } لن نضيق ،   كقوله { ومن قدر عليه رزقه }  .  أو فظن أن لن نقدر عليه البلاء ،  من القدر لا القدرة ،  كأنه :فظن أن لن نقدر عليه ما قدرنامن كونه في بطن الحوت .

أو هو على تقدير الاستفهام أي :أفظن  ؟

{ في الظلمات } ظلمة الليل والبحر وبطن الحوت .

{ إني كنت من الظالمين } أي :لنفسي في خروجي قبل الإذن ."
21,90,"{ وأصلحنا له زوجه } كانت عقيما فجعلها الله ولودا  .

وقيل :كان في خلقها سوء فحسن خلقها ."
21,91,{ فنفخنا فيها من روحنا } أجرينا فيها روح المسيح كما يجري الهواء بالنفخ .
21,92,"{ إن هذه أمتكم } دينكم .

{ أمة واحدة } دينا واحدا .  ونصبه على القطع .

أو إنكم خلق واحد فكونوا على دين واحد ."
21,93,{ وتقطعوا أمرهم بينهم } اختلفوا في الدين وتفرقوا .
21,95,"{ وحرام } واجب على أهل قرية أهلكناها بالعذاب .

أو وجدناها هالكة بالذنوب  ،  كقولك :أعمرت بلدة وأخربتها وجدتها كذلك .

{ أنهم لا يرجعون } لا يؤمنون ."
21,96,"{ حتى إذا فتحت يأجوج } أي :جهة يأجوج .

والحدب :فجاج الأرض .

{ ينسلون } يخرجون ويسرعون ،  من نسلان الذئب ."
21,98,{ حصب جهنم } حطبها ،  وقيل :يحصبون فيها بالحصباء .
21,100,{ لا يسمعون } [ أي :لا يسمعون ]ما ينتفعون به ،  وإن سمعوا ما يسؤهم .
21,101,"{ إن الذين سبقت لهم منا الحسنى } الطاعة لله .  قيل :إنهم عيسى وعزير والملائكة عليهم السلام عبدوا وهم/كارهون .

والحسيس :الصوت الذي يحس .

الفزع الأكبر :النفخة الأخيرة .  وقيل :إطباق باب النار على أهلها ."
21,104,"{ كطي السجل } الصحيفة .  فيكون الكتاب مصدرا كالكتابة .

{ كما بدأنا } العامل في  "" كما ""  : "" نعيده "" أي :نعيد الخلق كما بدأناه .

{ وعدا } مصدر والعامل فيه معنى "" نعيده ""  ."
