surah_number,ayah_number,tafsir_text
82,1,انفطارها تقدم الكلام فيه ،
82,2,وانتثار الكواكب : سقوطها من مواضعها كالنظام .
82,3,"وقرأ الجمهور : { فجرت } بتشديد الجيم ؛ ومجاهد والربيع بن خيثم والزعفراني والثوري : بخفها ،   وتفجيرها من امتلائها ،   فتفجر من أعلاها وتفيض على ما يليها ،   أو من أسفلها فيذهب الله ماءها حيث أراد .

وعن مجاهد : فجرت مبنياً للفاعل مخففاً بمعنى : بغت لزوال البرزخ نظراً إلى قوله تعالى : { لا يبغيان } لأن البغي والفجر متقابلان ."
82,4,"بعثرت المتاع : قلبته ظهراً لبطن ،   وبعثرت الحوض وبحثرته : هدمته وجعلت أعلاه أسفله { بعثرت } ،   قال ابن عباس : بحثت .

وقال السدي : أثيرت لبعث الأموات .

وقال الفراء : أخرج ما في بطنها من الذهب والفضة .

وقال الزمخشري : بعثر وبحثر بمعنى واحد ،   وهما مركبان من البعث والبحث مع راء مضمومة إليهما ،   والمعنى : بحثت وأخرج موتاها .

وقيل : لبراءة المبعثرة ،   لأنها بعثرت أسرار المنافقين .   انتهى .

فظاهر قوله أنهما مركبان أن مادتهما ما ذكر ،   وأن الراء ضمت إلى هذه المادة ،   والأمر ليس كما يقتضيه كلامه ،   لأن الراء ليست من حروف الزيادة ،   بل هما مادتان مختلفتان وإن اتفقا من حيث المعنى .

وأما أن إحداهما مركبة من كذا فلا ،   ونظيره قولهم : دمث ودمثر وسب وسبطر ."
82,5,{ ما قدمت وأخرت } : تقدم الكلام على شبهه في سورة القيامة .
82,6,"وقرأ الجمهور : { ما غرك } ،   فما استفهامية .

وقرأ ابن جبير والأعمش : ما أغرك بهمز ،   فاحتمل أن يكون تعجباً ،   واحتمل أن تكون ما استفهامية ،   وأغرك بمعنى أدخلك في الغر .

وقال الزمخشري : من قولك غر الرجل فهو غار ،   إذا غفل من قولك بينهم العدو وهم غارون ،   وأغرة غيره : جعله غاراً .   انتهى .

وروي أنه عليه الصلاة والسلام قرأ : { ما غرك بربك الكريم } ،   فقال : جهله وقاله عمر رضي الله تعالى عنه وقرأ أنه كان ظلوماً جهولاً ،   وهذا يترتب في الكافر والعاصي .

وقال قتادة : عدوه المسلط عليه ،   وقيل : ستر الله عليه .

وقيل : كرم الله ولطفه يلقن هذا الجواب ،   فهذا لطف بالعاصي المؤمن .

وقيل : عفوه عنه إن لم يعاقبه أول مرة .

وقال الفضيل رضي الله عنه : ستره المرخى .

وقال ابن السماك :

يا كاتم الذنب أما تستحي *** والله في الخلوة رائيكا

غرك من ربك إمهاله *** وستره طول مساويكا

وقال الزمخشري : في جواب الفضيل ،   وهذا على سبيل الاعتراف بالخطأ .

بالاغترار : بالستر ،   وليس باعتذار كما يظنه الطماع ،   ويظن به قصاص الحشوية ،   ويروون عن أئمتهم إنما قال : { بربك الكريم } دون سائر صفاته ،   ليلقن عبده الجواب حتى يقول : غرني كونه الكريم .   انتهى .

وهو عادته في الطعن على أهل السنة ."
82,7,"{ فسواك } : جعلك سوياً في أعضائك ،   { فعدلك } : صيرك معتدلاً متناسب الخلق من غير تفاوت .

وقرأ الحسن وعمرو بن عبيد وطلحة والأعمش وعيسى وأبو جعفر والكوفيون : بخف الدال ؛ وباقي السبعة : بشدها .

وقراءة التخفيف إما أن تكون كقراءة التشديد ،   أي عدل بعض أعضائك ببعض حتى اعتدلت ،   وإما أن يكون معناه فصرفك .

يقال : عدله عن الطريق : أي عدلك عن خلقة غيرك إلى خلقة حسنة مفارقة لسائر الخلق ،   أو فعدلك إلى بعض الأشكال والهيئات ."
82,8,"والظاهر أن قوله : { في أي صورة } يتعلق بربك ،   أي وضعك في صورة اقتضتها مشيئة من حسن وطول وذكورة ،   وشبه ببعض الأقارب أو مقابل ذلك .

وما زائدة ،   وشاء في موضع الصفة لصورة ،   ولم يعطف { ركبك } بالفاء كالذي قبله ،   لأنه بيان لعدلك ،   وكون في أي صورة متعلقاً بربك هو قول الجمهور .

وقيل : يتعلق بمحذوف ،   أي ركبك حاصلاً في بعض الصور .

وقال بعض المتأولين : إنه يتعلق بقوله : { فعدلك } ،   أي : لك في صورة ،   أي صورة ؛ وأي تقتضي التعجيب والتعظيم ،   فلم يجعلك في صورة خنزير أو حمار ؛ وعلى هذا تكون ما منصوبة بشاء ،   كأنه قال : أي تركيب حسن شاء ركبك ،   والتركيب : التأليف وجمع شيء إلى شيء .

وأدغم خارجة عن نافع ركبك كلا ،   كأبي عمرو في إدغامه الكبير ."
82,9,"وكلا : ردع وزجر لما دل عليه ما قبله من اغترارهم بالله تعالى ،   أو لما دل عليه ما بعد كلا من تكذيبهم بيوم الجزاء والدين أو شريعة الإسلام .

وقرأ الجمهور : { بل تكذبون } بالتاء ،   خطاباً للكفار ؛ والحسن وأبو جعفر وشيبة وأبو بشر : بياء الغيبة ."
82,10,"{ وإن عليكم لحافظين } : استئناف إخبار ،   أي عليهم من يحفظ أعمالهم ويضبطها .

ويظهر أنها جملة حالية ،   والواو واو الحال ،   أي تكذبون بيوم الجزاء ."
