surah_number,ayah_number,tafsir_text
18,1,""" عوجا ""  العوج هو الميل في الحائط والقناة ونحوهما ويراد به الاعوجاج في الدين ونحوه ."
18,2,""" قيما ""  قائما مستقيما .  ."
18,6,""" باخع نفسك ""  قاتلها ،  ""  أسفا ""  غضبا ويقال حزنا ."
18,8,""" جرزا ""  الجرز والجرز والجرز أرض غليظة يابسة لا تنبت فيها ويقال الجرز الأرض التي تحرق ما فيها من النبات وتبطله ويقال جرزت الأرض إذا ذهب نباتها فكأنها قد أكلته ويقال رجل جروز إذا كان يأتي على كل مأكول لا يبقي شيئا وسيف جراز يقطع كل شيء يقع عليه ويهلكه وكذلك السنة الجروز ."
18,9,""" الكهف ""  غار في الجبل ،  ""  والرقيم ""  لوح كتب فيه خبر أصحاب الكهف ونصب على باب الكهف والرقيم الكتاب وهو فعيل بمعنى مفعول ومنه كتاب مرقوم أي مكتوب ويقال الرقيم اسم الوادي الذي فيه الكهف ."
18,11,""" فضربنا على آذانهم في الكهف ""  أمتناهم وقيل منعناهم من السمع"
18,14,""" وربطنا على قلوبهم ""  ثبتنا قلوبهم وألهمناهم الصبر ،  ""  شططا ""  أي جورا في القول وغيره أو كذبا بلغة خثعم ."
18,16,""" مرفقا ""  المرفق والمرفق جميعا ما يرتفق به وكذلك مرفق الإنسان ومرفقه ومنهم من يجعل المرفق بفتح الميم وكسر الفاء من الأمر يعني الذي يرتفق به والمرفق من الإنسان ."
18,17,""" تزاور ""  تمايل ولهذا قيل للكذب زور لأنه أميل عن الحق ،  ""  تقرضهم ""  أي تخلفهم وتجاوزهم ،  ""  في فجوة ""  أي متسع وقيل معناه موضع لا تصيبه الشمس ."
18,18,""" بالوصيد ""  هو فناء الباب بلغة مذحج وقيل عتبة الباب - زه - وفناء الشيء ما امتد من جوانبه ."
18,19,""" بورقكم ""  فضتكم ،  ""  يشعرن ""  يعلمن ."
18,21,""" أعثرنا عليهم ""  أطلعنا عليهم ."
18,22,""" فلا تمار فيهم ""  لا تجادل فيهم ."
