surah_number,ayah_number,tafsir_text
88,1,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,2,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,3,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,4,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,5,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,6,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,7,"{ هَلْ أَتَاكَ } توقيف يراد به التنبيه والتفخيم للأمر، قيل: هل بمعنى قد وهذا ضعيف { ٱلْغَاشِيَةِ } هي القيامة لأنها تغشى جميع الخلق، وقيل: هي النار من قوله: [إبراهيم: 50] وهذا ضعيف لأنه ذكر بعد ذلك قسمين: أهل الشقاوة وأهل السعادة { خَاشِعَةٌ } أي ذليلة { عَامِلَةٌ نَّاصِبَةٌ } هو من النصب بمعنى التعب، وفي المراد بهم ثلاثة أقوال: أحدهما أنهم الكفار ويحتمل على هذا يكون عملهم ونصبهم في الدنيا لأنهم كانوا يعملون أعمال السوء ويتعبون فيها، أو يكون في الآخرة فيعملون فيها عملاً يتعبون فيه من جر السلاسل والأغلال وشبه ذلك ويكون زيادة في عذابهم. الثاني: أنها في الرهبان الذين يجتهدون في العبادة ولا تقبل منهم، لأنهم على غير الإسلام وبهذا تأولها عمر بن الخطاب رضي الله عنه، وبكى رحمة لراهب نصراني رآه مجتهداً. فعاملة ناصبة على هذا في الدنيا، وناصبة إشارة إلى اجتهادهم في العمل، أو إلى أنه لا ينفعهم فليس لهم منه إلا النصب. الثالث أنها في القدرية. وقد روي أن رسول الله صلى الله عليه وسلم ذكر القدرية فبكى وقال: إن فيهم المجتهد.  { تُسْقَىٰ مِنْ عَيْنٍ آنِيَةٍ } أي شديدة الحر، ومنه ، [الرحمٰن: 44] ووزن آنية هنا فاعلة بخلاف "" آنية من فضة "" فإن وزنه أفعلة { لَّيْسَ لَهُمْ طَعَامٌ إِلاَّ مِن ضَرِيعٍ } في الضريع أربعة أقوال: أحدهما أنه شوك يقال له الشبرق وهو سم قاتل وهذا أرجح لأقوال؛ لأن أرباب اللغة ذكروه ولأن النبي صلى الله عليه وسلم قال: الضريع شوك في النار. الثاني: أنه الزقوم لقوله: [الدخان: 43-44] الثالث: إنه نبات أخضر منتن ينبت في البحر وهذا ضعيف، لأن ما يجري في الوادي ليس بطعام إنما هو شراب، ولله در من قال: الضريع طعام أهل النار فإنه أعم وأسلم من عهدة التعيين. واشتقاقه عند بعضهم من المضارعة، بمعنى المشابهة لأنه يشبه الطعام الطيب وليس به، وقيل: هو بمعنى مضرع للبدن أي مضعف وقيل: إن العرب لا تعرف هذا اللفظ، فإن قيل: كيف قال هنا: "" ليس لهم طعام إلا من ضريع "" وقال في الحاقة: "" ولا طعام إلا من غسلين؟ "" فالجواب: أن الضريع لقوم والغسلين لقوم، أو يكون أحدهما في حال والآخر في حال { لاَّ يُسْمِنُ وَلاَ يُغْنِي مِن جُوعٍ } هذه الجملة صفة لضريع، ولطعام نفي عنه منفعة الطعام وهي التسمين وإزالة الجوع."
88,8,{ وُجُوهٌ يَوْمَئِذٍ نَّاعِمَةٌ } أي متنعمة في الجنة أو يظهر عليها نضرة النعيم { لِّسَعْيِهَا رَاضِيَةٌ } أي راضية في الآخرة لأجل سعيها وهو عملها في الدنيا { فِي جَنَّةٍ عَالِيَةٍ } يحتمل أن يكون من علو المكان أو من علو المقدار أو الوجهين { لاَّ تَسْمَعُ فِيهَا لاَغِيَةً } هو من لغو الكلام ومعناه الفحش وما يكره، فيحتمل أن يريد كلمة لاغية أو جماعة لاغية { فِيهَا عَيْنٌ جَارِيَةٌ } يحتمل أن يريد جنس العيون أو واحدة شرّفها بالتعيين { وَأَكْوَابٌ مَّوْضُوعَةٌ } قد ذكرنا أكواب، ومعنى موضوعة: حاضرة معدة بشرابها وفي قوله: مرفوعة وموضوعة؛ مطابقة { وَنَمَارِقُ } جمع نمرقة وهي الوسادة { وَزَرَابِيُّ مَبْثُوثَةٌ } هي بسط فاخرة وقيل: هي الطنافس واحدها زربية { مَبْثُوثَةٌ } أي متفرقة، وذلك عبارة عن كثرتها وقيل: مبسوطة { أَفَلاَ يَنظُرُونَ إِلَى ٱلإِبْلِ كَيْفَ خُلِقَتْ } حض على النظر في خلقتها لما فيها من العجائب في قوتها، وانقيادها مع ذلك لكل ضعيف، وصبرها على العطش، وكثرة المنافع التي فيها من الركوب والحمل عليها، وأكل لحومها وشرب ألبانها، وأبوالها وغير ذلك. وقيل: أراد بالإبل السحاب وهذا بعيد وإنما حمل قائله عليه مناسبتها للسماء والأرض والجبال، والصحيح أن المراد الحيوان المعروف، وإنما ذكره لما فيه من العجائب، ولإعتناء العرب به إذ كانت معايشتهم في الغالب منه، وهو أكثر المواشي في بلادهم.
88,9,{ وُجُوهٌ يَوْمَئِذٍ نَّاعِمَةٌ } أي متنعمة في الجنة أو يظهر عليها نضرة النعيم { لِّسَعْيِهَا رَاضِيَةٌ } أي راضية في الآخرة لأجل سعيها وهو عملها في الدنيا { فِي جَنَّةٍ عَالِيَةٍ } يحتمل أن يكون من علو المكان أو من علو المقدار أو الوجهين { لاَّ تَسْمَعُ فِيهَا لاَغِيَةً } هو من لغو الكلام ومعناه الفحش وما يكره، فيحتمل أن يريد كلمة لاغية أو جماعة لاغية { فِيهَا عَيْنٌ جَارِيَةٌ } يحتمل أن يريد جنس العيون أو واحدة شرّفها بالتعيين { وَأَكْوَابٌ مَّوْضُوعَةٌ } قد ذكرنا أكواب، ومعنى موضوعة: حاضرة معدة بشرابها وفي قوله: مرفوعة وموضوعة؛ مطابقة { وَنَمَارِقُ } جمع نمرقة وهي الوسادة { وَزَرَابِيُّ مَبْثُوثَةٌ } هي بسط فاخرة وقيل: هي الطنافس واحدها زربية { مَبْثُوثَةٌ } أي متفرقة، وذلك عبارة عن كثرتها وقيل: مبسوطة { أَفَلاَ يَنظُرُونَ إِلَى ٱلإِبْلِ كَيْفَ خُلِقَتْ } حض على النظر في خلقتها لما فيها من العجائب في قوتها، وانقيادها مع ذلك لكل ضعيف، وصبرها على العطش، وكثرة المنافع التي فيها من الركوب والحمل عليها، وأكل لحومها وشرب ألبانها، وأبوالها وغير ذلك. وقيل: أراد بالإبل السحاب وهذا بعيد وإنما حمل قائله عليه مناسبتها للسماء والأرض والجبال، والصحيح أن المراد الحيوان المعروف، وإنما ذكره لما فيه من العجائب، ولإعتناء العرب به إذ كانت معايشتهم في الغالب منه، وهو أكثر المواشي في بلادهم.
88,10,{ وُجُوهٌ يَوْمَئِذٍ نَّاعِمَةٌ } أي متنعمة في الجنة أو يظهر عليها نضرة النعيم { لِّسَعْيِهَا رَاضِيَةٌ } أي راضية في الآخرة لأجل سعيها وهو عملها في الدنيا { فِي جَنَّةٍ عَالِيَةٍ } يحتمل أن يكون من علو المكان أو من علو المقدار أو الوجهين { لاَّ تَسْمَعُ فِيهَا لاَغِيَةً } هو من لغو الكلام ومعناه الفحش وما يكره، فيحتمل أن يريد كلمة لاغية أو جماعة لاغية { فِيهَا عَيْنٌ جَارِيَةٌ } يحتمل أن يريد جنس العيون أو واحدة شرّفها بالتعيين { وَأَكْوَابٌ مَّوْضُوعَةٌ } قد ذكرنا أكواب، ومعنى موضوعة: حاضرة معدة بشرابها وفي قوله: مرفوعة وموضوعة؛ مطابقة { وَنَمَارِقُ } جمع نمرقة وهي الوسادة { وَزَرَابِيُّ مَبْثُوثَةٌ } هي بسط فاخرة وقيل: هي الطنافس واحدها زربية { مَبْثُوثَةٌ } أي متفرقة، وذلك عبارة عن كثرتها وقيل: مبسوطة { أَفَلاَ يَنظُرُونَ إِلَى ٱلإِبْلِ كَيْفَ خُلِقَتْ } حض على النظر في خلقتها لما فيها من العجائب في قوتها، وانقيادها مع ذلك لكل ضعيف، وصبرها على العطش، وكثرة المنافع التي فيها من الركوب والحمل عليها، وأكل لحومها وشرب ألبانها، وأبوالها وغير ذلك. وقيل: أراد بالإبل السحاب وهذا بعيد وإنما حمل قائله عليه مناسبتها للسماء والأرض والجبال، والصحيح أن المراد الحيوان المعروف، وإنما ذكره لما فيه من العجائب، ولإعتناء العرب به إذ كانت معايشتهم في الغالب منه، وهو أكثر المواشي في بلادهم.
