surah_number,ayah_number,tafsir_text
8,1,"{ يسألونك عن الأنفال } الخطاب للنبي صلى الله عليه وسلم والسائلون هم الصحابة ،   والأنفال هي الغنائم ،   وذلك أنهم كانوا يوم بدر ثلاث فرق : فرقة مع النبي صلى الله عليه وسلم في العريش تحرسه ،   وفرقة اتبعوا المشركين فقتلوهم وأسروهم ،   وفرقة أحاطوا بأسلاب العدو وعسكرهم لما انهزموا ،   فلما انجلت الحرب واجتمع الناس رأت كل فرقة أنها أحق بالغنيمة من غيرها ،   واختلفوا فيما بينهم ،   فنزلت الآية ومعناها : يسألونك عن حكم الغنيمة ومن يستحقها ،   وقيل : الأنفال هنا ما ينفله الإمام لبعض الجيش من الغنيمة زيادة على حظه ،   وقد اختلف الفقهاء هل يكون ذلك التنفيل من الخمس وهو قول مالك ،   أو من الأربعة الأخماس ،   أو من رأس الغنيمة ،   قبل إخراج الخمس .

{ قل الأنفال لله والرسول } أي : الحكم فيهما لله والرسول لا لكم .

{ وأصلحوا ذات بينكم } أي : اتفقوا وائتلفوا ،   ولا تنازعوا ،   و{ ذات } هنا بمعنى : الأحوال ،   قاله الزمخشري ،   وقال ابن عطية : يراد بها في هذا الموضع نفس الشيء وحقيقته وقال الزبيري إن إطلاق الذات على نفس الشيء وحقيقته ليس من كلام العرب .

{ وأطيعوا الله ورسوله } يريد في الحكم في الغنائم ،   قال عبادة بن الصامت : نزلت فينا أصحاب بدر حين اختلفنا وساءت أخلاقنا ،   فنزع الله الأنفال من أيدينا وجعلها لرسول الله صلى الله عليه وسلم فقسمها على السواء ،   فكان في ذلك تقوى الله وطاعة رسوله وإصلاح ذات البين ."
8,2,"{ إنما المؤمنون } الآية أي : الكاملون الإيمان فإنما هنا للتأكيد والمبالغة والحصر .

{ وجلت قلوبهم } أي : خافت وقرأ أبي بن كعب فزعت .

{ زادتهم إيمانا } أي : قوي تصديقهم ويقينهم خلافا لمن قال إن الإيمان لا يزيد ولا ينقص ،   وإن زيادته إنما هي بالعمل ."
8,4,{ لهم درجات }يعني : في الجنة .
8,5,"{ كما أخرجك ربك } فيه ثلاث تأويلات أحدها : أن تكون الكاف في موضع رفع على أنه خبر مبتدأ محذوف تقديره هذه الحال كحال إخراجكيعني : أن حالهم في كراهة تنفيل الغنائم كحالهم في حالة خروجك للحرب ،   والثاني : أن يكون في موضع الكاف نصب على أنه صفة لمصدر الفعل المقدر في قوله : { الأنفال لله والرسول } أي : استقرت الأنفال لله والرسول استقرارا مثل استقرار خروجك ،   والثالث : أن تتعلق الكاف بقوله : { يجادلونك } .

{ من بيتك } يعني : مسكنه بالمدينة إذ أخرجه الله لغزوة بدر .

{ وإن فريقا من المؤمنين لكارهون } أي : كرهوا قتال العدو ،   وذلك أن عير قريش أقبلت من الشام فيها أموال عظيمة ،   ومعها أربعون راكبا فأخبر بذلك جبريل النبي صلى الله عليه وسلم فخرج بالمسلمين فسمع بذلك أهل مكة فاجتمعوا وخرجوا في عدد كثير ليمنعوا عيرهم فنزل جبريل عليه السلام فقال : يا محمد إن الله قد وعدكم إحدى الطائفتين ،   إما العير وإما قريش ،   فاستشار النبي صلى الله عليه وسلم أصحابه ،   فقالوا : العير أحب إلينا من لقاء العدو فقال : إن العير قد مضت على ساحل البحر ،   وهذا أبو جهل قد أقبل ،   فقال له سعد بن عبادة : امض لما شئت فإنا متبعوك وقال سعد بن معاذ : والذي بعثك بالحق لو خضت هذا البحر لخضناه معك فسر بنا على بركة الله ."
8,6,"{ يجادلونك في الحق بعد ما تبين } كان جدالهم في لقاء قريش بإيثارهم لقاء العير إذ كانت أكثر أموالا وأقل رجالا ؛ وتبين الحق : هو إعلام رسول الله صلى الله عليه وسلم بأنهم ينصرون .

{ كأنما يساقون إلى الموت } تشبيه لحالهم في إفراط جزعهم من لقاء قريش ."
8,7,"{ وإذ يعدكم الله إحدى الطائفتين }يعني : قريش أو عيرهم ،   والعامل في إذ محذوف تقديره اذكروا .

{ أنها لكم } بدل من إحدى الطائفتين .

{ وتودون أن غير ذات الشوكة تكون لكم } الشوكة عبارة عن السلاح ،   سميت بذلك لحدتها ،   والمعنى : تحبون أن تلقوا الطائفة التي لا سلاح لها وهي العير .

{ أن يحق الحق } : يعني : يظهر الإسلام بقتل الكفار وإهلاكهم يوم بدر ."
8,8,{ ليحق الحق } متعلق بمحذوف تقديره ليحق الحق ويبطل الباطل فعل ذلك وليس تكرارا للأول لأن الأول مفعول يريد وهذا تعليل لفعل الله تعالى ،   ويحتمل أن يريد بالحق الأول الوعد بالنصرة ،   وبالحق الثاني الإسلام .   فيكون المعنى : أن نصرهم ،   ليظهر الإسلام ،   ويؤيد هذا قوله : { ويبطل الباطل } أي : يبطل الكفر .
8,9,"{ إذ تستغيثون ربكم } { إذ } بدل من { إذ يعدكم } ،   وقيل : يتعلق بقوله : { ليحق الحق } أو بفعل مضمر واستغاثتهم دعاؤهم بالغوث والنصر .

{ ممدكم } أي : مكثركم .

{ مردفين } من قولك ردفه إذا تبعه ،   وأردفته إياه إذا أتبعته إياه والمعنى : يتبع بعضهم بعضا ،   فمن قرأه بفتح الدال فهو اسم مفعول ،   ومن قرأه بالكسر فهو اسم فاعل ،   وصح معنى القراءتين لأن الملائكة المنزلين يتبع بعضهم بعضا فمنهم تابعون ومتبوعون ."
8,10,{ وما جعله الله } الضمير عائد على الوعد ،   أو على الإمداد بالملائكة .
8,11,"{ إذ يغشيكم النعاس } { إذ } بدل من { إذ يعدكم } أو منصوب بالنصر ،   أو بما عند الله من معنى النصر ،   أو بإضمار فعل تقديره اذكر ،   ومن قرأ { يغشاكم } بضم الياء والتخفيف فهو من أغشى ،   ومن قرأ بالضم والتشديد فهو من غشي المشدد ،   وكلاهما يتعدى إلى مفعولين فنصب { النعاس } على أنه المفعول والثاني ،   والمعنى : يغطيكم به فهو استعارة ،   من الغشاء ،   ومن قرأ بفتح الياء والشين فهو من غشي المتعدي إلى واحد أي : ينزل عليكم النعاس .

{ أمنة منه } أي : أمنا ،   والضمير المجرور يعود على الله تعالى ،   وانتصاب أمنة على أنه مفعول من أجله قال ابن مسعود : النعاس عند حضور القتال علامة أمن من العدو .

{ وينزل عليكم من السماء ماء } تعديد لنعمة أخرى ،   وذلك أنهم عدموا الماء في غزوة بدر قبل وصولهم إلى بدر ،   وقيل : بعد وصولهم ،   فأنزل الله لهم المطر حتى سالت الأودية .

{ ليطهركم به } كان منهم من أصابته جنابة فتطهر بماء المطر ،   وتوضأ به سائرهم ،   وكانوا قبله ليس عندهم ماء للطهر ولا للوضوء .

{ ويذهب عنكم رجز الشيطان } كان الشيطان قد ألقى في نفوس بعضهم وسوسة بسبب عدم الماء ،   فقالوا : نحن أولياء الله وفينا رسوله فكيف نبقى بلا ماء ،   فأنزل الله المطر وأزال عنهم وسوسة الشيطان .

{ وليربط على قلوبكم } أي : يثبتها بزوال ما وسوس لها الشيطان وبتنشيطها وإزالة الكسل عنها .

{ ويثبت به الأقدام } الضمير في { به } عائد على الماء ،   وذلك أنهم كانوا في رملة دهمة لا يثبت فيها قدم ،   فلما نزل المطر تلبدت وتدقت الطريق ،   وسهل المشي عليها والوقوف ،   وروي : أن ذلك المطر بعينه صعب الطريق على المشركين فتبين أن ذلك من لطف الله ."
