surah_number,ayah_number,tafsir_text
19,1,"{  كهيعص1 ذِكْرُ رَحْمَةِ رَبِّكَ عَبْدَهُ زَكَرِيَّا 2 إِذْ نَادَى رَبَّهُ نِدَاء خَفِيًّا 3 قَالَ رَبِّ إِنِّي وهَنَ الْعَظْمُ مِنِّي واشْتَعَلَ الرَّأْسُ شَيْبًا ولَمْ أَكُن بِدُعَائِكَ رَبِّ شَقِيًّا 4 وإِنِّي خِفْتُ الْمَوالِيَ مِن ورَائِي وكَانَتِ امْرَأَتِي عَاقِرًا فَهَبْ لِي مِن لَّدُنكَ ولِيًّا 5 يَرِثُنِي ويَرِثُ مِنْ آلِ يَعْقُوبَ واجْعَلْهُ رَبِّ رَضِيًّا 6 يَا زَكَرِيَّا إِنَّا نُبَشِّرُكَ بِغُلَامٍ اسْمُهُ يَحْيَى لَمْ نَجْعَل لَّهُ مِن قَبْلُ سَمِيًّا 7قَالَ رَبِّ أَنَّى يَكُونُ لِي غُلَامٌ وكَانَتِ امْرَأَتِي عَاقِرًا وقَدْ بَلَغْتُ مِنَ الْكِبَرِ عِتِيًّا 8 قَالَ كَذَلِكَ قَالَ رَبُّكَ هُو عَلَيَّ هَيِّنٌ وقَدْ خَلَقْتُكَ مِن قَبْلُ ولَمْ تَكُ شَيْئًا 9 قَالَ رَبِّ اجْعَل لِّي آيَةً قَالَ آيَتُكَ أَلَّا تُكَلِّمَ النَّاسَ ثَلَاثَ لَيَالٍ سَوِيًّا 10 فَخَرَجَ عَلَى قَوْمِهِ مِنَ الْمِحْرَابِ فَأَوْحَى إِلَيْهِمْ أَن سَبِّحُوا بُكْرَةً وعَشِيًّا 11 يَا يَحْيَى خُذِ الْكِتَابَ بِقُوةٍ وآتَيْنَاهُ الْحُكْمَ صَبِيًّا 12 وحَنَانًا مِّن لَّدُنَّا وزَكَاةً وكَانَ تَقِيًّا 13 وبَرًّا بِوالِدَيْهِ ولَمْ يَكُن جَبَّارًا عَصِيًّا 14 وسَلَامٌ عَلَيْهِ يَوْمَ وُلِدَ ويَوْمَ يَمُوتُ ويَوْمَ يُبْعَثُ حَيًّا 15 } [ 1  15 ] .

بدئت السورة بأحرف خمسة متقطعة .  وتعددت الأقوال فيها منها أنها رموز لأسماء الله تعالى ،  وقسم رباني بالأسماء التي ترمز إليها ،  ومنها أنها للاسترعاء والتنبيه .  وهذا ما نرجحه .  وقد يكون تعدد الحروف بقصد التنبيه إلى خطورة الموضوع .  ومطلع السورة من المطالع القليلة التي بدأت بحروف متقطعة ولم يعقبها ذكر القرآن والكتاب .

والسلسلة التي أعقبت الحروف الخمسة احتوت قصة ولادة يحيي بن زكريا عليهما السلام والمعجزة الربانية في هذه الولادة .  وعبارتها واضحة لا تحتاج إلى أداء آخر حينما يستعان بمعاني المفردات والجمل التي قدمناها .  وقد تضمنت تنويها بزكريا وبيحيى عليهما السلام وما كان لهما عند الله تعالى من شأن وما نالاه من عنايته وتكريمه ،  كما تضمنت التنويه بالمعجزة الربانية في ولادة يحيي من أب هرم وأم عاقر .

تعليق على قصة ولادة يحيي عليه السلام

وبما أن هذه القصة أعقبت بقصة ولادة المسيح عليه السلام الخارقة ،  كما أن روح الآيات التالية تلهم أن ولادة المسيح هي المقصودة بالذات لتفنيد مزاعم النصارى بأبوّة الله عز وجل للمسيح ،  وتقرير كون ولادته ليست إلاّ معجزة ربانية ؛  فإنه يصح أن يقال :  إن ذكر قصة ولادة يحيى قبل قصة ولادة المسيح عليهما السلام هو من قبيل التمهيد والتدليل على أن ولادة المسيح قد سبقت بمعجزة ربانية من نوعها تقريبا ،  فلا يصح أن ينبني عليها ما قامت عليه العقيدة النصرانية بأبوّة الله للمسيح أو ببنوّة المسيح لله بالمعنى الحرفي للأبوة أو البنوّة .

والإعجاز الرباني في ولادة يحيى كان معروفا ومسلّما به من قبل النصارى واليهود .  وقد ورد بتفصيل مطابق لما ورد في السلسلة في إنجيل لوقا ( الإصحاح الأول ) كما ورد في الإصحاح نفسه :  أن ملاك الله ذكّر به مريم حينما بشرها بحلول روح القدس عليها والحبل بعيسى عليه السلام لأنها قالت له :  كيف أحبل وأنا لا أعرف رجلا ؟  فقال لها :  إن إليصابات نسيبتك وزوجة زكريا حبلت أيضا بابن في شيخوختها مع أنها كانت عاقرا وأنه ليس أمر غير ممكن لدى الله .

وهكذا جاء التمهيد القرآني محكما ومفحما للنصارى الذين هم موضوع الحديث في ولادة عيسى عليه السلام الوارد في الآيات التالية :

ولقد ذكرت ولادة يحيى الإعجازية مرتين أخريين في القرآن .  مرة في سورة الأنبياء المكية الآيات [ 88  91 ] .  ومرة في سورة آل عمران المدنية الآيات [ 32  51 ] .  وكان خبر الحبل بعيسى وولادته الإعجازية يذكر بعد كل من المرتين مثل ما هو في هذه السورة ."
19,2,"ذكر رحمة ربك عبده زكريا :  ذكر هنا بمعنى خبر أو بمعنى تذكير .  وتأويل الآية هو خبر أو تذكير بما كان من رحمة الله لعبده زكريا .  و( عبده ) منصوب برحمة التي هي مصدر .

/ت1"
19,3,"نداء خفيّا :  دعا ربه سرّا وخفية عن الناس أو في سرّه .

/ت1"
19,4,"وهن العظم :  ضعف ورقّ من الكبر .

اشتعل الرأس شيبا :  كناية عن كثرة الشيب .  والاشتعال في الأصل انتشار شعاع النار .

لم أكن بدعائك ربّ شقيّا :  لم يخب دعائي لك أو لم يكن لي به شقاء وحرمان .

/ت1"
19,5,"الموالي :  هنا بمعنى الورثة .  وروح الآية تلهم أن المقصود هنا الورثة الذين من غير صلب زكريا وعصبته .

عاقر :  عقيم .

/ت1"
19,6,"رضيّا :  مرضيّا عنه أو رضيّ الخلق .

/ت1"
19,7,"يحيي :  تعريب لاسم يوحنا الذي ذكرت أسفار العهد القديم أنه ابن زكريا .  والراجح أن تعريب الاسم سابق لنزول القرآن .

لم نجعل له من قبل سميّا :  لم يسبق أن سمّي أحد بمثل اسمه .

/ت1"
19,8,"عتيّا :  حدّا بعيدا .  وأصل الكلمة بمعنى اليبس والجفاف والنحول .

/ت1"
19,9,/ت1
19,10,"آية :  هنا بمعنى علامة يعلم بها حمل امرأته .

ألاّ تكلم الناس :  أن ينحبس الكلام عنك فلا تستطيعه .

/ت1"
19,11,"المحراب :  مكان العبادة .  وقد سبق ذكره في سورة ص .

أوحى :  هنا بمعنى أشار أو أوعز بدون كلام .

/ت1"
19,12,"الحكم :  الفهم والحكمة أو النبوة .

/ت1"
19,13,"وحنانا من لدنّا وزكاة :  وجعلناه رحمة وتزكية لزكريا أو آتيناه الحنان والرحمة والطهارة .

/ت1"
19,14,"برّا :  بارّا .

جبارا :  طاغيا قاسيا .

/ت1"
19,15,/ت1
19,16,"انتدبت من أهلها :  انفردت أو انعزلت عن مكان أهلها .

/خ16"
19,17,"اتخذت من دونهم حجابا :  احتجبت عنهم وتوارت بقصد الاعتكاف والتعبد .

/خ16"
19,18,"إن كنت تقيّا :  إن كنت ممن يتقون الله .

/خ16"
19,19,"زكيّا :  طاهرا ،  وقال ابن عباس أريد بالكلمة نبيّا .

/خ16"
19,20,"بغيّا :  مومسا .

/خ16"
19,21,"وكان أمرا مقضيا :  تمّ أمر الله .

/خ16"
19,22,"قصيّا :  بعيدا .

/خ16"
19,23,"أجاءها المخاض :  ألجأتها أو اضطرتها أوجاع المخاض .

/خ16"
19,24,"سريّا :  قيل هو جدول الماء الساري الجاري .  وقيل هو الشريف الرفيع ،  والمعنى الأول متسق مع ذكر النخلة والرطب والأكل والشرب في الآية التالية حيث تريد الآيات أن تشير إلى معجزة أكرم الله بها مريم وابنها ،  فأحيا النخلة فحملت رطبا ،  وأجرى الماء عندها لتأكل وتشرب .

/خ16"
19,25,"تساقط :  تتساقط .

رطبا جنيّا :  تمرا مجنيا صالحا للأكل .

/خ16"
19,26,"نذرت :  أوجبت على نفسي .

صوما :  هنا بمعنى صمتا أو إمساكا عن الكلام والصوم في اللغة هو الامتناع والكفّ عن الشيء .

/خ16"
19,27,"فريّا :  شيئا عجيبا وبدعا ومختلقا .

/خ16"
19,28,"يا أخت هارون :  كناية عمّا كانت تعرف به مريم من التقوى وتشبيها لها بهارون أخي موسى عليهما السلام الذي كان رئيس كهنة الله .

/خ16"
19,29,/خ16
19,30,/خ16
19,31,/خ16
19,32,/خ16
19,33,/خ16
19,34,"يمترون :  يشكون أو يجادلون .

/خ16"
19,35,/خ16
19,36,/خ16
19,37,"الأحزاب :  بمعنى الفرق والشيع والجماعات .

/خ37"
19,38,"أسمع بهم وأبصر :  ما أشد سمعهم وبصرهم ،  حين يأتون إلى الله يوم القيامة .

/خ37"
19,39,/خ37
19,40,/خ37
