surah_number,ayah_number,tafsir_text
2,1,"بسم الله الرحمن الرحيم

( الم ذلك الكتاب لا ريب فيه هدى للمتقين (  ثمة أقوال للمفسرين في الحروف المقطعة الواردة في أوائل بعض السور ،  إلا أننا نعرض للحديث عنها هنا بإيجاز لنعاود الحديث عنها ثانية في سورة آل عمران .

فقد ذهب بعض أهل العلم من المفسرين واللغويين إلى أن المقصود بهذه الفواتح من الحروف المقطعة هو التحدي على نحو آكد في الكشف عن إعجاز القرآن وعن عجز العرب دونه وهم الراسخون في الفصاحة والبيان ،  فقد تحدى الله في قرآنه العاجزين من أجل أن يأتوا بمثل هذا الكلام فنكصوا جميعا ،  ويريد الله أن يبين للعرب على أعقابكم والذي عز عليكم أن تأتوا بمثل بعضه ،  لهو كلام من جنس ما تتخاطبون به مما تتألف من حروف في مثل ( آلم (  وغيرها من حروف أخرى مقطعة تأتي فواتح للسور ،  يوضح ذلك ويرجحه قوله بعد هذه الحروف المقطعة  (  ذلك الكتاب (  أي أن هذه الحروف هي التي تؤلف هذا الكتاب ،  أو أن هذا الكتاب من جنس كلام العرب ،  وهو كلام أساسه الحرف المقطع المنفصل كالألف أو اللام أو الميم ،  وذلك آكد في التحدي وأشد في إظهار الدلالة على أن هذا القرآن الكريم معجز وأنه لا تقوى مدارك الإنسان على أن تصطنع مثله .

وقيل :  إن المشركين لما تواصوا فيما بينهم أن يعرضوا عن سماع القرآن ،  وقالوا ( لا تسمعوا لهذا القرآن والغوا فيه (  أراد الله أن يفاجئهم بما يثير فيهم الدهش ويحملهم على الانتباه والإصغاء ليسمعوا القرآن ،  فأنزل الله هذه الحروف الفواتح لبعض السور .

وقيل إن هذه الحروف الفواتح لهي من أسرار الكتاب الحكيم ولا يقف على المراد منها أحد من الناس ،  فهي علم مستور استأثر الله به وحده ،  وهو قول الصحابة وغيرهم وهم في ذلك يحدوهم التورع والحيطة خشية التكلف أو الزلل .

فكانوا يؤثرون أن لا يخوضوا في تأويل هذه الحروف ،  بل كانوا ينسبون حقيقة المراد بذلك الى الله فهو أعلم بالسر والمقصود ."
2,2,"قوله :  (  ذلك الكتاب(  ( ذلك(  اسم إشارة في موضع رفع مبتدأ ،  وخبره ( الكتاب (  .

وقيل :  (  الكتاب (  بدل من ذلك ،  وقيل :  صفته ،  وخبر الإشارة (  لا ريب فيه (  يعني لاشك فيه فهو لوضوحه وسطوع برهانه لا يحتمل أيما ارتياب وأن ما يتجلى في القرآن من ظواهر في الإعجاز ينطق في يقين مكشوف أن هذا الكتاب منزل من عند الله فهو يعلو على الشبهات والظنون .

قوله :  (  هدى للمتقين (  الهدى مصدر ومعناه الدلالة ،  ويراد به الدلالة التي توصل إلى البغية ،  وهو في مقابل الضلالة وهي الزلل والضياع ،  والمتقون هم الذين ثبتت لهم التقوى ،  والمتقي في اللغة اسم فاعل من قولهم وقاه فاتقى ،  والوقاية فرط الصيانة .

وكذا التوقي ،  ومنه فرس واق أي يقي راكبه مما يؤذيه ،  والتقوى في عرف الشرع اسم لمن يقي نفسه مما يضره في الآخرة ،  وهي في الحقيقة والواقع إحساس ذاتي رهيف ينبثق عن عقيدة التوحيد الخالص ليرسخ في القلب الوجدان كله ،  لا جرم أن ذلك إحساس وجداني غامر يفيض على النفس فينمي فيها شعور الخوف من الله بما يظل للمؤمن رقيبا يحول بينه وبين الآثام والمعاصي ،  أو الدنايا والخسائس وصغائر الذنوب .

والقرآن بما حواه من روائع ومناهج في العقيدة والقيم ،  وفي الفكر والسلوك والنظم ،  فإنه هداية للبشرية كافة ،  وقد خص الله المتقين تشريفا لهم وإجلالا .

إن هذا الكتاب الحكيم يتضمن مقاليد الخير والسعادة والصلاح جميعا ،  وفيه من أسباب النجاة و والسلامة والفوز ما تنجو به البشرية من كل ألوان التعثر والخطيئة والزلل وما يجعلها على أقوم محجة لتفوز وتنجو في هذه الدنيا ويوم يقوم الإشهاد ."
2,3,"قوله تعالى :  (  الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون أولئك على هدى من ربهم وأولئك هم المفلحون (  الذين اسم موصول في محل حجر نعت (  للمتقين (  التي قبلها ،  وقيل :  في محل نصب على المفعولية لفعل محذوف تقديره أمدح .

وقوله :  (  يؤمنون (  من الإيمان ومعناه في اللغة :  التصديق ،  والإيمان في الشرع :  كلمة جامعة للإقرار بالله وملائكته ،  وكتبه ورسله واليوم الآخر ،  وتصديق هذا الإقرار بالفعل ،  وقد تدخل الخشية لله في معنى الإيمان الذي هو تصديق القول بالعمل ،  قال ابن كثير في هذا الصدد :  الإيمان الشرعي المطلوب لا يكون إلا اعتقادا وقولا وعملا .

وهو قول أكثر العلماء ،  وعلى هذا فإن الإيمان إقرار بأركان العقيدة المعروفة واقتران ذلك بالعمل الصحيح المشروع ،  فلا اعتبار للإقرار أو التصديق المجرد والذي لا يشفعه عمل .

ومن ركائز الإيمان للمؤمنين تصديقهم عن يقين بالغيب المستور مما هو خلف الطبيعة ووراء الشهادة والحس في ظواهر لا يقف عليها الإنسان في تركيبته البشرية ،  وهي تركيبة يطلبها واقع الحياة في دنيا محدودة ،  لا تقوى على إدراك ما وراء الطبيعة المشهودة من عوالم الغيبات كالملائكة والكتب المنزلة والرسل واليوم الآخر والجنة والنار والبعث والنشور والحساب ،  وكذلك الله تعالت أسماؤه إنما يؤمن به المؤمنون بالغيب لأن الله  ( ليس كمثله شيء(  وهو سبحانه  ( لا تدركه الأبصار وهو يدرك الأبصار (   فإنه سبحانه لا يدركه المرء من باب الحس المشهود كالبصر أو السمع أو غير ذلك من أسباب حسية ثقيلة .

وثمة معنى آخر مثير يتفجر من خلال النص القرآني الكريم وهو يصف المتقين بأنهم يؤمنون بالغيب ويقيمون الصلاة ،  فإن في ذلك ما يشير بوضوح مكشوف إلى تكريم المتقين ،  لأنهم يؤمنون بالغيب والإيمان بالغيب ضرب من الرقي المكرم الذي يرتقي من خلاله المؤمن ليكون في صف الأبرار والأطهار من البشر ،  ولا غرو فإن الإيمان بالغيب يرتفع بالمؤمن ليكون في عداد الغلاة الذين يتسامون على التصور المادي الممحص ،  التصور المادي المتبلد الثقيل الذي يودي بالإنسان إلى حمأة الهبوط المنحدر والارتكاس المتدهور .

وقوله :  ( ويقيمون الصلاة (  إقامة الصلاة ترد بإطلاق لتشمل ما فيها من ركوع وسجود وقراءة وخشوع وقيام وقعود ،  وما يشترط لها من طهارة وستر للعورة واستقبال للقبلة وغير ذلك من وجوه إتمام الصلاة ،  وللمحافظة عليها وأدائها على أتم نحو وأوفى صورة .

والصلاة في اللغة تأتي على عدة معان منها :  الدعاء والرحمة والعبادة والنافلة والتسبيح ثم القراءة ،  وقيل غير ذلك مما يتناول مفهوم الصلاة في لغة العرب ،  ولا جرم أن تكون مثل هذه المعاني جميعها وثيقة الصلة بالمفهوم الشرعي لكلمة الصلاة والصلاة في مفهومها الشرعي تتضمن جملة حركات وأقوال وقراءات يؤديها المصلي على سبيل التعبد والطاعة لله ،  أما تفصيل الصلاة في بيان موضح مستفيض فليس هنا موضع ذلك بل موضعه مظانه في كتب الفقه بما يعرض لفريضة الصلاة بالشرح المبسط التفصيلي .

وقوله :  ( ومما رزقناهم ينفقون(   الرزق :  معناه العطاء ،  وهو يشمل كل وجوه الخير من المال والطعام والكساء وغير ذلك ،  أما قوله ( ينفقون(  فهو من الفعل نفق ومعناه :  نفد وفني ،  ويأتي بمعنى خرج ،  فالإنفاق الواقع على المال يعني إخراجه من اليد ،  وبذلك فإن النفقة أو الإنفاق هو إخراج المال من اليد على وجوهه المختلفة أو إفناؤه في سبيل الخير .

واختلف العلماء في المقصود بالنفقة هنا ،  فقد قيل :  يقصد بها الزكاة المقروضة ،  وقيل :  بل هي صدقة التطوع غير المقروضة ،  وفي قول آخر بأن المقصود ما أنفقه المرء على أهله وعياله أو من وجبت نفقتهم عليه ،  والقول الذي نرجحه ونطمئن إليه ،  أن النفقة عامة تتناول كل وجوه الإنفاق من فريضة وتطوع ،  وما كان لأهل أو عيال أو غيرهم ."
2,4,"وقوله :  ( والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون أولئك على هدى من ربهم وأولئك هم المفلحون(  .

ثمة خلاف بين أئمة التفسير في المقصود بالموصوف في هذه الآية ،  فقد قيل إنهم أهل الكتاب الذين آمنوا بهذا النبي وما أنزل عليه من كتاب وما أنزل على النبيين من قبله ،  أما المقصود بالموصوف في الآية السابقة لهذه فهم مؤمنو العرب .

أما القول الثاني :  فهو أن المقصود بالموصوفين في الآيتين هم المؤمنون عموما سواء كانوا من العرب أو من أهل الكتاب ،  والذي يترجم لدي هو القول بأن الآيتين كلتيهما نزلتا في المؤمنين عموما .

وفي هذه الآية يثني الله على عباده المؤمنين الذين يصدقون القرآن الذي نزل على محمد صلى الله عليه وسلم ،  وما نزل على النبيين قبله من كتب ،  وهم كذلك مؤمنون دون شك أو ارتياب أن الساعة قائمة ،  وأن الله سيبعث من في القبور ،  وهو تأويل قوله  ( وبالآخرة هم يوقنون(  أي عالمون ،  واليقين معناه العلم دون الشك ."
2,5,وقوله :  ( أولئك على هدى من ربهم وأولئك هم المفلحون (  اسم الإشارة  ( أولئك (  يعود على من سبقت صفاتهم في الآية من إيمان بالغيب ،  وإقامة الصلاة ،  وإنفاق من عطاء الله ،  وإيمان بالكتب السماوية كلها دون تفريق بين أحد منها ،  وكذلك من تصديق بيوم القيامة وما يتخللها من أهوال وقوارع ،  فإن الموصوفين بذلك جميعا على هداية من الله وبصيرة ونور ،  ومن حيث الإعراب فإن ( أولئك(  اسم إشارة في محل رفع مبتدأ وخبره شبه الجملة بعده وهو قوله :  ( على هدى من ربهم (  وقوله :  ( وأولئك هم المفلحون(  أولئك ،  اسم إشارة في محل رفع مبتدأ هم ،  ضمير الفصل ،  خبر أولئك ،  والمفلحون من الإفلاح وهو الفوز والنجاة ،  وقيل :  معناه الشق والقطع ،  مثلما يقال :  أفلح الأرض أي شقها بالحرث ،  لتكون صالحة للإنبات والزرع ،  وبناء على ذلك فإن ( المفلحون(  هم الذين يشقون طريقهم في الحياة فيحتملون المتاعب والمصاعب ،  كما تتحقق لهم الأهداف والمطالب ،  أو هم الذين يصبرون على طاعة الله بالتصديق واليقين وأداء الواجبات جميعا ليفوزوا بعطاء الله في الدنيا والآخرة .
2,6,"قوله تعالى :  ( إن الذين كفروا سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم (  الكفر معناه الجحد ،  وهو أن يجحد الكافر نعمة الله وفضله فيقابله بالعصيان والإنكار ،  ويأتي بمعنى الستر والتغطية ،  فالكافرون هم الذين يسترون الحق ويغطونه بغشاء الباطل لسوء في طبائعهم ومرض في قلوبهم ،  والكفار هم الزراع الذين يغطون الحب في الأرض بعد شقها ليستروه بالتراب ،  وفي ذلك يقول سبحانه :  ( كمثل غيث أعجب الكفار نباته (  أي أن النبات قد أعجب الزراع الذين طمروا حباته في الأرض .

قوله :  ( سواء عليهم ءأنذرتهم (  سواء مبتدأ ( ءأنذرتهم (  وما بعده خبر ،  والتقدير :  سواء عليهم الإنذار وعدمه ،  والهمزة ،  الأصل فيها الاستفهام ،  والمراد بها هنا التسوية ،  وأنذرتهم فعل وفاعل ومفعول ،  وأم ،  عاطفة .

وفي هذه الآية إنباء عن فريق من الكافرين قد سبق في علم الله أنه سيموت على الكفر ،  وأن هذا الفريق ( سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون (  سواء معناها معتدل ،  أي يتساوى ويعتدل عند هؤلاء الجاحدين أن يستمعوا للنذير أو لا يستمعوا فإنهم فئة من الخلق ميؤوس منها فلن تؤمن أبدا ،  وذلك تمشيا مع علم الله في الأزل أن هؤلاء سيمضون في طريق الكفر مختارين ،  وبناء على ذلك فإن قوله :  ( إن الذين كفروا(  يفيد بظاهره العموم ،  لكنه يراد به الخصوص ،  وقيل :  إن الآية نزلت في كبراء اليهود الضالين أو في آخرين غيرهم ممن ماتوا على الكفر ،  إلا أن القول الأول هو الذي نطمئن إليه ،  والله سبحانه أعلم ."
2,7,"وقوله :  ( ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة (  الختم هو الطبع ،  وقيل :  التغطية للحيلولة دون ولوج الشيء في ما هو مغطى ،  والمقصود من ذلك :  أن قلوب هؤلاء الكافرين وأسماعهم قد ختم الله عليها فلا ينفذ إليها إيمان أو يقين ،  وبذلك فإن هؤلاء سيؤول الأمر بهم إلى النار وبئس القرار .

وثمة مسألة تختلف فيها أقوال العلماء والمفسرين ،  وهي مسألة قد تصل إلى حد الإشكال الذي يثير جملة تأويلات وآراء ،  وهي :  لمن يعود التأثير على القلوب والأسماع ليقع عليها الختم أو الطبع أو الإغلاق ؟  هل يعود ذلك لله عز وجل ليكون سبحانه هو المؤثر في عملية الطبع على القلب والسمع للإنسان فلا يؤمن بحق ولا يستمع إلى كلمة الحق ،  أم أن ذلك يعود إلى الإنسان نفسه ،  فهو المختار المريد الذي يسلك سبيلا في الخير أو الشر وهو في ذلك حر ؟  .

أمام هذين القولين المختلفين أجدني أكثر اطمئنانا وقناعة أن أتصور أن معنى الختم أو الطبع على قلب الإنسان وسمعه قد ورد على سبيل الإخبار بعدم الإيمان وليس على سبيل القهر والإلزام أو على سبيل الخلق المحتوم .

وبعبارة أخرى ،  فإن الله جلت قدرته عالم علما أزليا بما هو كائن وما سيكون في الكون أو الطبيعة أو الإنسان ،  فإن ذلك كله مشمول بعلم الله ،  وهو علم أزلي غامر يحيط بالوجود جميعا من غير أن يند عنه شيء ،  فهو سبحانه عالم بأفعال الإنسان سواء ما كان منها خيرا أو ما كان شرا ،  فإنها تقع بإرادة الإنسان وهو في ذلك مخول قدرا من حرية الاختيار .

وخلاصة القول في هذه المسألة :  أن الختم الواقع على قلوب الكافرين وأسماعهم والواردة في هذه الآية قد جاء على سبيل الإخبار من الله أن هذا الصنف من البشر لن يختار طريق الهداية والإيمان ،  والله سبحانه وتعالى أعلم .

أما القلوب فمفردها القلب ،  وقد سمي بذلك لأنه ينقلب من حال إلى أخرى ،  فهو بذلك قلب أي سريع التقلب من حيث استيعابه لمزيد من الإيمان واليقين أو سرعة افتقاده لشحنة من زاد الإيمان والتقوى ،  وشأن القلب وفي مثل هذه المسألة أنك تراه اهتدى واستقام أو استكثر زادا قد تقلب فانتقل عن صراط الحق والإيمان فيما يؤول إلى تدهور خطير سريع يؤثر في السلوك والأعمال لتكون فاسدة ،  ويؤيد هذا المعنى حديث' الرسول صلى الله عليه وسلم ،  إذ يقول :  « مثل القلب مثل ريشة تقلبها الرياح بفلاة  »  ولقد كان النبي صلى الله عليه وسلم يدعو ربه ليثبت فؤاده على الإيمان قائلا :   ""  اللهم يا مثبت القلوب ثبت قلوبنا على طاعتك  ""  .

ويقول الشاعر :

ما شمي القلب إلا من تقلبه *** فاحذر على القلب من قلب وتحويل

أما عن القلب من حيث كيفيته وحقيقته والمقصود به ،  إن كان هو الموجود في صدر الإنسان على هيئة حبة الكمثرى فيكون بذلك جزءا من البدن ماديا ،  أو غير ذلك مما هو اعتباري الكينونة وعلى نحو غير مادي ولا محس .  .  .

ولعل الفهم السليم لهذه المسألة أن نتصور المقصود من القلب على شاكلته المرئية في الصدر وأن هذه الشاكلة لهي ذات علاقة أساسية وجوهرية بطبيعة التكوين النفسي والروحي للإنسان ،  إلا أن طبيعة هذه العلاقة أو كيفيتها غير معروفة للإنسان تماما ،  وكل الذي يمكن الوقوف عليه أن قلب الإنسان لهو جماع الخير أو الشر فيه ( الإنسان ) وأنه جهاز تكويني بالغ التأثير والفعالية في سلوك الإنسان وتصرفاته القولية والفعلية جميعا ،  وأنه لا يمكن إسقاط القيمة للصورة المادية للقلب وهو على هيئته من قطعة اللحم ،  وأن طبيعة العلاقة بين هذه القطعة المحسة والحوافز المعنوية والروحية غير مدركة إدراكا مستبينا .

أمام عن وجود القلب في الإنسان وفي الصدر على وجه الخصوص فقد قال الله في القرآن عن ذلك :  ( فإنها لا تعمى الأبصار ولكن تعمى القلوب التي في الصدور (  .

وقال النبي الكريم صلى الله عليه وسلم :   "" إن في الجسد مضغة إذا صلحت صلح الجسد كله ،  وإذا فسدت فسد الجسد كله ألا وهي القلب ""  .

وقوله :  ( وعلى سمعهم (  أي أن الختم طبع على أسماع هؤلاء الكافرين الذين لا يعون قولا كريما ولا يملكون أن يسمعوا نصحا .

أما إفراده للسمع مع أنه جمع القلوب فسبب ذلك أن السمع في الآية قد ورد على صيغة المصدر من الفعل  "" سمع ""  فكأنه يقول :  إن الختم قد وقع على سماع هؤلاء الكافرين ،  وليس المقصود هنا أداة الاستماع وهي الأذن ،  وقيل غير ذلك .

قوله :  ( وعلى أبصارهم غشاوة (  الواو للاستئناف ،  فالجملة هنا مستأنفة بحيث لا ترتبط من حيث الختم مع ما قبلها من القلوب والأسماع ،  وبذلك فإن الوقوف على قوله ( سمعهم (  مطلوب ،  ومن المستبعد المرجوح أن تكون الواو هنا عاطفة على ما قبلها فيكون الختم واقعا على الأبصار مع الأسماع والقلوب ،  ومعلوم أن الختم إنما يقع على القلوب والأسماع ولا يصلح أن يقع على الأبصار التي لا يناسبها غير الغشاوة وهو الغطاء ،  يؤيد ذلك قوله سبحانه :  ( وختم على سمعه وقلبه وجعل على بصره غشاوة (  وبذلك فإن البصر تقع عليه الغشاوة ليستقيم المعنى ،  وغير ذلك لا يتفق والمعنى أو السياق .

ومما يلاحظ لدى تدبر الآية أن المذكورات الثلاثة ،  وهي :  القلوب والسمع والأبصار قد وردت مرتبة بحسب الحظ من الأهمية ،  فأشد هذه المذكورات أهمية هو القلب ثم السمع وأخيرا يأتي البصر ،  ولا غرابة أن يرد ذكر القلوب في الطليعة من الاهتمام والأهمية ،  لأن القلب لهو مناط التأثير والفعالية ،  ومبعث التنشيط والعزم ،  وموئل التوجه والسلوك في الإنسان سواء كان ذلك صوب الخير أو الشر .

أمام السمع فلا جرم أن يكون أشد أهمية وتأثيرا في الإنسان من البصر ،  وذلك من حيث العواقب والسلبيات التي تترتب على افتقاد كل من الطرفين ،  والحقيقة التي لا شك فيها أن افتقاد الإنسان للسمع سوف يكون سببا لحرمان كبير يحيق بشخصه وذلك من الناحية العقلية والنفسية والروحية ،  وغير ذلك من النواحي التي تنشىء الشخصية المنسجمة المتسقة للإنسان .

فإن الملاحظ أن السمع في الإنسان لهو سبب لخصائل عظيمة شتى منها سماع العلم بضروبه المتعددة ،  والاستماع بتدبير للنصيحة النافعة التي يكتسب المرء عن طريقهما ظواهر في الاعتدال والاستقامة أو في الارتداع عن كل مظاهر الإثم والضرر .

ويأتي في طليعة المعطيات الخيرة لخاصية السمع للإنسان أنه يستطيع بوساطتها الاستماع الى القرآن الكريم ،  وذلك أمر هائل وبالغ الجلال ،  لما ينطوي عليه من كبير المعاني والمؤثرات التي تلج الكينونة البشرية وهي تتعامل مع كلمات الله في قرآنه الرائع المعجز .

أمام البصر فإن انعدامه لا يفقد شيئا من هاتيك المعطيات التي لا تتحصل إلا بالجهاز السمعي ،  فالأعمى الذي يكون عاقلا يستطيع أن يستفيد بنفس القدر الذي يفيده المبصر ،  فهو الأعمى يستمع باهتمام ورهافة لكل ضروب الخير القولية والفعلية التي تطرح أمامه وهو يستمع إليها استماعا .

وقوله :  ( ولهم عذاب عظيم (  العذاب من الفعل عذب أي منع وحبس ،  واستعذب بمعنى امتنع عن فعل الشيء أو انصرف عنه ،  ونقول :  أعذبه عن الأمر أي منعه منه أو حبسه عنه ،  وبذلك فالعذاب معناه في اللغة :  ما شق على الإنسان ومنعه من تحصيل ما يريد ،  وبناء على هذا فإن العذاب الوارد في الآية معناه أن الإنسان العاصي يحبس عنه الخير ليحل عليه بدلا منه ما يضاده من ألوان الشر والضر والبلاء ،  وذلك ما أعده الله لأولئك الكفرة المتمردين الذين طبع الله على قلوبهم وسمعهم وجعل على أبصارهم غشاوة ."
2,8,"قوله تعالى :  ( ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين يخادعون الله والذين ءامنوا وما يخادعون إلا أنفسهم وما يشعرون في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون (  تفرغ كلمات الله الآن للحديث عن المنافقين بعد أن فرغت من الحديث عن المؤمنين ثم الكافرين في آيات قلائل ،  لكن دور الكلام عن المنافقين يستنفذ قدرا أكبر من البيان والكشف والتوضيح بما يقتضي قدرا أكبر من الكلمات القرآنية المؤثرة الرائعة ،  قال مجاهد رحمه الله في هذا الصدد :  نزلت أربع آيات من سورة البقرة في المؤمنين واثنتان في نعت الكافرين وثلاث عشرة في المنافقين وبذلك فإن هذه الآيات وما بعدها تعرض لصنف ثالث من البشر المضطرب الذي فسدت فيه القلوب والفطر فباءت تستمرىء الغش والباطل ،  وتفارق كل مظاهر الخداع والتدسس ،  هذا الصنف من البشر الآسن ينفر من الصدق وسلامة المسعى في صراحة مكشوفة ،  ويأبى إلا التعامل المريب وهو يتلصص في الظلام أو ساعة غفلة الناس .

هؤلاء هم المنافقون الذين يظهرون غير ما يبطنون والذين تندد بهم هذه الآيات تنديدا يكشف عن مكنون قلوبهم المريضة الجائفة ،  فيقول سبحانه :  ( ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين (  الناس في اللغة أصلها أناس مخفف وقد ورد في معناها جملة أقوال أقتضب منها ثلاثة ،  أولها أنها من النوس ومعناه التذبذب والحركة ،  والناس شأنهم أن يدأبوا على التحرك والتذبذب في فعالية لا تنقطع .

ثانيهما :  أن الناس من النسيان ،  وأصل ذلك الفعل نسي ،  ومعلوم أن الإنسان مبني على النسيان حتى إن أحدا منن البشر لا يتجرد عن هذه الحقيقة الأصيلة ،  وهي حقيقة لصيقة بطبع الإنسان فلا تبرحه ،  وأول الخلق كافة آدم عليه السلام كان قد نسي وقال الله سبحانه فيه :  ( ولقد عهدنا إلى آدم من قبل فنسي ولم نجد له عزما (  .

ثالثهما :  أن الإنسان من الأنس أو الإيناس فإن الإنسان كائن مستأنس بمن حوله من أفراد أو جماعات بشرية وفي ذلك يقول الشاعر :

وما سمي الإنسان إلا لأنسه *** ولا القلب إلا أنه ينقلب

هذه الآية جاءت لتكشف عن طبيعة المنافقين الذين يكتمون في دخائلهم الكفر ثم يتظاهرون في محاكاة مصطنعة أنهم مؤمنون ،  وذلك حكم قرآني حاسم وهو أن هذا الصنف من الناس كفرة وأنهم جاحدون كاذبون ،  فهم يكذبون على الله ويكذبون على المؤمنين ،  إذ يتظاهرون في تقول متكلف مكذوب أنهم يؤمنون بالله وباليوم الآخر ،  والله سبحانه يشهد أنهم كذابون وأنهم لم يلجوا حومة الإيمان وما بارحوا دائرة الكفر ،  يتضح ذلك من قوله جل وعلا :  ( وما هم بمؤمنين(  ."
2,9,"قوله :  ( يخادعون الله والذين ءامنوا وما يخدعون إلا أنفسهم وما يشعرون (   ( يخادعون الله (  جملة فعلية مستأنفة ،  ويحتمل أن يكون بدلا من الجملة الواقعة صلة لمن ،  وهي ( بقول (   الخداع معناه الختل والرغبة في إلحاق الأذى والمكروه بالآخرين عن عمد ،  ومنه الخديعة والمخادعة أي المخاتلة ،  وذلك بيان لحال المنافقين الذين  ( يخادعون الله والذين ءامنوا(  أما مخادعتهم لله :  فهي بناء على تصورهم الفاسد وظنهم الموهوم ،  ذلك أنهم يتصورون في حماقة وعمه أنهم يستطيعون تمرير خداعهم وتحيلهم على الله سبحانه ،  وكذلك فإن المنافقين يعملون في خبث ومخادعة على التظاهر أمام المؤمنين بالمظهر الحسن فيصطنعون فعل الخيرات اصطناعا دون أن يحفزهم إلى ذلك نية راغبة أو قصد عازم ،  وذلك هو الرياء الذي يبطل العمل ويمحق الأجر والثواب .

وقوله :  ( وما يخادعون إلا أنفسهم  ذلك يعني أن عاقبة الخداع لا تحيق إلا بالمخادعين أنفسهم(  ،  وتلك حقيقة مختومة لا يدركها هؤلاء السفهاء المفسدون الذين لا تستوعب قلوبهم وأذهانهم جلال الألوهية والذين يتراءى لهم أنهم يخدعون الله مع أنه سبحانه لا يتطاول إليه سلطان بشر ولا خداع مخاتل أو دجال ."
2,10,"قوله :  ( في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليهم بما كانوا يكذبون (  تكشف هذه الآية عن طبيعة ملتوية للمنافقين الذين يخالط قلوبهم المرض ،  وقد ورد في تفسير المرض عدة أقوال منها :  أنه يعني الشك ،  وقيل :  النفاق والرياء ،  وقيل غير ذلك ،  وفي تقديرنا أن المقصود بالمرض هنا لا يمكن تحديده بأحد هذه الضروب المعنية وهي الشك أو النفاق أو الرياء أو الجحد والتكذيب كما قيل .

مع أن هذه الظواهر جميعها لا تخرج عن دائرة المرض في مفهومه الشامل ،  أو أنها أعراض فاسدة قبيحة يتمخض عنها المرض نفسه ،  لكننا نتصور أن المرض الذي يخالط القلوب فيسميها الإفساد والتخريب لتنشأ عن ذلك ظواهر الشك أو النفاق أو غيره ،  إنما هو الذي يأتي على الفطرة البشرية لتكون مشلولة فاسدة لا تزجي غير الشر والضلال ،  أو هو الذي يأتي على النفس فتكون ملتوية غير سوية وقد أفسدها التعقيد والانحراف .

ويمكن إيجاز ذلك في عبارة سريعة لتفسير المرض فنقول :  إنه الانحراف الذي يغشى طبيعة الإنسان ،  فتكون ضالة عن صراط الحق السوي ،  أو تكون منحرفة انحرافا مشينا يتجه بالإنسان صوب الشر والفساد ،  أو صوب الضلال والميل عن منهج الله .

وقوله :  (  فزادهم الله مرضا(  قيل :  إن هذه العبارة الكريمة تحتمل أحد معنيين :  أحدهما :  الإخبار وهو أن الله سبحانه يزيد هؤلاء المنافقين مرضا على مرضهم ،  ثانيهما :  الدعاء على المنافقين كي يزيدهم الله مرضا فوق مرضهم ،  غير أننا نرجح القول الأول ،  ويمكن أن نتصور كيفية ذلك وهو أن هؤلاء المنافقين سادرون في الغي والضلال ،  فلا تمر الأيام إلا وهم يزدادون رجسا على رجس ،  بحيث تتعاظم مفاسدهم وخطاياهم بفعل الفطرة الفاسدة الملتوية التي تسول لهم الخطيئة والحرام .

قوله :  (  ولهم عذاب أليم بما كانوا يكذبون (  الضمير عائد على المنافقين الذي أعد الله لهم العذاب الأليم ،  وهو على صيغة مبالغة من الفعل  "" ألم ""  والأليم هو المؤلم الموجع ،  وسبب ذلك أنهم كاذبون فقد كذبوا على الله وكذبوا على المؤمنين إذ قالوا لهم :  إننا مؤمنون ،  وفي قراءة أخرى بالتشديد يكذبون أي يجحدون نبوة الرسول عليه الصلاة والسلام ويكذبونه فيما جاء به من كتاب ."
