surah_number,ayah_number,tafsir_text
71,1,"سورة نوح

قوله تعالى {  إنا أرسلنا نوحا إلى قومه أن أنذر قومك من قبل أن يأتيهم عذاب أليم قال يا قوم إني لكم نذير مبين } .

انظر سورة الأعراف آية ( 59- 60 ) ."
71,2,/ت1
71,3,"قوله تعالى {  أن اعبدوا الله واتقوه وأطيعون يغفر لكم من ذنوبكم ويؤخركم إلى أجل مسمى إن أجل الله إذا جاء لا يؤخر لو كنتم تعلمون }

أخرج الطبري بسنده الحسن عن قتادة ،  قوله {  أن اعبدوا الله واتقوه وأطيعون } قال :  أرسل الله المرسلين بأن يعبد الله وحده ،  وأن تتقي محارمه ،  وأن يطاع أمره ."
71,4,أخرج الطبري بسنده الصحيح عن مجاهد ،  في قول الله {  إلى أجل مسمى } قال :  ما قد خط من الأجل ،  فإذا جاء أجل الله لا يؤخر .
71,8,"قوله تعالى {  ثم إني دعوتهم جهارا ثم إني أعلنت لهم وأسررْت لهم إسرارا }

أخرج الطبري بسنده الصحيح عن مجاهد ،  قوله {  أعلنت لهم } قال :  صحت .

أخرج الطبري بسنده الصحيح عن مجاهد ،  قوله {  وأسررت لهم إسرارا } .  قال :  فيما بيني وبينهم .

أخرج الطبري بسنده الحسن عن قتادة ،  قوله {  ثم إني دعوتهم جهارا } .  .  .  إلى قوله {  ويجعل لكم أنهارا } قال :  رأى نوح قوما تجزعت أعناقهم حرصا على الدنيا ،  فقال :  هلموا إلى طاعة الله ،  فإن فيها درك الدنيا والآخرة ."
71,9,/ت8
71,13,"قوله تعالى {  ما لكم لا ترجون لله وقارا وقد خلقكم أطوارا } .

أخرج الطبري بسنده الحسن عن علي بن أبي طلحة عن ابن عباس {  ما لكم لا ترجون لله وقارا } يقول :  عظمة ."
71,14,أخرج الطبري بسنده الحسن عن قتادة {  وقد خلقكم أطوارا } طورا نطفة ،  وطورا علقة ،  وطورا عظاما ،  ثم كسا العظام لحما ،  ثم أنشأه خلقا آخر ،  أنبت به الشعر ،  فتبارك الله أحسن الخالقين .
71,15,"قوله تعالى {  ألم تروا كيف خلق الله سبع سموات طباقا }

انظر سورة تبارك آية 3 وبداية سورة الإسراء في حديث العروج ."
71,16,"قوله تعالى {  وجعل القمر فيهن نورا وجعل الشمس سراجا } .

قال ابن كثير :  أي فاوت بينهم في الاستنارة فجعل كل منهما أنموذجا على حده ليعرف الليل والنهار بمطلع الشمس ومغيبها ،  وقدر القمر منازل وبروجا ،  وفاوت نوره ،  فتارة يزداد حتى يتناهى ثم يشرع في النقص حتى يستتر ،  ليدل على مضي الشهور والأعوام كما قال {  هو الذي جعل الشمس ضياء والقمر نورا وقدره منازل لتعلموا عدد السنين والحساب ما خلق الله ذلك إلا بالحق يفصل الآيات لقوم يعلمون } ."
71,17,قوله تعالى {  والله أنبتكم من الأرض نباتا ثم يعيدكم فيها ويخرجكم إخراجا } انظر سورة طه آية ( 55 ) وسورة الروم آية ( 20 )
71,18,/ت17
71,19,"قوله تعالى {  والله جعل لكم الأرض بساطا لتسلكوا منها سبلا فجاجا }

انظر سورة البقرة ( 22 )"
71,20,"أخرج الطبري بسنده الحسن عن قتادة {  لتسلكوا منها سبلا فجاجا } قال :  طرقا وأعلاما .

أخرج الطبري بسنده الحسن عن علي بن أبي طلحة عن ابن عباس ،  قوله :  {  لتسلكوا منها سبلا فجاجا } يقول :  طرقا مختلفة ."
71,21,قوله تعالى {  قال نوح ربّ إنهم عصوني واتّبعوا من لم يزده ماله وولده إلا خسارا ومكروا مكرا كبّارا وقالوا لا تذرُنّ آلهتكم ولا تذرنّ ودّا ولا سواعا ولا يغوث ويعوق ونسْرا وقد أضلّوا كثيرا ولا تزد الظالمين إلا ضلالا } .
71,22,"أخرج الطبري بسنده الصحيح عن مجاهد ،  قوله {  كبارا } قال :  عظيما .

قال البخاري :  حدثنا إبراهيم بن موسى :  أخبرنا هشام ،  عن ابن جريج ،  وقال عطاء ،  عن ابن عباس رضي الله عنهما :  صارت الأوثان التي كانت في قوم نوح في العرب بعد ،  أما ودٌّ فكانت لكلب بدوْمة الجندل ،  وأما سواع فكانت لهذيل ،  وأما يغوث فكانت لمراد ،  ثم لبني غُطيف بالجرف عند سبأ .  وأما يعوق فكانت لهمدان .  وأما نسرٌ فكانت لحمير ،  لآل ذي الكلاع .  أسماء رجال صالحين من قوم نوح .  فلمّا هلكوا أوحى الشيطان إلى قومهم أن انصبوا إلى مجالسهم التي كانوا يجلسون أنصابا وسمّوها بأسمائهم ففعلوا ،  فلم تعبد ،  حتى إذا هلك أولئك وتنسّخ العلم عُبدت .

( صحيح البخاري 8/ 535 ك التفسير- سورة نوح ،  ب ( الآية )- ح 4920 ) ."
71,23,أخرج الطبري بسنده الحسن عن علي بن أبي طلحة عن ابن عباس ،  قوله :  {  ولا تذرن ودا ولا سواعا ولا يغوث ويعوق ونسرا } قال :  هذه أصنام كانت تعبد في زمان نوح .
71,24,قال ابن كثير :  وقوله {  وقد أضلوا كثيرا } يعني :  الأصنام التي اتخذوها أضلوا بها خلقا كثيرا ،  فإنه استمرت عبادتها في القرون إلى زماننا هذا في العرب والعجم وسائر صنوف بني آدم وقد قال الخليل عليه السلام في دعائه {  واجنبني وبني أن نعبد الأصنام رب إنهم أضللن كثيرا من الناس } .  وقوله {  ولا تزد الظالمين إلا ضلالا } دعاء منه على قومه لتمردهم وكفرهم وعنادهم ،  كما دعا موسى على فرعون وملئه في قوله {  ربنا اطمس على أموالهم واشدد على قلوبهم فلا يؤمنوا حتى يروا العذاب الأليم } وقد استجاب الله لكل من النبيين في قومه ،  وأغرق أمته بتكذيبهم لما جاءهم به .
71,25,"قوله تعالى {  مما خطيئاتهم أغرقوا فأدخلوا نارا فلم يجدوا لهم من دون الله أنصارا } .

قال ابن كثير :  يقول تعالى {  مما خطاياهم } وقرئ {  خطيئاتهم } {  أغرقوا } أي :  من كثرة ذنوبهم وعتوهم وإصرارهم على كفرهم ومخالفتهم رسولهم {  أغرقوا فأدخلوا نارا } أي :  نقلوا من تيار البحار إلى حرارة النار {  فلم يجدوا لهم من دون الله أنصارا } أي :  لم يكن لهم معين ولا مغيث ولا مجير ينقذهم من عذاب الله ،  كقوله {  قال لا عاصم اليوم من أمر الله إلا من رحم } ."
