surah_number,ayah_number,tafsir_text
40,1,"{ حـمۤ }؛ قَالَ رَسُولُ اللهِ صلى الله عليه وسلم: "" حم، اسْمٌ مِنْ أسْمَاءِ اللهِ تَعَالَى، وَهِيَ مِفْتَاحُ خَزَائِنِ رَبكَ "" ، وقال ابن عباس: [هُوَ اسْمُ اللهِ الأَعْظَمُ]. وعن عكرمةَ قال: (ألر و حم و ن حُرُوفُ الرَّحْمَنِ مُقَطَّعَةٌ)، وَقِيْلَ: (أقسمَ اللهُ بحَمَلَةِ "" عرشهِ "" وَمَلاَئِكَتِهِ لاَ يعذِّبُ أحَداً عَادَ إلَيْهِ يقُوْلُ: لاَ إلَهَ إلاَّ اللهُ مُخْلِصاً مِنْ قَلْبهِ)، وقال عطاء الخراسانِيُّ: (الْحَاءُ: افْتِتَاحُ أسْمَاءِ اللهِ: حَلِيمٌ وَحَمِيدٌ وَحَيٌّ وَحَكِيمٌ، وَالْمِيمُ: افْتِتَاحُ أسْمَائِهِ: مَلِكٌ وَمَجِيدٌ وَمَنَّانٌ)، وقال الضحَّاك: (حم قَضَى مَا هُوَ كَائِنٌ)."
40,2,قَوْلُهُ تَعَالَى: { تَنزِيلُ ٱلْكِتَابِ مِنَ ٱللَّهِ ٱلْعَزِيزِ ٱلْعَلِيمِ }؛ أي هذه تنْزِيلُ الكتاب من الله العزيزِ العليم بخَلقهِ، وقرأ حم بفتح الميمِ؛ أي أُتْلُ حَمِيمُ. قَوْلُهُ تَعَالَى: { غَافِرِ ٱلذَّنبِ وَقَابِلِ ٱلتَّوْبِ شَدِيدِ ٱلْعِقَابِ }؛ أي غافرِ الذنب لِمَن قالَ لاَ إلَهَ إلاَّ اللهُ، وهم أولياؤهُ وأهلُ طاعتهِ، وقابلِ التَّوب من الشِّركِ، شديدِ العقاب لِمَن ماتَ على الشِّركِ.  والتَّوْبُ: جمعُ التَّوبَةِ، ويجوزُ أن يكون مَصدراً مِن تَابَ يَتُوبُ تَوباً، قَوْلُهُ تَعَالَى: { ذِي ٱلطَّوْلِ }؛ أي ذِي الغِنَى عمَّن لا يُوحِّدهُ ولا يقولُ: لاَ إلهَ إلاَّ اللهُ. وقال الكلبيُّ: (ذُو الْفَضْلِ عَلَى عِبَادِهِ وَالْمَانِّ عَلَيْهِمْ)، وقال مجاهدُ: (ذُو السَّعَةِ وَالْغِنَى).  قَوْلُهُ تَعَالَى: { لاَ إِلَـٰهَ إِلاَّ هُوَ }؛ أي لا معبودَ للخلقِ سواهُ، { إِلَيْهِ ٱلْمَصِيرُ }؛ أي مصيرُ مَن آمَنَ، ومصيرُ مَن لم يؤمِنْ، وعن الحسنِ رضي الله عنه: (أنَّ عُمَرَ بْنَ الْخَطَّاب رضي الله عنه سَأَلَ عَنْ بَعْضِ إخْوَانِهِ الَّذِينَ كَانُوا بالشَّامِ، فَقَالَ: مَا فَعَلَ أخِي فُلاَنٌ؟ وَقَالُوا: ذاكَ أخُو الشَّيْطَانِ يُخَالِطُ أهْلَ الأَشْرَفِيَّةِ وخَالَفَ أصْحَابَهُ. فَقَالَ: إذا خَرَجْتُمْ إلَى الشَّامِ فَآذِنُونِي. فَلَمَّا أرَادُوا الْخُرُوجَ أعْلَمُوهُ، فَكَتَب:  مِنْ عَبْدِاللهِ عُمَرَ بْنِ الْخَطَّاب أمِيرِ الْمُؤْمِنِينَ إلَى فُلاَنِ بْنِ فُلاَنٍ. بِسْمِ اللهِ الرَّحْمَنِ الرَّحِيمِ. سَلاَمٌ عَلَيْكَ؛ فَإنِّي أحْمَدُ إلَيْكَ اللهَ الَّذِي لاَ إلَهَ إلاَّ هُوَ.  أمَّا بَعْدُ: فَإنَّ اللهَ تَعَالَى قَالَ: { حـمۤ * تَنزِيلُ ٱلْكِتَابِ مِنَ ٱللَّهِ ٱلْعَزِيزِ ٱلْعَلِيمِ * غَافِرِ ٱلذَّنبِ وَقَابِلِ ٱلتَّوْبِ شَدِيدِ ٱلْعِقَابِ... } إلَى قَوْلِهِ { إِلَيْهِ ٱلْمَصِيرُ }. وَالسَّلاَمُ عَلَيْكَ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ.  فَلَمَّا جَاءَهُ الْكِِتَابُ قَالُواْ لَهُ: اقْرَأ كِتَابَكَ أيُّهَا الرَّجُلُ، فَلَمَّا قَرَأ { ٱلْعَزِيزِ ٱلْعَلِيمِ } قَالَ: عَلِيمٌ بمَا أصْنَعُ، { غَافِرِ ٱلذَّنبِ } إن اسْتَغْفَرْتُ غَفَرَ لِي، و { وَقَابِلِ ٱلتَّوْبِ } إنْ أنَا تُبْتُ لِيَقْبَلَ تَوْبَتِي، { شَدِيدِ ٱلْعِقَابِ } إنْ لَمْ أفْعَلْ عَاقَبَنِي { ذِي ٱلطَّوْلِ لاَ إِلَـٰهَ إِلاَّ هُوَ إِلَيْهِ ٱلْمَصِيرُ }. ثُمَّ قَالَ: صَدَقَ اللهُ وَنَصَحَ عُمَرُ رضي الله عنه، فَأَقْبَلَ بطَرِيقَةٍ حَسَنَةٍ إلَى أنْ مَاتَ.  فَلَمَّا بَلَغَ عُمَرَ أمْرُهُ، قَالَ: هَكَذا فَاصْنَعُوا؛ إذا رَأيْتُمْ أخَاكُمْ نَزَلَ فَشَدِّدُوهُ وَوَفِّقُوهُ، وَادْعُوا اللهَ لَهُ أنْ يَتُوبَ عَلَيْهِ، وَلاَ تَكُونُوا أعْوَاناً لِلشَّيْطَانِ عَلَيْهِ).
40,3,قَوْلُهُ تَعَالَى: { تَنزِيلُ ٱلْكِتَابِ مِنَ ٱللَّهِ ٱلْعَزِيزِ ٱلْعَلِيمِ }؛ أي هذه تنْزِيلُ الكتاب من الله العزيزِ العليم بخَلقهِ، وقرأ حم بفتح الميمِ؛ أي أُتْلُ حَمِيمُ. قَوْلُهُ تَعَالَى: { غَافِرِ ٱلذَّنبِ وَقَابِلِ ٱلتَّوْبِ شَدِيدِ ٱلْعِقَابِ }؛ أي غافرِ الذنب لِمَن قالَ لاَ إلَهَ إلاَّ اللهُ، وهم أولياؤهُ وأهلُ طاعتهِ، وقابلِ التَّوب من الشِّركِ، شديدِ العقاب لِمَن ماتَ على الشِّركِ.  والتَّوْبُ: جمعُ التَّوبَةِ، ويجوزُ أن يكون مَصدراً مِن تَابَ يَتُوبُ تَوباً، قَوْلُهُ تَعَالَى: { ذِي ٱلطَّوْلِ }؛ أي ذِي الغِنَى عمَّن لا يُوحِّدهُ ولا يقولُ: لاَ إلهَ إلاَّ اللهُ. وقال الكلبيُّ: (ذُو الْفَضْلِ عَلَى عِبَادِهِ وَالْمَانِّ عَلَيْهِمْ)، وقال مجاهدُ: (ذُو السَّعَةِ وَالْغِنَى).  قَوْلُهُ تَعَالَى: { لاَ إِلَـٰهَ إِلاَّ هُوَ }؛ أي لا معبودَ للخلقِ سواهُ، { إِلَيْهِ ٱلْمَصِيرُ }؛ أي مصيرُ مَن آمَنَ، ومصيرُ مَن لم يؤمِنْ، وعن الحسنِ رضي الله عنه: (أنَّ عُمَرَ بْنَ الْخَطَّاب رضي الله عنه سَأَلَ عَنْ بَعْضِ إخْوَانِهِ الَّذِينَ كَانُوا بالشَّامِ، فَقَالَ: مَا فَعَلَ أخِي فُلاَنٌ؟ وَقَالُوا: ذاكَ أخُو الشَّيْطَانِ يُخَالِطُ أهْلَ الأَشْرَفِيَّةِ وخَالَفَ أصْحَابَهُ. فَقَالَ: إذا خَرَجْتُمْ إلَى الشَّامِ فَآذِنُونِي. فَلَمَّا أرَادُوا الْخُرُوجَ أعْلَمُوهُ، فَكَتَب:  مِنْ عَبْدِاللهِ عُمَرَ بْنِ الْخَطَّاب أمِيرِ الْمُؤْمِنِينَ إلَى فُلاَنِ بْنِ فُلاَنٍ. بِسْمِ اللهِ الرَّحْمَنِ الرَّحِيمِ. سَلاَمٌ عَلَيْكَ؛ فَإنِّي أحْمَدُ إلَيْكَ اللهَ الَّذِي لاَ إلَهَ إلاَّ هُوَ.  أمَّا بَعْدُ: فَإنَّ اللهَ تَعَالَى قَالَ: { حـمۤ * تَنزِيلُ ٱلْكِتَابِ مِنَ ٱللَّهِ ٱلْعَزِيزِ ٱلْعَلِيمِ * غَافِرِ ٱلذَّنبِ وَقَابِلِ ٱلتَّوْبِ شَدِيدِ ٱلْعِقَابِ... } إلَى قَوْلِهِ { إِلَيْهِ ٱلْمَصِيرُ }. وَالسَّلاَمُ عَلَيْكَ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ.  فَلَمَّا جَاءَهُ الْكِِتَابُ قَالُواْ لَهُ: اقْرَأ كِتَابَكَ أيُّهَا الرَّجُلُ، فَلَمَّا قَرَأ { ٱلْعَزِيزِ ٱلْعَلِيمِ } قَالَ: عَلِيمٌ بمَا أصْنَعُ، { غَافِرِ ٱلذَّنبِ } إن اسْتَغْفَرْتُ غَفَرَ لِي، و { وَقَابِلِ ٱلتَّوْبِ } إنْ أنَا تُبْتُ لِيَقْبَلَ تَوْبَتِي، { شَدِيدِ ٱلْعِقَابِ } إنْ لَمْ أفْعَلْ عَاقَبَنِي { ذِي ٱلطَّوْلِ لاَ إِلَـٰهَ إِلاَّ هُوَ إِلَيْهِ ٱلْمَصِيرُ }. ثُمَّ قَالَ: صَدَقَ اللهُ وَنَصَحَ عُمَرُ رضي الله عنه، فَأَقْبَلَ بطَرِيقَةٍ حَسَنَةٍ إلَى أنْ مَاتَ.  فَلَمَّا بَلَغَ عُمَرَ أمْرُهُ، قَالَ: هَكَذا فَاصْنَعُوا؛ إذا رَأيْتُمْ أخَاكُمْ نَزَلَ فَشَدِّدُوهُ وَوَفِّقُوهُ، وَادْعُوا اللهَ لَهُ أنْ يَتُوبَ عَلَيْهِ، وَلاَ تَكُونُوا أعْوَاناً لِلشَّيْطَانِ عَلَيْهِ).
40,4,قَوْلُهُ تَعَالَى: { مَا يُجَادِلُ فِيۤ آيَاتِ ٱللَّهِ إِلاَّ ٱلَّذِينَ كَفَرُواْ }؛ أي ما يُخاصِمُ في آياتِ الله لتكذيبها والطَّعنِ فيها والمراءِ عليها إلاَّ الذين كفَروا، { فَلاَ يَغْرُرْكَ تَقَلُّبُهُمْ فِي ٱلْبِلاَدِ }؛ بالتَّجارَاتِ وسلامِتهم في تصرُّفاتِهم بعدَ كُفرِهم، فإنَّ عاقبةَ أمرِهم العذابُ كعاقبةِ مَن قبلهم من الكفَّار. وَقِيْلَ: معناهُ: فلا يَغْرُرْكَ ذهابُهم ومجيئُهم في الأسفار بالتِّجارات، فإنَّهم لَيسُوا على شيءٍ.
40,5,قَوْلُهُ تَعَالَى: { كَـذَّبَتْ قَبْلَهُمْ }؛ أي قبلَ قَومِكَ، { قَوْمُ نُوحٍ }؛ وَقَوْلُهُ تَعَالَى: { وَٱلأَحْزَابُ مِن بَعْدِهِمْ }؛ وهم الذين تحزَّبُوا على أنبيائِهم بالتكذيب نحوُ عادٍ وثَمود؛ أي كذبُوا رُسلَهم كما كذبك قومُكَ، { وَهَمَّتْ كُـلُّ أُمَّةٍ بِرَسُولِهِمْ لِيَأْخُذُوهُ }؛ فيقتلوهُ، { وَجَادَلُوا بِٱلْبَاطِلِ لِيُدْحِضُواْ بِهِ ٱلْحَقَّ }؛ أي وخاصَمُوا الرُّسلَ بالباطلِ ليُبطِلُوا به الحقَّ الذي جاءَت به الرسلُ، { فَأَخَذْتُهُمْ } ، بعاقبةِ الاستئصالِ، { فَكَيْفَ كَانَ عِقَابِ }؛ لَهم.
40,6,قَوْلُهُ تَعَالَى: { وَكَذَلِكَ حَقَّتْ كَلِمَةُ رَبِّكَ عَلَى ٱلَّذِينَ كَفَرُوۤاْ }؛ أي مثلَ ما حقَّ على الأُمَمِ المكذِّبة حقَّت كلمةُ ربكَ بالعذاب على الذين كفَرُوا من قومِكَ، { أَنَّهُمْ أَصْحَابُ ٱلنَّارِ } ، في الآخرةِ.
40,7,"قَوْلُهُ تَعَالَى: { ٱلَّذِينَ يَحْمِلُونَ ٱلْعَرْشَ وَمَنْ حَوْلَهُ }؛ يعني حَمَلَةَ العرشِ والطائفِين به، وهم الكرُّوبيُّونَ وهم سادة الملائكة، { يُسَبِّحُونَ بِحَمْدِ رَبِّهِمْ وَيُؤْمِنُونَ بِهِ }؛ بأنه واحدٌ لا شريكَ له، { وَيَسْتَغْفِرُونَ لِلَّذِينَ آمَنُواْ } ، ويقولون: { رَبَّنَا وَسِعْتَ كُـلَّ شَيْءٍ رَّحْمَةً وَعِلْماً }؛ أي وسِعَتْ رحمتُكَ كلَّ شيءٍ، { فَٱغْفِرْ لِلَّذِينَ تَابُواْ }؛ عن الشِّركِ والمعصيةِ، { وَٱتَّبَعُواْ سَبِيلَكَ }؛ الطريقَ الذي دعوتَهم إليه، { وَقِهِمْ } ، وادفَعْ عنهم، { عَذَابَ ٱلْجَحِيمِ * رَبَّنَا وَأَدْخِلْهُمْ جَنَّاتِ عَدْنٍ }؛ أي ربَّنا وأدخِلهُم بساتينَ إقامةٍ، { ٱلَّتِي وَعَدْتَّهُمْ }؛ في الكتُب على ألسِنَةِ الرُّسلِ، وأدخِلْ معهم، { وَمَن صَـلَحَ مِنْ آبَآئِهِمْ وَأَزْوَاجِهِمْ وَذُرِّيَّاتِهِمْ }؛ ونسائِهم وأولادهم، { إِنَّكَ أَنتَ ٱلْعَزِيزُ }؛ في مُلكِكَ وسُلطانِكَ، { ٱلْحَكِيمُ }؛ في أمْرِكَ وقضائِكَ، { وَقِهِمُ ٱلسَّيِّئَاتِ }؛ وادفَعْ عنهم عقوبةَ السَّيئاتِ، { وَمَن تَقِ ٱلسَّيِّئَاتِ يَوْمَئِذٍ } ومَن يدفَعْ عنه عقوبةَ السيئاتِ، { فَقَدْ رَحِمْتَهُ وَذَلِكَ هُوَ ٱلْفَوْزُ ٱلْعَظِيمُ }؛ أي النجاةُ الوافرة.  وانتصبَ قولهُ { رَّحْمَةً وَعِلْماً } على التمييزِ، قال ابنُ عبَّاس: (حَمَلَةُ الْعَرْشِ مَا بَيْنَ كَعْب أحَدِهِمْ إلَى أسْفَلِ قَدَمِهِ مَسِيرَةُ خَمْسَمِائَةِ عَامٍ، وَمُسْتَقَرُّ أرْجُلِهِمْ فِي الأَرْضِ السَّابعَةِ السُّفْلَى، وَرُؤُوسُهُمْ تَحْتَ الْعَرْشِ، وَهُمْ خُشُوعٌ لاَ يَرْفَعُونَ أبْصَارَهُمْ، وَهُمْ أشَدُّ خَوْفاً مِنْ أهْلِ السَّمَاوَاتِ السَّبْعِ).  وعن الضحَّاك قال: (لَمَّا خَلَقَ اللهُ حَمَلَةَ الْعَرْشِ قَالَ لَهُمْ: احْمِلُوا عَرْشِي، وَلَمْ يُطِيقُوا! فَخَلَقَ مَعَ كُلِّ مَلَكٍ مِنَ الأَعْوَانِ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتٍ مِنَ الْمَلاَئِكَةِ، وَقَالَ لَهُمْ: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُوا! فَخَلَقَ مَعَ كُلِّ وَاحِدٍ مِنَ الأَعْوَانِ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتِ وَأرْضِينَ مِنَ الْمَلاَئِكَةِ، وَمِثْلَ مَنْ فِي الأَرْضِينَ مِنَ الْخَلْقِ، وَقَالَ لَهُم: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُواْ! فَخَلَقَ مَعَ كُلِّ وَاحِدٍ مِنْهُمْ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتٍ وَجُنُودِ سَبْعِ أرْضِينَ وَعَدَدَ مَا فِي الرَّمْلِ مِنَ الْحَصَى وَالثَّرَى وَقَالَ: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُوا! فَقَالَ: قُولُوا: لاَ حَوْلَ وَلاَ قُوَّةَ إلاَّ باللهِ، فَلَمَّا قَالُوهَا حَمَلُواْ الْعَرْشَ)، وقال صلى الله عليه وسلم: "" أُذِنَ لِي أنْ أتَحَدَّثَ عَنْ مَلَكٍ مِنْ حَمَلَةِ الْعَرْشِ مَا بَيْنَ شَحْمَتَي أُذُنِهِ إلَى عَاتِقِهِ مَسِيرَةُ سَبْعَمِائَةِ عَامٍ ""."
40,8,"قَوْلُهُ تَعَالَى: { ٱلَّذِينَ يَحْمِلُونَ ٱلْعَرْشَ وَمَنْ حَوْلَهُ }؛ يعني حَمَلَةَ العرشِ والطائفِين به، وهم الكرُّوبيُّونَ وهم سادة الملائكة، { يُسَبِّحُونَ بِحَمْدِ رَبِّهِمْ وَيُؤْمِنُونَ بِهِ }؛ بأنه واحدٌ لا شريكَ له، { وَيَسْتَغْفِرُونَ لِلَّذِينَ آمَنُواْ } ، ويقولون: { رَبَّنَا وَسِعْتَ كُـلَّ شَيْءٍ رَّحْمَةً وَعِلْماً }؛ أي وسِعَتْ رحمتُكَ كلَّ شيءٍ، { فَٱغْفِرْ لِلَّذِينَ تَابُواْ }؛ عن الشِّركِ والمعصيةِ، { وَٱتَّبَعُواْ سَبِيلَكَ }؛ الطريقَ الذي دعوتَهم إليه، { وَقِهِمْ } ، وادفَعْ عنهم، { عَذَابَ ٱلْجَحِيمِ * رَبَّنَا وَأَدْخِلْهُمْ جَنَّاتِ عَدْنٍ }؛ أي ربَّنا وأدخِلهُم بساتينَ إقامةٍ، { ٱلَّتِي وَعَدْتَّهُمْ }؛ في الكتُب على ألسِنَةِ الرُّسلِ، وأدخِلْ معهم، { وَمَن صَـلَحَ مِنْ آبَآئِهِمْ وَأَزْوَاجِهِمْ وَذُرِّيَّاتِهِمْ }؛ ونسائِهم وأولادهم، { إِنَّكَ أَنتَ ٱلْعَزِيزُ }؛ في مُلكِكَ وسُلطانِكَ، { ٱلْحَكِيمُ }؛ في أمْرِكَ وقضائِكَ، { وَقِهِمُ ٱلسَّيِّئَاتِ }؛ وادفَعْ عنهم عقوبةَ السَّيئاتِ، { وَمَن تَقِ ٱلسَّيِّئَاتِ يَوْمَئِذٍ } ومَن يدفَعْ عنه عقوبةَ السيئاتِ، { فَقَدْ رَحِمْتَهُ وَذَلِكَ هُوَ ٱلْفَوْزُ ٱلْعَظِيمُ }؛ أي النجاةُ الوافرة.  وانتصبَ قولهُ { رَّحْمَةً وَعِلْماً } على التمييزِ، قال ابنُ عبَّاس: (حَمَلَةُ الْعَرْشِ مَا بَيْنَ كَعْب أحَدِهِمْ إلَى أسْفَلِ قَدَمِهِ مَسِيرَةُ خَمْسَمِائَةِ عَامٍ، وَمُسْتَقَرُّ أرْجُلِهِمْ فِي الأَرْضِ السَّابعَةِ السُّفْلَى، وَرُؤُوسُهُمْ تَحْتَ الْعَرْشِ، وَهُمْ خُشُوعٌ لاَ يَرْفَعُونَ أبْصَارَهُمْ، وَهُمْ أشَدُّ خَوْفاً مِنْ أهْلِ السَّمَاوَاتِ السَّبْعِ).  وعن الضحَّاك قال: (لَمَّا خَلَقَ اللهُ حَمَلَةَ الْعَرْشِ قَالَ لَهُمْ: احْمِلُوا عَرْشِي، وَلَمْ يُطِيقُوا! فَخَلَقَ مَعَ كُلِّ مَلَكٍ مِنَ الأَعْوَانِ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتٍ مِنَ الْمَلاَئِكَةِ، وَقَالَ لَهُمْ: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُوا! فَخَلَقَ مَعَ كُلِّ وَاحِدٍ مِنَ الأَعْوَانِ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتِ وَأرْضِينَ مِنَ الْمَلاَئِكَةِ، وَمِثْلَ مَنْ فِي الأَرْضِينَ مِنَ الْخَلْقِ، وَقَالَ لَهُم: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُواْ! فَخَلَقَ مَعَ كُلِّ وَاحِدٍ مِنْهُمْ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتٍ وَجُنُودِ سَبْعِ أرْضِينَ وَعَدَدَ مَا فِي الرَّمْلِ مِنَ الْحَصَى وَالثَّرَى وَقَالَ: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُوا! فَقَالَ: قُولُوا: لاَ حَوْلَ وَلاَ قُوَّةَ إلاَّ باللهِ، فَلَمَّا قَالُوهَا حَمَلُواْ الْعَرْشَ)، وقال صلى الله عليه وسلم: "" أُذِنَ لِي أنْ أتَحَدَّثَ عَنْ مَلَكٍ مِنْ حَمَلَةِ الْعَرْشِ مَا بَيْنَ شَحْمَتَي أُذُنِهِ إلَى عَاتِقِهِ مَسِيرَةُ سَبْعَمِائَةِ عَامٍ ""."
40,9,"قَوْلُهُ تَعَالَى: { ٱلَّذِينَ يَحْمِلُونَ ٱلْعَرْشَ وَمَنْ حَوْلَهُ }؛ يعني حَمَلَةَ العرشِ والطائفِين به، وهم الكرُّوبيُّونَ وهم سادة الملائكة، { يُسَبِّحُونَ بِحَمْدِ رَبِّهِمْ وَيُؤْمِنُونَ بِهِ }؛ بأنه واحدٌ لا شريكَ له، { وَيَسْتَغْفِرُونَ لِلَّذِينَ آمَنُواْ } ، ويقولون: { رَبَّنَا وَسِعْتَ كُـلَّ شَيْءٍ رَّحْمَةً وَعِلْماً }؛ أي وسِعَتْ رحمتُكَ كلَّ شيءٍ، { فَٱغْفِرْ لِلَّذِينَ تَابُواْ }؛ عن الشِّركِ والمعصيةِ، { وَٱتَّبَعُواْ سَبِيلَكَ }؛ الطريقَ الذي دعوتَهم إليه، { وَقِهِمْ } ، وادفَعْ عنهم، { عَذَابَ ٱلْجَحِيمِ * رَبَّنَا وَأَدْخِلْهُمْ جَنَّاتِ عَدْنٍ }؛ أي ربَّنا وأدخِلهُم بساتينَ إقامةٍ، { ٱلَّتِي وَعَدْتَّهُمْ }؛ في الكتُب على ألسِنَةِ الرُّسلِ، وأدخِلْ معهم، { وَمَن صَـلَحَ مِنْ آبَآئِهِمْ وَأَزْوَاجِهِمْ وَذُرِّيَّاتِهِمْ }؛ ونسائِهم وأولادهم، { إِنَّكَ أَنتَ ٱلْعَزِيزُ }؛ في مُلكِكَ وسُلطانِكَ، { ٱلْحَكِيمُ }؛ في أمْرِكَ وقضائِكَ، { وَقِهِمُ ٱلسَّيِّئَاتِ }؛ وادفَعْ عنهم عقوبةَ السَّيئاتِ، { وَمَن تَقِ ٱلسَّيِّئَاتِ يَوْمَئِذٍ } ومَن يدفَعْ عنه عقوبةَ السيئاتِ، { فَقَدْ رَحِمْتَهُ وَذَلِكَ هُوَ ٱلْفَوْزُ ٱلْعَظِيمُ }؛ أي النجاةُ الوافرة.  وانتصبَ قولهُ { رَّحْمَةً وَعِلْماً } على التمييزِ، قال ابنُ عبَّاس: (حَمَلَةُ الْعَرْشِ مَا بَيْنَ كَعْب أحَدِهِمْ إلَى أسْفَلِ قَدَمِهِ مَسِيرَةُ خَمْسَمِائَةِ عَامٍ، وَمُسْتَقَرُّ أرْجُلِهِمْ فِي الأَرْضِ السَّابعَةِ السُّفْلَى، وَرُؤُوسُهُمْ تَحْتَ الْعَرْشِ، وَهُمْ خُشُوعٌ لاَ يَرْفَعُونَ أبْصَارَهُمْ، وَهُمْ أشَدُّ خَوْفاً مِنْ أهْلِ السَّمَاوَاتِ السَّبْعِ).  وعن الضحَّاك قال: (لَمَّا خَلَقَ اللهُ حَمَلَةَ الْعَرْشِ قَالَ لَهُمْ: احْمِلُوا عَرْشِي، وَلَمْ يُطِيقُوا! فَخَلَقَ مَعَ كُلِّ مَلَكٍ مِنَ الأَعْوَانِ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتٍ مِنَ الْمَلاَئِكَةِ، وَقَالَ لَهُمْ: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُوا! فَخَلَقَ مَعَ كُلِّ وَاحِدٍ مِنَ الأَعْوَانِ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتِ وَأرْضِينَ مِنَ الْمَلاَئِكَةِ، وَمِثْلَ مَنْ فِي الأَرْضِينَ مِنَ الْخَلْقِ، وَقَالَ لَهُم: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُواْ! فَخَلَقَ مَعَ كُلِّ وَاحِدٍ مِنْهُمْ مِثْلَ جُنُودِ سَبْعِ سَمَاوَاتٍ وَجُنُودِ سَبْعِ أرْضِينَ وَعَدَدَ مَا فِي الرَّمْلِ مِنَ الْحَصَى وَالثَّرَى وَقَالَ: احْمِلُوا عَرْشِي، فَلَمْ يُطِيقُوا! فَقَالَ: قُولُوا: لاَ حَوْلَ وَلاَ قُوَّةَ إلاَّ باللهِ، فَلَمَّا قَالُوهَا حَمَلُواْ الْعَرْشَ)، وقال صلى الله عليه وسلم: "" أُذِنَ لِي أنْ أتَحَدَّثَ عَنْ مَلَكٍ مِنْ حَمَلَةِ الْعَرْشِ مَا بَيْنَ شَحْمَتَي أُذُنِهِ إلَى عَاتِقِهِ مَسِيرَةُ سَبْعَمِائَةِ عَامٍ ""."
40,10,قَوْلُهُ تَعَالَى: { إِنَّ ٱلَّذِينَ كَفَرُواْ يُنَادَوْنَ لَمَقْتُ ٱللَّهِ أَكْبَرُ مِن مَّقْتِكُمْ أَنفُسَكُـمْ إِذْ تُدْعَوْنَ إِلَى ٱلإِيمَانِ فَتَكْفُرُونَ }؛ وذلكَ أن الكفارَ لَمَّا دخَلُوا النارَ مَقَتُوا أنفُسَهم، ومَقَتَ بعضُهم بعضاً لاشتغالِهم في الدُّنيا بما قادَهم إلى النار، فيُنادِيهم مُنَادٍ: { لَمَقْتُ ٱللَّهِ أَكْبَرُ } أي مَقْتُ اللهِ إيَّاكم في الدُّنيا { إِذْ تُدْعَوْنَ إِلَى ٱلإِيمَانِ فَتَكْفُرُونَ } أكبرُ مِن مَقْتِكُم أنفُسَكم اليومَ.
