surah_number,ayah_number,tafsir_text
53,1,"{ والنجم إذا هوى } قال ابن عباس في رواية الوالبي والعوفي يعني الثريا إذا سقطت وهويه مغيبه والعرب تسمي الثريا نجما وجاء في الحديث عن أبي هريرة مرفوعا ( ما طلع النجم قط وفي الأرض من العاهة إلا رفع ) وأراد بالنجم الثريا ذكره البغوي ورواه أحمد بلفظ ( ما طلعها النجم صباحا قط ويقوم عاهة إلا ورفعت عنهم أو خفت ) وسنده ضعيف وقال مجاهد نجوم السماء كلها حين تغرب واللام للجنس سمى الكواكب نجما بطلوعه وكل طالع نجم يقال نجم السن والقرآن والسنة وروي عن عكرمة عن ابن عباس أنه الرجوم من النجوم يعني ما يرمي به الشياطين عن استراقهم السمع وقال أبو حمزة الثمالي النجوم إذا انتثرت يوم القيامة وقال ابن عباس في رواية عطاء المراد بالنجم القرآني نجما لأنها نزلت نجوما متفرقة في ثلاثة وعشرين سنة يسمى التفريق تنجيما المفرق منجما وقال الكلبي الهوي النزول من أعلى إلى أسفل وقال الأخفش النجم هو النبت الذي لا ساق له منه قوله تعالى : { والنجم والشجر يسجدان } وهويه سقوطه على الأرض وقال جعفر الصادق رضي الله عنه يعني محمدا صلى الله عليه وسلم إذا نزل من السماء ليلة المعراج والهوي النزول وقيل المراد بالنجم المسلم وبهويه دفنه في القبر والظرف يجوز أن يكون متعلقا بفعل القسم مقدر لأن القسم لا يتعدى بذلك الوقت ولا يكون صفة للجثة بل هو متعلق بحدث مقدر مضاف إلى النجم تقديره وتحرك النجم إذا هوى ،  وقيل إذا هاهنا اسم وليس بظرف وهو بدل اشتمال من النجم مقسم به وجه تعين هذا الوقت للقسم أن وقت الهوي أفضل أوقات النجم لأنه إذا كان المراد بالنجم الثريا أو مطلق النجم { فإن أريد بهويه سقوط شعلة منه لرجم الشياطين فلا شك أن رجم الشياطين مقصود من خلقه النجوم وإن أريد به انتشاره يوم القيامة ذلك وقت إتمام المقاصد التي قصد بالنجوم وإن أريد به غروبه فغروبه أوضح دليل على إمكانه ووجود صانعه ولذا استدل الخليل عليه السلام بالأقوال من الكواكب والقمر والشمس حيث قال { فلما جن عليه الليل رأى كوكبا قال هذا ربي فلما أفل قال لا أحب الأفلين76 } وإن أريد به نجم القرآن وبهويه نزوله أو بالنجم محمد صلى الله عليه وسلم وبهويه نزوله من السماء ليلة المعراج فلا شك أن نزول القرآن لهداية الناس ونزول محمد صلى الله عليه وسلم بعد عروجه لهداية الخلق نعمة جليلة من الله تعالى بلا نظير لهما وإن أريد بالنجم المسلم وبهويه دفنه في القبر فلا شك أن دفن المسلم مع إيمانه سالما عن تسويلات النفس والشيطان غانما بنعمة الإيمان والأعمال الصالحة وقت كماله وزوال حظر زواله والله تعالى أعلم .

/خ14"
53,2,"وجواب القسم { ما ضل صاحبكم } محمد صلى الله عليه وسلم عن طريق الهدى { وما غوى 2 } في اتباع طريق الباطل قيل الضلال ضد الهداية والغي ضد الرشد يعني هو مهتد راشد وليس كما تزعمون يا معشر قريش وتنسبونه إلى الضلال والغي

/خ14"
53,3,"{ وما ينطق } بالقرآن ولا بغير عطف على ما ضل { عن الهوى } صفة لمصدر محذوف يعني نطقا ناشئا عن الهوى يعني لم يتقول القرآن من تلقاء نفسه كما يتقول الشعراء وكذا كل ما يتكلم ليس منشاءه الهوى النفسانية بل مستند إلى الوحي جلي أو خفي وإن كان باجتهاد مأمور من الله تعالى مقرر من الله عليه فهو ليس عن الهوى البتة

/خ14"
53,4,"{ إن هو } الضمير راجع إلى القرآن المعهود في الدهن والمدلول فيما سبق من الكلام { إن هو إلا وحي يوحى } فليس في هذه الآية ما يدل على أنه صلى الله عليه وسلم ما كان يتكلم بالاجتهاد والجملة تعليل بقوله ما ينطق

/خ14"
53,5,"{ علمه } يعني محمدا صلى الله عليه وسلم الضمير المنصوب مفعول أول لعلم والقرآن أو ما يوحى إليه عليه السلام مطلقا مكن حيث أنه اسم لكلام تام قائم مقام مفعولية الثاني والثالث وفاعله { شديد القوى } جمع قوة والمراد به الله سبحانه القوي المتين

/خ14"
53,6,"{ ذو مرة } المرة القوة الشدة والأصالة والأحكام كذا في القاموس والله سبحانه شديد البطش يحكم أصل كل شيء وجملة علمه مع ما عطف عليه حال من الضمير المستكن في يوحى أو صفة بعد صفة { فاستوى } عطف على علمه والاستواء من المتشابهات قال السلف في قوله تعالى : { الرحمان على العرش استوى 5 }  أن الاستواء معلوم بلا كيف وقال سهيل ابن عبد الله التستري لا يجوز لمؤمن أن يقول كيف الاستواء لمن خلق الاستواء ولنا عليه الرضا والتسليم وقال مالك ابن أنس الكيف غير معقول والاستواء غير مجهول والسؤال عنه بدعة وحاصل الآية أنه كان لله تعالى إذا علم محمدا صلى الله عليه وسلم نسبته به عليه السلام مجهول الكيفية كنسبته مع العرش المجيد والكعبة الحسناء وقد تظهر تلك النسبة للصوفية الكرام وتظهر على وجه أكمل منه يوم يرونه كما يرون القمر ليلة البدر

/خ14"
53,7,"{ وهو } يعني محمد صلى الله عليه وسلم { بالأفق الأعلى } يعني كان محمد صلى الله عليه وسلم إذا يوحى إليه في كمال رفعة استعداده وعلو مرتبته والأفق الناحية على منتهى دائرة الإمكان حيث يكون وراء ذلك دائرة الوجوب التي لا يتصور هناك للسالك سير قدمي والجملة حال من الضمير المنصوب في علمه

/خ14"
53,8,"{ ثم دنا فتدلى } { فكان قاب قوسين أو أدنى } بحذف المضافين إن كان مقدار قربه قاب قوسين أو أدنى وجملة ثم دنى عطف على علمه قال البغوي روينا في قصة المعراج عن شريك ابن عبد الله ابن أنس ( ودنى الجبار رب العزة فتدلى حتى كان منه صلى الله عليه وسلم قاب قوسين أو أدنى قال الشيخ محمد حياة السندي في رسالته هذا حديث غريب ومثله عن ابن عباس رواه أبو سلمة عنه أو هاهنا ليس للشك بل بمعنى بل كما في قوله تعالى : { وأرسلناه إلى مائة ألف أو يزيدون }  يعني بل يزيدون قالت الصوفية العلية المراد بقوسين قوس الوجوب وقوس الإمكان فالصوفي في مرتبة دنوه  قاب قوسين يبقى في نظره مرتبتي الوجوب والإمكان كلتيهما وفي دنوه أونى من قوسين يستر عن بصيرته قوس الإمكان مطلقا لا يرى نفسه عينا ولا أثرا وألقاب والقيبة والقاد والقيد عبارة عن المقدار هاهنا كناية عن كمال القرب وأصله أن الحليفين من العرب كانا إذا أرادا عقد الصفاء والعهد خرجا بقوسيهما وألصقا بينهما يريدان بذلك أنهما متظاهران يحامي كل واحد منهما عن صاحبه مراتب الدنو والتدلي وما كنى بقاب قوسين أو بما هو أدنى منه درجات قرب للعهد من الله تعالى في تجلياته سبحانه يدركه الصوفي ومن لم يدر وقد ذكروا هذه الدرجات في كتب التصوف في كلماتهم أكثر مما تحصى وقال الضحاك معناه دنى محمد من ربه فتدلى يعني فأهوى للسجود وهذا يستلزم انتشار الضمائر

/خ14"
53,9,/ت8
53,10,"{ فأوحى إلى عبده } يعني محمدا صلى الله عليه وسلم { ما أوحى } من القرآن وغيره من الوحي الغير المتلو وضمائر أوحي وعبده وأوحى راجعة إلى شديد القوى وهذا التفسير مروي عن أنس وابن عباس وغيرهما من السلف ولا غبار عليه من حيث العربية وقالت عائشة واختاره أكثر المفسرين أن المراد بشديد القوى جبرائيل عليه السلام ذو مرة قال ابن عباس في رواية ذو منظر حسن ،  وقال قتادة ذو خلق طويل حسن فاستوى جبرائيل وهو يعني محمد صلى الله عليه وسلم عطف على الضمير المرفوع المستتر في استوى على ما أجازه الكوفيون قال البغوي استوى جبرائيل ومحمد عليهما السلام ليلة المعراج وقيل ضمير هو راجع إلى جبرائيل كان يأتي رسول الله صلى الله عليه وسلم في صورة الآدميين كما كان يأتي النبيين فسأله رسول الله صلى الله عليه وسلم أن يريه نفسه على صورة التي خلقها فأراه مرتين في الأرض ومرة في السماء فأما في الأرض ففي الأفق الأعلى والمراد بالأعلى جانب الشرق وذلك أن محمدا صلى الله عليه وسلم بجراء فطلع له جبرائيل من المشرق في الأفق إلى المغرب فخر رسول الله صلى الله عليه وسلم مغشيا عليه فنزل جبرائيل في صورة الآدميين وضمه صلى الله عليه وسلم إلى نفسه وجعل يمسح الغبار عن وجهه وأما في السماء فعند سدرة المنتهى ليلة المعراج ولم يره أحد من الأنبياء على تلك الصورة إلا محمد صلى الله عليه وسلم قوله تعالى ثم دنى يعني جبرائيل بعد استوائه بالأفق الأعلى من الأرض فتدلى فنزل إلى محمد صلى الله عليه وسلم لما خر رسول الله صلى الله عليه وسلم مغشيا عليه فكان منه قاب قوسين أو أدنى يعني بل أدنى والقوس ما يرمي في قول مجاهد وعكرمة وعطاء عن ابن عباس فأخبر أنه كان بين جبرائيل وبين محمد صلى الله عليه وسلم مقدار قوسين قال معناه حيث الوتر من القوس وقال ابن مسعود قاب قوسين قدر ذراعين وهو قول سعيد ابن جبير وشفيق ابن سلمة القوس الذراع يقاس بها كل شيء كذا روى البخاري في تأويل الآية عن عائشة رضي الله عنها وقال البغوي وبه قال ابن عباس والحسن وقتادة قيل في الكلام تقديم وتأخير تقديره ثم تدلى فدنى لأن التدلي سبب الدنو والظاهر أن الدنو أعم مطلقا التدلي فإن الدنو لا يقتضي وصول الشيء إلى منتهى مسافة يريد قطعها إلى تحت بخلاف التدلي فإنه مأخوذ من الدلو فإن التدلي وصول الدلو إلى قعر البئر وأيضا يعتبر في التدلي الوصول إلى المنتهى مع بقاء تعلقه بالمبدأ يقال أدلى رجله من السرير وأدلى دلوه والدوالي للثمر المعلق فأوحى جبرائيل إلى عبده يعني عبد الله ما أوحى الله إليه .   وهذا التأويل يأباه العربية والمعقول بوجوه .   أحدها أن قصة جبرائيل هذه حكاية حال والكلام في أن القرآن ليس شيئا منهما مما نطق محمد صلى الله عليه وسلم من تلقاء نفسه بل كله مما أوحي إليه من ربه وجملة شديد القوى مع ما عطف من قوله فاستوى وهو بالأفق الأعلى ثم دنى فتدلى فكان قاب قوسين أو أدنى حال من الضمير المستكن في قوله إلا وحي يوحى وزمان الحال يتحد مع زمان صاحبه فتقضي الكلام وقوع تلك القصة في كل مرة أوحي إليه شيء من القرآن وإلا يجوز وقوعه حالا أو لا يجوز القول بأن القرآن كله كذلك ثانيهما أنه يلزم حينئذ انتشار الضمائر في قوله تعالى : { فأوحي إلى عبده ما أوحى } ورجوع ضمير عبده إلى الله سبحانه قرينه لكونه ضمير أوحي راجعا إلى الله تعالى ،  ثالثها أن الدنو أو التدلي من جبرائيل عليه السلام وكونه قاب قوسين أو أدنى ليس كمالا للنبي صلى الله عليه وسلم فإن النبي صلى الله عليه وسلم كان أفضل من جبرائيل عليه السلام قال رسول الله صلى الله عليه وسلم ( وزيراي في السماء جبرائيل وميكائيل )  ووجه القول بالتأويل الثاني إنما هو استعباد لاستواء والدنو والتدلي إلى الله تعالى ولما كان القرآن ناطقا بأن منه آيات محكمات هن أم الكتاب وأخر متشابهات فلا وجه للقول بهذا التأويل البعيد والاستواء والدنو والتدلي وكونه قاب قوسين أو أدنى بلا كيف على ما يليق بالتنزيه مشهود لأرباب القلوب كمشاهدة القمر ليلة البدر بالأوجه في القول ما قالوا والله تعالى أعلم قال سعيد ابن جبير في قوله تعالى : { فأوحى إلى عبده ما أوحى } أنه أوحي إليه { ألم يجدك يتيما فآوى } إلى قوله { ورفعنا لك ذكرك } وقيل أوحى إليه أن الجنة محرمة على الأنبياء حتى تدخلها أنت على الأمم حتى يدخلها أمتك والظن أن ما أوحي عام ولا وجه للتخصيص

/خ14"
