surah_number,ayah_number,tafsir_text
15,1,"وسورة الحجر مبدوءة بحروف الهجاء المقطعة {  أ .  ل .  ر .  } نظير كل من :  سورة يونس ،  وسورة هود ،  وسورة يوسف ،  وسورة الرعد ،  وسورة إبراهيم الواردة قبلها على التوالي دون فاصل بينها ،  والمفتتحة كلها بنفس النوع من الحروف الهجائية المنفصلة ،  على نفس النهج الذي بدئت به كل من سورة البقرة وسورة آل عمران وسورة الأعراف ،  وقد تكرر في هذه المجموعة من السور التسع حرف الألف وحرف اللام ،  وتكرر حرف الراء في ست منها ،  وتكرر حرف الميم في أربع منها ،  وورد حرف الصاد في واحدة منها .

وهناك مجموعة أخرى من السور على هذا النمط يبلغ عددها العشرين ،  وهي حسب ترتيب كتابتها في المصحف الكريم :  سورة مريم ،  وسورة طه ،  وسورة الشعراء ،  وسورة النمل ،  وسورة القصص ،  وسورة العنكبوت ،  وسورة الروم ،  وسورة لقمان ،  وسورة السجدة ،  وسورة يس ،  وسورة ص ،  وسورة غافر ،  وسورة فصلت ،  وسورة الشورى ،  وسورة الزخرف ،  وسورة الدخان ،  وسورة الجاثية ،  وسورة الأحقاف ،  وسورة {  ق } وسورة {  ن } .  وقد تكرر حرف الميم في ثلاث عشرة منها ،  وتكرر حرف الحاء في سبع منها ،  وورد حرف الطاء وحرف السين فيها أربع مرات ،  وورد فيها كل من حرف الصاد وحرف الياء وحرف الهاء مرتين ،  وورد فيها كل من حرف الكاف وحرف القاف وحرف النون مرة واحدة .

وكل هذه السور المفتتحة بالحروف المقطعة يأتي في مطلعها الحديث عن معجزة القرآن ،  والتنويه بها تنويها خاصا ،  ومن بين من نبه على ذلك ابن كثير ،  ودل عليه الاستقراء في علم التفسير ،  كقوله تعالى هنا في سورة الحجر التي نحن بصدد تفسيرها {  ألر ،  تلك آيات الكتاب وقرآن مبين } .

وكأن إيراد الحروف الهجائية المقطعة في مطلع هذه السور إشارة إلى أن حكمة الله البالغة اقتضت أن تحول الحروف العادية الجارية على ألسنة الناس ،  والتي لا يصوغون منها أي كلام معجز للبشر ،  إلى مادة إعجاز إلهي يقف الجنس البشري كله أمامها مبهوتا ومبهورا ،  سواء من آمن منه أو من كفر ،  كما هو الأمر بالنسبة إلى مواد أخرى هي في متناول البشر جميعا ،  ولكنهم عاجزون عن أن يصنعوا منها أي شيء خارق للعادة ،  بينما القدرة الإلهية تصنع منها أعجب الأعاجيب ،  وفي طليعتها الإنسان المخلوق من طين ،  والطين في متناول كل الناس ،  ولكنهم عاجزون عن أن يصنعوا منه بأيديهم حتى أخس الحشرات ،  وأضعف الجراثيم ،  فضلا عما هو أعلى وأدق ،  {  هذا خلق الله ،  فأروني ماذا خلق الذين من دونه } |لقمان :  11| ."
15,2,وقوله تعالى هنا :  {  ربما يود الذين كفروا لو كانوا مسلمين } إخبار عن الكافرين بأنهم سيندمون على ما هم فيه ،  وسيتمنون عندما يعرفون حقيقة الإسلام أن لو كانوا مسلمين ،  ولاسيما عندما يكون أحدهم في حالة الاحتضار وتتجلى أمامه الحقائق الرهيبة ،  وهذا أمر واقع ما له من دافع ،  فكم من الكفار يقارنون معتقداتهم الباطلة بعقيدة التوحيد الحق ،  ويقارنون تشريعاتهم الإباحية بشريعة الإسلام الأخلاقية ،  ويتمنون لو أنهم كانوا على عقيدة الإسلام الصحيحة ،  وشريعته الفاضلة ،  ونفس الموقف سيقفه الكفار عندما يواجهون عذاب الله في الدار الآخرة ،  كما قال تعالى في آية ثانية في سورة الأنعام :  {  ولو ترى إذ وقفوا على النار فقالوا يا ليتنا نرد ،  ولا نكذب بآيات ربنا ونكون من المؤمنين } |الآية :  27| .  ولفظ {  رب } يأتي غالبا للتقليل ،  وأحيانا للتكثير ،  و{  ربما } الواردة هنا من هذا القبيل .
15,4,وقوله تعالى :  {  وما أهلكنا من قرية إلا ولها كتاب معلوم } إشارة إلى سنة الله التي خلت من قبل في الأمم والشعوب عندما ترتكس في أوحال الضلال ،  وتصر على السير في طريق الخبال ،  فإن الله يسلط عليها أسباب الإبادة والهلاك ،  وعلى مدنها وقراها عوامل الخراب والاضمحلال .
15,5,وبين كتاب الله أن هناك قانونا ثابتا لا يتخلف لارتقاء الأمم وسقوطها ،  وسعادتها وشقائها ،  وعزها وذلها ،  فقال تعالى :  {  ما تسبق من أمة أجلها وما يستأخرون } ومعنى ذلك أن الله جعل لكل أمة عمرا كأعمار الأفراد ،  وأجلا لحياتها كأجل العباد .
15,6,"ثم عرض كتاب الله بعض الادعاءات والاتهامات التي اعتاد توجيهها إلى الرسل والأنبياء خصوم النبوات والرسالات ،  فقال تعالى حكاية عن مشركي قريش –وهم يخاطبون الرسول الأعظم عليه الصلاة والسلام- {  وقالوا يا أيها الذي نزل عليه الذكر إنك لمجنون } على غرار ما قالته الأقوام السابقة لمن جاء قبله بالرسالة ،  إذ وصفوهم بالغباوة والسفاهة والضلالة .

وقول المشركين لرسول الله صلى الله عليه وسلم :  {  يا أيها الذي نزل عليه الذكر } لم يصدر منهم على أنه اعتراف حقيقي بأنه رسول يوحى إليه من عند الله ،  وإلا لأصبحوا مؤمنين ،  وإنما صدر منهم في صورة استخفاف بدعواه ،  كأنهم يقولون له :  يا أيها الذي يزعم أنه نزل عليه الذكر ،  وما هم له بمؤمنين ."
15,9,"وردا على استخفافهم ،  وإبطالا لادعائهم ،  عقب كتاب الله على قولهم في نفس السياق فقال تعالى :  {  إنا نحن نزلنا الذكر ،  وإنا له لحافظون } .  وهكذا ركز كتاب الله جوابه حول المعنى الذي دار عليه كلامهم وهو :  {  نزل عليه الذكر } فجاء بما يثبت ذلك المعنى ويؤكده تأكيدا قاطعا ،  وأخبر بأن الله تعالى هو الذي نزل الذكر على رسوله حقيقة لا خيالا ،  وصدقا لا ادعاء ،  {  إنا نحن نزلنا الذكر } .

ثم أضاف إلى ذلك ما هو أجل وأخطر ،  وهو أنه سبحانه قد تعهد ،  لا بتنزيل القرآن من عنده فحسب ،  بل تعهد بصيانة القرآن وحفظه من كل خلل على مر الأعصار ،  ورغم أنف جميع الخصوم والأعداء ،  فهو محفوظ بحفظ الله في الصدور والسطور من كل تبديل أو تغيير ،  وهو محفوظ بحفظ الله ،  من جميع العوارض التي تعرض للبشر عادة فيما يتناقلونه ويتحملونه على عهدتهم ،  ويتولون حفظه بأنفسهم ،  وإذا كان غير القرآن من الكتب المنزلة قد لحقه تغيير وتبديل ،  وتحريف وسوء تأويل ،  فإن ذلك آت من أن الله تعالى قد ابتلى أهلها عندما وكل حفظها إليهم ،  فضيعوها ولم يحافظوا عليها ،  كما قال تعالى في شأنهم في سورة المائدة :  {  والربانيون والأحبار بما استحفظوا من كتاب الله وكانوا عليه شهداء } |الآية :  44| ."
15,14,"وقوله تعالى :  {  ولو فتحنا عليهم بابا من السماء فظلوا فيه يعرجون ،  لقالوا إنما سكرت أبصارنا بل نحن قوم مسحورون } يصف فيه كتاب الله جميع الكفار والمنافقين المعاندين الذين أصموا آذانهم عن سماع دعوة الدين ،  وتلقي الحق المبين ،  والمراد هنا أن هذا الصنف من الخلق لو رأوا بأعينهم أعظم خارق للعادة ،  وعرج بهم إلى السماء ،  والتحقوا بالملأ الأعلى ،  لأنكروا أمره ،  وادعوا أنه مجرد سحر أو تخييل ،  على غرار ما قاله فرعون وملأوه لموسى الكليم .

وقوله {  يعرجون } أي يصعدون ،  وقوله حكاية عنهم :  {  سكرت أبصارنا } إما من السكر ضد الصحو ،  فيكون معنى :  {  سكرت أبصارنا } :  كنا في غيبوبة ،  ورأينا الأمر على غير حقيقته ،  أو من السكر بمعنى السد ،  فيكون معنى :  {  سكرت أبصارنا } .  حبست أبصارنا ومنعت من النظر ،  وهذا تصوير لادعائهم الكاذب ،  ولتهربهم بجميع الوسائل من الاعتراف بالحق ."
15,15,/ت14
15,16,"/م16

والمراد بالبروج ما يشمل منازل الشمس والقمر ،  والكواكب والشهب ،  والمذنبات والمجرات ،  وكل ما هو سابح في الفضاء من عوالم السماء ."
15,17,/ت16
