surah_number,ayah_number,tafsir_text
58,1,"قوله عز وجل : { قَدْ سَمِعَ الله قَوْلَ التي تُجَادِلُكَ في زَوْجِهَا } الآية : اختلف الناس في اسم هذه المرأة على أقوال ،   واختصار ما رواه ابن عباس والجمهور :  "" أَنَّ أَوْسَ بْنَ الصَّامِتِ الأَنْصَارِيَّ ،   أخا عبادة بن الصامت ،   ظَاهَرَ من امرأته خَوْلَةَ بنت خُوَيْلِدٍ ،   وكان الظهارُ في الجاهلية يُوجِبُ عندهم فُرْقَةً مُؤَبَّدَةً ،   فلما فعل ذلك أَوسٌ جَاءَتْ زَوْجَتُهُ رَسُولَ اللَّهِ صلى الله عليه وسلم فَقَالَتْ : يَا رَسُولَ اللَّهِ ،   إنَّ أَوساً أَكَلَ شَبَابِي ،   وَنَثَرْتُ لَهُ بَطْنِي ،   فَلَمَّا كَبِرْتُ وَمَاتَ أَهْلِي ،   ظَاهَر مِنِّي ! فَقَالَ رَسُولُ اللَّه صلى الله عليه وسلم : ( مَا أَرَاكِ إلاَّ حُرِّمْتِ عَلَيْهِ ،   فَقَالَتْ : يَا رَسُولَ اللَّهِ ،   لاَ تَفْعَلْ ؛ فَإنِّي وَحِيدَةٌ لَيْسَ لِي أَهْلٌ سِوَاهُ ،   فَرَاجَعَهَا رَسُولُ اللَّهِ صلى الله عليه وسلم بِمِثْلِ مَقَالَتِهِ فَرَاجَعَتْهُ ،   فَهَذَا هُوَ جِدَالُهَا ،   وَكَانَتْ في خِلاَلِ جِدَالِهَا تَقُولُ : اللَّهُمَّ إَلَيْكَ أَشْكُو حَالِي وانفرادي وَفَقْرِي ) ،   وَرُوِيَ أَنَّها كَانَتْ تَقُولُ : ( اللَّهُمَّ ،   إنَّ لي مِنْهُ صِبْيَةً صِغَاراً ،   إنْ ضَمَمْتُهُمْ إلَيْهِ ضَاعُوا ،   وَإنْ ضَمَمْتُهُمْ إليَّ جَاعُوا ) فَهَذَا هُوَ اشتكاؤها إلَى اللَّهِ ،   فَنَزَلَتِ الآيةُ : فَبَعَثَ النَّبِيُّ صلى الله عليه وسلم في أَوْسٍ ،   وأَمَرَهُ بِالتَّكْفِيرِ ،   فَكَفَّرَ بِالإطْعَامِ ،   وَأَمْسَكَ أَهْلَهُ ""  .

قال ابن العربي في «أحكامه » :  "" والأشبه في اسم هذه المرأة أَنَّها خَوْلَةُ بِنْتُ ثَعْلَبَةَ ،   امرأةُ أَوْسِ بْنِ الصَّامِتِ ""  وعلى هذا اعتمد الفخر ؛ قال الفخر :  "" هذه الواقعة تَدُلُّ على أَنَّ مَنِ انقطع رجاؤه من الخلق ،   ولم يبق له في مُهِمِّة أحدٌ إلاَّ الخالق كفاه اللَّهُ ذلك المهم ""  انتهى .   والمحاورة : مراجعةُ القولِ ومعاطاته ،   وفي مصحف ابن مسعود : «تُحَاوِرُكَ في زَوْجِهَا » ."
58,2,والظِّهَارُ : قولُ الرجلِ لامرأته : أنتِ عليَّ كَظَهْرِ أُمِّي ،   يريد في التحريم ؛ كَأَنَّها إشارة إلى الركوبِ ،   إذ عُرْفُهُ في ظهور الحيوان ،   وكان أهلُ الجاهلية يفعلون ذلك ،   فَرَدَّ اللَّه بهذه الآية على فعلهم ،   وأخبر بالحقيقة من أَنَّ الأُمَّ هي الوالدة ،   وأَمَّا الزوجةُ فلا يكونُ حكمُهَا حُكْمَ الأُمِّ ،   وجعل اللَّه سبحانه القول بالظهار ( مُنْكَراً وزوراً ) ،   فهو مُحَرَّمٌ ،   لَكِنَّهُ إذَا وقع لزم ؛ هكذا قال فيه أهل العلم ،   لكنَّ تحريمه تحريمُ المكروهات جدًّا ،   وقد رَجَّى اللَّه تعالى بعده بأَنَّهُ ( عَفُوٌّ غفور ) مع الكَفَّارَةِ .
58,3,"وقوله سبحانه : { ثُمَّ يَعُودُونَ } الآية .

( ت ) : اخْتُلِفَ في معنى العَوْدِ ،   والعود في «المُوَطَّإ » : العزم على الوطء والإمساك مَعاً ،   وفي «المُدَوَّنَةِ » : العزمُ على الوطء خاصَّةً .

وقوله تعالى : { مِّن قَبْلِ أَن يَتَمَاسَّا } ،   قال الجمهور : وهذا عامٌّ في نوع المسيس الوطء والمباشرة ،   فلا يجوز لِمُظَاهِرٍ أَنْ يطأَ ،   ولا أَنْ يُقَبِّلَ أو يَلْمَسَ بيده ،   أو يفعَلَ شيئاً من هذا النوع إلاَّ بعد الكفارة ؛ وهذا قول مالك رحمه اللَّه .

وقوله تعالى : { ذَلِكُمْ تُوعَظُونَ بِهِ } : إشارة إلى التحذير ،   أي : فَعَلَ ذلك ؛ عظةً لكم لتنتهوا عن الظهار ."
58,4,"وقوله سبحانه : { فَمَن لَّمْ يَسْتَطِعْ } : قال الفخر : الاستطاعة فوق الوسع ؛ والوسع فوق الطاقة ،   فالاستطاعة هي أَنْ يتمكَّنَ الإنسان من الفعل على سبيل السهولة ،   انتهى .   وفروع الظهار مُسْتَوفَاةً في كتب الفقه ،   فلا نطيل بذكرها .

وقوله سبحانه : { ذَلِكَ لِتُؤْمِنُواْ بالله وَرَسُولِهِ } الآية : إشارة إلى الرخصة والتسهيل في النقل من التحرير إلى الصوم والإطعام ،   ثم شَدَّدَ سبحانه بقوله : { وَتِلْكَ حُدُودُ الله } أي : فالتزموها ،   ثم تَوَعَّدَ الكافرين بقوله : { وللكافرين عَذَابٌ أَلِيمٌ } ."
58,5,"وقوله سبحانه : { إِنَّ الذين يُحَادُّونَ الله وَرَسُولَهُ كُبِتُواْ } الآية : نزلت في قوم من المنافقين واليهود ،   كانوا يتربَّصُون برسول اللَّه صلى الله عليه وسلم وبالمؤمنين الدوائرَ ،   ويتمنَّون فيهم المكروهَ ،   ويتناجون بذلك ؛ وكُبِتَ الرجل : إذا بَقِيَ خَزْيَانَ يُبْصِرُ ما يكره ،   ولا يَقْدِرُ على دفعه ،   وقال قوم منهم أبو [ عبيدة ] : أصله كبدوا ،   أي : أصابهم داء في أكبادهم ،   فأُبْدِلَتِ الدَّالُ تاءً ،   وهذا غير قويٍّ ،   و { الذين مِن قَبْلِهِمْ } : منافقو الأمم الماضية ،   ولفظ البخاريِّ : { كُبِتُواْ } : أُحْزِنُوا .

وقوله تعالى : { وللكافرين عَذَابٌ مُّهِينٌ * يَوْمَ يَبْعَثُهُمُ الله } : العامل في { يَوْمَ } قوله : { مُّهِينٌ } ،   ويحتمل أنْ يكون فعلاً مُضْمَراً تقديره : اذكر ."
58,6,/ت5
58,7,وقوله تعالى : { إِلاَّ هُوَ رَابِعُهُمْ } أي : بعلمه وإحاطته وقُدْرَتِهِ ،   وعبارة الثعلبيِّ { إِلاَّ هُوَ رَابِعُهُمْ } : يعلم ويسمع نجواهم ،   يدل على ذلك افتتاح الآية .
58,8,قال ابن عباس : نزلت في اليهود والمنافقين ،   { هو رابعهم ولا } : هو قولهم : السَّامُ عليكم ،   يريدون الموتَ ،   ثم كشف اللَّه تعالى خُبْثَ طَوِيَّتِهِمْ والحُجَّةَ التي إليها يستروحون ،   وذلك أَنَّهُمْ كانوا يقولون : لو كان محمد نبيًّا لعذبنا بهذه الأقوال التي تسيئه ،   وجَهِلُوا أَنَّ أمرهم مُؤَخَّرٌ إلى عذاب جهنم .
58,9,وقوله تعالى : { يا أيها الذين آمَنُواْ إِذَا تَنَاجَيْتُمْ } الآية : وصِيَّةٌ منه سبحانه للمؤمنين أَلاَّ يتناجوا بمكروه ،   وذلك عامٌّ في جميع الناس إلى يوم القيامة .
58,10,وقوله : { إِنَّمَا النجوى } أي : بالإِثم { مِنَ الشيطان } وقرأ نافع وأهل المدينة : ( لِيُحْزِنَ ) بضم الياء وكسر الزاي ،   الفعل مُسْنَدٌ إلى الشيطان ،   وقرأ أبو عمرو وغيره : ( لِيَحْزُنَ ) بفتح الياء وضم الزاي ،   ثم أخبر تعالى أَنَّ الشيطان أو التناجي الذي هو منه ،   ليس بضارٍّ أحداً إلاَّ أَنْ يكونَ ضُرَّ بإذن اللَّه ،   أي : بأمره وقَدَرِهِ ،   ثم أمر بتوكُّلِ المؤمنين عليه تبارك وتعالى .
