surah_number,ayah_number,tafsir_text
83,1,"قوله : { وَيْلٌ } : مبتدأٌ ،   وسَوَّغَ الابتداءَ به كونُه دعاءً .   ولو نُصِبَ لجاز .   وقال مكي :  ""  والمختارُ في  ""  وَيْل  ""  وشبهِه إذا كان غيرَ مضافٍ الرفعُ .   ويجوزُ النصبُ ،   فإنْ كانَ مضافاً أو مُعَرَّفاً كان الاختيارُ/ فيه النصبَ نحو : { وَيْلَكُمْ لاَ تَفْتَرُواْ } [ طه : 61 ] .   و  ""  للمُطَفِّفين  ""  خبرُه .

والمُطَفِّفُ : المُنَقِّصُ .   وحقيقتُه : الأَخْذُ في كيلٍ ،   أو وَزْنٍ ،   شيئاً طفيفاً ،   أي : نَزْراً حقيراً ،   ومنه قولُهم :  ""  دونَ الطَّفيف  ""  ،   أي : الشيء التافِه لقلَّتِه ."
83,2,"قوله : { عَلَى النَّاسِ } : فيه أوجهٌ : أحدُها : أنَّه متعلِّقٌ ب  ""  اكْتالوا  ""  و  ""  على  ""  و  ""  مِنْ  ""  تَعْتَقِبان هنا .   قال الفراء :  ""  يقال : اكْتَلْتُ على الناس : استَوْفَيْتُ منهم ،   واكْتَلْتُ منهم : أَخَذْتُ ما عليهم  ""  وقيل :  ""  على  ""  بمعنى  ""  مِنْ  ""  .   يقال : اكْتَلْتُ عليه ومنه ،   بمعنىً ،   والأولُ أوضحُ .   وقيل :  ""  على  ""  تتعلَّقُ ب  ""  يَسْتَوْفُون  ""  .   قال الزمخشري :  ""  لَمَّا كان اكْتِيالُهم اكتيالاً يَضُرُّهُمْ ويُتَحامَلُ فيه عليهم أبدلَ  ""  على  ""  مكانَ  ""  مِنْ  ""  للدلالة على ذلك .   ويجوزُ أن تتعلَّقَ ب  ""  يَسْتَوْفون  ""  ،   وقدَّم المفعولَ على الفعل لإِفادةِ الخصوصيةِ ،   أي : يَسْتَوْفون على الناس خاصةً ،   فأمَّا أنفسُهم فَيَسْتَوْفون لها  ""  انتهى .   وهو حسنٌ ."
83,3,"قوله : { كَالُوهُمْ أَوْ وَّزَنُوهُمْ } : رُسِمتا في المصحفِ بغير ألفٍ بعد الواوِ في الفعلَيْن ،   فمِنْ ثَمَّ اختلفَ الناسُ في  ""  هم  ""  على وجهين ،   أحدهما : هو ضميرُ نصبٍ ،   فيكونُ مفعولاً به ،   ويعودُ على الناس ،   أي : وإذا كالُوا الناسَ ،   أو وَزَنوا الناسَ .   وعلى هذا فالأصلُ في هذَيْن الفعلَيْن التعدِّي لاثنين ،   لأحدِهما بنفسِه بلا خِلافٍ ،   وللآخرِ بحرفِ الجرِّ ،   ويجوزُ حَذْفُه .   وهل كلٌّ منهما أصلٌ بنفسِه ،   أو أحدُهما أصلٌ للآخر ؟ خلافٌ مشهورٌ .   والتقدير : وإذا كالوا لهم طعاماً أو وَزَنُوه لهم ،   فحُذِف الحرفُ والمفعولُ المُسَرَّح .   وأنشد الزمخشريُّ :

ولقد جَنَيْتُكَ أَكْمُؤاً وعَساقِلاً *** ولقد نَهْيْتُك عَن بناتِ الأَوْبَرِ

أي : جَنَيْتُ لك .   والثاني : أنه ضميرُ رفعٍ مؤكِّدٍ للواو .   والضميرُ عائدٌ على المطففينِ ،   ويكونُ على هذا قد حَذَفَ المَكيلَ والمَكيلَ له والموزونَ والموزونَ لهُ .   إلاَّ أنَّ الزمخشريَّ رَدَّ هذا ،   فقال :  ""  ولا يَصِحُّ أَنْ يكونَ ضميراً مرفوعاً للمطفِّفين ؛ لأنَّ الكلامَ يَخْرُجُ به إلى نَظْم فاسدٍ ،   وذلك أنَّ المعنى : إذا أخذوا من الناسِ اسْتَوْفُوا ،   وإذا أعطَوْهم أَخْسَروا .   فإنْ جَعَلْتَ الضميرَ للمطفِّفين انقلبَ إلى قولِك : إذا أخذوا من الناسِ اسْتَوْفَوْا ،   وإذا تَوَلَّوا الكيلَ أو الوزنَ هم على الخصوص أَخْسَروا ،   وهو كلامٌ مُتَنَافِرٌ ؛ لأنَّ الحديثَ واقعٌ في الفعل لا في المباشر  ""  .

قال الشيخ :  ""  ولا تنافُرَ فيه بوجهٍ ،   ولا فرقَ بين أَنْ يؤكَّد الضميرُ أو لا يُؤَكَّد ،   والحديثُ واقعٌ في الفعل .   غايةُ ما في هذا أنَّ متعلقَ الاستيفاء  وهو على الناس  مذكورٌ ،   وهو في { كَالُوهُمْ أَوْ وَّزَنُوهُمْ } محذوفٌ للعلم به ؛ لأنه من المعلوم أنهم لا يُخْسِرون ذلك لأنفسهم  ""  .   قلت : الزمخشريُّ يريدُ أَنْ يُحافظَ على أنَّ المعنى مرتبطٌ بشيئَيْن : إذا أخذوا مِنْ غيرِهم ،   وإذا أَعْطَوْا غيرَهم ،   وهذا إنما يَتِمُّ على تقديرِ أَنْ يكونَ الضميرُ منصوباً عائداً على الناس ،   لا على كونِه ضميرَ رفعٍ عائداً على المطفِّفين ،   ولا شكَّ أن هذا المعنى الذي ذكَره الزمخشريُّ وأرادَه أَتَمُّ وأَحسنُ مِنْ المعنى الثاني .   ورجَّح الأوّلَ سقوطُ الألفِ بعد الواوِ ،   ولأنه دالٌّ على اتصالِ الضميرِ ،   إلاَّ أنَّ الزمخشري استدركه فقال :  ""  والتعلُّقُ في إبطالِه بخطِّ المصحفِ وأنَّ الألفَ التي تُكتب بعد واوِ الجمع غيرُ ثابتةٍ فيه ،   ركيكٌ لأنَّ خَطَّ المصحفِ لم يُراعِ في كثيرٍ منه حَدَّ المصطلحِ عليه في علمِ الخطِّ ،   على أني رأيْتُ في الكتب المخطوطةِ بأيدي الأئمة المُتْقِنين هذه الألفَ مرفوضةً لكونِها غيرَ ثابتةٍ في اللفظِ والمعنى جميعاً ؛ لأنَّ الواوَ وحدَها مُعْطِيَةٌ معنى الجَمْع ،   وإنما كُتِبت هذه الألفُ تَفْرِقَةً بين واوِ الجمعِ وغيرِها في نحو قولِك :  ""  هم [ لم ] يَدْعُوا  ""  ،   و  ""  هو يَدْعُو  ""  ،   فمَنْ لم يُثْبِتْها قال : المعنى كافٍ في التفرقةِ بينهما ،   وعن عيسى بنِ عمرَ وحمزةَ أنَّها يرتكبان ذلك ،   أي : يجعلان الضميرَيْن للمطففين ،   ويقفان عند الواوَيْن وُقَيْفَةً يُبَيِّنان بها ما أرادا  ""  .

ولم يَذْكُر فعلَ الوزنِ أولاً ؛ بل اقتصر على الكيلِ ،   فقال :  ""  إذا اكْتالوا  ""  ولم يَقُلْ : أو اتَّزَنوا ،   كما قال ثانياً : أو وَزَنُوهم .   قال الزمخشري :  ""  كأنَّ المطفِّفين كانوا لا يأخذون ما يُكال ويُوْزَنُ إلاَّ بالمكاييلِ دون الموازينِ لتمكُّنهم بالاكتيالِ من الاستيفاءِ والسَّرِقَةِ ؛ لأنَّهم يُدَعْدِعُون ويَحْتالون في المَلْء ،   وإذا أَعْطَوْا/ كالُوا ووزَنوا لتمكُّنِهم من البَخْسِ في النوعَيْن جميعاً  ""  .

قولُه :  ""  يُخْسِرون  ""  جوابُ  ""  إذا  ""  وهو مُعَدَّىً بالهمزة .   يقال : خَسِرَ الرجلُ ،   وأَخْسَرْتُه أنا ،   فمفعولُه محذوفٌ ،   أي : يُخْسِرون الناسَ مَتاعَهم ."
83,4,"قوله : { أَلا يَظُنُّ } : الظاهرُ أنَّها  ""  ألا  ""  التحضيضيةُ ،   حَضَّهم على ذلك ،   ويكونُ الظنُّ بمعنى اليقين .   وقيل : هل لا النافيةُ دخَلَتْ عليها همزةُ الاستفهامِ ."
83,6,"قوله : { يَوْمَ يَقُومُ } : يجوزُ نصبُه ب  ""  مَبْعُوثون  ""  ،   قاله الزمخشري : أو ب يُبْعَثون  ""  مقدَّراً ،   أو على البدلِ مِنْ محلِّ  ""  يوم  ""  ،   أو بإضمارِ  ""  أَعْني  ""  ،   أو هو مرفوعُ المحلِّ خبراً لمبتدأ مضمرٍ ،   أو مجرورٌ بدلاً من  ""  ليومٍ عظيمٍ  ""  ،   وإنما بُني في هذَيْن الوجهَيْن على الفتحِ لإِضافتِه للفعل ،   وإن كان مضارعاً ،   كما هو رأي الكوفيين ،   ويَدُلُّ على صحة هذَيْن الوجهين قراءةُ زيدِ بنِ علي  ""  يومُ يقومُ  ""  بالرفعِ ،   وما حكاه أبو معاذٍ القارىءُ  ""  يوم  ""  بالجرِّ على ما تقدَّم ."
83,7,"قوله : { لَفِي سِجِّينٍ } : اختلفوا في نون  ""  سِجِّين  ""  .   فقيل : هي أصليةٌ .   اشتقاقهُ من السِّجْنِ وهو الحَبْسُ ،   وهو بناءُ مبالغةٍ ،   فسِجِّين من السَّجْنِّ كسِكِّير من السُّكْر .   وقيل : بل هي بدلٌ من اللامِ ،   والأصلُ : سِجِّيْل ،   مشتقاً من السِّجِلِّ وهو الكتابُ .   واختلفوا فيه أيضاً : هل هو اسمُ موضعٍ ،   أو اسمُ كتابٍ مخصوصٍ ؟ وهل هو صفةٌ أو عَلَمٌ منقولٌ مِنْ وصفٍ كحاتِم .   وهو مصروفٌ إذ ليس فيه إلاَّ سببٌ واحدٌ وهو العَلَمِيَّةُ ،   وإذا كان اسمَ مكانٍ ،   فقوله  ""  كتابٌ مَرْقُوْمٌ  ""  : إمَّا بدلٌ منه ،   أو خبرٌ لمبتدأ محذوفٍ ،   وهو ضميرٌ يعودُ عليه ،   وعلى التقديرَيْن فهو مُشْكِلٌ ؛ لأنَّ الكتابَ ليس هو المكانَ فقيل : التقدير : هو مَحَلُّ كتابٍ ،   ثم حُذِفَ المضافُ .   وقيل : التقديرُ : وما أدراك ما كتابُ سِجِّين ؟ فالحذفُ ،   إمَّا مِنْ الأولِ ،   وإمَّا مِنْ الثاني : وأمَّا إذا قُلْنا : إنه اسمٌ ل  ""  كتاب  ""  فلا إشكال .

وقال ابن عطية :  ""  مَنْ قال : إنَّ سِجِّيناً موضعٌ فكتابٌ مرفوعٌ ،   على أنه خبرُ  ""  إنّ  ""  والظرفُ الذي هو  ""  لفي سِجِّين  ""  مُلْغَى ،   ومَنْ جعله عبارةً عن الخَسارة ،   فكتابٌ خبرُ مبتدأ محذوفٍ ،   التقدير : هو كتابٌ ،   ويكونُ هذا الكلامُ مفسِّراً لِسِجِّين ما هو ؟  ""  انتهى ،   وهذا لا يَصِحُّ البتة ؛ إذ دخولُ اللامِ يُعَيِّنُ كونَه خبراً فلا يكونُ مُلْغى .   لا يقال : اللامُ تَدْخُلُ على معمولِ الخبرِ فهذا منه فيكونُ مُلْغى ؛ لأنه لو فُرِضَ الخبرُ وهو  ""  كتابٌ  ""  عاملاً أو صفتُه عاملةٌ وهو  ""  مرقوم  ""  لامتنعَ ذلك .   أمَّا مَنْعُ عملِ  ""  كتابٌ  ""  فلأنَّه موصوف ،   والمصدرُ الموصوفُ لا يعمل .   وأمَّا امتناعُ عملِ  ""  مرقومٌ  ""  فلأنَّه صفةٌ ،   ومعمولُ الصفةِ لا يتقدَّمُ على موصوفِها .   وأيضاً فاللامُ إنما تدخُلُ على معمولِ الخبر بشرطِه ،   وهذا ليس معمولاً للخبرِ ،   فتعيَّنَ أَنْ يكونَ الجارُّ هو الخبرَ ،   وليس بملغى .   وأمَّا قولُه ثانياً  ""  ويكون هذا الكلامُ مفسِّراً لسِجِّين ما هو  ""  فمُشْكِلٌ ؛ لأنَّ الكتابَ ليس هو الخسَارَ الذي جُعِلَ الضميرُ عائداً عليه مُخْبِراً عنه ب  ""  كتابٌ  ""  .

وقال الزمخشري :  ""  فإنْ قلتَ : قد أخبر الله تعالى عن كتاب الفجار بأنه في سِجِّين وفَسَّر سِجِّيناً ب  ""  كتاب مرقوم  ""  فكأنه قيل : إنَّ كتابَهم في كتابٍ مرقوم فما معناه ؟ قلت :  ""  سِجِّين  ""  كتابٌ جامعٌ ،   هو ديوانُ الشرِّ دَوَّن الله فيه أعمال الشياطين وأعمال الكفَرَةِ والفَسَقَةِ من الجنِّ والإِنسِ ،   وهو كتابٌ مَسْطورٌ بَيِّنُ الكِتابةِ ،   أو مَعْلَمٌ يَعْلَمُ مَنْ رآهُ أنه لا خَيْرَ فيه فالمعنى : أنَّ ما كُتِبَ مِن أعمالِ الفُجَّارِ مُثْبَتٌ في ذلك الديوانِ ،   ويُسَمَّى سِجِّيلاً فِعِّيلاً من السَّجْلِ وهو الحَبْسُ والتضييق ؛ لأنه سببُ الحِبْسِ والتضييق في جهنم  ""  انتهى ."
83,9,"والرَّقْمُ : الخَطُّ .   وقيل : الخَتْمُ بلغة حِمْيَرٍ ،   والصحيحُ الأولُ .   قال :

/سأَرْقُمُ في الماءِ القَراح إليكُمُ *** على بُعْدِكُمْ إنْ كان للماءِ راقِمُ

وتقدَّمت هذه المادةُ في الكهف ."
83,11,قوله : { الَّذِينَ يُكَذِّبُونَ } : يجوزُ فيه الإِتباعُ نعتاً وبدلاً وبياناً ،   والقطعُ رفعاً ونصباً .
83,13,"قوله : { إِذَا } : العامَّةُ على الخبر .   والحسن  ""  أإذا  ""  على الاستفهامِ الإِنكاريِّ .   والعامَّةُ  ""  تُتْلى  ""  بتَاءين مِنْ فوقُ ،   وأبو حيوة وابن مقسم بالياء مِنْ تحتُ ؛ لأنَّ التأنيث مجازيٌّ ."
83,14,"قوله : { بَلْ رَانَ } : قد تقدَّم وَقْفُ حفص على  ""  بل  ""  في الكهف .   والرَّيْنُ والرانُ الغِشاوة على القلبِ ،   كالصَّدأ على الشيءِ الصقيلِ من سيفٍ ومِرْآة ونحوِهما .   قال الشاعر :

وكم رانَ مِنْ ذنبٍ على قلبِ فاجِرٍ *** فتابَ مِن الذنبِ الذي ران وانْجَلَى

وأصلُ الرَّيْنِ : الغلبةُ ،   ومنه : رانَتِ الخمرُ على عقلِ شاربِها .   وران الغَشْيُ على عقل المريض .   قال :

4516 .   .   .   .   .   .   .   .   .   .   .   .  رانَتْ به الخَمْ *** رُ .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .

وقال الزمخشري :  ""  يقال : ران عليه الذنبُ وغان ،   رَيْناً وغَيْناً .   والغَيْنُ الغَيْم .   ويقال : ران فيه النومُ : رَسَخَ فيه ،   ورانَتْ به الخمرُ : ذهَبَتْ به  ""  .   وحكى أبو زيد :  ""  رِيْنَ بالرَّجل رَيْناً : فجاء مصدرُه مفتوحَ العين وساكنَها .   و  ""  ما كانوا  ""  هو الفاعلُ .   و  ""  ما  ""  يُحتمل أَنْ تكونَ مصدريةً ،   وأَنْ تكونَ بمعنى الذي ،   والعائدُ محذوفٌ .   وأُمِيْلَتْ ألفُ  ""  ران  ""  وفُخِّمَتْ ،   فأمالها الأخَوان وأبو بكر وفَخَّمها الباقون ،   وأُدغِم لامُ  ""  بل  ""  في الراء وأُظْهِرَتْ ."
