surah_number,ayah_number,tafsir_text
6,1,"أخرج ابن الضريس في فضائل القرآن وابن جرير وابن المنذر وأبو الشيخ عن كعب قال : فتحت التوراة { الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور ثم الذين كفروا بربهم يعدلون } وختمت ب { الحمد لله الذي لم يتخذ ولداً } إلى قوله { وكبره تكبيراً } .

وأخرج عبد بن حميد عن الربيع بن أنس { الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور ثم الذين كفروا بربهم يعدلون } قال : هي في التوراة بستمائة آية .

وأخرج أبو الشيخ عن قتادة { الحمد لله الذي خلق السماوات والأرض } حمد نفسه فأعظم خلقه .

وأخرج ابن أبي حاتم عن علي .   أنه أتاه رجل من الخوارج فقال : الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور ثم الذين كفروا بربهم يعدلون أليس كذلك ؟ .   قال : نعم .   فانصرف عنه ثم قال : ارجع .   فرجع فقال : أي قل إنما أنزلت في أهل الكتاب .

وأخرج عبد بن حميد وابن جرير وأبو الشيخ عن عبد الرحمن بن أبزى عن أبيه أنه أتاه رجل من الخوارج فقرأ عليه { الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور } الآية .   ثم قال : أليس الذين كفروا بربهم يعدلون ؟ قال : بلى .   فانصرف عنه الرجل ،   فقال له رجل من القوم : يا ابن ابزى إن هذا أراد تفسير الآية غير ما ترى إنه رجل من الخوارج .   قال : ردوه علي .   فلما جاء قال : أتدري فيمن أنزلت هذه الآية ؟ قال : لا .   قال : نزلت في أهل الكتاب فلا تضعها في غير موضعها .

وأخرج ابن أبي حاتم وأبو الشيخ عن مجاهد قال : نزلت هذه الآية في الزنادقة { الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور } قال قالوا : إن الله لم يخلق الظلمة ،   ولا الخنافس ،   ولا العقارب ،   ولا شيئاً قبيحاً ،   وإنما خلق النور وكل شيء حسن ،   فأنزل فيهم هذه الآية .

وأخرج أبو الشيخ عن مجاهد قال : نزل جبريل مع سبعين ألف ملك معهم سورة الأنعام ،   لهم زجل من التسبيح والتكبير والتهليل والتحميد ،   وقال : الحمد لله الذي خلق السماوات والأرض فكان فيه رد على ثلاثة أديان منهم ،   فكان فيه رد على الدهرية لأن الأشياء كلها [  ] دائمة ،   ثم قال { وجعل الظلمات والنور } فكان فيه رد على المجوس الذين زعموا أن الظلمة والنور هما المدبران ،   وقال : { ثم الذين كفروا بربهم يعدلون } فكان فيه رد على مشركي العرب ،   ومن دعا دون الله إلهاً .

وأخرج ابن جرير عن أبي روق قال : كل شيء في القرآن ( جعل ) فهو خلق .

وأخرج أبو الشيخ عن ابن عباس { وجعل الظلمات والنور } قال : الكفر والإيمان .

وأخرج عبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ عن قتادة في قوله { الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور } قال : خلق الله السماوات قبل الأرض ،   والظلمة قبل النور ،   والجنة قبل النار { ثم الذين كفروا بربهم يعدلون } قال : كذب العادلون بالله فهؤلاء أهل الشرك .

وأخرج ابن جرير وابن أبي حاتم عن السدي في قوله { وجعل الظلمات والنور } قال : الظلمات ظلمة الليل ،   والنور نور النهار { ثم الذين كفروا بربهم يعدلون } قال : هم المشركون .

وأخرج ابن أبي شيبة وعبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ عن مجاهد في قوله { ثم الذين كفروا بربهم يعدلون } قال : يشركون .

وأخرج ابن جرير وابن أبي حاتم عن ابن زيد في قوله { ثم الذين كفروا بربهم يعدلون } قال : الآلهة التي عبدوها عدلوها بالله تعالى وليس لله عدل ،   ولا ند ،   وليس معه آلهة ،   ولا اتخذ صاحبة ولا ولداً ."
6,2,"أخرج ابن جرير وابن المنذر وابن أبي حاتم عن ابن عباس { هو الذي خلقكم من طين } يعني آدم { ثم قضى أجلاً } يعني أجل الموت { وأجل مسمى عنده } أجل الساعة والوقوف عند الله .

وأخرج الفريابي وابن أبي شيبة وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ والحاكم وصححه عن ابن عباس في قوله { ثم قضى أجلاً } قال : أجل الدنيا .   وفي لفظ : أجل موته { وأجل مسمى عنده } قال : الآخرة لا يعلمه إلا الله .

وأخرج ابن جرير وابن أبي حاتم عن ابن عباس { قضى أجلاً } قال : هو النوم ،   يقبض الله فيه الروح ثم يرجع إلى صاحبه حين اليقظة { وأجل مسمى عنده } قال : هو أجل موت الإِنسان .

وأخرج عبد بن حميد عن قتادة في قوله { هو الذي خلقكم من طين } قال : هذا بدء الخلق ،   خلق آدم من طين { ثم جعل نسله من سلالة من ماء مهين } [ السجدة : 8 ] { ثم قضى أجلاً وأجل مسمى عنده } يقول : أجل حياتك إلى يوم تموت ،   وأجل موتك إلى يوم البعث { ثم أنتم تمترون } قال : تشكون .

وأخرج عبد بن حميد وابن جرير وابن المنذر وأبو الشيخ عن مجاهد في قوله { ثم قضى أجلاً } قال : أجل الدنيا الموت { وأجل مسمى عنده } قال : الآخرة البعث .

وأخرج عبد الرزاق وابن جرير وابن المنذر وأبو الشيخ عن قتادة والحسن في قوله { قضى أجلاً } قالا : أجل الدنيا منذ خلقت إلى أن تموت { وأجل مسمى عنده } قال : يوم القيامة .

وأخرج أبو الشيخ عن يونس بن يزيد الأيلي { قضى أجلاً } قال : ما خلق في ستة أيام { وأجل مسمى عنده } قال : ما كان بعد ذلك إلى القيامة .

وأخرج ابن جرير وابن أبي حاتم وأبو الشيخ عن السدي في قوله { ثم أنتم تمترون } قال : تشكون .

وأخرج ابن أبي حاتم عن خالد بن معدان في قوله { ثم أنتم تمترون } يقول : في البعث ."
6,4,وأخرج ابن أبي حاتم عن قتادة في قوله { وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين } يقول : ما يأتيهم من شيء من كتاب الله إلا أعرضوا عنه .   وفي قوله { فقد كذبوا بالحق لما جاءهم فسوف يأتيهم أنباء ما كانوا به يستهزئون } يقول : سيأتيهم يوم القيامة أنباء ما استهزأوا به من كتاب الله عز وجل .
6,5,/ت4
6,6,"أخرج ابن أبي حاتم عن أبي مالك في قوله { من قرن } قال : أمة .

وأخرج عبد الرزاق وعبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ عن قتادة في قوله { مكناهم في الأرض ما لم نمكن لكم } يقول : أعطيناهم ما لم نعطكم .

وأخرج ابن المنذر وابن أبي حاتم وأبو الشيخ من طريق علي عن ابن عباس في قوله { وأرسلنا السماء عليهم مدراراً } يقول : يتبع بعضها بعضاً .

وأخرج ابن أبي حاتم وأبو الشيخ عن هارون التميمي في قوله { وأرسلنا السماء عليهم مدراراً } قال : المطر في إبانه ."
6,7,"أخرج ابن جرير وابن أبي حاتم من طريق العوفي عن ابن عباس في قوله { ولو نزلنا عليك كتاباً في قرطاس فلمسوه بأيديهم } يقول : لو أنزلنا من السماء صحفاً فيها كتاب فلمسوه بأيديهم لزادهم ذلك تكذيباً .

وأخرج عبد الرزاق وعبد بن حميد وابن جرير وابن أبي حاتم وأبو الشيخ عن قتادة في قوله { ولو نزلنا عليك كتاباً في قرطاس } يقول : في صحيفة .

وأخرج عبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم عن قتادة في قوله { فلمسوه بأيديهم } يقول : فعاينوه معاينة ومسوه بأيديهم .

وأخرج ابن أبي شيبة وعبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ عن مجاهد في قوله { فلمسوه بأيديهم } قال : فمسوه ونظروا إليه لم يصدقوا به ."
6,8,"أخرج ابن المنذر وابن أبي حاتم عن محمد بن إسحاق قال « دعا رسول الله صلى الله عليه وسلم قومه إلى الإِسلام وكلمهم فابلغ إليهم فيما بلغني ،   فقال له زمعة بن الأسود بن المطلب ،   والنضر بن الحارث بي كلدة ،   وعبدة بن عبد يغوث ،   وأبي خلف بن وهب ،   والعاصي بن وائل بن هشام : لو جعل معك يا محمد ملك يحدث عنك الناس ويرى معك ،   فأنزل الله في ذلك من قولهم { وقالوا لولا أنزل عليه ملك .   .   .   } الآية  » .

وأخرج عبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ عن مجاهد في قوله { وقالوا لولا أنزل عليه ملك } قال : ملك في صورة رجل { ولو أنزلنا ملكاً لقضي الأمر } قال : لقامت الساعة .

وأخرج عبد الرزاق وعبد بن حميد وابن جرير وابن المنذر وابن أبي حاتم وأبو الشيخ عن قتادة في قوله { ولو أنزلنا ملكاً لقضي الأمر } يقول : لو أنزل الله ملكاً ثم لم يؤمنوا لعجَّل لهم العذاب .

وأخرج ابن جرير وابن أبي حاتم وأبو الشيخ عن ابن عباس { ولو أنزلنا ملكاً } قال : ولو أتاهم ملك في صورته { لقضي الأمر } لأهلكناهم { ثم لا ينظرون } لا يؤخرون { ولو جعلناه ملكاً لجعلناه رجلاً } يقول : لو أتاهم ملك ما أتاهم إلا في صورة رجل لأنهم لا يستطيعون النظر إلى الملائكة { وللبسنا عليهم ما يلبسون } يقول : لخلطنا عليهم ما يخلطون ."
6,9,"وأخرج عبد بن حميد وابن جرير عن مجاهد في قوله { ولو جعلناه ملكاً لجعلناه رجلاً } قال : في صورة رجل ،   وفي خلق رجل .

وأخرج عبد الرزاق وعبد بن حميد وابن جرير وأبو الشيخ عن قتادة في قوله { ولو جعلناه ملكاً لجعلناه رجلاً } يقول : في صورة آدمي .

وأخرج ابن جرير عن ابن زيد في قوله { ولو جعلناه ملكاً لجعلناه رجلاً } قال : لجعلنا ذلك الملك في صورة رجل ،   لم نرسله في صورة الملائكة .

وأخرج ابن جرير وابن أبي حاتم عن ابن عباس { وللبسنا عليهم } يقول : شبهنا عليهم .

وأخرج ابن جرير وابن أبي حاتم وأبو الشيخ عن السدي في قوله { وللبسنا عليهم ما يلبسون } يقول : شبهنا عليهم ما يشبهون على أنفسهم .

وأخرج ابن جرير وأبو الشيخ عن قتادة في قوله { وللبسنا عليهم ما يلبسون } يقول : ما لبس قوم على أنفسهم إلا لبس الله عليهم ،   واللبس إنما هو من الناس ،   قد بين الله للعباد ،   وبعث رسله ،   واتخذ عليهم الحجة ،   وأراهم الآيات ،   وقدم إليهم بالوعيد ."
6,10,"أخرج ابن المنذر وابي أبي حاتم عن محمد بن إسحاق قال « مر رسول الله صلى الله عليه وسلم فيما بلغني بالوليد بن المغيرة ،   وأمية بن خلف ،   وأبي جهل بن هشام ،   فهمزوه واستهزأوا به ،   فغاظه ذلك ،   فأنزل الله { ولقد استهزىء برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزؤون }  » .

وأخرج ابن جرير وابن أبي حاتم وأبو الشيخ عن السدي في قوله { فحاق بالذين سخروا منهم } من الرسل { ما كانوا به يستهزؤون } يقول : وقع بهم العذاب الذي استهزأوا به ."
6,11,أخرج ابن جرير وابن المنذر وابن أبي حاتم عن قتادة في قوله { قل سيروا في الأرض ثم انظروا كيف كان عاقبة المكذبين } قال : بئس - والله - ما كان عاقبة المكذبين ،   دمر الله عليهم وأهلكهم ثم صيرهم إلى النار .
