surah_number,ayah_number,tafsir_text
68,1,"وقوله تعالى : { ن } كقوله تعالى : { ص والقرآن } [ ص : 1 ] وجواب القسم الجملة المنفية بعدها .

واختلفوا في تفسير ذلك ،   فقال ابن عباس رضي الله عنهما : هو الحوت الذي على ظهره الأرض وهو قول مجاهد ومقاتل والسدّي والكلبي ،   وروى أبو طيبان عن ابن عباس رضي الله عنهما قال : «أول ما خلق الله تعالى القلم فجرى بما هو كائن إلى يوم القيامة ،   ثم خلق النون فبسط الأرض على ظهره فتحرك النون فمادت الأرض فأثبتت بالجبال ،   فإن الجبال لتفخر على الأرض ،   ثم قرأ ابن عباس : { ن } الآية » .

واختلفوا في اسمه فقال الكلبي ومقاتل : يهموت ،   وقال الواقدي : ليوثا ،   وقال كعب : لوثا ،   وقال علي : تلهوت ،   وقال الرواة : لما خلق الله تعالى الأرض وفتقها ،   بعث من تحت العرش ملكاً فهبط إلى الأرض حتى دخل تحت الأرضين حتى ضبطها ،   فلم يكن لقدميه موضع قرار ،   فأهبط الله عز وجل من الفردوس ثوراً له أربعون ألف قرن وأربعون ألف قائمة ،   وجعل قرار قدم الملك على سنامه فلم تستقر قدماه ،   فأخذ الله تعالى ياقوتة خضراء من أعلى درجة الفردوس غلظها خمسمائة عام ،   ووضعها بين سنام الثور إلى أذنه فاستقرت عليها قدماه ،   وقرون ذلك الثور خارجة من أقطار الأرض ،   ومنخراه في البحر فهو يتنفس كل يوم نفساً ،   فإذا تنفس يمتد البحر وإذا ردّ نفسه جزر البحر ،   فلم يكن لقوائم الثور موضع قرار ،   فخلق الله تعالى صخرة كغلظ سبع سموات وسبع أرضين فاستقرت قوائم الثور عليها ،   وهي الصخرة التي قال لقمان لابنه : فتكن في صخرة .   ولم يكن للصخرة مستقر ،   فخلق الله تعالى نوناً وهو الحوت العظيم ووضع الصخرة على ظهره وسائر جسده خال والحوت على البحر ،   والبحر على متن الريح ،   والريح على القدرة ثقل الدنيا كلها بما عليها حرفان قال لها الجبار : كوني فكانت .

قال كعب الأحبار : إن إبليس تغلغل إلى الحوت الذي على ظهره الأرض ،   فوسوس إليه فقال له : أتدري ما على ظهرك يا لويثا من الأمم والدواب والشجر والجبال ،   لو نفضتهم ألقيتهم عن ظهرك ،   فهمّ لويثا أن يفعل فبعث الله تعالى دابة فدخلت منخره فوصلت إلى دماغه ،   فعج الحوت إلى الله تعالى منها ،   فأذن الله تعالى لها فخرجت ،   فوالذي نفسي بيده إنه لينظر إليها وتنظر إليه إن همّ بشيء من ذلك عادت إليه كما كانت .

وقال بعضهم : نون آخر حروف الرحمن وهي رواية عكرمة عن ابن عباس رضي الله عنهما ،   وقال الحسن وقتادة والضحاك : النون : الدواة ،   وهو مروي أيضاً عن ابن عباس رضي الله عنهما ،   وقال القرطبي : عن أبي هريرة رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم يقول : «أول ما خلق الله القلم ثم خلق النون وهي الدواة » .   ومنه قول الشاعر :

إذا ما الشوق برح بي إليهم *** ألقت النون بالدمع السجام

ويكون على هذا أقسم بالدواة والقلم ،   فإن المنفعة بهما عظيمة بسبب الكتابة ،   فإن التفاهم يحصل تارة بالنطق وتارة بالكتابة ،   وقيل : النون : لوح من نور تكتب فيه الملائكة ما يؤمرون به ،   رواه معاوية بن قرة مرفوعاً ،   وقيل : النون : هو المداد الذي تكتب به الملائكة .   وقال عطاء وأبو العالية : هو افتتاح اسمه تعالى نصير ونور وناصر .

وقال محمد بن كعب : أقسم الله تعالى بنصرة المؤمنين .

وقال الزمخشري : هذا الحرف من حروف المعجم ،   وأما قولهم : هو الدواة فما أدري أهو وضع لغوي أم شرعي ولا يخلو إذا كان اسماً للدواة من أن يكون جنساً أو علماً ،   فإن كان جنساً فأين الإعراب والتنوين ،   وإن كان علماً فأين الإعراب وأيهما كان فلا بد له من موقع في تأليف الكلام .   فإن قلت : هو مقسم به وجب إن كان جنساً أن تجره وتنونه ،   ويكون القسم بدواة منكرة مجهولة ،   كأنه قيل : ودواة { والقلم } وإن كان علماً أن تصرفه وتجره أو لا تصرفه وتفتحه للعملية والتأنيث .

وكذلك التفسير بالحوت إما أن يراد نون من النينان ،   أو يجعل علماً لليهموت الذي يزعمون والتفسير باللوح من نور أو ذهب والنهر في الجنة نحو ذلك ا .  ه .

تنبيه : في القلم المقسم به قولان : أحدهما : أن المراد به الجنس وهو واقع على كل قلم يكتب به في السماء والأرض ،   قال تعالى : { وربك الأكرم 3 الذي علم بالقلم 4 علم الإنسان ما لم يعلم } [ العلق : 3  5 ] ولأنه ينتفع به كما ينتفع بالنطق ،   قال تعالى : { خلق الإنسان 3 علمه البيان } [ الرحمن : 3  4 ] ،   فالقلم يبين كما يبين اللسان في المخاطبة بالكتابة للغائب والحاضر ،   والثاني : أنه القلم الذي جاء في الخبر عن ابن عباس رضي الله عنهما : أول ما خلق الله تعالى القلم ،   ثم قال له : اكتب ،   قال : ما أكتب ؟ قال : ما كان وما هو كائن إلى يوم القيامة من عمل أو أجل أو رزق أو أثر ،   فجرى القلم بما هو كائن إلى يوم القيامة ،   قال : ثم ختم فم القلم فلم ينطق ولا ينطق إلى يوم القيامة ،   قال : وهو قلم من نور طوله كما بين السماء والأرض .

وروى مجاهد أول ما خلق الله تعالى القلم فقال : اكتب المقدر ،   فكتب ما هو كائن إلى يوم القيامة ،   وإنما يجري في الناس على أمر قد فرغ منه ،   قال ابن عادل : قال القاضي : هذا الخبر يجب حمله على المجاز ،   لأن القلم آلة مخصوصة للكتابة لا يجوز أن يكون حياً عاقلاً فيؤمر وينهى ،   فإن الجمع بين كونه حيواناً مكلفاً وبين كونه آلة للكتابة محال ،   بل المراد منه إنه تعالى أجراه بكل ما يكون وهو قوله تعالى : { إذا قضى أمراً فإنما يقول له كن فيكون } [ آل عمران : 47 ] فإنه ليس هناك أمر ولا تكليف بل هو مجرد نفاذ القدرة في المقدور من غير منازعة ولا مدافعة ،   اه .

وقوله : فإن الجمع إلى قوله : محال ،   ممنوع فإن الله تعالى خلق فيه ذلك كما قال تعالى للسموات والأرض : { ائتيا طوعاً أو كرهاً قالتا أتينا طائعين } [ فصلت : 11 ] وقال الزمخشري : أقسم بالقلم تعظيماً له لما في خلقه وتسويته من الدلالة على الحكمة العظيمة ،   ولما فيه من المنافع والفوائد التي لا يحيطها الوصف .

وقيل : القلم المذكور هاهنا هو العقل وإنه شيء كالأصل لجميع المخلوقات ،   قالوا : والدليل عليه أنه روي في الأخبار : أول ما خلق الله تعالى القلم ،   وفي خبر آخر : «أول ما خلق الله تعالى العقل ،   فقال الجبار : ما خلقت خلقاً أعجب إليَّ منك وعزتي وجلالي لأكملنك فيمن أحببت ولأنقصنك فيمن أبغضت ،   قال : ثم قال رسول الله صلى الله عليه وسلم أكمل الناس عقلاً أطوعهم لله وأعلمهم بطاعته » .   وفي خبر آخر : أول ما خلق الله تعالى جوهرة فنظر إليها بعين الهيبة فذابت وسخنت فارتفع منها دخان وزبد ،   فخلق من الدخان السماوات ومن الزبد الأرض ،   قالوا : وهذه الأخبار بمجموعها تدل على أن القلم والعقل وتلك الجوهرة التي هي أصل المخلوقات ،   شيء واحد ،   وإلا حصل التناقض .   وقال البغوي : القلم هو الذي كتب الله به الذكر وهو قلم من نور طوله ما بين السماء والأرض ،   ويقال : أول ما خلق الله تعالى القلم ونظر إليه فانشق نصفين ثم قال : اجر بما هو كائن إلى يوم القيامة فجرى على اللوح المحفوظ بذلك .

وقرأ قالون وابن كثير وأبو عمرو وحفص وحمزة وورش بخلاف عنه بإظهار النون عند الواو هنا والباقون بالإدغام .

{ وما يسطرون } أي : الملائكة من الخير والصلاح ،   وقيل : وما تكتبه الملائكة الحفظة من أعمال بني آدم ،   وقيل : ما يكتبون ،   أي : الناس ويتفاهمون به ،   وقال ابن عباس رضي الله عنهما : معنى { وما يسطرون } : وما يعملون ،   وما موصولة أو مصدرية .   قال الزمخشري : ويجوز أن يراد بالقلم أصحابه فيكون الضمير في يسطرون لهم ،   كأنه قيل : وأصحاب القلم ومسطوراتهم أو وسطرهم ،   ويراد بهم كل من يسطر أو الحفظة ،   وقال البقاعي : وما يسطرون ،   أي : قلم القدرة وجمعه وأجراه مجرى أولي العلم للتعظيم ،   لأنه فعل أفعالهم ،   أو الأقلام على إرادة الجنس ،   ويجوز أن يكون الإسناد إلى الكاتبين به لما دل عليهم من ذكره ،   وإما الملائكة إن كان المراد ما كتب في الكتاب المبين واللوح المحفوظ وغيره مما يكتبونه ،   وإما كل من يكتب منهم ومن غيرهم ."
68,2,"وقوله تعالى : { ما أنت } أي : يا أعلى المتأهلين لخطابنا { بنعمة } أي : بسبب إنعام { ربك } أي : المربي لك بمثل تلك الهمم العالية والسجايا الكاملة ،   بأن خصك بالقرآن الذي هو الجامع لكل علم وحكمة { بمجنون } جواب القسم ،   وهو نفي ،   قال الزجاج : أنت هو اسم ما وبمجنون الخبر .   وقوله تعالى : { بنعمة ربك } كلام وقع في الوسط ،   أي : انتفى ذلك الجنون بنعمة ربك ،   كما يقال : أنت بحمد ربك عاقل بل الذي وصفك بهذا هو الحقيق باسم الجنون ،   وقال البغوي : ما أنت بنعمة ربك بنبوة ربك بمجنون ،   أي : إنك لا تكون مجنوناً وقد أنعم الله تعالى عليك بالنبوة والحكمة ،   وقيل : بعصمة ربك ،   وقيل : هو كما يقال : ما أنت بمجنون والحمد لله ،   وقيل : معناه ما أنت بمجنون والنعمة لربك ،   كقولهم : سبحانك اللهمّ وبحمدك ،   أي : والحمد لك .

وروي عن ابن عباس رضي الله عنهما : «أنه صلى الله عليه وسلم غاب عن خديجة إلى حراء فطلبته فلم تجده ،   فإذا به ووجهه متغير امتلأ غباراً ،   فقالت له : ما لك ،   فذكر جبريل عليه السلام وأنه قال له : { اقرأ باسم ربك } [ العلق : 1 ] فهو أول ما نزل من القرآن قال : ثم نزل بي إلى قرار الأرض ،   فتوضأ وتوضأت ثم صلى وصليت معه ركعتين ،   وقال : هكذا الصلاة يا محمد ،   فذكر النبي صلى الله عليه وسلم ذلك لخديجة فذهبت به خديجة إلى ورقة بن نوفل ،   وهو ابن عمها ،   وكان قد خالف دين قومه ودخل في النصرانية ،   فسألته فقال : أرسلي إلي محمداً فأرسلته ،   فقال : هل أمرك جبريل عليه السلام أن تدعو أحداً ،   قال : لا فقال : والله لئن بقيت إلى دعوتك لأنصرنك نصراً عزيزاً ،   ثم مات قبل دعاء الرسول صلى الله عليه وسلم .   ووقعت تلك الواقعة في ألسنة كفار قريش فقالوا : إنه مجنون ،   وأقسم الله تعالى على أنه ليس بمجنون ،   وهو خمس آيات من أول هذه السورة .

وقال ابن عباس : أول ما نزل قوله تعالى : «سبح اسم ربك الأعلى » [ الأعلى : 1 ] وهذه الآية هي الثانية نقله الرازي ،   وذكر القرطبي أن المشركين كانوا يقولون للنبيّ صلى الله عليه وسلم مجنون به شيطان ،   وهو قولهم : { يا أيها الذي نزل عليه الذكر إنك لمجنون } [ الحجر : 6 ] فأنزل الله تعالى رداً عليهم وتكذيباً لقولهم : { فما أنت بنعمة ربك بكاهن ولا مجنون } [ الطور : 29 ] ،   أي : برحمة ربك والنعمة هاهنا الرحمة ،   وقال عطاء وابن عباس : يريد بنعمة ربك عليك بالإيمان والنبوة ،   وقال القرطبي : يحتمل أن النعمة هاهنا قسم ،   تقديره ما أنت ونعمة ربك بمجنون ،   لأن الواو والباء من حروف القسم .

وقال الرازي : إنه تعالى وصفه بصفات ثلاث :

الأولى : نفي الجنون عنه ،   ثم قرن بهذه الدعوى ما يكون كالدلالة القاطعة على صحتها ،   لأن قوله : { بنعمة ربك } يدل على أن نعم الله تعالى ظاهرة في حقه ،   من الفصاحة التامة والعقل الكامل ،   والسيرة المرضية والبراءة من كل عيب والاتصاف بكل مكرمة ،   وإذا كانت هذه النعم المحسوسة ظاهرة ووجودها ينافي حصول الجنون ،   فالله تعالى نبه على أن هذه الدقيقة جارية مجرى الدلالة اليقينية على كذبهم في قولهم : مجنون ."
68,3,"الصفة الثانية : قوله تعالى : { وإنّ لك } أي : على ما تحملت من أثقال النبوة وعلى صبرك عليهم فيما يرمونك به وهو تسلية له صلى الله عليه وسلم { لأجرا } ،   أي : ثواباً { غير ممنون } أي : مقطوع ولا منقوص في دنيا ولا آخرة ،   يقال : مان الشيء إذا ضعف .   ويقال : مننت الحبل إذا قطعته ،   وحبل منين إذا كان غير متين ،   قال لبيد :

غبساً كواسب لا يمنّ طعامها ***

أي : لا يقطع ،   يصف كلاباً ضارية .   ونظيره قوله تعالى : { غير مجذوذ } [ هود : 108 ] وقال مجاهد ومقاتل والكلبي : غير ممنون ،   أي : غير محسوب عليك .   قال الزمخشري : لأنه ثواب تستحقه على عملك وليس بتفضل ابتداء ،   وإنما تمن الفواضل لا الأجور على الأعمال ،   انتهى .   وهذا قول المعتزلة ،   فإن الله تعالى لا يجب عليه شيء .   وقال الحسن : غير مكدر بالمن .   وقال الضحاك رضي الله تعالى عنه : أجراً بغير عمل .   واختلفوا في هذا الأجر على أي شيء حصل ،   فقيل : معناه ما مرّ وقيل : معناه أنّ لك على احتمال هذا الطعن والقول القبيح أجراً عظيماً دائماً ،   وقيل : إن لك في إظهار النبوة والمعجزات ،   وفي دعاء الخلق إلى الله تعالى ،   وفي بيان الشرع لهم هذا الأجر الخالص الدائم ،   فلا تمنعنك نسبتهم إياك إلى الجنون عن الاشتغال بهذا المهم العظيم ،   فإن لك بسببه المنزلة العالية ."
68,4,"الصفة الثالثة : قوله تعالى : { وإنك لعلى خلق عظيم } استعظم خلقه لفرط احتمال الممضات من قومه وحسن مخالقته ومداراته لهم ،   قال ابن عباس ومجاهد : على دين عظيم من الأديان ليس دين أحب إلى الله تعالى ،   ولا أرضى عنده منه ،   وروى مسلم عن عائشة : «أنّ خُلقه كان القرآن » .   وقال علي : هو أدب القرآن ،   وقيل : رفقه بأمته وإكرامه إياهم ،   وقال قتادة : هو ما كان يأتمر به من الله وينتهي عنه بما نهى الله تعالى عنه ،   وقيل : إنك على طبع كريم ،   وقيل : هو الخلق الذي أمر الله تعالى به في قوله تعالى : { خذ العفو وأمر بالعرف وأعرض عن الجاهلين } [ الأعراف : 199 ] .

وقال الماوردي : حقيقة الخلق في اللغة ما يأخذه الإنسان في نفسه من الأدب ،   سمي خلقاً لأنه يصير كالخلقة فيه ،   فأما ما طبع عليه من الأدب فهو الخيم ،   فيكون الخلق الطبع المتكلف والخيم الطبع الغريزي .

قال القرطبي : ما ذكره مسلم في صحيحه عن عائشة أصح الأقوال ،   وسئلت أيضاً عن خلقه صلى الله عليه وسلم «فقرأت { قد أفلح المؤمنون } إلى عشر آيات » .   قال الرازي : وهذا إشارة إلى أن نفسه القدسية الشريفة كانت بالطبع منجذبة إلى عالم الغيب ،   وإلى كل ما يتعلق به وكانت شديدة التعري عن اللذات البدنية والسعادات الدنيوية بالطبع ،   ومقتضى الفطرة وقالت : «ما كان أحد أحسن خلقاً من رسول الله صلى الله عليه وسلم ما دعاه أحد من الصحابة ولا من أهل بيته إلا قال : لبيك ،   ولذلك قال الله تعالى : { وإنك لعلى خلق عظيم } ولم يذكر خلق محمود إلا وكان للنبي صلى الله عليه وسلم منه الحظ الأوفر » .

وقال الجنيد : سمي خلقه عظيماً لاجتماع مكارم الأخلاق فيه ،   بدليل قوله صلى الله عليه وسلم «إن الله بعثني لتمام مكارم الأخلاق وتمام محاسن الأفعال » .   وعن أبي إسحاق قال : سمعت البراء يقول : «كان رسول الله صلى الله عليه وسلم أحسن الناس وجهاً ،   وأحسن الناس خلقاً ،   ليس بالطويل البائن ولا بالقصير » .   وعن أنس بن مالك قال : «خدمت رسول الله صلى الله عليه وسلم عشر سنين فما قال لي أف قط ،   وما قال لشيء صنعته : لم صنعته ،   ولا لشيء تركته : لم تركته ،   وكان رسول الله صلى الله عليه وسلم من أحسن الناس خلقاً ،   ولا مسست خزاً قط ولا حريراً ولا شيئاً كان ألين من كف رسول الله صلى الله عليه وسلم ،   ولا شممت مسكاً ولا عنبراً كان أطيب من عرق رسول الله صلى الله عليه وسلم .   وعن ابن عمر «أنّ رسول الله صلى الله عليه وسلم لم يكن فاحشاً ولا متفحشاً ،   وكان يقول : خياركم أحسنكم أخلاقاً » .   وعن أنس «أن امرأة عرضت لرسول الله صلى الله عليه وسلم في طريق من طرق المدينة ،   فقالت : يا رسول الله إن لي إليك حاجة فقال : يا أم فلان اجلسي في أي سكك المدينة شئت أجلس إليك قال : ففعلت فقعد إليها رسول الله صلى الله عليه وسلم حتى قضيت حاجتها » .   وعن أنس بن مالك قال : «كانت الأمة من إماء أهل المدينة لتأخذ بيد رسول الله صلى الله عليه وسلم فتنطلق به حيث شاءت » .   وعن أنس أيضاً : «إن رسول الله صلى الله عليه وسلم كان إذا صافح رجلاً لم ينزع يده حتى يكون هو الذي يصرف وجهه عن وجهه ولم ير مقدماً ركبتيه بين يدي جليس له » .   وعن عائشة قالت : «ما ضرب رسول الله صلى الله عليه وسلم بيده شيئاً قط إلا أن يجاهد في سبيل الله تعالى ،   ولا ضرب خادماً ولا امرأة » .   وعنها قالت : «ما خير رسول الله صلى الله عليه وسلم في أمرين قط إلا اختار أيسرهما ما لم يكن إثماً ،   فإن كان إثماً كان أبعد الناس منه ،   وما انتقم رسول الله صلى الله عليه وسلم لنفسه في شيء قط إلا أن تنتهك حرمة الله فينتقم » .   وعن أنس قال : «كنت أمشي مع النبي صلى الله عليه وسلم وعليه برد نجراني غليظ الحاشية فأدركه أعرابي فجبذه جبذة شديدة حتى نظرت إلى صفحة عاتق رسول الله صلى الله عليه وسلم قد أثرت بها حاشية البرد من شدة جبذته ،   ثم قال : مر لي من مال الله الذي عندك ،   فالتفت إليه رسول الله صلى الله عليه وسلم وضحك وأمر له بعطاء » .

وعنه قال : «كان رسول الله صلى الله عليه وسلم أحسن الناس خلقاً ،   وكان لي أخ يقال له : أبو عمير وهو فطيم ،   كان إذا جاءنا قال : يا أبا عمير ما فعل النغير لنغير كان يلعب به » .   والنغير طائر صغير يشبه العصفور إلا أنه أحمر المنقار .   وعن الأسود قال : «سألت عائشة : ما كان رسول الله صلى الله عليه وسلم يفعل في بيته ؟ قالت : كان في مهنة أهله ،   فإذا حضرت الصلاة توضأ ويخرج إلى الصلاة » .   والمهنة : الخدمة ،   وعن عبد الله بن الحرث قال : «ما رأيت أحداً أكثر تبسماً من رسول الله صلى الله عليه وسلم .

وعن أم الدرداء تحدث عن أبي الدرداء عن رسول الله صلى الله عليه وسلم قال :«إن أثقل شيء يوضع في ميزان المؤمن يوم القيامة خلق حسن ،   وإن الله يبغض الفاحش البذيء » .   وعن أبي هريرة «أن رسول الله صلى الله عليه وسلم قال لأصحابه : أتدرون أكثر ما يدخل الناس النار ؟ قالوا : الله ورسوله أعلم قال : فإن أكثر ما يدخل الناس النار الأجوفان الفرج والفم ،   أتدرون أكثر ما يدخل الناس الجنة ؟ قالوا : الله ورسوله أعلم .   قال : فإن أكثر ما يدخل الناس الجنة تقوى الله وحسن الخلق » .

وعن عائشة قالت : سمعت رسول الله صلى الله عليه وسلم يقول : «إن المؤمن يدرك بحسن خلقه درجة قائم الليل وصائم النهار » ."
68,5,{ فستبصر } أي : فستعلم عن قرب بوعد لا خلف فيه علماً أنت في تحققه كالمبصر بالحس الباصر { ويبصرون } أي : يعلم الذين رموك بالبهتان علماً هو كذلك .
68,6,"وقوله تعالى : { بأييكم المفتون } فيه أربعة أوجه :

أحدها : أن الباء مزيدة في المبتدأ ،   والتقدير : أيكم المفتون ،   فزيدت كزيادتها في نحو : بحسبك زيد ،   وإلى هذا ذهب قتادة ،   قال ابن عادل : إلا أنه ضعيف من حيث إن الباء لا تزاد في المبتدأ إلا في حسبك فقط .

الثاني : أن الباء بمعنى في فهي ظرفية كقولك : زيد بالبصرة ،   أي : فيها ،   والمعنى : في أي فرقة وطائفة منكم المفتون ،   أي : المجنون أفي فرقة الإسلام ،   أم في فرقة الكفر ؟ وإليه ذهب مجاهد والفراء .

الثالث : أنه على حذف مضاف ،   أي : بأيكم فتن المفتون فحذف المضاف وأقيم المضاف إليه مقامه ،   وإليه ذهب الأخفش وتكون الباء سببية .

الرابع : أن المفتون مصدر جاء على مفعول كالمقتول والميسور ،   والتقدير : بأيكم الفتنة ،   وقيل : المفتون المعذب من قول العرب : فتنت الذهب بالنار إذا أحميته ،   قال تعالى : { يوم هم على النار يفتنون } [ الذاريات : 13 ] ،   أي : يعذبون ،   وقيل : الشيطان لأنه مفتون في دينه وكانوا يقولون : إنه به شيطان وعنوا بالمجنون هذا ،   فقال تعالى : سيعلمون غداً بأيهم الشيطان الذي يحصل من مسه الجنون واختلاط العقل .

فائدة : { بأييكم } رسمت هاهنا بياءين ."
68,7,"{ إن ربك } أي : الذي رباك أحسن تربية وفضلك على سائر الخلائق { هو } أي : وحده { أعلم } أي : من كل أحد { بمن ضلّ } أي : حاد { عن سبيله } أي : دينه وسلك غير سبيل القصد وأخطأ موضع الرشد { وهو } أي : وحده { أعلم بالمهتدين } أي : الثابتين على الهدى ،   وهم أولوا الأحلام والنهى ،   أي : لذو علم بمعنى عالم .

تنبيه : قوله تعالى : { وهو أعلم } { وهو مكظوم } { وهو مذموم } قرأه قالون وأبو عمرو والكسائي بسكون الهاء ،   والباقون بضمها ."
68,8,وقوله تعالى : { فلا تطع المكذبين } أي : العريقين في التكذيب وهم مشركو مكة ،   فإنهم كانوا يدعونه إلى دين آبائه فنهاه أن يطيعهم ،   ينتج التصميم على معاداتهم .
68,9,"{ ودّوا } أي : تمنوا وأحبوا محبة واسعة متجاوزة للحدّ قديماً مع الاستمرار على ذلك { لو } مصدرية { تدهن فيدهنون } قال الضحاك : لو تكفر فيكفرون .   وقال الكلبي : لو تلين لهم فيلينون لك .   وقال الحسن : لو تصانعهم في دينك فيصانعونك في دينهم .   وقال زيد بن أسلم : لو تنافق وترائي فينافقون ويراؤون .   وقال ابن قتيبة : أرادوا أن يعبد آلهتهم مدّة ويعبدون الله مدة .   وقال ابن العربي : ذكر المفسرون في ذلك نحو عشرة أقوال كلها دعاوى على اللغة ،   والمعنى وأمثلها : ودّوا لو تكذب فيكذبون ،   ودّوا لو تكفر فيكفرون .   وقال القرطبي : كلها إن شاء الله تعالى صحيحة على مقتضى اللغة والمعنى .

تنبيه : في رفع فيدهنون وجهان : أحدهما : أنه عطف على تدهن فيكون داخلاً في حيّز لو ،   والثاني : أنه خبر مبتدأ مضمر ،   أي : فهم يدهنون .   وقال الزمخشري : فإن قلت لم رفع فيدهنون ولم ينصب بإضمار أن وهو جواب التمني ،   قلت : قد عدل به إلى طريق آخر وهو أن جعل خبر مبتدأ محذوف ،   أي : فهم يدهنون ،   كقوله تعالى : { فمن يؤمن بربه فلا يخاف بخساً } [ الجن : 13 ] على معنى : ودّوا لو تدهن فهم يدهنون حينئذ أو ودّوا إدهانك ،   فهم الآن يدهنون لطمعهم في إدهانك ."
68,10,واختلفوا في سبب نزول قوله تعالى : { ولا تطع كل حلاف } ،   أي : كثير الحلف بالباطل فقال مقاتل : يعني الوليد بن المغيرة ،   عرض على النبي صلى الله عليه وسلم مالاً وحلف له أن يعطيه إن رجع عن دينه ،   وقال ابن عباس : هو أبو جهل بن هشام .   وقال عطاء : هو الأخنس بن شريق ؛ لأنه حليف ملحق في بني زهرة ،   فلذلك سمة زنيماً ،   وقال مجاهد : هو الأسود بن عبد يغوث .   { مهين } ،   أي : ضعيف حقير .   قيل : هو فعيل من المهانة وهي قلة الرأي والتمييز .   وقال ابن عباس : كذاب وهو قريب من الأول ،   لأن الإنسان إنما يكذب لمهانة نفسه عليه .   وقال الحسن وقتادة : هو المكار في الشر ،   وقال الكلبي : المهين العاجز .
