surah_number,ayah_number,tafsir_text
85,1,هي البروج الإثنا عشر ،   وهي قصور السماء على التشبيه .   وقيل : { البروج } النجوم التي هي منازل القمر .   وقيل : عظام الكواكب .   سميت بروجاً لظهورها .   وقيل : أبواب السماء .
85,2,{ واليوم الموعود ( 2 ) } يوم القيامة .
85,3,{ وشاهد وَمَشْهُودٍ ( 3 ) } يعني وشاهد في ذلك اليوم ومشهود فيه والمراد بالشاهد : من يشهد فيه من الخلائق كلهم ؛ وبالمشهود : ما في ذلك اليوم من عجائبه وطريق تنكيرهما : إما ما ذكرته في قوله : { عَلِمَتْ نَفْسٌ مَّا أَحْضَرَتْ } [ التكوير : 14 ] كأنه قيل : وما أفرطت كثرته من شاهد ومشهود .   وإما الإبهام في الوصف ،   كأنه قيل : وشاهد مشهود لا يكتنه وصفهما .   وقد اضطربت أقاويل المفسرين فيهما ؛ فقيل : الشاهد والمشهود : محمد صلى الله عليه وسلم ،   ويوم القيامة .   وقيل : عيسى وأمّته .   لقوله : { وَكُنتُ عَلَيْهِمْ شَهِيداً مَّا دُمْتُ فِيهِمْ } [ المائدة : 117 ] ،   وقيل : أمّة محمد ،   وسائر الأمم : وقيل : يوم التروية ،   ويوم عرفة ،   وقيل : يوم عرفة ،   ويوم الجمعة .   وقيل الحجر الأسود والحجيج وقيل الأيام والليالي وبنو آدم وعن الحسن ما من يوم إلا وينادى : إني يوم جديد وإني على ما يعمل فيّ شهيد ؛ فاغتنمني ،   فلو غابت شمس لم تدركني إلى يوم القيامة ؛ وقيل : الحفظة وبنو آدم .   وقيل : الأنبياء ومحمد صلى الله عليه وسلم .
85,4,"فإن قلت : أين جواب القسم ؟ قلت : محذوف يدل عليه قوله : { قُتِلَ أصحاب الأخدود } كأنه قيل : أقسم بهذه الأشياء أنهم ملعونون ،   يعني كفار قريش كما لعن أصحاب الأخدود ؛ وذلك أن السورة وردت في تثبيت المؤمنين وتصبيرهم على أذى أهل مكة ،   وتذكيرهم بما جرى على من تقدّمهم : من التعذيب على الإيمان .   وإلحاق أنواع الأذى ،   وصبرهم وثباتهم ،   حتى يأنسوا بهم ويصبروا على ما كانوا يلقون من قومهم ،   ويعلموا أن كفارهم عند الله بمنزلة أولئك المعذبين المحرّقين بالنار ،   ملعونون أحقاء بأن يقال فيهم : قتلت قريش ،   كما قيل : قتل أصحاب الأخدود وقتل : دعاء عليهم ،   كقوله : { قُتِلَ الإنسان مَا أَكْفَرَهُ } [ عبس : 17 ] وقرىء «قتل » بالتشديد .   والأخدود : الخدّ في الأرض وهو الشق ،   ونحوهما بناء ومعنى : الخق والأخقوق .   ومنه فساخت قوائمه في أخاقيق جرذان .   روي عن النبي صلى الله عليه وسلم أنه قال :  ""  كان لبعض الملوك ساحر ،   فلما كبر ضمّ إليه غلاماً ليعلمه السحر ،   وكان في طريق الغلام راهب : فسمع منه ،   فرأى في طريقه ذات يوم دابة قد حبست الناس .   فأخذ حجراً فقال : اللهم إن كان الراهب أحبّ إليك من الساحر فاقتلها فقتلها ؛ وكان الغلام بعد ذلك يبريء الأكمه والأبرص ،   ويشفي من الأدواء ،   وعمي جليس للملك فأبرأه فأبصره الملك فسأله فقال : من ردّ عليك بصرك ؟ فقال : ربي ،   فغضب فعذبه .   فدل على الغلام فعذبه ،   فدل على الراهب ،   فلم يرجع الراهب عن دينه ،   فقدّ بالمنشار وأبي الغلام فذهب به إلى جبل ليطرح من ذروته ،   فدعا فرجف بالقوم ،   فطاحوا ونجا ،   فذهب به إلى قرقور فلججوا به ليغرقوه ،   فدعا فانكفأت بهم السفينة ،   فغرقوا ونجا ،   فقال للملك : لست بقاتلي حتى تجمع الناس في صعيد وتصلبني على جذع وتأخذ سهماً من كنانتي وتقول : بسم الله رب الغلام ،   ثم ترميني به ،   فرماه فرقع في صدغه فوضع يده عليه ومات ؛ فقال الناس : أمنا برب الغلام ؛ فقيل للملك .   نزل بك ما كنت تحذر ؛ فأمر بأخاديد في أفواه السكك وأوقدت فيها النيران فمن لم يرجع منهم طرحه فيها حتى جاءت امرأة معها صبي فتقاعست أن تقع فيها ،   فقال الصبي : يا أماه ،   أصبري فإنك على الحق ؛ فاقتحمت .   وقيل : قال لها قعى ولا تنافقي .   وقيل : قال لها ما هي إلا غميضة فصبرت  ""  وعن علي رضي الله عنه : أنهم حين اختفلوا في أحكام المجوس قال : هم أهل كتاب وكانوا متمسكين بكتابهم ،   وكانت الخمر قد أحلت لهم ،   فتناولها بعض ملوكهم فسكر ،   فوقع على أخته فلما صحا ندم وطلب المخرج ،   فقالت له : المخرج أن تخطب الناس فتقول : يا أيها الناس ،   إنّ الله قد أحل نكاح الأخوات ،   ثم تخطبهم بعد ذلك فتقول : إن الله حرّمه ؛ فخطب فلم يقبلوا منه فقالت له : ابسط فيهم السوط ؛ فلم يقبلوا ؛ فقالت له : ابسط فيهم السيف ،   فلم يقبلوا ؛ فأمرته بالأخاديد وإيقاد النيران وطرح من أبى فيها ؛ فهم الذين أرادهم الله بقوله : { قُتِلَ أصحاب الاخدود ( 44 ) } وقيل : وقع إلى نجران رجل ممن كان على دين عيسى عليه السلام ،   فدعاهم فأجابوه فسار إليهم ذو نواس اليهودي بجنود من حمير ،   فخيرهم بين النار واليهودية فأبوا ،   فأحرق منهم اثني عشر ألفاً في الأخاديد .

وقيل : سبعين ألفاً ؛ وذكر أنّ طول الأخدود : أربعون ذراعاً وعرضه اثنا عشر ذراعاً .   وعن النبي صلى الله عليه وسلم :  ""  أنه كان إذا ذكر أصحاب الأخدود تعوّذ من جهد البلاء  ""  ."
85,5,{ النار } بدل اشتمال ممن الأخدود { ذَاتِ الوقود } وصف لها بأنها نار عظيمة لها ما يرتفع به لهبها من الحطب الكثير وأبدان الناس ،   وقرىء «الوقود » بالضم .
85,6,"{ إِذْ } ظرف لقتل ،   أي لعنوا حين أحدقوا بالنار قاعدين حولها .   ومعنى { عَلَيْهَا } على ما يدنو منها من حافات الأخدود ،   كقوله :

وَبَاتَ عَلَى النَّارِ النَّدَى وَالْمُحَلِّقُ ***

وكما تقول : مررت عليه ،   تريد : مستعليا لمكان يدنو منه ."
85,7,ومعنى شهادتهم على إحراق المؤمنين : أنهم وكلوا بذلك وجعلوا شهوداً يشهد بعضهم لبعض عند الملك أنّ أحداً منهم لم يفرط فيما أمر به وفوض إليه من التعذيب .   ويجوز أن يراد : أنهم شهود على ما يفعلون بالمؤمنين ،   يؤدّون شهادتهم يوم القيامة { يَوْمَ تَشْهَدُ عَلَيْهِمْ أَلْسِنَتُهُمْ وَأَيْدِيهِمْ وَأَرْجُلُهُمْ بِمَا كَانُواْ يَعْمَلُونَ } [ النور : 24 ] .
85,8,"{ وَمَا نَقَمُواْ مِنْهُمْ } وما عابوا منهم وما أنكروا إلا الإيمان كقوله :

وَلاَ عَيْبَ فِيهِمْ غَيْرَ أَنْ سُيُوفَهُمْ ***

قال ابن الرقيات :

مَا نَقَمُوا مِنْ بَنِي أُمَيَّةَ إلاَّ *** أَنَّهُمْ يَحْلُمُونَ إنْ غَضِبُوا

وقرأ أبو حيوة «نقموا » بالكسر ،   والفصيح : هو الفتح ."
85,9,وذكر الأوصاف التي يستحق بها أن يؤمن به ويعبد ،   وهو كونه عزيزاً غالباً قادراً يخشى عقابه حميداً منعماً .   يجب له الحمد على نعمته ويرجى ثوابه { لَّهُ مُلْكُ السماوات والأرض } فكل من فيهما تحق عليه عبادته والخشوع له تقديراً ،   لأن { مَا نَقَمُواْ مِنْهُمْ } هو الحق الذي لا ينقمه إلا مبطل منهمك في الغيّ ،   وإن الناقمين أهل لانتقام الله منهم بعذاب لا يعدله عذاب { والله على كُلّ شَىْءٍ شَهِيدٌ } وعيد لهم ،   يعني أنه علم ما فعلوا ،   وهو مجازيهم عليه .
85,10,ويجوز أن يريد بالذين فتنوا : أصحاب الأخدود خاصة ،   وبالذين آمنوا : المطروحين في الأخدود .   ومعنى فتنوهم عذبوهم بالنار وأحرقوهم { فَلَهُمْ } في الآخرة { عَذَابُ جَهَنَّمَ } بكفرهم { وَلَهُمْ عَذَابُ الحريق } وهي نار أخرى عظيمة تتسع كما يتسع الحريق بإحراقهم المؤمنين .   أو لهم عذاب جهنم في الآخرة ،   ولهم عذاب الحريق في الدنيا ،   لما روي أن النار انقلبت عليهم فأحرقتهم .   ويجوز أن يريد : الذين فتنوا المؤمنين ،   أي : بلوهم بالأذى على العموم ؛ والمؤمنين : المفتونين ؛ وأن للفاتنين عذابين في الآخرة : لكفرهم ،   ولفتنتهم .
