surah_number,ayah_number,tafsir_text
79,1,"{ وَالنَّازِعَاتِ غَرْقاً } قال مسروق : هي الملائكة التي تنزع نفوس بني آدم ،   وهي رواية أبي صالح وعطية عن ابن عباس ،   قال أمير المؤمنين علي كرّم الله وجهه : هي الملائكة تنزع أرواح الكافر والكفرة ،   وقال ابن مسعود : يريد أنفس الكفّار ينزعها ملك الموت من أجسادهم من تحت كلّ شعرة ومن تحت الأظافير وأصول القدمين ثم يفرّقها ويرّددها في جسده بعد ما تنزع حتى إذا كادت تخرج ردّها في جسده فهذا عمله بالكفار ،   وقال مقاتل : هم [ ملك الموت ] وأعوانه ينزعون روح الكافر كما ينزع السّفود الكثير الشعب من الصوف المبتل فتخرج نفسه كالغريق في الماء .

سعيد بن جبير : نزعت أرواحهم ثم غرّقت ثم حرّقت ثم قذف بها في النار ،   وقال مجاهد هو الموت ينزع النفوس ،   السندي : هي النفس حين تغرق في الصدر ،   وقيل : يرى الكافر نفسه في وقت النزع كأنه يغرق ،   الحسن وقتادة وابن كيسان وأبو عبيدة والأخفش : هي النجوم تنزع من أفق إلى أفق تطلع ثم تغيب ،   عطاء وعكرمة : هي القسيّ ،   وقيل : الغزاة ،   الرماة ،   ومجاز الآية : والنازعات إغراقاً كما يغرق النازع في القوس إذا بلغ بها غاية المد [  .   .   .   ] الذي عند النصل الملفوف عليه ،   ويقال لقشرة البيضة الداخلة غرقي ،   وأراد بالإغراق المبالغة في النزع وهو سابغ في جميع وجوه تأويلها ."
79,2,"{ وَالنَّاشِطَاتِ نَشْطاً } قال ابن عباس : يعني الملائكة تنشط نفس المؤمن فتقبضها كما ينشط العقال من يد البعير إذا حلّ عنها وحكى الفرّاء هذا القول ثم قال : والذي سمعت من العرب أن يقولوا : أنشطت ،   وكأنما أنشط من عقال ،   وربطها نشطاً ،   والرابط : الناشط ،   وإذا ربطت الحبل في يد البعير فقد نشطته وأنت ناشط ،   وإذا حللته فقد أنشطته وأنت منشط .

وعن ابن عباس أيضاً : هي أنفس المؤمنين عند الموت ،   ينشط للخروج وذلك أنه ليس من مؤمن يحضره الموت إلاّ عرضت عليه الجنّة قبل أن يموت فيرى فيها أشباهاً من أهله وأزواجه من الحور العين فهم يدعونه إليها ،   فنفسه إليهم نشيطة ان تخرج فتأتيهم ،   وقال علي ابن أبي طالب : هي الملائكة تنشط أرواح الكفار ما بين الجلد والأظفار حتى تخرجها من أجوافها بالكرب والغمّ ،   وقال مجاهد : هو الموت ينشط نفس الإنسان ،   وقال السندي : حين ينشط من القدمين ،   عكرمة وعطا : هي الأدهان ،   قتادة والأخفش : هي النجوم تنشط من أفق إلى أُفق ،   أي تذهب ،   يقال : حمارنا ناشط ينشط من بلد إلى بلد أي يذهب ،   ويقال لبقر الوحش نواشط ،   لأنها تذهب من موضع إلى موضع .   قال الطرماح :

وهل بحليف الخيل ممّن عهدته *** به غير أحدان النواشط روّع

والهموم تنشط بصاحبها ،   قال هميان بن قحافة :

أمست همومي تنشط المناشطا *** الشام بي طوراً وطوراً واسطّا

وقال الخليل : النشط والإنشاط مدّك شيئاً إلى نفسك حتى تنحّل ."
79,3,"{ وَالسَّابِحَاتِ سَبْحاً } قال علي : هي الملائكة تسبح بأرواح المؤمنين ،   وقال الكلبي : هم الملائكة يقبضون أرواح المؤمنين كالذي يسبح في الماء فأحياناً ينغمس وأحياناً يرتفع يسلونه سلا رفيقاً ثم يدعونها حتى يستريح ،   وقال مجاهد وأبو صالح : هم الملائكة ينزلون من السماء مسرعين كما يقال للفرس الجواد ،   سابح إذا أسرع في جريه ،   وقيل : هي خيل الغزاة .   قال امرؤ القيس :

مسح إذا ما السابحات على الونى *** أثرن الغبار بالكديد المركل

وقال قتادة : هي النجوم والشمس والقمر .   قال الله سبحانه :

{ وَكُلٌّ فِي فَلَكٍ يَسْبَحُونَ } [ يس : 40 ] وقال عطا : هي السفن ."
79,4,{ فَالسَّابِقَاتِ سَبْقاً } قال مجاهد وأبو روق : سقت ابن آدم بالخير والعمل الصالح ،   مقاتل : هي الملائكة تسبق بأرواح المؤمنين إلى الجنة ،   ابن مسعود : هي أنفس المؤمنين تسبق إلى الملائكة الذين يقضونها وقد عاينت السرور شوّقا إلى لقاء الله ورحمته وكرامته ،   عطا : هي الخيل ،   قتادة : النجوم تسبق بعضها بعضاً في المسير .
79,5,"{ فَالْمُدَبِّرَاتِ أَمْراً } يعني الملائكة .

أخبرنا أبو الحسين أحمد بن محمد بن جعفر بن الطيب قال : أخبرنا أبو بكر محمد بن عمر بن حفص قال : حدّثنا محمد بن خلف قال : حدّثنا أبو نعيم قال : حدّثنا الأعمش عن عمرو ابن مرّة عن عبد الرحمن بن سابط قال : يدبّر أمر الدنيا أربعة : جبريل وميكائيل وملك الموت وإسرافيل ( عليهم السلام ) ،   فأما جبريل فوكّل بالرياح ،   وأما ميكائيل فوكّل بالقطر والنبات وأمّا ملك الموت فوكّل بقبض الأنفس ،   وأما إسرافيل فهو ينزل بالأمر عليهم ."
79,6,{ يَوْمَ تَرْجُفُ الرَّاجِفَةُ } يعني النفخة الأولى التي يتزلزل ويتحرّك لها كلّ شيء
79,7,"{ تَتْبَعُهَا الرَّادِفَةُ } وهي النفخة الأخيرة وبينهما أربعون سنة ،   قال قتادة : هما صيحتان : أما الأولى فتميت كلّ شيء بإذن الله ،   وأمّا الأخرى فتحيي كلّ شيء بإذن الله ،   وقال مجاهد : { يَوْمَ تَرْجُفُ الرَّاجِفَةُ } يعني تزلزل الأرض والجبال { تَتْبَعُهَا الرَّادِفَةُ } حين تنشق السماء ويحمل الأرض والجبال فدكتا دكة واحدة ،   عطا : الراجفة : القيامة ،   والرادفة البعث ،   ابن زيد : الراجفة : الموت ،   والرادفة : الساعة ،   وأصل : الراجفة : الصوت والحركة ومنه سميت الأراجيف لاضطراب الأصوات بها ،   وكلّ شيء ولى شيئاً وتبعه فقد ردفه .

أخبرنا ابن فنجويه قال : حدّثنا عبد الله بن محمد بن يوسف قال : حدّثنا محمد بن هارون الحضرمي قال : حدّثنا الحسن بن عرفة قال : حدّثنا قبيصة بن عقبة عن سفيان الثوري عن عبد الله ابن محمد بن عقيل عن الطفيل بن أبيّ بن كعب عن أبيّ بن كعب ،   قال :  ""  كان رسول الله صلى الله عليه وسلم إذا ذهب ربع الليل قام وقال :  ""  يا أيها الناس اذكروا الله إذكروا الله جاءت الراجفة تتبعها الرادفة جاء الموت بما فيه جاء الموت بما فيه  ""  .

واختلف العلماء في جواب القسم فقال بعض نُحاة الكوفة : جوابه مضمر مجازه : لتبعثن ولتحاسبُن ،   وقال بعض نُحاة البصرة : هو قوله : { إِنَّ فِي ذَلِكَ لَعِبْرَةً لِّمَن يَخْشَى } وقيل : في الكلام تقديم وتأخير تقديره : يوم ترجف الراجفة تتبعها الرادفة والنازعات غرقاً ."
79,8,"{ قُلُوبٌ يَوْمَئِذٍ وَاجِفَةٌ } خائفة ،   مجاهد : وجلة ،   السدي : زائلة عن أماكنها ،   نظيره

{ إِذِ الْقُلُوبُ لَدَى الْحَنَاجِرِ } [ غافر : 18 ] ،   المؤرّخ : قلقة ،   قطرب : مستوفرة ،   يمان : غير هادئة ولا ساكنة ،   أبو عمرو بن العلا : مرتكضة ،   المبرد : مضطربة من وجيف الحركات يقال : وجف القلب ووجب فهو يجف ويجب وجوفاً ووجيفاً ووجوباً ووحيباً ."
79,10,"{ يَقُولُونَ } يعني هؤلاء المكذّبين للبعث من مشركي مكّة إذا قيل لهم : إنكم مبعوثون بعد الموت .

{ أَإِنَّا لَمَرْدُودُونَ فِي الْحَافِرَةِ } أي إلى أوّل الحال وابتداء الأمر فراجعون أحياء كما كنّا قبل حياتنا وهو من قول العرب : رجع فلان على حافرته إذا أرجع من حيث جاء ،   وقال الشاعر :

أحافرة على صلع وشيب *** معاذ الله من سفه وعار

ويقال : البعد عند الحافر وعند الحافرة أي في العاجل عند ابتداء الأمر وأول سومه ،   والتقى القوم فاقتتلوا عند الحافرة أي عند أول كلمة .

أخبرنا أبو بكر الجمشادي قال : أخبرنا أبو بكر القطيعي قال : حدّثنا إبراهيم بن عبد الله بن مسلم قال : حدّثنا عمر بن مرزوق قال : أخبرنا عمران القطان قال : سمعت الحسن يقول : إنّا لمردودون إلى الدنيا فنصير أحياء كما كنا ،   قال الشاعر :

آليتُ لا أنساكم فاعلموا *** حتى يردُ الناس في الحافرة

وقال بعضهم : الحافرة الأرض التي فيها تحفر قبورهم فسُمّيت حافرة وهي بمعنى المحفورة كقوله سبحانه :

{ مَّآءٍ دَافِقٍ } [ الطارق : 6 ] و

{ عِيشَةٍ رَّاضِيَةٍ } [ الحاقة : 21 ] ومعنى الآية إنّا لمردودون إلى الأرض فنبعث خلقاً جديداً ثم مردودون في قبورنا أمواتاً ،   وهذا قول مجاهد والخليل بن أحمد ،   وقيل : سمّيت الأرض حافرة ،   لأنها مستقر الحوافر كما سمي القدمُ أرضاً ،   لأنها على الأرض ومجاز الآية : نرد فنمشي على أقدامنا ،   وهذا معنى قول قتادة ،   وقال ابن زيد : الحافرة النار ،   وقرأ { تِلْكَ إِذاً كَرَّةٌ خَاسِرَةٌ } قال : هي اسم من أسماء النار وما أكثر أسمائها ."
79,11,{ أَإِذَا كُنَّا عِظَاماً نَّخِرَةً } قرأ أهل الكوفة وأيوب ناخرة بالألف ،   وهي قراءة عمر بن الخطاب وابنه وابن عباس وابن الزبير وابن مسعود وأصحابه ،   واختاره الفراء وابن جرير لوفاق رؤوس الآي ،   وقرأ الباقون بجرة بغير الألف ،   وهي اختيار أبي عبيد وأبي حاتم ،   قال أبو عبيد إنما اخترناه لحجتين : أحديهما : أن الجمهور الأعظم من الناس عليها ،   منهم أهل تهامة والحجاز والشام والبصرة ،   والثانية : إنّا قد نظرنا في الآثار التي فيها ذكر العظام التي قد نخرت فوجدناها كلّها العظام النخرة ،   ولم أسمع في شيء منها الناخرة ،   وكان أبو عمرو يحتج بحجة ثالثة قال : إنّما يكون تناخره إلى تنخرها ،   ولم يفعل ،   وهما لغتان في قول أكثر أهل اللسان مثل : الطمع والطامع والبخل والباخل والفره والفاره والجذر والجاذر ،   وفرّق بينهما فقالوا : النخرة : البالية ،   والناخرة : المجوّفة التي تمرّ فيها الريح فتخرّ أي تصوّت .
