surah_number,ayah_number,tafsir_text
20,1,"اختلف الناس في قوله { طه } بحسب اختلافهم في كل الحروف المتقدمة في أوائل السور إلا قول من قال هناك : إن الحروف إشارة إلى حروف المعجم كما تقول أ .   ب .   ج .   د .   فإنه لا يترتب هنا لأن ما بعد { طه } من الكلام لا يصح أن يكون خبراً عن { طه } واختصت أيضاً { طه } بأقوال لا تترتب في أوائل السور المذكورة ،   فمنها قول من قال { طه } اسم من أسماء محمد عليه السلام ،   وقوله من { طه } معناه «يا رجل بالسريانية » وقيل بغيرها من لغات العجم ،   وحكي أنها لغة يمنية في عك وأنشد الطبري : [ الطويل ]

دعوت بطه في القتال فلم يجب .   .   .   فخفت عليه أن يكون موائلاً

ويروى مزايلاً وقال الآخر : [ البسيط ]

                                      إن السفاهة طه من خلائقكم .   .   .   لا بارك الله في القوم الملاعين

وقالت فرقة : سبب نزول الآية إنما هو ما كان رسول الله صلى الله عليه وسلم يتحمله من مشقة الصلاة حتى كانت قدماه تتورم ويحتاج إلى الترويح بين قدميه فقيل له : طأ الأرض أي لا تتعب حتى تحتاج إلى الترويح ،   فالضمير في { طه } للأرض وخففت الهمزة فصارت ألفاً ساكنة ،   وقرأت «طه » وأصله :طأ فحذفت الهمزة وأدخلت هاء السكت ،   وقرأ ابن كثير وابن عامر «طَهَ » بفتح الطاء والهاء وروي ذلك عن قالون عن نافع ،   وروي يعقوب عنه كسرهما ،   وروي عنه بين الكسر والفتح ،   وأمالت فرقة ،   والتفخيم لغة الحجاز والنبي عليه السلام ،   وقرأ عاصم وحمزة والكسائي بكسر الطاء والهاء ،   وقرأ أبو عمر و «طَهِ » بفتح الطاء وكسر الهاء ،   وقرأت فرقة «طَهْ » بفتح الطاء وسكون الهاء ،   وقد تقدمت ،   وروي عن الضحاك وعمرو بن فائد أنهما قرآ «طاوي » ."
20,2,وقوله { لتشقى } قالت فرقة : معناه لتبلغ عن نفسك في العبادة والقيام في الصلاة ،   وقالت فرقة : إنما سبب الآية أن قريشا لما نظرت إلى عيش رسول صلى الله عليه وسلم وشظفه وكثرة عبادته قالت : إن محمداً مع ربه في شقاء فنزلت الآية رادة عليهم ،   أي إن الله لم ينزل القرآن ليجعل محمداً شقياً بل ليجعله أسعد بني آدم بالنعيم المقيم في أعلى المراتب ،   فالشقاء الذي رأيتم هو نعيم النفس ولا شقاء مع ذلك ع : فهذا التأويل أعم من الأول في لفظة الشقاء .
20,3,وقوله { إلا تذكرة } يصح أن ينصب على البدل من موضع { لتشقى } ويصح أن ينصب بفعل مضمر تقديره لكن أنزلناه تذكرة ،   و { يخشى } يتضمن الإيمان والعمل الصالح إذ الخشية باعثة على ذلك .
20,4,وقوله { تنزيلاً } نصب على المصدر ،   وقوله { ممن خلق الأرض والسماوات العلى } صفة أقامها مقام الموصوف ،   وأفاد ذلك العبرة والتذكرة وتحقير الأوثان وبعث النفوس على النظر ،   و { العلى } جمع عليا فعلى .
20,5,"وقوله { الرحمنُ } رفع بالابتداء ويصح أن يكون بدلاً من الضمير المستقر في { خلق } .   وقوله { استوى } قالت فرقة : هو بمعنى استولى ،   وقال أبو المعالي وغيره من المتكلمين : هو بمعنى استواء القهر والغلبة ،   وقال سفيان الثوري : فعل فعلاً في العرش سماه استواء وقال الشعبي وجماعة غيره : هذا من متشابه القرآن يؤمن به ولا يعرض لمعناه ،   وقال مالك بن أنس لرجال سأله عن هذا الاستواء فقال له مالك : الاستواء معلوم والكيفية مجهولة والسؤال عن هذا بدعة وأظنك رجل سوء أخرجوه عني ،   فأدبر السائل وهو يقول : يا أبا عبد الله لقد سألت عنها أهل العراق وأهل الشام فما وفق احد توفيقك .

قال القاضي أبو محمد : وضعف أبو المعالي قول من قال لا يتكلم في تفسيرها بأن قال إن كل مؤمن يجمع على أن لفظة الاستواء ليست على عرفها في معهود الكلام العربي ،   فإذا فعل هذا فقد فسر ضرورة ولا فائدة في تأخره على طلب الوجه والمخرج البين ،   بل في ذلك البأس على الناس وإيهام للعوام ،   وقد تقدم القول في مسألة الاستواء ."
20,6,وقوله { له ما في السماوات } الآية تماد في الصفة المذكورة المنبهة على الخالق المنعم ،   وفي قوله { ما تحت الثرى } قصص في أمر الحوت ونحوه اختصرته لعدم صحته ،   والآية مضمنة أن كل موجود محدث فهو لله بالملك والاختراع ولا قديم سواه تعالى .   و { الثرى } التراب الندي .
20,7,"وقوله { وإن تجهر بالقول } معناه وإن كنتم أيها الناس إذ أردتم إعلام أحد بأمر أو مخاطبة أوثانكم وغيرها فأنتم تجهرون بالقول فإن الله الذي هذه صفاته { يعلم السر وأخفى } فالمخاطبة ب { تجهر } لمحمد عليه السلام وهي مراد جميع الناس إذ هي آية اعتبار ،   واختلف الناس في ترتيب { السر } وما هو { أخفى } منه ،   فقالت فرقة { السر } هو الكلام الخفي كقراءة السر في الصلاة ،   و «الأخفى » هو ما في النفس ،   وقالت فرقة وهو ما في النفس متحصلاً ،   و «الأخفى » هو ما سيكون فيها في المستأنف ،   وقالت فرقة { السر } هو ما في نفوس البشر ،   وكل ما يمكن أن يكون فيها في المستأنف بحسب الممكنات من معلومات البشر ،   و «الأخفى » هو ما من معلومات الله لا يمكن أن يعلمه البشر البتة ع : فهذا كله معلوم لله عز وجل .

وقد تؤول على بعض السلف أنه جعل { أخفى } فعلاَ ماضياً وهذا ضعيف ."
20,8,و { الأسماء الحسنى } يريد بها التسميات التي تضمنتها المعاني التي هي في غاية الحسن ووحد الصفة مع جمع الموصوف لما كانت التسميات لا تعقل ،   وهذا جار مجرى { مآرب أخرى } [ طه : 18 ] { ويا جبال أوبي معه } [ سبأ : 10 ] وغيره ،   وذكر أهل العلم أن هذه الأسماء هي التي قال فيها رسول الله صلى الله عليه وسلم «إن لله تسعة وتسعين اسماً مائة إلا واحداً من أحصاها دخل الجنة » وذكرها الترمذي وغيره مسنده .
20,9,هذا الاستفهام هو توقيف مضمنه تنبيه النفس إلى استماع ما يورد عليها ،   وهذا كما تبدأ الرجل إذا أدرت إخباره بأمر غريب فتقول أعلمت كذا وكذا ،   ثم تبدأ تخبره .   والعامل في { إذ } ما تضمنه قوله { حديث } من معنى الفعل ،   وتقديره { وهل أتاك } ما فعل موسى .
20,10,"{ إذ رأى ناراً } أو نحو هذا ،   وكان من قصة موسى عليه السلام أنه رحل من مدين بأهله بنت شعيب وهو يريد أرض مصر وقد طالت مدة جنايته هنالك فرجا خفاء أمره ،   وكان فيما يزعمون رجلا غيورا  ،   فكان يسير الليل بأهله ولا يسير النهار مخافة كشفة الناس ،   فضل عن طريقه في ليلة مظلمة وندية ويروى أنه فقد الماء فلم يدر أين يطلبه فبينما هو كذلك وقد قدح بزنده فلم يور شيئاً { إذ رأى ناراً فقال لأهله امكثوا } أي أقيموا ،   وذهب هو إلى النار فإذا هي مضطرمة في شجرة خضراء يانعة قيل كانت من عناب ،   وقيل من عوسج ،   وقيل من عليقة ،   فلما دنا منها تباعدت منه ومشت ،   فإذا رجع عنها اتبعته فلما رأى ذلك أيقن أن هذا أمر من أمور الله تعالى الخارقة للعادة ،   وانقضى أمره كله في تلك الليلة ،   هذا قول الجمهور ،   وهوالحق ،   وحكى النقاش عن ابن عباس أنه قال : أقام في ذلك الأمر حولاً ومكثه أهله ع : وهذا غير صحيح عن ابن عباس وضعيف في نفسه .   و { آنست } معناه أحسست ومنه قول الحارث بن حلزة : [ الخفيف ]

آنست نبأة وروعها القَنْ .   .   .   ناص ليلاً وقد دنا الإمساء

والنار على البعد لا تحس إلا بالأبصار ،   فلذلك فسر بعضهم اللفظ  ب رأيت ،   و «آنس » أعم من { رأى } لأنك تقول آنست من فلان خيراً أو شراً .   و «القبس » الجذوة من النار تكون على رأس العود أو القصبة أو نحوه ،   و «الهدى » أراد الطريق ،   أي لعلي أجد ذا هدى أي مرشداً لي أو دليلا ،   وان لم يكن مخبراً .   و «الهدى » يعم هذا كله وإنما رجا موسى عليه السلام هدى نازلته فصادف الهدى على الإطلاق ،   وفي ذكر قصة موسى بأسرها في هذه السورة تسلية للنبي عما لقي في تبليغه من المشقات وكفر الناس فإنما هي له على جهة التمثيل في أمره .   وروي عن نافع وحمزة «لأهلهُ امكثوا » بضمة الهاء وكذلك في القصص ،   وكسر الباقون الهاء فيهما ."
20,11,وقوله تعالى { فلما أتاها } الضمير عائد على النار ،   وقوله { نودي } كناية عن تكليم الله له ،   وفي { نودي } ضمير يقوم مقام الفاعل ،   وإن شئت جعلته موسى إذ قد جرى ذكره .
20,12,"وقرأ نافع وعاصم وابن عامر وحمزة والكسائي «إني » بكسر الألف على الابتداء ،   وقرأ ابن كثير وأبو عمرو «أني » بفتح الألف على معنى «لأجل أني » { أنا ربك فاخلع نعليك } ،   و { نودي } قد توصل بحرف الجر وأنشد أبو علي : [ الكامل ]

ناديت باسم ربيعة بن مكدم .   .   .   ان المنوه باسمه الموثوق

واختلف المتأولون في السبب الذي من أجله أمر بخلع النعلين ،   فقالت فرقة كانتا من جلد حمار ميت فأمر بطرح النجاسة ،   وقالت فرقة بل كانت نعلاه من جلد بقرة ذكي لكن أمر بخلعها لينال بركة الوادي المقدس وتمس قدماه تربة الوادي ،   وتحتمل الآية معنى آخر هو الأليق بها عندي ،   وذلك أن الله تعالى أمره أن يتواضع لعظم الحال التي حصل فيها ،   والعرف عند الملوك أن تخلع النعلان ويبلغ الإنسان إلى غاية تواضعه ،   فكأن موسى عليه السلام أمر بذلك على هذا الوجه ،   ولا نبالي كانت نعلاه من ميتة أو غيرها ،   و { المقدس } معناه المطهر ،   و { طوى } معناه مرتين مرتين ،   فقالت فرقة معناه قدس مرتين ،   وقالت فرقة معناه طويته أنت ،   أي سرت به ،   أي طويت لك الأرض مرتين من طيك ،   وقرأ عاصم وابن عامر وحمزة والكسائي «طوىً » بالتنوين على أنه اسم المكان ،   وقرأ نافع وابن كثير وأبو عمرو «طوى » على أنه اسم البقعة دون تنوين ،   وقرأ هؤلاء كلهم بضم الطاء ،   وقرأ أبو زيد عن أبي عمرو بكسر الطاء ،   وقرأت فرقة «طاوي » وقالت فرقة هو اسم الوادي ،   و «طوى » على التأويل الأول بمنزلة قولهم ثنى وثنى أي مثنياً .

وقرأت فرقة  "" بالواد المقدس طاوى ""  ."
20,13,"وقرأ السبعة غير حمزة «وأنا اخترتك » ويؤيد هذه القراءة تناسبها مع قوله { أنا ربك } وفي مصحف أبي بن كعب «وأني اخترتك » ،   وقرأ حمزة «وأنّا اخترناك » بالجمع وفتح الهمزة وشد النون ،   والآية على هذا بمنزلة قوله { سبحان الذي أسرى بعبده } [ الإسراء : 1 ] ثم قال { وآتينا } [ الإسراء : 2 ] فخرج من إفراد إلى جمع ،   وقرأت فرقة وإنا اخترناك «يكسر الألف .

قال القاضي أبو محمد : وحدثني أبي رضي الله عنه قال : سمعت أبا الفضل بن الجوهري يقول : لما قيل لموسى { فاستمع } وقف على حجر ،   واستند إلى حجر ،   ووضع يمينه على شماله وألقى ذقنه على صدره ،   ووقف يستمع وكان كل لباسه صوفاً ."
20,14,وقوله { وأقم الصلاة لذكري } يحتمل أن يريد لتذكيري فيها أو يريد لأذكرك في عليين بها فالمصدر على هذا يحتمل الإضافة إلى الفاعل أو إلى المفعول واللام لام السبب ،   وقالت فرقة معنى قوله { لذكري } أي عند ذكري إذا ذكرتني وأمري لك بها ،   فاللام على هذا بمنزلتها في قوله { أقم الصلاة لدلوك الشمس } [ الإسراء : 78 ] وقرأت فرقة » للذكرى « ،   وقرأت فرقة » لذكرى «بغير تعريف ،   وقرأت فرقة » للذكر « .
