surah_number,ayah_number,tafsir_text
16,1,"تفسير المعاني :

{  أتى أمر الله فلا تستعجلوه سبحانه وتعالى عما يشركون } .  نزلت هذه الآية لما استعجل المشركون ما هددهم به رسول الله من العذاب والهلاك ،  فأخبرهم بها بأن ما أوعدهم به بمنزلة الأمر المحقق ،  وأنه لا خير لهم في استعجاله ."
16,2,"تفسير الألفاظ :

{  بالروح } أي بالوحي أو القرآن ،  فإنه يقوم في المجتمع مقام الروح في الجسد .  {  أن أنذروا } أي بأن أنذروا .

تفسير المعاني :

ينزل الله الملائكة بالوحي من أمره على من يشاء من عباده بأن أنذروا الناس أنه لا إله إلا أنا فخافوني ."
16,3,"تفسير المعاني :

خلق الله السموات والأرض بالحق ،  أي أوجدهما على أقدار وصور وأوضاع وخواص مختلفة قدرها بحكمته ،  تعالى وتنزه عما يشركونهم معه في الملك ."
16,4,"تفسير الألفاظ :

{  من نطفة } أصل النطفة الماء القليل ،  والمراد بها هنا ماء الرجل .  {  خصيم } أي مخاصم مجادل .

تفسير المعاني :

وخلق الإنسان من ماء قليل ليس به شعور ولا إدراك ،  فلما كبر واشتد إذا به مخاصم عنيف ينكر ودود خالقه ،  ويكذب رسله ،  ويعمل على صد الناس عن اتباعهم ."
16,5,"تفسير الألفاظ :

{  الأنعام } هي الإبل والغنم والبقر ،  ولا يقال لها أنعام إلا إذا كان معها الإبل ،  جمع نعم .  {  دفء } الدفء ما يتدفأ به فيقي البرد .

تفسير المعاني :

والأنعام خلقها لكم تستفيدون من أوبارها لدفئكم ،  وتأكلون مما تخرجه من ألبانها وما يشتق منه .  وخلق لكم البهائم لمنافعها لكم ؛  إذ تتخذون من أوبارها ثيابا وأغطية تتقون بها شر البرد ،  ومن ألبانها وما يشتق منها غذاء تقتاتون به ."
16,6,"تفسير الألفاظ :

{  ولكم فيها جمال } أي زينة .  {  حين تريحون } أي حين تردونها من مراعيها إلى مراحها بالعشي .  يقال أراح ماشيته إذا ردها مساء إلى مأواها .  {  وحين تسرحون } أي حين تخرجونها بالغداة إلى المراعي .

تفسير المعاني :

ولكم فيها زينة حين تعود من مراعيها ملأي البطون والضروع وحين تسرحون بها صباحا ."
16,7,"تفسير الألفاظ :

{  إلا بشق الأنفس } أي إلا بكلفة ومشقة .  وفيها قراءتان :  إحداهما بالفتح أي بشق الأنفس ،  والأخرى بالكسر أي بشق الأنفس ،  فعلى الأولى يكون شق مصدر شق الأمر عليه أي صعب ،  وعلى الثاني يكون شق بمعنى نصف ،  فإن للشيء شقين أي نصفين ،  ويكون المعنى :  لستم ببالغيه إلا بذهاب نصف قوة الأنفس بالتعب .

تفسير المعاني :

وتحمل أحمالكم إلى بلد لم تكونوا بواصلين إليه إلا بمشقة ."
16,8,"تفسير المعاني :

وخلق لكم الخيل والبغال والحمير لتركبوها وزينة ،  ويخلق لكم ما لا تعملون من تسخير قوي البخار والكهرباء وغيرهما .  وهذه من أغرب معجزات القرآن ،  فإن فيه تنبؤا صريحا بما اخترع في القرنين التاسع عشر والعشرين ."
16,9,"تفسير الألفاظ :

{  وعلى الله قصد السبيل } أي وعليه السبيل القصد أي المعتدل ،  فإن قصد يقصد قصدا أي استقام واعتدل ،  ومنه الاقتصاد أي الاعتدال والتوسط .  {  ومنها جائر } أي ومن السبل مائل عن القصد .

/م9"
16,10,"تفسير الألفاظ :

{  تسيمون } أي ترعون ماشيتكم .

/م9"
16,11,/م9
16,12,/م9
16,13,"تفسير الألفاظ :

{  ذرأ } أي خلق .  يقال ذرأ يذرأ .  {  يذكرون } أي يتذكرون أين اختلافها في الأنواع والصور والخواص لا يكون إلا بإرادة خالق حكيم .

/م9"
16,14,"تفسير الألفاظ :

{  الفلك } السفينة ،  وهذا اللفظ يستوي في المفرد والجمع .  {  مواخر } جمع ماخرة أي جارية في الماء .  وأصل المخر شق الماء ،  وقيل صوت جري لا السفن .  يقال مخرت السفن تمخر مخرا أي جرت شاقة الماء .  {  ولتبتغوا } أي ولتطلبوا .  يقال بغاه وابتغاه طلبه .

تفسير المعاني :

وهو الذي ذلل لكم البحر لتصطادوا منه ما تأكلون منه لحما طريا وتستخرجوا منه لآلئ تتحلون بلبسها ،  وترى السفن فيه جواري ولتتطلبوا من فضله بركوبها للتجارة ولعلكم تشكرون ."
16,15,"تفسير الألفاظ :

{  رواسي } أي جبالا رواسي أي رواسخ جمع رأس .  يقال رسا الشيء يرسو رسوا أي رسخ وثبت .  {  تميد } أي تميل وتضطرب .  يقال مادت السفينة تميد ميدا أي اضطربت .

تفسير المعاني :

ووضع في الأرض جبالا رواسخ كراهة أن تميد ،  أي تميل بكم وتضطرب ،  وجعل لكم أنهارا وسبلا لعلكم تهتدون لمقاصدكم ."
16,16,"تفسير المعاني :

وأوجد لكم علامات ،  أي معالم تستدلون بها في سيركم ،  وبالنجم يهتدون في ظلمات الليل برا وبحرا ."
16,17,"تفسير الألفاظ :

{  تذكرون } أي تتذكرون ،  حذفت إحدى التاءين لأجل التخفيف .

تفسير المعاني :

أفمن يخلق كائنات غاية في الإبداع كمن لا يخلق شيئا أفلا تعتبرون ؟"
16,18,"تفسير الألفاظ :

{  لا تحصوها } أي لا تضبطوا عددها .

تفسير المعاني :

وإن تعدوا نعمة الله عليكم لا تضبطوا لها عددا إن الله لغفور رحيم ."
16,19,"تفسير الألفاظ :

{  ما تسرون } أي ما تخفون .

تفسير المعاني :

والله يعلم ما تخفون وما تبدون ."
16,20,"تفسير الألفاظ :

{  والذين يدعون من دون الله } أي والآلهة الذين يدعون من دون الله .

تفسير المعاني :

والذين تعبدونهم من دون الله لا يخلقون شيئا وهم يخلقون ."
16,21,"تفسير الألفاظ :

{  أيان يبعثون } أي متى يبعثون .

تفسير المعاني :

أموات غير أحياء وما يعلمون متى يبعثون ."
16,22,"تفسير المعاني :

إلهكم إله واحد فالذين لا يؤمنون بالآخرة قلوبهم منكرة وهم مستكبرون ."
16,23,"تفسير الألفاظ :

{  لا جرم } أي حقا .  {  يسرون } أي يخفون في أنفسهم .

تفسير المعاني :

حقا أن الله يعلم ما يخفونه في أنفسهم وما يعلنونه من خطرات هواجسهم ،  إنه لا يحب المستكبرين ."
16,24,"تفسير الألفاظ :

{  أساطير } جمع أسطورة أو إسطارة أي ما سطر من خرافات الأقدمين .

تفسير المعاني :

وإذا قيل لهؤلاء :  ماذا أنزل ربكم ؟  قالوا :  أباطيل الأولين ."
16,25,"تفسير الألفاظ :

{  أوزارهم } أي أحمالهم وذنوبهم جمع وزر .  {  ألا ساء ما يزرون } أي بئس ما يذنبون .  يقال :  وزر يزر وزرا أي أذنب .

تفسير المعاني :

ليحملوا ذنوبهم ومن ذنوب الذين يضلونهم بغير علم ألا ساء ما يذنبون ."
16,26,"تفسير المعاني :

{  فخر } أي فسقط .  يقال خر السقف يخر خرا أي سقط .

تفسير المعاني :

قد مكر الذين كانوا من قبلهم فأتى أمر الله بنيانهم من قواعده ،  فسقط عليهم السقف ،  وجاءهم العذاب من حيث لا يحسون ."
16,27,"تفسير الألفاظ :

{  تشاقون فيهم } أي تنازعون المؤمنين في شأنهم .

تفسير المعاني :

ثم يوم القيامة يخزيهم ويقول لهم :  أين الذين جعلتموهم شركائي في الملك وكنتم تعادون المؤمنين من أجلهم ؟  قال الذين أوتوا العلم من الأنبياء والعلماء والحكماء :  إن الخزي والعذاب على الكافرين ."
16,28,"تفسير الألفاظ :

{  السلم } أي الاستسلام .  {  بلى } تستعمل ردا لنفي نحو :  {  قالوا لن تمسنا النار } الآية .  بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هو فيها خالدون } وتستعمل أيضا جوابا لاستفهام مقترن بنفي نحو {  ألست بربكم ؟  قالوا بلى } .

تفسير المعاني :

الذين تتوفاهم الملائكة وهم ظالمون لأنفسهم فسالموا وأخبتوا حين شاهدوا العذاب ،  وقالوا :  ما كنا نعمل من سوء ،  بلى إن الله عليم بما كنتم تعملون ،  فهو يجازيكم عليه مجازاة رادعة ."
16,29,"تفسير الألفاظ :

{  مثوى } أي منزل ومسكن .  يقال ثوى بالمكان يثوى به ثواء أي سكنه .

تفسير المعاني :

فادخلوا أيها الكافرون أبواب جهنم خالدين فيها فلبئس منزل المتكبرين ."
16,30,"تفسير المعاني :

وقيل للذين اتقوا ،  أي المؤمنين ،  ماذا أوحى ربكم إليكم ؟  قالوا :  أوحى خيرا ،  فقضى أن يكون للذين أحسنوا في هذه الدنيا ،  بالأخذ بأسباب الترقي ،  والتكمل في العلم والعمل ،  مكافأة تناسب إحسانهم ونشاطهم ،  ولثوابهم في الآخرة على قيامهم بالدين أجزل وأفضل ولنعم دار المتقين .  .  ."
16,31,"تفسير الألفاظ :

{  جنات عدن } أي جنات استقرار وإقامة .  يقال عدن بالمكان يعدن عدنا ،  أي استقر به وأقام .

تفسير المعاني :

جنات عدن لهم ما يشاءون فيها كذلك نكافئ المتقين ."
16,32,"تفسير الألفاظ :

{  طيبين } أي طاهرين من ظلم أنفسهم بالكفر والمعاصي .

تفسير المعاني :

الذين تتوفاهم الملائكة طيبين طاهرين من كل ظلم وعدوان .  يقولون لهم :  سلام عليكم ،  ادخلوا الجنة بما كنتم تعملون ."
16,33,"تفسير الألفاظ :

{  هل ينظرون } أي هل ينتظرون ،  فإن نظر ينظر نظرا يعني أبصر ويعني أيضا انتظر .  {  إلا أن تأتيهم الملائكة } لقبض أرواحهم .  {  أو يأتي أمر ربك } هو القيامة أو العذاب المستأصل لهم .

تفسير المعاني :

فهل ينتظر هؤلاء الكافرون إلا أن تأتيهم الملائكة لقبض أرواحهم أو يدهمهم عذاب ربك ؟  كذلك فعل الذين من قبلهم وما ظلمهم الله ولكن كانوا يظلمون أنفسهم بالكفر والانهماك في المعاصي ."
16,34,"تفسير الألفاظ :

{  سيئات ما عملوا } أي جزاء سيئات ما عملوا .  {  وحاق بهم } أي وأحاط بهم .  والحيق لا يستعمل إلا في الشر .

تفسير المعاني :

فأصابهم جزاء سيئات أعمالهم وأحاط بهم جزاء ما كانوا به يستهزئون ."
16,35,"تفسير الألفاظ :

{  البلاغ المبين } أي التبيين الواضح الذي لا إبهام فيه .

تفسير المعاني :

قال الذين أشركوا على سبيل الاستهزاء :  لو كان الله يريد أن لا نعبد من دونه شيئا نحن وآباؤنا لما عبدنا هذه الآلهة ،  ولا حرمنا غير ما حرمه ،  كذلك قال الذين من قبلهم من المشركين ،  فهل على الرسل إلا الإبلاغ الواضح وإلزام الحجة البينة ؟"
16,36,"تفسير الألفاظ :

{  الطاغوت } أي الشيطان ،  وكل ما عبد من دون الله ،  مشتق من الطغيان وهو تجاوز الحد .  {  حقت } أي ثبتت ووجبت .  يقال حق الأمر يحق ،  ويحق حقا ثبت ووجب .

تفسير المعاني :

ولقد بعثنا في كل أمة رسولا وأمرناه أن يقول لهم :  اعبدوا الله واجتنبوا عبادة الشيطان والأصنام ،  فمنهم من هداهم الله لدينه ،  ومنهم من ثبتت عليهم الضلالة ،  فسيروا في الأرض فانظروا ماذا أصاب المكذبين من نتائج تكذيبهم ."
16,37,"تفسير المعاني :

فمهما تحرص يا محمد على هدايتهم فإن الله لا يهدي من كتب عليه الضلال .  وما لهم من ناصرين إذا حل بهم العذاب ."
16,38,"تفسير الألفاظ :

{  جهد أيمانهم } أي أقسموا مصرين ،  وجهد مفعول مطلق لفعل مقدر تقديره أقسموا بالله يجهدون جهدا .  {  يبعث الله من يموت } أي يحييه بعد الموت .  {  بلى } حرف يأتي ردا لنفي ،  نحو {  وقالوا لن تمسنا النار } ،  الآية .  {  بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هم فيها خالدون } .  وتأتي جوابا لاستفهام مقترن بنفي نحو :  {  ألست بربكم ؟  قالوا بلى } .

تفسير المعاني :

وأقسموا بالله مصرين بأن الله لا يحيي من يموت ،  بلى إنه قد وعد بإعادة الموتى وعدا حقا ،  ولكن أكثر الناس لا يعلمون ."
16,39,"تفسير المعاني :

يعيدهم ليبين لهم ما اختلفوا فيه ،  وليعلم الذين كفروا أنهم كانوا كاذبين في إنكارهم الدين والبعث ."
16,40,"تفسير المعاني :

إننا نقول للشيء إذا أردناه :  كن .  فيكون ،  فلا يتوقف حصوله على مادة ولا مدة ."
16,41,"تفسير الألفاظ :

{  لنبوئنهم في الدنيا بلدة حسنة } أي لننزلنهم في الدنيا بلدة حسنة هي المدينة .  يقال بوأه الدار يبوئه إياها أنزله بها .

تفسير المعاني :

والذين هاجروا في مرضاة الله من بعد ما ظلمهم المشركون لننزلنهم في الدنيا مدينة حسنة هي يثرب ،  ولأجر الآخرة أكبر لو كانوا يعلمون ."
16,43,"تفسير الألفاظ :

{  فاسألوا أهل الذكر } أي فاسألوا العلماء والعارفين بالتواريخ .

تفسير المعاني :

وما أرسلنا إلى الأمم من قبلك إلا رجالا نوحي إليهم لا ملائكة ،  فاسألوا أهل الكتب السماوية إن كنتم لا تعلمون ذلك ."
16,44,"تفسير الألفاظ :

{  والزبر } أي الكتب ،  جمع زبور .  {  الذكر } أي القرآن .

تفسير المعاني :

أرسلناهم بالآيات الواضحات والكتب ،  وأنزلنا إليك القرآن لتبين للناس ما أنزل إليهم ،  ولعلهم يتفكرون فيتنبهوا للحقائق ."
16,45,"تفسير الألفاظ :

{  مكروا السيئات } أي دبروا المكرات السيئات .  {  يخسف } أي يجعل عاليها سافلها .

تفسير المعاني :

أفأمن الذين دبروا المكرات السيئات لرسول الله أن يخسف بهم الأرض أو يأتيهم العذاب بغتة وهم لا يشعرون ."
16,46,"تفسير الألفاظ :

{  في تقلبهم } أي متقلبين في أسفارهم .

/م46"
16,47,"تفسير الألفاظ :

{  على تخوف } أي على خوف ووجل من العذاب .

/م46"
16,48,"تفسير الألفاظ :

{  أو لم يروا إلى ما خلق الله من شيء يتفيأ ظلاله عن اليمين والشمائل } أي أو لم ينظروا إلى الكائنات التي لها ظلال متفيئة ؟  يقال فاء الظل يفئ تحول ،  وفيأت الشجرة ظللت ،  وتفيأت الظلال تقلبت .  والشمائل جمع شمال .  {  داخرون } أي صاغرون .  يقال دخر يدخر دخورا صغر وهان .

تفسير المعاني :

أو لم ينظروا إلى الكائنات التي لها ظلال متقلبة عن أيمانها وشمائلها ساجدين له ،  أي منقادين له في جميع أطوارهم وهم صاغرون ."
16,49,"تفسير الألفاظ :

{  من دابة } أي من كل حي يدب على الأرض ،  وهو يعم الإنسان .  الدبيب هو الحركة الجسمانية .

تفسير المعاني :

ولله يسجد ،  أي ينقاد ،  ما في السموات وما في الأرض من دابة ،  وكذلك الملائكة وهم لا يستكبرون ."
16,50,"تفسير المعاني :

يخافون ربهم وهو فوقهم بالقهر ويفعلون ما يؤمرون ."
16,51,"تفسير الألفاظ :

{  فارهبون } أي فخافون .  يقال رهبه يرهبه رهبة أي خافه .

تفسير المعاني :

وقال الله :  لا تعبدوا إلهين إنما هو إله واحد فإياي فخافوني ."
16,52,"تفسير الألفاظ :

{  وله الدين واصبا } أي وله الطاعة دائمة .  يقال وصب يصب وصوبا ،  دام .  والمعنى :  حق الإنسان أن يطيعه في جميع أحواله .

تفسير المعاني :

له ما في السموات والأرض ،  وله الطاعة دائما ،  أفغير الله تخافون ؟"
16,53,"تفسير الألفاظ :

{  تجأرون } :  ترفعون صوتكم بالاستغاثة .  يقال جأر يجأر جأرا وجؤارا ،  أي رفع صوته بالاستغاثة .

تفسير المعاني :

وما بكم من نعمة فمن الله ،  فإذا لحقكم الضر فإليه ترفعون أصواتكم مستغيثين ."
16,54,"تفسير المعاني :

فإذا كشف الضر عنكم ،  إذا جماعة منكم بربهم يشركون ."
16,55,"تفسير الألفاظ :

{  ليكفروا بما آتيناهم } ،  أي :  فليجحدوا ما منحناهم من نعم .

تفسير المعاني :

فليجحدوا ما منحناهم ،  فتمتعوا فسوف تعلمون أنكم كنتم ضالين ."
16,56,"تفسير الألفاظ :

{  ويجعلون لما لا يعلمون نصيبا } ،  أي :  ويجعلون لآلهتهم التي لا تعلم شيئا ؛  لأنها جمادات نصيبا .

تفسير المعاني :

ويجعلون لآلهتهم التي لا تعلم شيئا ؛  لأنها جمادات لا تشعر ،  نصيبا مما رزقناهم من النعم ،  كالقربان والنذور .  . إلخ ،  والله لتسألن عما كنتم تفترون ،  من أنها آلهة حقيقية ."
16,57,"تفسير المعاني :

ويزعمون أن الملائكة بنات الله ،  سبحانه ،  ولهم ما يشتهون من البنين ."
16,58,"تفسير الألفاظ :

{  كظيم } ،  أي :  ممسك غيظه في نفسه .  يقال :  كظم القربة يكظمها كظما ،  شد فاها .

تفسير المعاني :

وإذا أخبر أحدهم بأن قد ولدت له أنثى ؛  ظل وجهه مسودا ،  وهو ممسك غيظه في نفسه ."
