surah_number,ayah_number,tafsir_text
101,1,1- هي القيامة التي تبدأ بالنفخة الأولى ،  وتنتهي بفصل القضاء بين الناس .
101,2,2- أي شيء عجيب - هي - في ضخامتها وخطرها وفظاعتها ؟  !
101,3,3- أي شيء أعلمك ما شأن القارعة في هولها على النفوس ؟  !
101,4,4- هي كائنة يوم يكون الناس كالفراش المبثوث كثرة وتدافعاً يميناً وشمالاً ضعيفاً ذليلاً .
101,5,5- وتكون الجبال كالصوف الملون المنفوش ،  في تفرق الأجزاء ،  والتطاير في الجو هنا وهناك .
101,6,6 - {  فأما مَن ثقلت موازينه } فرجحت حسناته على سيئاته ،  فهو في عيشة يرضاها صاحبها ،  تطيب نفسه بها .
101,7,/ت6
101,8,8 - {  وأما مَن خفت موازينه } فرجحت سيئاته على حسناته ،  فمأواه جهنم .
101,9,/ت8
101,10,10- وما أعلمك ما الهاوية ؟  !
101,11,11- {  نار حامية } لا تبلغ حرارتها أية نار مهما سُعِّرت وألقى فيها من وقود .
