surah_number,ayah_number,tafsir_text
3,1,"{ الم اللهُ لآ إِلَهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ } وقد ذكرنا تفسير ذلك من قبل .

فإن قيل : { الم } اسم من أسماء الله تعالى كان قوله : { اللهَ لاَ إِلَهَ إِلاَّ هُوَ } نعتاً للمسمى به ،   وتفسيره أن { الم } هو الله لا إله إلا هو .

وإن قيل : إنه قسم كان واقعاً على أنه سبحانه لا إله إلا هو الحي القيوم ،   إثباتاً لكونه إلهاً ونفياً أن يكون غيره إلهاً .

وإن قيل بما سواهما من التأويلات كان ما بعده مبتدأ موصوفاً ،   وأن الله هو الذي لا إله إلا هو الحي القيوم .

ونزلت هذه الآية إلى نيف وثمانين آية من السورة في وفد نجران من النصارى لما جاؤوا يحاجّون النبي صلى الله عليه وسلم وكانوا أربعة عشر رجلاً من أشرافهم ."
3,2,/ت1
3,3,"{ نَزَّلَ عَلَيْكَ الْكِتَابَ بِالْحَقِّ } فيه وجهان :

أحدهما : بالعدل مما استحقه عليك من أثقال النبوة .

والثاني : بالعدل فيما اختصك به من شرف الرسالة .

وإن قيل بأنه الصدق ففيه وجهان :

أحدهما : بالصدق فيما تضمنه من أخبار القرون الخالية والأمم السالفة .

والثاني : بالصدق فيما تضمنه من الوعد بالثواب على طاعته ،   والوعيد بالعقاب على معصيته .

{ مُصَدِّقاً لِّمَا بَيْنَ يَدَيْهِ } أي لما قبله من كتاب ورسول ،   وإنما قيل لما قبله { بَيْنَ يَدَيْهِ } لأنه ظاهر له كظهور ما بين يديه .

وفي قوله : { مُصَدِّقاً لِّمَا بَيْنَ يَدَيْهِ } قولان :

أحدهما : معناه مخبراً بما بين يديه إخبار صدق دل على إعجازه .

والثاني : معناه أنه يخبر بصدق الأنبياء فيما أتوا به على خلاف من يؤمن ببعض ويكفر ببعض ."
3,4,"قوله عز وجل : {  .   .   .   إِنَّ الَّذِينَ كَفَرُواْ بِآيَاتِ اللهِ } فيه وجهان :

أحدهما : بدلائله وحججه .

والثاني : بآيات القرآن ،   قال ابن عباس يريد وفد نجران حين قَدِموا على رسول الله صلى الله عليه وسلم لمحاجّته .

{ لَهُمْ عَذَابٌ شَدِيدٌ } يعني عذاب جهنم .

{ وَاللهُ عَزِيزٌ } فيه وجهان :

أحدهما : في امتناعه .

والثاني : في قدرته .

{ ذُو انتِقَامٍ } فيه وجهان :

أحدهما : ذو سطوة .

والثاني : ذو اقتضاء ."
3,7,"قوله عز وجل : { هُوَ الَّذِي أَنزَلَ عَلَيْكَ الْكِتَابَ } يعني القرآن .

{ مِنْهُ ءَايَاتٌ مُّحْكَمَاتُ هُنَّ أُمُّ الْكِتَابِ وَأُخَرُ مُتَشَابِهَاتٌ } اختلف المفسرون في تأويله على سبعة أقاويل :

أحدها : أن المحكم الناسخ ،   والمتشابه المنسوخ ،   قاله ابن عباس ،   وابن مسعود .

والثاني : أن المحكم ما أحكم الله بيان حلاله وحرامه فلم تشتبه معانيه ،   قاله مجاهد .

والثالث : أن المحكم ما لم يحتمل من التأويل إلا وجهاً واحداً ،   والمتشابه ما احتمل أوجهاً ،   قاله الشافعي ومحمد بن جعفر بن الزبير .

والرابع : أن المحكم الذي لم تتكرر ألفاظه ،   والمتشابه الذي تكررت ألفاظه ،   قاله ابن زيد .

والخامس : أن المحكم الفرائض والوعد والوعيد ،   والمتشابه القصص والأمثال .

والسادس : أن المحكم ما عرف العلماء تأويله وفهموا معناه وتفسيره ،   والمتشابه ما لم يكن إلى علمه سبيل مما استأثر الله بعلمه ،   كقيام الساعة ،   وطلوع الشمس من مغربها ،   وخروج عيسى ونحوه ،   وهذا قول جابر بن عبد الله .

والسابع : أن المحكم ما قام بنفسه ولم يحتج إلى استدلال .

ويحتمل ثامناً : أن المحكم ما كانت معاني أحكامه معقولة ،   والمتشابه ما كانت معاني أحكامه غير معقولة ،   كأعداد الصلوات ،   واختصاص الصيام بشهر رمضان دون شعبان .

وإنما جعله محكماً ومتشابهاً استدعاء للنظر من غير اتكال على الخبر ،   وقد روى معاذ بن جبل عن النبي صلى الله عليه وسلم أنه قال :  ""  القرآن على ثلاثة أجزاء : حلال فاتبعه ،   وحرام فاجتنبه ،   ومتشابه يشكل عليك فَكِلْه إلى عالمه ""  .

وأما قوله تعالى : { هُنَّ أُمُّ الْكِتَاِب } .   ففيه وجهان :

أحدهما : أصل الكتاب .

والثاني : معلوم الكتاب .

وفيه تأويلان :

أحدهما : أنه أراد الآي التي فيها الفرائض والحدود ،   قاله يحيى بن يعمر .

والثاني : أنه أراد فواتح السُّوَر التي يستخرج منها القرآن ،   وهو قول أبي فاختة .

ويحتمل ثالثاً : أن يريد به أنه معقول المعاني لأنه يتفرع عنه ما شاركه في معناه ،   فيصير الأصل لفروعه كالأم لحدوثها عنه ،   فلذلك سماه أم الكتاب .

{ فَأََمَّا الَّذِينَ فِي قُلُوبِهِمْ زَيْغٌ } فيه تأويلان :

أحدهما : ميل عن الحق .

والثاني : شك ،   قاله مجاهد .

{ فَيَتَّبِعُونَ مَا تَشَابَهَ مِنْهُ } فيه ثلاثة تأويلات :

أحدها : أنه الأجل الذي أرادت اليهود أن تعرفه من الحروف المقطعة من حساب الجُمّل في انقضاء مدة النبي صلى الله عليه وسلم .

والثاني : أنه معرفة عواقب القرآن في العلم بورود النسخ قبل وقته .

والثالث : أن ذلك نزل في وفد نجران لمَّا حاجّوا النبي صلى الله عليه وسلم في المسيح ،   فقالوا : أليس كلمة الله وروحه ؟ قال :  ""  بلى  ""  فقالوا : حسبنا ،   فأنزل الله تعالى : { فَأَمَّا الَّذِينَ فِي قُلُوبِهِمْ زَيْغٌ فَيَتَّبِعُونَ مَا تَشَابَهَ مِنْهُ ابْتِغَاءَ الْفِتْنَةِ وابْتَغَآءَ تَأْوِيلِهِ } وهو قول الربيع .

وفي قوله تعالى : { ابْتِغَاءَ الْفِتْنَةِ } أربعة تأويلات :

أحدها : الشرك ،   قاله السدي .

والثاني : اللّبْس ،   قاله مجاهد .

الثالث : الشبهات التي حاجّ بها وفد نجران .

والرابع : إفساد ذات البَيْن .

{ وَابْتِغَاءَ تَأْوِيلِهِ } في التأويل وجهان :

أحدهما : أنه التفسير .

والثاني : أنه العاقبة المنتظرة .

{ وَمَا يَعْلَمُ تَأْوِيلَهُ إِلاَّ اللهُ } فيه ثلاثة أقاويل :

أحدها : تأويل جميع المتشابه ،   لأن فيه ما يعلمه الناس ،   وفيه ما لا يعلمه إلا الله ،   قاله الحسن .

والثاني : أن تأويله يوم القيامة لما فيه من الوعد والوعيد ،   كما قال الله تعالى :

{ هَلْ يَنظُرُونَ إِلاَّ تَأْوِيلَهُ يَومَ يَأْتِي تَأْوِيلُهُ }

[ الأعراف : 53 ] يعني يوم القيامة ،   قاله ابن عباس .

والثالث : تأويله وقت حلوله ،   قاله بعض المتأخرين .

{ وَالرَّاسِخُونَ فِي الْعِلْمِ } فيه وجهان :

أحدهما : يعني الثابتين فيه ،   العاملين به .

والثاني : يعني المستنبطين للعلم والعاملين ،   وفيهم وجهان :

أحدهما : أنهم داخلون في الاستثناء ،   وتقديره : أن الذي يعلم تأويله الله والراسخون في العلم جميعاً .

روى ابن أبي نجيح عن ابن عباس أنه قال : أنا ممن يعلم تأويله .

الثاني : أنهم خارجون من الاستثناء ،   ويكون معنى الكلام : ما يعلم تأويله إلا الله وحده ،   ثم استأنف فقال : { وَالرَّاسِخُونَ فِي الْعِلْمِ } .

{ يَقُولُونَ ءَامَنَّا بِهِ كُلٌّ مِنْ عِندِ رَبِّنَا } يحتمل وجهين :

أحدهما : علم ذلك عند ربنا .

والثاني : ما فصله من المحكم والمتشابه ،   فنزل من عند ربنا ."
3,11,"قوله عز وجل : { كَدَأْبِ ءَالِ فِرْعَوْنَ } فيه وجهان :

أحدهما : أن الدأب : العادة ،   ( أي ) كعادة آل فرعون والذين من قبلهم .

والثاني : أن الدأب هنا الاجتهاد ،   مأخوذ من قولهم : دأبت في الأمر ،   إذا اجتهدت فيه .

فإذا قيل إنه العادة ففيما أشار إليه من عادتهم وجهان :

أحدهما : كعادتهم في التكذيب بالحق .

والثاني : كعادتهم من عقابهم على ذنوبهم .

وإذا قيل إنه الاجتهاد ،   احتمل ما أشار إليه من اجتهادهم وجهين :

أحدهما : كاجتهادهم في نصرة الكفر على الإِيمان .

والثاني : كاجتهادهم في الجحود والبهتان .

وفيمن أشار إليهم أنهم كدأب آل فرعون قولان :

أحدهما : أنهم مشركو قريش يوم بدر ،   كانوا في انتقام الله منهم لرسله والمؤمنين ،   كآل فرعون في انتقامه منهم لموسى وبني إسرائيل ،   فيكون هذا على القول الأول تذكيراً للرسول والمؤمنين بنعمة سبقت ،   لأن هذه الآية نزلت بعد بدر استدعاء لشكرهم عليها ،   وعلى القول الثاني وعداً بنعمة مستقبلة لأنها نزلت قبل قتل يهود بني قينقاع ،   فحقق وعده وجعله معجزاً لرسوله ."
3,12,"قوله عز وجل : { قُل لِّلَّذِينَ كَفَرواْ سَتُغْلَبُونَ } الآية .   في سبب نزول هذه الآية ثلاثة أقوال :

أحدها : أنها نزلت في قريش قبل بدر بسنة ،   فحقق الله قوله ،   وصدق رسوله ،   وأنجز وعده بمن قتل منهم يوم بدر ،   قاله ابن عباس ،   والضحاك .

والثاني : أنها نزلت في بني قينقاع لمَّا هلكت قريش يوم بدر ،   فدعاهم النبي صلى الله عليه وسلم إلى الإسلام ،   وحذرهم مثل ما نزل بقريش ،   فأبوا وقالوا : لسنا كقريش الأغمار الذين لا يعرفون الناس ،   فأنزل الله فيهم هذه الآية ،   قاله قتادة ،   وابن إسحاق .

والثالث : أنها نزلت في عامة الكفار .

وفي الغلبة هنا قولان :

أحدهما : بالقهر والاستيلاء ،   إن قيل إنها خاصة .

والثاني : بظهور الحجة ،   إن قيل إنها عامة .

وفي { وَبِئْسَ الْمِهَادُ } قولان :

أحدهما : بئس ما مهدوا لأنفسهم ،   قاله مجاهد .

والثاني : معناه بئس القرار ،   قاله الحسن .

وفي بئس وجهان : أحدهما : أنه مأخوذ من البأس ،   وهو الشدة .

والثاني : أنه مأخوذ من البأساء وهو الشر ."
3,13,"قوله عز وجل : { قَدْ كَانَ لَكُمْ ءَايَةٌ فِي فِئَتَيْنِ الْتَقَتَا فِئَةٌ تُقَاتِلُ فِي سَبِيلِ اللهِ } يعني المؤمنين من أهل بدر .

{ وَأُخْرَى كَافِرَةٌ } يعني مشركي قريش .

{ يَرَونَهُم مِّثْلَيْهِمْ رَأْيَ الْعَيْنِ } وفي مثليهم قولان :

أحدهما : أنهم مثلان زائدان على العدد المُتَحَقِّق ،   فيصير العدد ثلاثة أمثال ،   قاله الفراء .

والثاني : هو المزيد في الرؤية ،   قاله الزجاج .

اختلفوا في المخاطب بهذه الرؤية على قولين :

أحدهما : أنها الفئة المؤمنة التي تقاتل في سبيل الله ،   بأن أراهم الله مشركي قريش يوم بدر مثلي عدد أنفسهم ،   لأن عدة المسلمين كانوا ثلاثمائة وبضعة عشر رجلاً ،   وعدة المشركين في رواية عليٍّ وابن مسعود ألف ،   وفي رواية عروة ،   وقتادة ،   والربيع ما بين تسعمائة إلى ألف ،   فقلَّلهم الله في أعينهم تقوية لنفوسهم ،   قاله ابن مسعود ،   والحسن .

والثاني : أن الفئة التي أراها الله ذلك هي الفئة الكافرة ،   أراهم الله المسلمين مثلي عددهم مكثراً لهم ،   لتضعف به قلوبهم .   والآية في الفئتين هي تقليل الكثير في أعين المسلمين ،   وتكثير القليل في أعين المشركين ،   وما تقدم من الوعد بالغلبة ،   فتحقق ،   قتلاً ،   وأسراً ،   وسبياً .

{ وَاللَّهُ يُؤَيِّدُ بِنَصْرِهِ مَن يَشَاءُ } يعني من أهل طاعته .   وفي التأييد وجهان :

أحدهما : أنه المعونة .

والثاني : القوة .

{ إِنَّ فِي ذَلِكَ لَعِبْرَةً لأُولِي الأبْصَارِ } فيه وجهان :

أحدهما : أن في نصرة الله لرسوله يوم بدر مع قلة أصحابه عبرة لذوي البصائر والعقول .

والثاني : أن فيما أبصره المشركون من كثرة المسلمين مع قلتهم عبرة لذوي الأعين والبصائر ."
3,14,"قوله عز وجل : { زُيِّنَ لِلنَّاسِ حُبُّ الشَّهَوَاتِ } معنى زين : أي حُسِّن حب الشهوات ،   والشهوة من خَلْق الله في الإنسان ،   لأنها ضرورة لا يقدر على دفعها .

وفي المُزّيِّن لحب الشهوات ثلاثة أقاويل :

أحدها : أنه الشيطان ،   لأنه لا أحد أشد ذَمًّا لها من الله تعالى الذي خَلَقَها ،   قاله الحسن .

والثاني : تأويل أن الله زين حب الشهوات لِمَا جعله في الطبائع من المنازعة كما قال تعالى :

{ إِنَّا جَعَلْنَا مَا عَلَى الأرْضِ زِينَةً لَّهَا }

[ الكهف : 7 ] ،   قاله الزجاج .

والثالث : أن الله زين من حبها ما حَسُن ،   وزين الشيطان من حبها ما قَبُح .   { وَالْقَنَاطِيرِ الْمُقَنْطَرَةِ } اختلفوا في مقدار القنطار على سبعة أقاويل :

أحدها : أنه ألف ومائتا أوقية ،   وهو قول معاذ بن جبل ،   وأبي هريرة ورواه زر بن حبيش عن أُبيّ بن كعب قال : قال رسول الله صلى الله عليه وسلم :  ""  القِنْطَارُ أَلفٌ وَمِائَتا أُوقِيَّةٍ ""  .

والثاني : أنه ألف ومائتا دينار ،   وهو قول الضحاك ،   والحسن ،   وقد رواه الحسن عن النبي صلى الله عليه وسلم .

والثالث : أنه اثنا عشر ألف درهم أو ألف دينار ،   وهو قول ابن عباس .

والرابع : أنه ثمانون ألفاً من الدراهم ،   أو مائة رطل من الذهب ،   وهو قول سعيد بن المسيب ،   وقتادة .

والخامس : أنه سبعون ألفاً ،   قاله ابن عمر ،   ومجاهد .

والسادس : أنه ملء مسك ثور ذهباً ،   قاله أبو نضرة .

والسابع : أنه المال الكثير ،   وهو قول الربيع .

وفي { المُقَنْطَرَةِ } خمسة أقاويل :

أحدها : أنها المضاعفة ،   وهو قول قتادة .

والثاني : أنها الكاملة المجتمعة .

والثالث : هي تسعة قناطير ،   قاله الفراء .

والرابع : هي المضروبة دراهم أو دنانير ،   وهو قول السدي .

والخامس : أنها المجعولة كذلك ،   كقولهم دراهم مدرهمة .

ويحتمل وجهاً سادساً : أن القناطير المذكورة مأخوذة من قنطرة الوادي ،   إما لأنها بتركها مُعَدَّة كالقناطر المعبورة ،   وإما لأنها معدة لوقت الحاجة ،   والقناطير مأخوذة من عقد الشيء وإحكامه كالقنطرة .

{ وَالْخَيلِ الْمُسَوَّمَةِ } فيها خمسة تأويلات :

أحدها : أنها الراعية ،   قاله سعيد بن جبير ،   والربيع ،   ومنه قوله تعالى : { وفيه تسيمون } أي ترعون .

والثاني : أن المسومة الحسنة ،   قاله مجاهد ،   وعكرمة ،   والسدي .

والثالث : أنها المعلَّمة ،   قاله ابن عباس ،   وقتادة .

والرابع : أنها المعدة للجهاد ،   قاله ابن زيد .

والخامس : أنها من السيما مقصور وممدود ،   قاله الحسن ،   قال الشاعر :

غلامٌ رماه اللهُ بالحُسْن يافعاً *** له سيمياء لا تَشُقُّ على البصر

{ والأنْعَامِ } هي الإِبل ،   والبقر ،   والغنم من الضأن والمعز ،   ولا يقال النعم لجنس منها على الإِنفراد إلا للإِبل خاصة .

{ والْحَرْثِ } هو الزرع .

ويحتمل وجهاً ثانياً : أن يريد أرض الحرث لأنها أصل ،   ويكون الحرث بمعنى المحروث ."
3,17,"قوله عز وجل : { الصَّابِرِينَ } فيه ثلاثة تأويلات :

أحدها : الصابرين عما نهوا عنه من المعاصي .

والثاني : يعني في المصائب .

والثالث : الصائمين .

ويحتمل رابعاً : الصابرين عما زُيِّن للناس من حب الشهوات .

{ وَالصَّادِقِينَ } فيه وجهان :

أحدهما : في قولهم .

والثاني في القول والفعل والنيَّة ،   والصدق في [ القول ] : الإخبار بالحق ،   والصدق في الفعل : إتمام العمل ،   والصدق في النية : إمضاء العزم .

{ وَالْقَانِتِينَ } فيه تأويلان :

أحدهما : يعني المطيعين ،   قاله قتادة .

والثاني : معناه القائمون على العبادة ،   قاله الزجاج .

{ والْمُنفِقِينَ } فيه تأويلان :

أحدهما : في الجهاد .

والثاني : في جميع البِرِّ .

{ وَالْمُسْتَغْفِرِينَ بالأْسْحَارِ } فيه ثلاثة تأويلات :

أحدها : يعني المصلين بالأسحار ،   قاله قتادة .

والثاني : أنهم المستغفرون قولاً بالأسحار يسألون الله تعالى المغفرة ،   قاله ابن عمر ،   وابن مسعود وأنس بن مالك .

والثالث : أنهم يشهدون الصبح في جماعة ،   قاله زيد بن أسلم .   والسحر من الليل هو قبيل الفجر ."
