surah_number,ayah_number,tafsir_text
20,1,{ طه } يارجل
20,2,{ ما أنزلنا عليك القرآن لتشقى } لتتعب بكثرة الجهد وذلك أنه كان يصلي الليل كله بمكة حتى تورمت قدماه وقال له الكفار إنك لتشقى بترك ديننا فأنزل الله تعالى هذه الآية
20,3,{ إلا تذكرة } أي ما أنزلناه إلا تذكرة موعظة { لمن يخشى } يخاف الله عز وجل
20,4,{ تنزيلا ممن خلق الأرض والسماوات العلى } جمع العليا
20,5,{ الرحمن على العرش } مع أنه أعظم المخلوقات { استوى } أي أقبل على خلقه كقوله { ثم استوى إلى السماء } مع أنه أعظم المخلوقات أي استولى
20,6,و قوله { وما تحت الثرى } ما تحت الأرض والثرى التراب الندي
20,7,{ وإن تجهر بالقول فإنه يعلم السر } وهو ما أسررت في نفسك { وأخفى } وهو ما ستحدث به نفسك مما لم يكن بعد والمعنى إنه يعلم هذا فكيف ما جهر به
20,9,{ وهل أتاك } يا محمد { حديث موسى } خبره وقصته
20,10,{ إذ رأى نارا } في طريقه إلى مصر لما أخذ امرأته انطلق { فقال لأهله } لامرأته { امكثوا } أقيموا مكانكم { إني آنست } أبصرت { نارا لعلي آتيكم منها بقبس } شعلة نار { أو أجد على النار هدى } من يهديني ويدلني على الطريق وكان قد ضل عن الطريق
20,11,{ فلما أتاها } أي النار
20,12,{ نودي يا موسى } { إني أنا ربك فاخلع نعليك } وكانتا من جلد حمار ميت غير مدبوغ لذلك أمر بخلعها { إنك بالواد المقدس } المطهر{ طوى } اسم ذلك الوادي
20,13,{ وأنا اخترتك } اصطفيتك للنبوة { فاستمع لما يوحى } إليك مني
20,14,{ وأقم الصلاة لذكري } لتذكرني فيها
20,15,{ إن الساعة } القيامة { آتية أكاد أخفيها } أسترها للتهويل والتعظيم و أكاد صلة { لتجزى } في ذلك اليوم { كل نفس بما تسعى } تعمل
20,16,{ فلا يصدنك } يمنعنك { عنها } عن الإيمان بالساعة { من لا يؤمن بها واتبع هواه } مراده { فتردى } فتهلك
20,17,{ وما تلك } وما التي { بيمينك } في يدك اليمنى { قال هي عصاي أتوكأ عليها } أتحامل عليها عند المشي والإعياء { وأهش } أخبط الورق عن الشجر { بها على غنمي ولي فيها مآرب أخرى } حاجات أخرى سوى التوكؤ والهش
20,21,وقوله { سنعيدها سيرتها الأولى } أي نردها عصا كما كانت
20,22,{ واضمم يدك إلى جناحك } جناح الإنسان عضده إلى أصل إبطه يريد أدخلها تحت جناحك { تخرج بيضاء من غير سوء } برص أو داء { آية أخرى } لك سوى العصا
20,23,{ لنريك من آياتنا الكبرى } وكانت يده أكبر آياته
20,24,{ اذهب إلى فرعون إنه طغى } كفر بأنعمي وتكبر عن عبادتي فعند ذلك
20,25,{ قال موسى } { رب اشرح لي صدري } وسع ولين لي قلبي بالإيمان والنبوة
20,26,{ ويسر لي أمري } وسهل علي ما أمرتني به من تبليغ الرسالة
20,27,{ واحلل } افتح { عقدة من لساني } وكانت في لسانه رتة للجمرة التي وضعها على لسانه في صباه
20,28,{ يفقهوا قولي } كي يفهموا كلامي
20,29,{ واجعل لي وزيرا } معينا { من أهلي } وهو { هارون }
20,30,/ت29
20,31,{ اشدد به أزري } قو به ظهري
