surah_number,ayah_number,tafsir_text
33,1,"قول الله سبحانه وتعالى : { يا أيها النبي اتق الله وَلاَ تُطِعِ الكافرين } قال مقاتل : وذلك أن أبا سفيان بن حرب ،   وعكرمة بن أبي جهل ،   وأبا الأعور السلمي ،   قدموا المدينة بعد أحد ،   وبعد الهزيمة ،   فمروا على عبد الله بن أبي المنافق .   فقام معهم عبد الله بن أبي سرح وطعمة بن أبيرق .   فجاؤوا إلى الرسول صلى الله عليه وسلم .   فقالوا له : اترك ذكر آلهتنا .   وقل : إن لها شفاعة في الآخرة ومنفعة لمن عبدها ،   وندعك وربك .   فشقّ ذلك على النبي صلى الله عليه وسلم فقال عمر رضي الله عنه ائذن لي في قتلهم .   فقال : «قَدْ أَعْطَيْتُهُمُ الأَمَانَ » .   فلم يأذن له بالقتل ،   وأمره بأن يخرجهم من المدينة .   فقال لهم عمر :  "" اخرجوا في لعنة الله وغضبه ""  .   فنزل { يا أيها النبي اتق الله } وقال مقاتل في رواية الكلبي : قدموا على رسول الله صلى الله عليه وسلم بالمدينة ،   فنزلوا على عبد الله بن أبي ومعتب بن قشير ،   وجد بن قيس ،   فتكلموا فيما بينهم .   فلما اجتمعوا في أمر فيما بينهم ،   أتوا رسول الله صلى الله عليه وسلم يدعونه إلى أمرهم ،   وعرضوا عليه أشياءً فكرهها منهم .   فهمّ بهم رسول الله صلى الله عليه وسلم والمسلمون أن يقتلوهم ،   فنزل { يا أيها النبي اتق الله } ولا تنقض العهد الذي بينك وبينهم إلى المدةَ .   { وَلاَ تُطِعِ الكافرين } من أهل مكة { والمنافقين } من أهل المدينة فيما دعوك إليه .   ويقال : إن المسلمين أرادوا أن ينقضوا العهد فأراد النبي صلى الله عليه وسلم أن يأذن لهم .   فنزل { يا أيها النبي اتق الله } في نقض العهد .   وإنما ذكر النبي صلى الله عليه وسلم وأراد هو وأصحابه .   ألا ترى أنه قال في سياق الآية : { إِنَّ الله كَانَ بِمَا تَعْمَلُونَ خَبِيراً } ثم قال : { إِنَّ الله كَانَ عَلِيماً } بما اجتمعوا عليه { حَكِيماً } حيث نهاك عن نقض العهد وحكم بالوفاء ."
33,2,قوله عز وجل : { واتبع مَا يوحى إِلَيْكَ مِن رَبّكَ } يعني : بما في القرآن { إِنَّ الله كَانَ بِمَا تَعْمَلُونَ خَبِيراً } من وفاء العهد ونقضه .
33,3,{ وَتَوَكَّلْ عَلَى الله } يعني : ثق بالله ،   وفوض أمرك إلى الله تعالى { وكفى بالله وَكِيلاً } يعني : حافظاً وناصراً .   قرأ أبو عمرو : { بِمَا يَعْمَلُونَ } بالياء على معنى الخبر عنهم .   وقرأ الباقون بالتاء على معنى المخاطبة ،   يعني : النبي صلى الله عليه وسلم وأصحابه .
33,4,"قوله عز وجل : { مَّا جَعَلَ الله لِرَجُلٍ مّن قَلْبَيْنِ فِي جَوْفِهِ } قال مقاتل : نزلت في جميل بن معمر ،   ويكنى أبا معمر ،   وكان حافظاً بما يسمع ،   وأهدى الناس للطريق ،   يعني : طريق البلدان ،   وكان مبغضاً للنبي صلى الله عليه وسلم وكان يقول : إن لي قلبين ،   أحدهما أعقل من قلب محمد فنزل : { مَّا جَعَلَ الله لِرَجُلٍ مّن قَلْبَيْنِ فِي جَوْفِهِ } وكان الناس يظنون أنه صادق في ذلك ،   حتى كان يوم بدر فانهزم ،   وهو آخذ بإحدى نعليه ،   والأخرى في رجله حتى أدركه أبو سفيان بن حرب وكان لا يعلم بذلك ،   حتى أخبر أن إحدى نعليه في أصبعه ،   والأخرى في رجله ،   فعرفوا أنه ليس له قلبان .   ويقال : إن رسول الله صلى الله عليه وسلم سهى في صلاته ،   فقال المنافقون : لو أن له قلبين أحدهما في صلاته ،   والآخر مع أصحابه ،   فنزل { مَّا جَعَلَ الله لِرَجُلٍ مّن قَلْبَيْنِ فِي جَوْفِهِ } .

وروى معمر عن قتادة قال : كان رجل لا يسمع شيئاً إلا وعاه ،   فقال الناس : ما يعي هذا إلا أن له قلبين ،   وكان يسمى ذا القلبين فنزلت هذه الآية .   وروى معمر عن الزهري قال : بلغنا أن ذلك في شأن زيد بن حارثة ،   ضرب الله مثلاً يقول : ليس ابن رجل آخر ابنك ،   كما لا يكون لرجل آخر من قلبان .

وذكر عن الشافعي رحمه الله أنه احتج على محمد بن الحسن قال : { مَّا جَعَلَ الله لِرَجُلٍ مّن قَلْبَيْنِ } يعني : ما جعل الله لرجل من أبوين في الإسلام ،   يعني : لا يجوز أن يثبت نسب صبي واحد من اثنين .   ولكن هذا التفسير لم يذعن به أحد من المتقدمين ،   فلو أراد به على وجه القياس لا يصح .   لأنه ليس بينهما جامع يجمع بينهما .   وذكر عن عمر وعلي رضي الله تعالى عنهما :  "" أن جارية كانت بين رجلين ،   جاءت بولد فادعياه ،   فقالا :  "" إنه ابنهما يرثهما ويرثانه ""  .

ثم قال عز وجل : { وَمَا جَعَلَ أزواجكم اللائي تظاهرون مِنْهُنَّ أمهاتكم } قرأ عاصم { تُظاهرون } بضم التاء وكسر الهاء والألف .   وقرأ ابن عامر : { تظّاهرون } بنصب التاء والهاء وتشديد الظاء مع الألف .   وقرأ ابن كثير ونافع وأبو عمرو : { تظهرُونَ } بنصب التاء والهاء بغير ألف والتشديد .   وقرأ حمزة والكسائي { تظاهرون } بنصب التاء والتخفيف مع الألف ،   وهذه كلها لغات .   يقال : ظاهر من امرأته ،   وتظاهر ،   وتظهر بمعنى واحد ،   وهو أن يقول لها : أنت علي كظهر أمي .   فمن قرأ : { تظّهرُونَ } بالتشديد ،   فالأصل تظهرون ،   فأدغم إحدى التاءين في الظاء وشددت .   من قرأ { تظاهرون } فالأصل يتظاهرون فأدغمت إحدى التاءين .   ومن قرأ بالتخفيف حذف إحدى التاءين ،   ولم يشدد للتخفيف كقوله : { تُسْأَلُونَ } والأصل تتساءلون ،   والآية نزلت في شأن أوس بن الصامت حين ظاهر من امرأته ،   وذكر حكم الظهار في سورة المجادلة .

ثم قال تعالى : { وَمَا جَعَلَ أَدْعِيَاءكُمْ أَبْنَاءكُمْ } نزلت في شأن زيد بن حارثة حين تبنّاه النبي صلى الله عليه وسلم قال : فكما لا يجوز أن يكون لرجل واحد قلبان ،   فكذلك لا يجوز أن تكون امرأته أمه ،   ولا ابن غيره يكون ابنه .

ثم قال : { ذَلِكُمْ قَوْلُكُم بأفواهكم } يعني : قولكم الذي قلتم زيد بن محمد صلى الله عليه وسلم أنتم قلتموه بألسنتكم { والله يَقُولُ الحق } يعني : يبيّن الحق ،   ويأمركم به كي لا تنسبوا إليه غير النسبة { وَهُوَ يَهْدِي السبيل } يعني : يدلّ على طريق الحق .   ويقال : يدلّ على الصواب بأن تدعوهم إلى آبائهم .   وروى أبو بكر بن عياش عن الكلبي قال : كان زيد بن حارثة مملوكاً لخديجة بنت خويلد ،   فوهبته خديجة من رسول الله صلى الله عليه وسلم فأعتقه ،   وتبناه ،   فكانوا يقولون زيد بن محمد فنزل قوله : { ادعوهم لآبائهم } ."
33,5,"{ ادعوهم لآبائهم } يعني : انسبوهم لآبائهم .   فقالوا : زيد بن حارثة { هُوَ أَقْسَطُ عِندَ الله } يعني : أعدل عند الله عز وجل { فإن لم تعلموا آباءهم } يعني : إن لم تعلموا لهم آباء تنسبونهم إليهم { فَإِخوَانُكُمْ فِي الدين } أي : قولوا ابن عبد الله وابن عبد الرحمن { ومواليكم } يعني : قولوا مولى فلان فلان .   وكان أبو حذيفة أعتق عبداً يقال له : سالم وتبناه ،   فكانوا يسمونه سالم بن أبي حذيفة .   فلما نزلت هذه الآية سموه سالماً مولى أبي حذيفة .

ثم قال : { وَلَيْسَ عَلَيْكُمْ جُنَاحٌ فِيمَا أَخْطَأْتُمْ بِهِ } يعني : أن تنسبوهم إلى غير آبائهم قبل النهي .   ويقال : ما جرى على لسانهم بعد النهي ،   لأن ألسنتهم قد تعودت بذلك { ولكن مَّا تَعَمَّدَتْ قُلُوبُكُمْ } يعني : ولكن الجناح فيما قصدت قلوبكم بعد النهي .

وروي عن عطاء بن أبي رباح عن عبيد بن عمير عن عبد الله بن عباس عن النبي صلى الله عليه وسلم أنه قال : «تَجَاوَزَ الله عَنْ أمَّتِي الخَطَأَ وَالنِّسْيَانَ وَمَا اسْتُكْرِهُوا عَلَيْهِ » .   وروي عن سعد بن أبي وقاص : أنه حلف باللات والعزى ناسياً .   فذكر للنبي صلى الله عليه وسلم  "" فأمره أن ينفث عن يساره ثلاثاً ،   وأن يستعيذ بالله من الشيطان الرجيم ""  .

ثم قال : { وَكَانَ الله غَفُوراً رَّحِيماً } يعني : { غفوراً } لمن أخطأ ثم رجع { رَّحِيماً } بهم ."
33,6,"قوله عز وجل : { النبي أولى بالمؤمنين مِنْ أَنْفُسِهِمْ } يعني : ما يرى لهم رأياً فذلك أولى وأحسن لهم من رأيهم .   ويقال : معناه النبي أرحم بالمؤمنين من أنفسهم { وأزواجه أمهاتهم } يعني : كأمهاتهم في الحرمة .   وذكر عن أبي أنه كان يقرأ { النبي أولى بالمؤمنين مِنْ أَنْفُسِهِمْ }  "" وهو أب لهم ""  { وأزواجه أمهاتهم } .

ثم قال :{ وَأُوْلُو الأرحام بَعْضُهُمْ أولى بِبَعْضٍ } قال في رواية الكلبي : إن رسول الله صلى الله عليه وسلم آخى بين الناس ،   فكان يؤاخي بين الرجلين ،   فإذا مات أحدهما ورثه الباقي منهما دون عصبته وأهله ،   فمكثوا في ذلك ما شاء الله حتى نزلت هذه الآية : { وَأُوْلُو الأرحام بَعْضُهُمْ أولى بِبَعْضٍ } .   { فِي كتاب الله مِنَ المؤمنين والمهاجرين } الذين آخى بينهم فصارت المواريث بالقرابات ،   وروي عن النبي صلى الله عليه وسلم أنه قال : «أَنَا وَلِيُّ كُلِّ مُسْلِمٍ فَمَنْ تَرَكَ مالاً فَلِوَرَثَتِهِ ،   وَمَنْ تَرَكَ دَيْناً فَإلَى الله وَإلَى رَسُولِهِ » .   فأمر بصرف الميراث إلى العصبة .

ثم قال تعالى : { إِلاَّ أَن تَفْعَلُواْ إلى أَوْلِيَائِكُمْ مَّعْرُوفاً } يعني : إلا أن يوصي له بثلث ماله .   وقال مقاتل : كان المهاجرون والأنصار يرثون بعضهم من بعض بالقرابة ،   ولا يرث من لم يهاجر إلا أن يوصي للذي لم يهاجر ،   ثم نسخ بما في آخر سورة الأنفال .

ثم قال : { كَانَ ذلك فِي الكتاب مَسْطُورًا } يعني : هكذا كان مكتوباً في التوراة ،   ويقال : في اللوح المحفوظ ،   ويقال : في القرآن ."
33,7,"قوله عز وجل : { وَإِذْ أَخَذْنَا مِنَ النبيين مِيثَاقَهُمْ } وهو الوحي الذي أوحى إليهم أن يدعوا الخلق إلى عبادة الله عز وجل ،   وأن يصدق بعضهم بعضاً .   ويقال : الميثاق الذي أخذ عليهم من ظهورهم .   ويقال : كل نبي أمر بأن يأمر من بعده بأن يخبروا ببعث النبي صلى الله عليه وسلم حتى ينتهي إليه .

ثم قال : { وَمِنْكَ وَمِن نُّوحٍ } في هذا تفضيل رسول الله صلى الله عليه وسلم ،   لأنه قد ذكر جملة الأنبياء عليهم السلام ثم خصّه بالذكر قبلهم ،   وكان آخرهم خروجاً .   ثم ذكر نوحاً لأنه كان أولهم .   ثم ذكر { إبراهيم وموسى وعيسى ابن مريم } صلوات الله عليهم لأن كل واحد منهم كان على أثر بعض .   { وَأَخَذْنَا مِنْهُمْ ميثاقا غَلِيظاً } يعني : عقداً وثيقاً أن يعبدوا الله تعالى ،   ويدعوا الخلق إلى عبادة الله عز وجل ،   وأن يبشروا كل واحد منهم بمن بعده ."
33,8,"ثم قال عز وجل : { لِّيَسْأَلَ الصادقين عَن صِدْقِهِمْ } يعني : أخذ عليهم الميثاق لكي يسأل الصادقين عن صدقهم .   يعني : يسأل المرسلين عن تبليغ الرسالة .   ويسأل الوفيّين عن وفائهم .   وروي في الخبر :  "" أنه يسأل القلم يوم القيامة ،   فيقول له : ما فعلت بأمانتي ؟ فيقول : يا رب سلمتها إلى اللوح .   ثم جعل يرتعد القلم مخافة أن لا يصدقه اللوح .   فيسأل اللوح بأن القلم قد أدى الأمانة ،   وأنه قد سلم إلى إسرافيل .   فيقول لإسرافيل : ما فعلت بأمانتي التي سلمها إليك اللوح ؟ فيقول : سلمتها إلى جبريل .   فيقول لجبريل عليه السلام : ما فعلت بأمانتي .   فيقول : سلمتها إلى أنبيائك ،   فيسأل الأنبياء عليهم السلام فيقولون : قد سلمناها إلى خلقك ،   فذلك قوله تعالى : { لِّيَسْأَلَ الصادقين عَن صِدْقِهِمْ } { وَأَعَدَّ للكافرين عَذَاباً أَلِيماً } يعني : الذين كذبوا الرسل ."
33,9,"قوله عز وجل : { يَا أَيُّهَا الذين آمنوا اذكروا نِعْمَةَ الله عَلَيْكُمْ } يعني : احفظوا منة الله عليكم بالنصرة .   { إِذْ جَاءتْكُمْ جُنُودٌ } يعني : الأحزاب .   وذلك أن النبي صلى الله عليه وسلم لما قدم المدينة ،   صالح بني قريظة وبني النضير على أن لا يكونوا عليه ،   ولا معه .   فنقضت بنو النضير عهودهم ،   وأجلاهم النبي صلى الله عليه وسلم منها ،   وذكر قصتهم في سورة الحشر .   ثم إنّ بني قريظة جددوا العهد مع النبي صلى الله عليه وسلم .   ثم إن حيي بن أخطب ركب ،   وخرج إلى مكة .   فقال لأبي سفيان بن حرب : إن قومي مع بني قريظة وهم سبعمائة وخمسون مقاتلاً .   فحثّه على الخروج إلى قتال رسول الله صلى الله عليه وسلم .   ثم خرج من مكة إلى غطفان وحثهم على ذلك .   ثم خرج إلى كنانة وحثهم على ذلك .   فخرج أبو سفيان مع جماعة من أهل مكة ،   وخرج غطفان وبنو كنانة حتى نزلوا قريباً من المدينة مع مقدار خمسة عشر ألف رجل .   ويقال : ثمانية عشر ألف رجل .   ثم جاء حيي بن أخطب إلى بني قريظة ،   فجاء إلى باب كعب بن الأشرف وهو رئيس بني قريظة .   فاستأذن عليه .   فقال لجاريته : انظري من هذا ؟ فعرفته الجارية فقالت : هذا حيي بن أخطب .   فقال : لا تأذني له عليّ .   فإنه مشؤوم إنه قد شام قومه ،   يريد أن يشأمنا زيادة .   فقالت له الجارية : ليس هاهنا ،   فقال حيي بن أخطب : بلى هو ثم ولكن عنده قدر جشيش لا يحب أن يشركه فيها أحد .   فقال كعب : أحفظني أخزاه الله ،   يعني : أغضبني ،   إئذني له في الدخول .   فدخل عليه ،   فقال له : يجيئُك مليكك ،   قد جئتك بعارض برد ،   جئتك بقريش بأجمعها ،   وكنانة بأجمعها ،   وغطفان بأجمعها ،   لا يذهب هذا الفوز حتى يقتل محمد .   فانقض الحلف بينك وبين محمد .   فقال له كعب بن الأشرف : إن العارض ليصيب بنفحاته شيئاً .   ثم يرجع وأنا في بحر لجي لا أقدر على أن أريم داري ومالي ،   والله ما رأينا جاراً قط خيراً من محمد ،   ما أخفر لنا بذمة ،   ولا هتك لنا ستراً ولا آذانا ،   وإنما أخشى أن لا يقتل محمد ،   وترجع أنت وأقتل أنا .   فقال لكم ما في التوراة إن لم يقتل محمداً في هذا الغور ،   لأدخلنّ معكم حصنكم ،   فيصيبني ما أصابكم .   فنقض الحلف ،   وشقّ الصحيفة ،   فقدم بنعيم بن مسعود المدينة ،   وكان تاجراً يقدم من مكة .   فقال : يا محمد شعرت أن بني قريظة نقضوا الحلف الذي كان بينك وبينهم ،   فقال النبي صلى الله عليه وسلم : «لَعَلَّنَا نَحْنُ أَمَرْنَاهُمْ بذلك » .   فقال عمر : إن كنت أمرتهم بذلك ،   وإن كنت تأمرهم بذلك ،   فقتالهم علينا هيّن ""  .   فقال : «مَا أَنا بِكَذَّابٍ ،   ولكن الحَرْبَ خُدْعَةٌ » .   ونعيم لم يسلم ذلك اليوم .   فبعث النبي صلى الله عليه وسلم سعد بن معاذ ،   وأسيد بن حضير ،   وسعد بن عبادة إلى كعب بن الأشرف ،   يناشدوه الله الحلف الذي كان بينهم .   وأن يرجعوا إلى ما كانوا عليه من قبل .   فأبى كعب بن الأشرف ،   وجرى بينهم كلام .   وسبّ سعد بن معاذ .   فقال أسيد بن حضير : أتسب سيدك معاذاً يا عدو الله ؟ ما هو لك بكفؤ .   فقال سعد بن : اللهم لا تميتني حتى أشفي نفسي منهم .   فرجعوا إلى رسول الله صلى الله عليه وسلم فحدثوه الحديث .

فانطلق نعيم بن مسعود إلى أبي سفيان فقال : يا أبا سفيان والله ما كذب محمد قط كذبة ،   أخبرني بأنه أمر بنقض الحلف بينه وبين بني قريظة .   فقال سلمان الفارسي : إنا كنا يا رسول الله بأرض فارس إذا تخوفنا الجنود ،   خندقنا على أنفسنا ،   فهل لك أن تخندق خندقاً ؟ فخرج رسول الله صلى الله عليه وسلم مع أهل المدينة ،   وخندق وأخذ المعول بيده ،   فضرب لكي يقتدي الناس به .   فضرب ضربةً فأبرق برقة ،   حتى ظهر ضوء بضربته .   ثم ضرب ضربة أخرى فأبرق برقة ،   ثم ضرب الثالثة فقال سلمان : لقد رأيت أمراً عجيباً .   لقد رأيت ذلك ؟ قال : نعم .   فقال النبي صلى الله عليه وسلم : «لَقَدْ رَأَيْتُ بِالأولى قُصُورَ الشَّامِ ،   وَبِالثَّانِيَةِ قُصُورَ كِسْرَى ؛ وَبِالثَّالِثَةِ قُصُورَ اليَمَنِ .   فهذه فُتُوحٌ يَفْتَحُ الله عَلَيْكُمْ » .   فقال ناس من المنافقين : يعدنا أن تفتح الشام وأرض فارس واليمن .   وما يستطيع أحد منا أن يذهب إلى الخلاء .   ما يعدنا إلا غروراً .

فمكث الجنود حول المدينة بضعة عشرة ليلة ،   فأرسل عيينة بن حصن الفزاري والحارث بن عوف إلى رسول الله صلى الله عليه وسلم : إنك إن أعطيتنا تمر المدينة هذه السنة ،   نرجع عنك بغطفان وكنانة ،   ونخلي بينك وبين قومك فتقاتلهم .   فقال النبي صلى الله عليه وسلم : «لا » .   فقال : فنصف ذلك التمر .   قال : «نعم » .   وكان عند النبي صلى الله عليه وسلم سعد بن معاذ وهو سيد الأوس ،   وسعد بن عبادة وهو سيد الخزرج ،   فقال لرسول الله صلى الله عليه وسلم عيينة بن حصين ،   والحارث بن عوف لرسول الله صلى الله عليه وسلم : اكتب لنا كتاباً .   فدعى بصحيفة ليكتب بينهم .   فقال سعد بن معاذ وسعد بن عبادة : يا رسول الله أوحي إليك في هذا شيء ؟ فقال : «لا ولكنني رَأَيْتُ العَرَبَ رَمَتْكُمْ مِنْ قَوْسٍ وَاحِدَةٍ فَقُلْتُ أَرُدُّ هؤلاء وَأُقَاتِلُ هؤلاء » فقالا : ما رجون بهذا منها في الجاهلية قط أن يأخذوا منا تمرة واحدة إلا شراء وقرًى .   فحين زادنا الله بك ،   وأمدنا بك ،   وأكرمنا بك ،   نعطيهم الدنية .   لا نعطيهم شيئاً إلا بالسيف .   فشق النبي صلى الله عليه وسلم الصحيفة وقال : «اذْهَبُوا فَلا نُعْطِيكُمْ شَيْئاً إلاَّ بِالسَّيْفِ » .   فلما كان يوم الجمعة أرسل أبو سفيان إلى حييّ بن أخطب أن استعدَّ غداً إلى القتال فقد طال المقام هاهنا ،   وقل لقومك يغدوا .   فلما جاء بني قريظة الرسول ،   فقالوا : غداً يوم السبت لا نقاتل فيه .   فقال أبو سفيان : نحن نؤخر القتال إلى يوم الأحد .   هاتوا لنا رهوناً أبناءكم نثلج إليهم يعني : نطمئن بذلك .   فجاء رسول أبي سفيان إلى بني قريظة ،   وقد أمسوا ،   فقالوا : هذه الليلة لا يدخل علينا أحد ولا يخرج من عندنا أحد .   فوقع في نفس أبي سفيان من قول نعيم بن مسعود أنه حق ،   وأن نقض العهد كان مكراً منهم .

فلما كانت الليلة ورسول الله صلى الله عليه وسلم وأصحابه عند الخندق ،   فصلى رسول الله صلى الله عليه وسلم ثلث الليل ثم قال : «مَنْ رَجُلٌ يَنْظُرُ مَا يَفْعَلُ القَوْمُ أَدْخَلَهُ الله الجَنَّةَ » .   فما تحرك منهم أحد .   ثم صلى الثلث الثاني فقال : «من رجل ينظر ما يفعل القوم » فما تحرك منهم أحد ثم صلى ساعة ،   ثم هتف مرة أخرى ،   فما تحرك منهم إنسان .   فقال : «يَا حُذَيْفَةُ » فجاء حذيفة .   فقال : «أَمَا سَمِعْتَ كَلامِي مُنْذُ اللَّيْلَة » .   قال : بلى .   ولكن بي من الجوع والقر يعني : البرد ،   لم أقدر على أن أجيبك .   قال : «اذْهَبْ فَانْظُرْ ما فَعَلَ القَوْمُ ،   وَلاَ تَرْمِي بِسَهْمٍ ،   وَلاَ بِحَجَرٍ ،   وَلاَ تَطْعَنْ بِرمْحٍ ،   وَلاَ تَضْرِبْ بِسَيْفٍ » .   فقال : يا رسول الله إني لا أخشى أن يقتلوني ،   إني لميت .   ولكن أخشى أن يمثلوا بي .   فقال : «لَيْسَ عَلَيْكَ بَأْسٌ » .   فلما قال هذا ،   قال حذيفة : آمنت وعرفت أنه لا بأس علي .   فلما ولى حذيفة ،   قال النبي صلى الله عليه وسلم : «اللهم احْفَظْهُ مِنْ بَيْنِ يَدَيْهِ وَمِنْ خَلْفِهِ وَعَنْ يَمِينِهِ وَعَنْ شِمَالِهِ وَمِنْ فَوْقِهِ وَمِنْ تَحْتِهِ » .   فدخل حذيفة رضي الله عنه في عسكر قريش ،   فإذا هم يصطلون يعني : مجتمعين على نار لهم .   فجلس حذيفة في حلقة منهم .   فقال : أتدرون ما يريد الناس غداً ؟ قالوا : ماذا يريدون ؟ قال : يقولون : يعني : أهل العساكر أين قريش ؟ أين سادات الناس وقادتهم ؟ فتجيئون فيطرحونكم في نحور العدو ،   فتقتلوا أو تفروا ،   فما زال ذلك الحديث يفشو في العسكر .

ثم دخل عسكر بني كنانة .   فقال : أتدرون ماذا يريد الناس غداً ؟ قالوا : ماذا يريدون ؟ قال : يقولون أين بنو كنانة ؟ أين ذروة العرب ؟ أين رماة الخندق ؟ فتجيبون .   فيطرحونكم في نحور العدو ؟ فتقتلوا أو تفروا .

ثم دخل عسكر غطفان ،   فقال : أتدرون ماذا يريد الناس غداً ؟ قالوا ماذا يريدون ؟ قال : يقولون أين غطفان ؟ أين بنو فزارة بن حلاس الخيول ؟ فتجيبوا ،   فيطرحونكم في نحور العدو .   فتقتلوا أو تفروا .

قال : فبعث الله تعالى عليهم ريحاً شديدة ،   فلم تترك لهم خباء إلا قلعته ،   ولا إناء إلا أكفأته .   وقلعت أوتاد خيولهم ،   وجالت الخيول بعضها في بعض ،   فقالوا فيما بينهم : لقد بدا محمد بالسر .   فالنجاة النجاة .   فركب أبو سفيان جمله معقولاً ،   فما حلّ عقاله إلا بعد أن انبعث .   قال حذيفة : ولو شئت أن أضربه بسيفي أو أطعنه برمحي لفعلت .   ولكن نهاني رسول الله صلى الله عليه وسلم .   فترحلوا كلهم وذهبوا .   فرجع حذيفة إلى النبي صلى الله عليه وسلم فحدثه عن العساكر وما فعل الله عز وجل بها .   فنزل { يَا أَيُّهَا الذين آمنوا اذكروا نِعْمَةَ الله عَلَيْكُمْ } في الدفع عنكم { إِذْ جَاءتْكُمْ جُنُودٌ } من المشركين { فَأَرْسَلْنَا عَلَيْهِمْ رِيحاً } شديدة { وَجُنُوداً لَّمْ تَرَوْهَا } من الملائكة .   وذلك أن الملائكة عليهم السلام كبرت حوالي العسكر حتى انهزموا حين هبت بهم الريح ،   وهي ريح الصبا .   وروي عن ابن عباس عن النبي صلى الله عليه وسلم أنه قال : «نُصِرْتُ بِالصَّبَا ،   وَأُهْلِكَتْ عَادٌ بِالدَّبُورِ » ثم قال تعالى : { وَكَانَ الله بِمَا تَعْمَلُونَ بَصِيراً } في أمر الخندق ."
33,10,"قوله عز وجل : { إِذْ جاؤوكم مّن فَوْقِكُمْ } يعني : أتاكم المشركون من فوق الوادي .   يعني : طلحة بن خويلد الأسدي { وَمِنْ أَسْفَلَ مِنكُمْ } من قبل المغرب وهو أبو الأعور السلمي .   ويقال : { مّن فَوْقِكُمْ } أي : من قبل المشرق ،   مالك بن عوف ،   وعيينة بن حصن الفزاري ،   ويهود بني قريظة .   { وَمِنْ أَسْفَلَ مِنكُمْ } أبو سفيان .   فلما رأى ذلك { وَإِذْ زَاغَتِ الأبصار } يعني : شخصت الأبصار فرقاً يعني : أبصار المنافقين ،   لأنهم أشد خوفاً كأنهم خشب مسندة { وَبَلَغَتِ القلوب الحناجر } خوفاً ،   هذا على وجه المثل .   ويقال : اضطراب القلب يبلغ الحناجر .   ويقال : إذا خاف الإنسان ،   تنتفخ الرئة ،   وإذا انتفخت الرئة ،   يبلغ القلب الحنجرة .   ويقال للجبان : منتفخ الرئة .   { وَتَظُنُّونَ بالله الظنونا } يعني : الإياس من النصرة .   يعني : ظننتم أن لن ينصر الله عز وجل محمداً صلى الله عليه وسلم .   قرأ ابن كثير والكسائي وعاصم في رواية حفص :  "" الظنون ""  بالألف عند الوقف ،   ويطرحونها عند الوصل .   وكذلك في قوله { وَأَطَعْنَا الرسولا } [ الأحزاب : 66 ] { فأضلونا السبيلا } [ الأحزاب : 67 } .   وقرأ نافع وابن عامر وعاصم في رواية أبي بكر : بالألف في حال الوصل والوقف .   وقرأ أبو عمرو وحمزة بغير ألف في الحالتين جميعاً .   فمن قرأ بالألف في الحالين ،   فلاتباع الخط .   لأن في مصحف الإمام وفي سائر المصاحف بالألف .   ومن قرأ بغير ألف ،   فلأن الألف غير أصلية ،   وإنما يستعمل هذه الألف الشعراء في القوافي .   وقال أبو عبيدة : أحب إلي في هذه الحروف أن يتعمد الوقف عليها بالألف ،   ليكون متبعاً للمصحف ،   واللغة ."
