surah_number,ayah_number,tafsir_text
93,1,"الآيتان 1و2 :  قوله تعالى :  {  والضحى } {  والليل إذا سجى } قال بعضهم :  الضحى ضوء النهار كقوله تعالى :  {  وضحاها } ( الشمس : 1 ) أي وضوئها .   وقال بعضهم :  هو ساعة من النهار ،   وهي من أول النهار .   ويقال :  صلاة الضحى ،   وهي عند ضحوة النهار .   ومنهم من يقول :  هو كناية عن الحر كقوله :  {  إن لك ألا تجوع فيها ولا تعرى } إلى قوله :  {  ولا تضحى } ( طه :  118 و 119 ) أي لا يصيبك الحر ،   والله أعلم .   ومنهم من يقول :  هو كناية عن النهار كله ،   أقسم به وبالليل الذي ذكر .

فإن كان المراد من {  والضحى } هو ضوء النهار ومن {  والليل إذا سجى } ظلمته ،   فيخرج القسم به على أن ظلمة الليل تستر الخلائق كلهم في طرفة عين ،   وكذلك ضوء النهار يكشف الستر ،   ويجلي بطرفة عين جميع الخلائق من غير أن يعلم أحد ثقل ذلك الستر أو خفة ذلك الضوء .   فأقسم بذلك لعظيم ما فيها من آلائه .

وإن كان المراد منه نفس الليل والنهار ،   فالقسم بهما لما جعل الله فيهما من المنافع الكثيرة ."
93,2,"/ت1

وقوله تعالى :  {  إذا سجى } اختلف فيه :  قال بعضهم :  إذا استوى .   وقال بعضهم :  إذا سكن ،   وركد .   وقال بعضهم :  {  إذا سجى } إذا غشي ،   وأظلم ،   وغطى كل شيء ،   وستر ،   وهو من التسجية والتستر ،   يقال :  تسجى قبر المرأة إذا تستر ،   وتغطى ."
93,3,"الآية3 :  وقوله تعالى :  {  ما ودعك ربك وما قلا } على هذا وقع القسم .   ثم اختلف في السبب الذي نزل هذا :  قال بعضهم :  إن النبي صلى الله عليه وسلم كان سئل عن شيء ،   إذ طلبوا منه شيئا ،   فقال :  أفعل ذلك غدا ،   أو أخبركم عنه غدا ،   ولم يستثن ،   فاحتبس عنه الوحي أياما لذلك فقال المشركون :  ودعه ربه ،   وقلاه ،   أي تركه ،   وأبغضه .

ومنهم من قال :  إنه أبطأ عليه الوحي ،   فجزع جزعا شديدا ،   فقالت له خديجة رضي الله عنها ،   إني لأرى قد قلاك ربك ،   وودعك ،   ( لما رأت } من جزعه ،   فنزل قوله تعالى :  {  ما ودعك ربك وما قلا } ولسنا ندري كيف كان الأمر .

فإن كان نزل ذلك لقول قريش فالقسم يحتمل ذلك ردا لقولهم .   ( وإن كان ) نزل لقول خديجة رضي الله عنها ،   فهو غير محتمل لأن خديجة تعلم أن الله تعالى ،   لم يودعه ،   ولا قلاه ،   وكذا كل مؤمن معتقد أن الله تعالى لا يودع أحدا من رسله ،   ولأنها تصدق الرسول صلى الله عليه وسلم أنه لم يودعه ،   ولا قلاه ،   إذا أخبرها ،   بغير قسم ،   فلا معنى للقسم .   دل ( أن ) هذا الوجه غير محتمل .

ثم صرفت تأويل الآية إلى غير ما قالوا أشبه عندنا ،   وأقرب مما قالوا ،   وهو أنه عليه السلام بعث إلى الفراعنة ،   والجبابرة الذين كانت همتهم قتل من خالفهم وإهلاك من استقبلتهم بالخلاف ،   ولم يكن معه فضل مال وسعة ،   يستميل به قلوب الناس ،   فيقول أولئك الكفرة .   إن ربه قد خذله ،   وتركه ،   وقلاه ،   حين بعثه إلى ما ذكرنا من الفراعنة والجبابرة الذين كانت همتهم القتل وعادتهم إهلاك من خالفهم بلا أنصار ولا أعوان من الملائكة ولا مال وسعة يستميل به القلوب والأنفس لأن من سلم إنسانا إلى أعدائه الذين يعلم أنهم أعداؤه ،   ويخلي بينه وبين الأعداء بلا أنصار وأعوان ولا مال ولا سعة من الدنيا ،   فيقال :  إنه قد خذله ،   وتركه ،   وقلاه ،   إذ لا يفعل ذلك في الأصل إلا لذلك ،   فعند ذلك قالوا :  ودعه ،   وقلاه ،   وهو ما قالوا :  {  لولا أنزل إليه/ 645  ب/ ملك فيكون معه نذيرا } {  أو يلقى إليه كنز أو تكون له جنة يأكل منها } ( الفرقان :  7و8 ) {  وقالوا لولا نزل هذا القرآن على رجل من القريتين عظيم } ( الزخرف : 31 ) ونحو ذلك مما قالوا .

فلولا صرف أهل التأويل تأويل الآية إلى ما ذكروا ،   لكان صرفه إلى ما ذكرنا أشبه .

وفي قولهم :  قد ودعه ربه ( دلالتان :

أولاهما :  ) أنهم قد عرفوا أنه رسول الله صلى الله عليه وسلم وأقروا ( بذلك ) حتى قالوا :  نزل قوله :  {  ما ودعك ربك وما قلا } .

والثانية :  أنه لو كان يخترع على ما كان يقول أولئك لكان لا يحتبس عن الاختراع ،   ويكون يخترع أبدا حتى لا يقولوا :  إنه ودعه .   فدل ظهور احتباس الوحي أنه عن أمر يخبر ( عنه ) وأنه مأمور بذلك .

ثم أخبر أنه ( لم يبعثه ) إلى هؤلاء الفراعنة والجبابرة لما ذكر أولئك الكفرة أنه خذله ،   وتركه ،   وقلاه ،   ولكن بعثه ،   وهو ينصره ،   ويعينه على تبليغ ما أمر بتبليغه إلى من أمر بتبليغه ،   ولم يقله ،   ولكنه اصطفاه ،   واختاره ،   حتى يعلو أمره ،   ويكثر ذكره ،   وفي ذلك آية عظيمة على إثبات الرسالة ،   وهو ما ذكرنا أنه بعث إلى من همتهم القتل والإهلاك لمن خالفهم ،   فقهرهم جميعا ،   وغلب على الكل حتى أظهر الإسلام في من قرب منه ومن بعد ."
93,4,الآية 4 :  وقوله تعالى :  {  وللآخرة خير لك من الأولى } يقول :  مع ما أعطيتك في الدنيا من الشرف والذكر والغلبة على الفراعنة ،   فالآخرة خير لك من الأولى ،   يرغبه في الآخرة ،   ويزهده في الدنيا ،   أو يقول :  إن أولى لك أن يكون سعيك للآخرة من الأولى ،   وهو كقوله تعالى :  {  يا أيها الإنسان إنك كادح إلى ربك كدحا فملاقيه } ( الانشقاق :  6 ) .
93,5,"الآية :  5وقوله تعالى :  {  ولسوف يعطيك ربك فترضى } أي لتعطى في الآخرة ما ترضى من الكرامة والشرف .

وقال بعضهم :  أي :  {  ولسوف يعطيك ربك فترضى } في الدنيا والشرف والمنزلة والغلبة على الأعداء .

ويحتمل :  يعطيك في أمتك ما ترجو ،   وتأمل من الشفاعة لهم ،   وترضى .

ويقول بعض الناس :  إن أرجى آية هذه حيث وعده أنه يعطيه ما يرضى ،   ولا يرضى أن تكون أمته في النار .

ومنهم من قال :  أرجى آية قوله تعالى :  {  ومن يعمل سوءا أو يظلم نفسه ثم يستغفر الله يجد الله غفورا رحيما } ( النساء :  110 ) وهو قول ابن مسعود .

وعندنا :  أرجى الآيات هي التي أمر الله تعالى رسله بالاستغفار للمؤمنين ،   وكذلك ما أمر الملائكة بالاستغفار لهم ،   فاستغفروا لهم ."
93,6,"الآية6 :  وقوله تعالى :  {  ألم يجدك يتيما فآوى } ( آية مما ) ذكر من الأحوال التي ذكر فيه :  من قوله تعالى :  {  ألم يجدك يتيما فآوى } {  ووجدك ضالا فهدى } {  ووجدك عائلا فأغنى } ( الآيات :  6و7و8 } وقوله تعالى :  {  وما كنت تتلوا من قبله ،   من كتاب ولا تخطه بيمينك } ( العنكبوت :  48 ) ونحو ذلك من الأحوال التي ذكر فيه {  وهي } في الظاهر أحوال تذكر للتبيين في من يقال فيه .

لكن في ذكر ما ذكر فيه من الأحوال ذكر بشارة لرسول الله صلى الله عليه وسلم والنصر له والعون وآية له على رسالته ونبوته ،   لأن نفاذ القول وغلبة الأمر مع الأحوال التي ذكر أعظم في الأعجوبة من نفاذه في أحوال السعة وحال قوة الأسباب وتأكيدها ،   وهو قوله تعالى :  {  ألم يجدك يتيما فآوى } {  ووجدك ضالا فهدى } {  ووجدك عائلا فأغنى } ونحوه لأن أولئك الكفرة كانوا ينسبونه إلى الافتراء والاختراع من ذات نفسه ،   فأخبر أن اليتيم والفقير ،   ليس يبلغ في العلم والمعرفة المبلغ الذي يقدر على الاختراع وإنشاء الشيء من ذات نفسه على وجه يعجز عن مثله جميع الخلائق لما لا يجد ما ينفق في ذلك ،   ويتحمل المؤن حتى يبلغ مبلغ الاختراع .   وكذلك ما ذكر حين قال :  {  وما كنت تتلوا من قبله ،   من كتاب ولا تخطه بيمينك } ( العنكبوت :  48 ) لأنهم قالوا :  {  إنما يعلمه بشر } ( النحل :  103 ) فالبشر إنما يتعلمون بالكتابة والخط .   فإذا لم يكن لرسول الله صلى الله عليه وسلم ( حظ ) من ذلك دل أنه بالله تعالى عرف وحده .

وقوله تعالى :  {  ألم يجدك يتيما فآوى } يحتمل قوله :  {  فآوى } وجوها :

أحدها :  وجدك يتيما فآواك إلى عمك حتى رباك ،   ودفع عنك كل أذى وآفة وساق إليك كل خير وبر إلى أن بلغت المبلغ الذي بلغت ) .

والثاني :  يقول قد وجدك يتيما فآواك إلى عدو من أعدائه حتى تولى تربيتك ،   وبرك ،   وعطف عليك ،   وتولى عنك دفع المكروه والأذى ،   يذكر منته وعظيم نعمه عليه أنه كان ما ذكر ،   ثم صير من أعدائه أشفق الناس عليه وأعطف ،   والله أعلم .

والثالث :  قد وجدك يتيما فآواك إلى نفسه ،   وعطف عليك ،   حتى اختصك ،   واصطفاك للرسالة والنبوة حتى صرت مذكورا في الدنيا والآخرة وحتى أحوج جميع الناس إليك ،   ليس ذلك من أمر اليتيم أنه يبلغ شأنه وأمره إلى ما بلغ من أمرك وشأنك حتى صرت مخصوصا من بين الناس جميعا في ما ذكرنا من اختصاصه إياك بالرسالة ،   وأحوج جميع الناس إليك ،   يذكر عظيم منه ونعمه عليه ."
93,7,"الآية7 :  وقوله تعالى :  {  ووجدك ضالا فهدى } هذا يخرج على وجوه :

أحدها :  يقول :  والله أعلم ،   لولا أن الله تعالى هداك لدينه ،   ووفقك له لوجدك ضالا ،   إذ كان منشؤه بين قوم ضلال ،   لم يكن أحد يهديه ،   ويدعوه إلى الله تعالى ،   ولكنه هداك ،   وأرشدك فلم يجدك ضالا ،   وهو كقوله تعالى :  {  وكنتم على شفا حفرة من النار فأنقذكم منها } ( آل عمران :  103 } أي لولا أنه أنقذكم منها لصرتم على شفا حفرة من النار ،   لو لم ينقذكم منها ،   وكقوله :  {  ولولا أن ثبتناك لقد كدت تركن إليهم شيئا قليلا } ( الإسراء :  74 ) لأن البشر أنشئ ،   وطبع على الركون والميل إلى النعم العاجلة واختيار الأيسر والألذ ،   ولكنه بفضله ولطفه ثبتك ،   وعصمك ،   ولم يكلك ( إلى ما ) طبعت وأنشئت في أصل الخلقة .

فعلى ذلك يقول في قوله :  {  ووجدك ضالا فهدى } أي لولا أنه هداك لوجدك ضالا ،   ولم يهدك ففيه أنه هداه ،   ولم يجده ضالا .

والثاني :  يقول :  {  ووجدك ضالا } لا ضلال كسب واختيار ،   ولكن ضلال الخلقة التي أنشئ عليها الخلق ،   والضلال بمعنى الجهل ،   لأن الخلق في ابتداء أحوالهم يكونون جهّالا لا جهل كسب يذمون عليه ،   أو يكون لهم علم يحمدون عليه ،   ولكن جهل خلقة ( وضلال خلقة ) لما ليس معهم آلة درك العلم ،   فلا صنع له في كسب الجهل .

فأما بعد الظفر بآلة العلم يكون الجهل مكتسبا ،   فيذم عليه ،   وكذا العلم ،   فيترتب عليه الحمد والذم .

فعلى ذلك يكون قوله تعالى :  {  ووجدك ضالا فهدى } أي وجدك جاهلا على ما يكون في أصل الخلقة وحالة الصغر ،   فهداك إلى علمك ،   وهو كقوله تعالى :  {  ما كنت ندري ما الكتاب ولا الإيمان ولكن جعلناه نورا } ( الشورى :  52 ) وقوله تعالى :  {  وما كنت تتلوا من قبله من كتاب } يذكر أنه لم يكن / 646  أ/يدري شيئا حتى أدراه ،   وعلمه .

والثالث :  يقول :  {  ووجدك ضالا } أي غافلا عن ( الأنبياء المتقدمين ) وأخبارهم حتى أطلعت الله تعالى على ذلك كقوله :  {  نحن نقص عليك أحسن القصص بما أوحينا إليك هذا القرآن وإن كنت من قبله لمن الغافلين } ( يوسف : 3 ) .

( والرابع ) يقول :  ووجدك في أمر القرآن وما فيه جاهلا غافلا عن علمه ،   فأعلمك .

وقال بعضهم :  ووجدك بين قوم ضلال ،   فهداك أي أخرجك من بينهم ،   ما لو لم يخرجك من بين أظهرهم لدعوك إلى ما هم عليه ،   وأجبروك على ذلك ،   ولم يرضوا منك إلا ذلك ،   والله أعلم .

وقال بعضهم :  {  ووجدك ضالا } عن طريق مكة ،   فهداك للتوحيد .

ولكن هذا وحش من القول ،   إذ لا يليق به أن ينسب إلى ذلك .

وقال بعضهم :  {  ووجدك ضالا } فهداك للنبوة ،   فهو قريب مما ذكرنا ."
93,8,"الآية8 :  وقوله تعالى :  {  ووجدك عائلا فأغنى } أي فقيرا فأغناك بما أراك من أمر الآخرة وما يسوق إليك من نعيمها ،   أي بما أعد في له في الآخرة وما وعد له من النعيم والكرامات ،   فهانت عليه الدنيا حتى ذكر أن الدنيا لم تكن تعدل عنده صلى الله عليه وسلم جناح بعوضة .   وكذلك روي أن ( الغنى غنى القلب ) ( السهمي في تاريخ جرجان ص 140 ) .

ويحتمل أنه جعل له مالا ،   بلطفه أغناه كما روي عن النبي صلى الله عليه وسلم ( أنه نهى عن الوصال ،   فقيل :  أنت تواصل يا رسول الله ،   فقال عليه السلام :  أنا لست كأحدكم إن ربي يطعمني ،   ويسقيني ) ( البخاري 1965 ) .

فجائز أن يكون لله تعالى لطف أغناه به ،   وإن لم يطلعنا عليه ،   والله أعلم .

وقال بعضهم :  أغناك بمال خديجة رضي الله عنها وقال بعضهم {  فأغنى } أي فأرضاك بما أعطاك من الرزق ،   وأقنعك ."
93,9,"الآية9 :  وقوله تعالى :  {  فأما اليتيم فلا تقهر } وفي حرف ابن مسعود رضي الله عنه فأما اليتيم فلا تكهر ،   فالكهر الزجر ،   كأنه قال :  فلا تزجر .

وجائز أن يكون قوله :  {  فلا تقهر } أي لا تمنع حقه ،   وادفع إليه حقه وماله ،   أو يكون ذكر هذا ليقول :  كنت يتيما ،   ورأيت حال اليتيم فيكون على الصلة لقوله :  {  ألم يجدك يتيما فآوى } {  فلا تقهر } اليتيم بعد ذلك ."
93,10,"الآية 10 :  ( وقوله تعالى ) :  {  وأما السائل فلا تنهر } أي كنت محتاجا فقيرا ،   فعرفت محل الفقر والحاجة وشدة حاله {  فلا تنهر } السائل ،   أي لا تزجره ،   ولكن أعطه .

وجائز أن يكون الأمر ( لا ) على النهي ،   ولطكن على الأمر بالبر لهؤلاء والإعطاء لهم .

وجائز أن يراد في نفي شيء إثبات ضده كقوله تعالى :  {  فما ربحت تجارتهم } ( البقرة :  16 ) .

أي خسرت وعلى هذا الحديث ،   وهو ما روي عن النبي صلى الله عليه وسلم أنه قال :  {  إذا أتاكم السائل فلا تقطعوا عليه مسألته حتى يفرغ منها ،   ثم ردوا عليه برفق ولين إما ببذل يسير أو برد جميل فإنه قد يأتيكم من ليس بإنس ولا جن يرى كيف صنعكم في ما خولكم الله تعالى ) .

وقال قوم :  ( في ) تزويج اليتيم قهره ،   لما فيه من الاستدلال والإضرار ،   فلم يزوجوا من غير الأب والجد ،   وأجازوا بيع ماله من وصيته ،   إن كان وصى الأب أو الجد وصى أنه في تركته .

فدل أن تزويج اليتيم ليس من قهره في شيء .

وقد روي عن النبي صلى الله عليه وسلم أنه زوج بنت حمزة سلمة ابن أبي سلمة ،   وهو صغير ويتيم ،   وزوج ابن عمر بنت أخيه ،   وهي صغيرة ،   وزوج عروة ابنته من مصعب ،   ( وهو صغير ) ،   فقهره اليتيم في ظلمه والاعتداء عليه ،   وليس في التزويج ."
