surah_number,ayah_number,tafsir_text
73,1,{ بسم الله الرحمن الرحيم يا أيها المزمل } المتلفف بثيابه وكان ملتفا في قطيفة وأصله المتزمل أدغمت التاء في الزاي والمتحمل أعباء النبوة وأثقال الرسالة
73,2,{ قم الليل } صل متهجدا وقرئ بضم الميم وفتحها للإتباع { إلا قليلا } إلا البعض
73,3,{ نصفه } أي قم نصفه { أو انقص منه } أي من النصف { قليلا } ليكون التهجد نحو الثلث
73,4,{ أو زد } في قيامك الليل { عليه } أي على النصف كالثلثين { ورتل القرآن } بينه واقرأه على تؤدة { ترتيلا } تبيينا بحيث يتمكن من سماعه ويكون له في القلب غاية الموقع لوضوحه
73,5,{ إنا سنلقي } من حضرتنا { عليك } أيها النبي المتأهل لتلقى كلامنا عنا والصالح لكمال مناجاتنا { قولا } قرآنا { ثقيلا } لما هو محتو عليه من كمال الهيبة الإلهية وكذلك أيضا التكاليف الشرعية
73,6,{ إن ناشئة الليل } أي النفس التي تنشأ من مضجعها لملاقاة مولاها وتنهض مسرعة للمكالمة وعبادة من هداها { هي } تلك النفس { أشد وضئا } ثياب قدم في مناجاة الملك الحق واللحوق بعالم القدس وشرف الصدق وقرئ وطاء بكسر الواو ممدودا أي موافقة السمع للقلب على فهم كلام الحق { وأقوم } أشد وأثبت { قيلا } مقالا لحضورها في مسامرتها وتوجهها إلى خالقها
73,7,{ إن لك } أيها النبي { في النهار سيحا } سعيا في معاشك وتفرغا لأشغالك وقرئ سبخا بالخاء المعجمة أي تفرق قلب بالشواغل { طويلا } ذلك السبح
73,8,{ واذكر اسم ربك } بكل وجه من وجوه الذكر من قراءة قرآن وتهليل وتسبيح وقراءة علم { وتبتل } وانقطع { إليه } مشتغلا به غافلا عمن سواه { تبتيلا } انقطاعا كليا
73,9,{ رب المشرق } ورب المغرب } خالقهما { لا إله إلا هو } لا معبود بحق إلا هو { فاتخذه } في جميع أمورك { وكيلا } يكفيك في كل مهم
73,10,{ واصبر } أيها الرسول { على ما يقولون } الكفار لك من الأذى { واهجرهم هجرا جميلا } لا جزع فيه ولا تشتغل بمكافأتهم
