surah_number,ayah_number,tafsir_text
25,1,الفرقان القرآن
25,2,فقدره أي سواء وهيأه
25,4,وأعانه عليه قوم أشاروا إلى قوم من أهل الكتاب
25,9,فلا يستطيعون سبيلا أي كذبوا من غير حجة
25,10,جعل لك خيرا أي في الدنيا
25,13,مقرنين مع الشياطين  والثبور الهلكة
25,15,أذلك يعني السعير
25,16,مسؤلا أي مطلوبا يطلبه المؤمنون من الله تعالى
25,17,ويوم نحشرهم يعني المشركين وما يعبدون يعني عيسى وعزيرا والملائكة وقال عكرمة يعني الأصنام
25,18,وقالوا يعني المعبودين أن نتخذ من دونك من أولياء أي نعبد من دونك  نسوا الذكر تركوا الإيمان بالقرآن  والبور الهلكي
25,19,فيقال حينئذ فقد كذبوكم بما تقولون فما يستطيع المعبودون صرف العذاب عنكم  ومن يظلم بالشرك
25,20,فتنة ابتلاء فابتلينا الفقير بالغني والوضيع بالشريف
25,22,حجرا محجورا أي تقول لهم الملائكة حراما محرما عليكم دخول الجنة
25,23,والهباء ما يتطاير في الشمس والمنثور المتفرق
25,24,مقيلا وهو المقام وقت القائلة
25,25,بالغمام أي عن الغمام
25,27,يغض الظالم نزلت في أبي بن خلف وكان يجالس الرسول صلى الله عليه وسلم فهناه عقبة بن أبي معيط وهو المراد ب فلان
25,29,والذكر القرآن
25,32,قوله تعالى كذلك أي أنزلناه كذلك لتثبت به فؤادك  والترتيل التمكت
25,33,بمثل أي يضربونه للاحتجاج عليك  بالحق لنرد به كيدهم وأحسن تفسيرا أي بيانا
25,38,والرس البئر لم تطو وكانوا يعبدون شجرة فبعث إليهم نبيا فحفروا له بئرا فألقوه فيها فهلكوا
25,39,تبرنا دمرنا
25,40,والقرية قرية لوط والمطر الرمي بالحجارة
25,43,اتخذ إلهه هواه كان أحدهم يعبد الحجر فإذا رأى أحسن منه رمى به وعبد الآخر  وكيلا أي يحفظه من اتباع هواه
25,44,أضل سبيلا لأن البهائم تهتدي لمراعيها وتنقاد لأربابها وهم على خلاف ذلك
25,45,ألم تر إلى ربك إلى فعله والظل من وقت الفجر إلى طلوع الشمس لجعله ساكنا أي ثابتا لا يزول ثم جعلنا الشمس عليه دليلا لأنه لولاها ما عرف أنه شيء
25,46,ثم قبضناه إلينا قبضا يسيرا أي خفيا
25,47,لباسا سائرا بظلمته والسبات الراحة  نشورا ينشر فيه لطلب الرزق
25,49,والأناسي جمع إنسان
25,50,ولقد صرفناه يعني المطر لهذا البلد مرة ولهذا مرة ليذكروا أي ليتفكروا في نعم الله عليهم  إلا كفورا وهم الذين يقولون مطرنا بنوء كذا وكذا
25,52,وجاهدهم به أي بالقرآن
25,53,مرج خلط يلتقيان ولا يختلط العذاب بالملح والأجاج صفة للملح والبرزخ وهو حاجز من القدرة
25,54,من الماء يعني النطفة  نسبا أي ذا نسب وهو ما لا يحل نكاحه والصهر ما يحل نكاحه
25,55,على ربه ظهيرا أي معينا للشيطان على ربه لأن عبادته الأصنام معاونة للشيطان
25,59,فاسأل به أي عنه يعني عن الله خيبرا وهو الخبير فالمعنى سل عني كذلك قاله مجاهد وقال غيره هم مسلمة أهل الكتاب
25,60,وما الرحمن قالوا لا نعرف الرحمن
25,61,بروجا مشروعا في الحجر  سراجا يعني الشمس
25,62,خلفة أي كل واحد منهما يخلف الآخر  يذكر يتغط
25,63,هونا أي رويدا بالوقار  سلاما أي سدادا
25,65,غراما هلاكا
25,67,لم يسرفوا الإسراف الإنفاق في معصية الله والإقتار منع حق الله  قواما عدلا
25,68,أثاما عقوبة وأنشدوا والعقوق له أثام  وهذه منسوخة بقوله ويغفر ما دون ذلك لمن يشاء
25,71,فإنه يتوب إلى الله متابا المعنى من أراد حقيقة التوبة فينبغي أن يريد الله بها ولا يخلطها بما يفسدها كما تقول من أراد التجارة فليتجر في البز
25,72,والزور الكذب وقيل الشرك  واللغو أذى المشركين لهم  كراما حلماء
25,74,قرة أعين أي من يعمل بطاعتك فيقر أعيننا بهم  إماما أي أئمة
25,75,الغرفة غرف الجنة
25,77,وما يعبأ بكم أي ما يصنع بعذابكم لولا دعاؤكم ما تدعونه من شريك وولد  فسوق يكون يعني العذاب لزاما أي لازما لكم
