surah_number,ayah_number,tafsir_text
89,1,"قوله تعالى :  {  والفجر }

عن عبد الله بن الزبير في قوله :  {  والفجر } قال :  قسم أقسم الله به .

عن ابن عباس في قوله :  {  والفجر } قال :  فجر النهار .

عن عكرمة في قوله :  {  والفجر } قال :  هو الصبح .

عن مجاهد في قوله :  {  والفجر } قال :  فجر يوم النحر وليس كل فجر ."
89,2,"قوله تعالى :  {  وليال عشر }

عن ابن عباس في قوله :  {  وليال عشر } قال :  عشرة الأضحى ،   وفي لفظ قال :  هي ليال العشر الأول من ذي الحجة- في قوله :  {  وليال عشر } قال :  أول ذي الحجة إلى يوم النحر .

عن مسروق في قوله :  {  وليال عشر } قال :  هي عشر الأضحى ،   هي أفضل أيام السنة .   عن ابن عباس في قوله :  {  وليال عشر } قال :  هي العشر الأواخر من رمضان ."
89,3,"قوله تعالى :  {  والشفع والوتر }

عن عمران بن حصين أن النبي صلى الله عليه وسلم سئل عن {  والشفع والوتر } فقال :  هي الصلاة بعضها شفع وبعضها وتر .

عن أبي العالية {  والشفع والوتر } قال :  ذلك صلاة المغرب الشفع الركعتان ،   والوتر الركعة الثالثة .

عن مجاهد {  والشفع والوتر } قال :  كل خلق الله شفع السماء والأرض والبر والبحر والإنس والجن والشمس والقمر ونحو هذا شفع ،   والوتر الله وحد .

عن مجاهد {  والشفع والوتر } قال :  الله الوتر وخلقه الشفع الذكر والأنثى .

عن عطاء {  والشفع والوتر } قال :  هي أيام نسك عرفة والأضحى هما للشفع ،   وليلة الأضحى هي الوتر .

عن عبد الله بن الزبير أنه سئل عن الشفع والوتر فقال :  الشفع قول الله {  فمن تعجل في يومين فلا إثم عليه } والوتر اليوم الثالث ،   وفي لفظ الشفع أوساط أيام التشريق والوتر آخر أيام التشريق .

حدثنا محمد بن عامر بن إبراهيم الأصبهاني ،   حدثني أبي عن النعمان يعني ابن عبد السلام عن أبي سعيد بن عوف ،   حدثنا بمكة قال :  سمعت عبد الله بن الزبير يخطب الناس ،   فقام إليه رجل فقال :  يا أمير المؤمنين ،   أخبرني عن الشفع والوتر .   فقال :  الشفع قول الله عز وجل :  {  فمن تعجل في يومين فلا إثم عليه } ،   والوتر قوله :  {  ومن تأخر فلا إثم عليه } .

حدثنا أبو سعيد الأشج ،   حدثنا عبيد الله بن موسى عن إسرائيل عن أبي يحيى عن مجاهد :  {  والشفع والوتر } قال :  الشفع الزوج ،   والوتر :  الله عز وجل .

عن ابن عباس {  والشفع والوتر } قال :  الشفع يوم النحر والوتر يوم عرفة .

عن مجاهد قوله :  {  والشفع والوتر } كل شيء خلقه الله شفع ،   السماء والأرض ،   والبر والبحر ،   والجن والإنس والشمس والقمر ،   نحا مجاهد في هذا ما ذكروه في قوله تعالى :  {  ومن كل شيء خلقنا زوجين لعلكم تذكرون } أي :  لتعلموا أن خالق الأزواج واحد ."
89,4,"قوله تعالى :  {  والليل إذا يسر }

عن عبد الله بن الزبير {  والليل إذا يسر } قال :  إذا سار .

عن مجاهد {  والليل إذا يسر } قال :  إذا سار .

حدثنا أحمد بن عصام ،   حدثنا أبو عامر ،   حدثنا كثير بن عبد الله بن عمرو قال :  سمعت محمد بن كعب القرظي ،   يقول في قوله :  {  والليل إذا يسر } قال :  أسر ياسار ولا تبين إلا بجمع .

عن عكرمة {  والليل إذا يسر } قال :  ليلة جمع ."
89,5,"قوله تعالى :  {  قسم لذي حجر }

عن ابن عباس في قوله :  {  قسم لذي حجر } قال :  لذي حجا وعقل ونهى .

عن الحسن {  لذي حجر } قال :  لذي حلم .

عن أبي مالك {  لذي حجر } قال :  ستر من النار ."
89,7,"قوله تعالى :  {  إرم ذات العماد }

عن مجاهد في قوله :  {  إرم } قال :  أمة {  ذات العماد } قال :  كان لها جسم في السماء .   حدثنا أبي ،   حدثنا أبو صالح كاتب الليث ،   حدثنا معاوية بن صالح ،   عمن حدثه ،   عن المقدام عن النبي صلى الله عليه وسلم أنه ذكر إرم ذات العماد فقال :  كان الرجل منهم يأتي على الصخرة فيحملها على الحي فيهلكهم .

حدثنا علي بن الحسين ،   حدثنا أبو الطاهر ،   حدثنا أنس بن عياض عن ثور بن زيد الديلي قال :  قرأت كتابا قد سمى حيث قرأه أنا شداد بن عاد وأنا الذي رفعت العماد ،   وأنا الذي شددت بذراعي نظر واحد وأنا الذي كنزت كنزا على سبعة أذرع ،   لا يخرجه إلا أمة محمد صلى الله عليه وسلم .

عن المقدام بن معد يكرب عن النبي صلى الله عليه وسلم أنه ذكر {  إرم ذات العماد } فقال :   "" كان الرجل منهم يأتي إلى الصخرة فيحملها على كاهله فيلقيها على أي حي أراد فيهلكهم ""  .

عن قتادة قال :  كنا نحدث أن إرم قبيلة من عاد كان يقال لهم :  ذات العماد ،   كانوا أهل عمود .

عن عكرمة قال :  إرم هي دمشق .

عن الضحاك قال :  الإرم هي الهلاك ،   ألا ترى أنه يقال :   "" أرم بنو فلان أي هلكوا ""  .

عن الضحاك {  ذات العماد } ذات الشدة والقوة ."
89,8,"قوله تعالى :  {  التي لم يخلق مثلها في البلاد }

{  التي لم يخلق مثلها في البلاد } قال :  ذكر لنا أنهم كانوا اثني عشر ذراعا طولا في السماء ."
89,9,"قوله تعالى :  {  جابوا الصخر بالواد .   .   .   .   } قوله تعالى :  {  وفرعون ذي الأوتاد }

عن ابن عباس في قوله :  {  جابوا الصخر بالواد } قال :  كانوا ينحتون من الجبال بيوتا

عن مجاهد {  جابوا الصخر } قال :  حرقوا الجبال فجعلوها بيوتا ."
89,10,"عن ابن عباس في قوله :  {  وفرعون ذي الأوتاد } قال الأوتاد الجنود الذين يشيدون له أمره .

عن مجاهد {  وفرعون ذي الأوتاد } قال :  كان يتد الناس بالأوتاد .

عن سعيد بن جبير قال :  إنما سمى فرعون ذا الأوتاد ،   لأنه كان يبني له المنابر يذبح عليه الناس .   عن الحسن قال :  كان يعذب بالأوتاد .

عن السدي قال :  كان فرعون إذا أراد أن يقتل أحدا ربطه بأربعة أوتاد على صخرة ثم أرسل عليه صخرة من فوقه فشدخه وهو ينظر إليها قد ربط بكل يد منها قائمة ."
89,12,"قوله تعالى :  {  فأكثروا فيها الفساد فصب عليهم ربك سوط عذاب }

عن السدي في قوله :  {  فأكثروا فيها الفساد } قال :  بالمعاصي {  فصب عليهم ربك سوط عذاب } قال :  رجع عذاب ."
