surah_number,ayah_number,tafsir_text
22,1,بسم الله الرحمن الرحيم قوله : { يا أيها الناس اتقوا ربكم إن زلزلة الساعة شيء عظيم( 1 ) } يعني النفخة الآخرة .
22,2,"{ يوم ترونها تذهل } أي : تعرض { كل مرضعة عما أرضعت .   .   .   } الآية .

يحيى : عن أبي الأشهب ،   عن الحسن قال :  "" بينما رسول الله صلى الله عليه وسلم في مسير له قد فرق بين أصحابه السير ،   إذ رفع صوته فقال : { يا أيها الناس اتقوا ربكم إن زلزلة الساعة شيء عظيم( 1 ) .   .   .   } حتى انتهى إلى قوله : { ولكن عذاب الله شديد( 2 ) } فلما سمعوا صوت نبيهم اعصوصبوا به .   فقال : "" هل تدرون أي يوم ذاكم ؟ قالوا : الله ورسوله أعلم .   قال : ذاكم يوم يقول الله لآدم : يا آدم قم ابعث بعث النار .   فيقول : يا رب وما بعث النار ؟ قال : من كل ألف تسعمائة وتسعة وتسعون إنسانا إلى النار وواحد إلى الجنة .   فلما سمعوا ما قال نبيهم أبلسوا حتى ما يجلى رجل منهم عن واضحة ،   فلما رأى ذلك في

وجوههم ،   قال : اعملوا وأبشروا فوالذي نفسي بيده ما أنتم في الناس إلا كالرقمة في ذراع الدابة ،   أو كالشامة في جنب البعير ،   وإنكم مع خليقتين ما كانتا مع شيء قط إلا كثرتاه : يأجوج ومأجوج ،   ومن هلك- يعني : ومن كفر- من بني إبليس ،   وتكمل العدة من المنافقين ""  .

قال محمد : ومعنى قوله : { وترى الناس سكارى } أي : ترى أنت أيها

الإنسان الناس سكارى من العذاب والخوف { وما هم بسكارى } من الشراب ."
22,3,{ ومن الناس من يجادل في الله بغير علم } يعني : المشرك يلحد في الله ،   فيجعل معه إلها بغير علم أتاه من الله { ويتبع كل شيطان مريد( 2 ) } أي : جريء على المعصية ،   والشياطين هي التي أمرتهم .
22,4,{ كتب عليه } أي : قضى على الشيطان { أنه من تولاه } اتبعه { فأنه يضله } قال محمد : { أنه من تولاه } ( أنه ) في موضع رفع ،   ( فأنه يضله ) عطف عليه ،   وموضعه رفع أيضا ،   وحقيقته أنها مقررة على جهة التوكيد ،   المعنى : كتب عليه أنه من تولاه أضله .
22,5,"{ يا أيها الناس إن كنتم في ريب } أي : في شك { من البعث فإنا خلقناكم

من تراب } وهذا خلق آدم { ثم من نطفة } يعني : نسل آدم { ثم من علقة ثم من مضعة مخلقة وغير مخلقة } تفسير مجاهد : هما جميعا : السقط مخلق وغير مخلق .

قال محمد : ومعنى { مخلقة وغير مخلقة } أي : من الخلق من تتم مضغته بخلق الأعضاء ،   ومنهم من لا يتم الله خلقه .

{ لنبين لكم } أي : خلقكم { ونقر في الأرحام } أرحام النساء { ما نشاء إلى أجل مسمى } يعني : منتهى الولادة .   قال محمد : تقرأ بالرفع على القطع [ مما قبله ] .

يحيى : عن صاحب له ،   عن الأعمش عن أبي وائل عن عبد الله بن مسعود قال : قال رسول الله صلى الله عليه وسلم :  "" إن خلق أحدكم يجمع في بطن أمه نطفة أربعين يوما ،   ثم يكون علقة أربعين يوما ،   ثم يكون مضغة أربعين يوما ،   ثم يؤمر الملك- أو قال : يأتي الملك- فيؤمر أن يكتب أربعا : رزقه وعمله وأثره وشقيا أو سعيدا ""  .

{ ثم نخرجكم طفلا ثم لتبلغوا أشدكم } يعني : الاحتلام .   { ومنكم من يتوفى } وفيها إضمار ،   أي : يتوفى من قبل أن يبلغ أرذل العمر { ومنكم من يرد إلى أرذل العمر } يعني : الهرم { لكيلا يعلم من بعد علم شيئا } أي : يصير بمنزلة الصبي الذي لا يعلم شيئا .   قال محمد : ( طفلا ) في معنى : أطفال ،   كأن المعنى : يخرج كل واحد منكم طفلا .

وقوله : ( لكيلا ) هو بمعنى حتى لا .   { وترى الأرض هامدة } قال قتادة : يعني : ( غبراء ) متهشمة .

قال محمد : هامدة حقيقتها جافة ،   ومن ذلك : همود النار إذا طفئت فذهبت ،   وهو معنى قول قتادة .

{ فإذا أنزلنا عليها الماء اهتزت وربت } وفيها تقديم ،   وربت للنبات ،   أي : انتفخت ،   واهتزت بالنبات ،   إذا أنبتت { وأنبتت من كل زوج } أي : من كل لون { بهيج( 5 ) } أي : حسن .

قال محمد : ( بهيج ) في معنى باهج ،   تقول العرب : امرأة ذات خلق باهج ."
22,6,{ ذلك بأن الله هو الحق وأنه يحيي الموتى .   .   .   } الآية ،   يقول : إن الذي أخرج من هذه الأرض الهامدة ما أخرج من النبات قادر على أن يحيي الموتى .
22,8,{ ومن الناس من يجادل في الله بغير علم ولا هدى } أتاه من الله { ولا كتاب منير( 8 ) } مضيء لعبادة الأوثان .
22,9,"{ ثاني عطفه } أي : عنقه .   تفسير مجاهد : يقول : هو معرض عن الله .   قال محمد : ( ثاني ) منصوب على الحال ،   المعنى : لاويا عنقه .   وهذا مما يوصف به المتكبر .

{ له في الدنيا خزي } يعني : القتل ،   قال الكلبي : نزلت في النضر بن الحارث ،   فقتل يوم بدر ."
22,11,{ ومن الناس من يعبد الله على حرف } تفسير مجاهد وقتادة : على شك { فإن أصابه خير اطمأن به } أي : رضي { وإن أصابته فتنة انقلب على وجهه } أي : ترك ما كان عليه ،   هو المنافق ،   إن رأى في الإسلام رخاء وطمأنينة طابت نفسه بما يصيب من ذلك الرخاء ،   وقال : أنا منكم وأنا معكم ،   وإذا رأى في الإسلام شدة أو بلية لم يصبر على مصيبتها ،   وانقلب على وجهه كافرا ،   وترك ما كان عليه .
22,12,{ يدعوا من دون الله ما لا يضره ولا ينفعه } يعني : الوثن { ذلك هو الضلال البعيد( 12 ) } .
