surah_number,ayah_number,tafsir_text
2,30,"1- قوله تعالى :  {  وَإِذْ قَالَ رَبُّكَ لِلْمَلاَئِكَةِ إِنِّي جَاعِلٌ فِي اِلاَرْضِ خَلِيفَةً قَالُواْ أَتَجْعَلُ فِيهَا مَنْ يُّفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّيَ أَعْلَمُ مَا لاَ تَعْلَمُونَ } ( 30 ) .

1- ( قال ابن خويز منداد :  ولو وثب على الأمر من يصلح له من غير مشورة ولا اختيار وبايع له الناس تمت له البَيْعة ،  والله أعلم ) ."
2,31,"2- قوله تعالى :  {  وَعَلَّمَ ءَادَمَ اَلاَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى اَلْمَلاَئِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَاءِ هَؤُلاَءِ اِن كُنْتُمْ صَادِقِينَ } ( 31 ) .

2- ( قال ابن خويز منداد :  في هذه الآية دليل على أن اللغة مأخوذة توقيفا ،  وأن الله تعالى علمها آدم عليه السلام جملة وتفصيلا ) ."
2,36,"3- قوله تعالى :  {  فَأَزَلَّهُمَا اَلشَّيْطَنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا اَهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌ وَلَكُمْ فِي اِلاَرْضِ مُسْتَقَرٌّ وَمَتَعٌ إِلَى حِينٍ }( 36 ) .

3- قوله تعالى :  {  إِلَى حِينٍ } :  ( ذكر ابن خويز منداد في أحكامه :  أن من حلف ألا يكلم فلاناً حينا أولا يفعل كذا حينا أن الحين سنة قال :  واتفقوا في الأحكام أن من حلف ألا يفعل كذا حينا أولا يكلم فلانا حينا ،  أن الزيادة على سنة لم تدخل في يمينه ) ."
2,67,"4- قوله تعالى :  {  وَإِذْ قَالَ مُوسَى لِقَوْمِهِ إِنَّ اَللَّهَ يَامُرُكُمُ أَن تَذْبَحُواْ بَقَرَةً قَالُواْ أَتَتَّخِذُنَا هُزُؤاً قَالَ أَعُوُذ بِاللَّهِ أَنَ اَكُونَ مِنَ اَلْجَهِلِينَ } ( 76 ) .

4- ( قال ابن خويز منداد :  وقد بلغنا أن رجلا تقدم إلى عبيد الله بن الحسن وهو قاض الكوفة فمازحه عبيد الله فقال :  جبتك هذه من صوف نعجة أو صوف كبش ؟  فقال له :  لا تجهل أيها القاضي !  فقال له عبيد الله وأين وجدت المزاح جهلا !  فتلا عليه هذه الآية ،  فأعرض عنه عبيد الله ؛  لأنه رآه جاهلا لا يعرف المزج من الاستهزاء ،  وليس أحدهما من الآخر بسبيل ) ."
2,68,"5- قوله تعالى :  {  قَالُواْ ادْعُ لَنَا رَبَّكَ يُبَيِّنُ لَنَا مَا هِيَ قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لاَ فَارِضٌ وَلاَ بِكْرٌ عَوَانٌ بَيْنَ ذَلِكَ  فَافْعَلُواْ مَا تُومَرُونَ } ( 68 ) .

6- ( قال القرطبي :  قوله تعالى :  {  فَافْعَلُواْ مَا تُومَرُونَ } تجديد للأمر وتأكيد وتنبيه على ترك التعنت فما تركوه .  وهذا يدل على أن مقتضى الأمر الوجوب كما تقوله الفقهاء ؛  وهو الصحيح على ما هو مذكور في أصول الفقه ،  وعلى أن الأمر على الفور ؛  وهو مذهب أكثر الفقهاء أيضا ويدل على صحة ذلك أنه تعالى استقصرهم حين لم يبادروا إلى فعل ما أمروا به فقال :  فذبحوها وما كادوا يفعلون وقيل :  لا ،  بل على التراخي ،  لأنه لم يعنفهم على التأخير والمراجعة في الخطاب قاله ابن خويز منداد ) ."
2,84,"7- قوله تعالى :  {  وَإِذَ اَخَذْنَا مِيثقَكُمْ لاَ تَسْفِكُونَ دِمَاءَكمْ وَلاَ تُخْرِجُونَ أَنفسَكُمْ مِّن دِيَارِكُمْ ثُمَّ أَقْرَرْتمْ وَأَنتُمْ تَشْهدُونَ } ( 84 ) .

6- قوله تعالى :  {  لاَ تَسْفِكُونَ دِمَاءَكُمْ وَلاَ تُخْرِجُونَ أَنفُسَكُمْ مِّن دِيَارِكُمْ } :  ( قال ابن خويز منداد :  وقد يجوز أن يراد به الظاهر ،  لا يقتل الإنسان نفسه ولا يخرج من داره سفهاً ،  كما تقتل الهند أنفسها .  أو يقتل الإنسان نفسه من جهد وبلاء يصيبه ،  أو يهيم في الصحراء ولا يأوي البيوت جهلا في ديانته وسفها في حلمه ؛  فهو عموم في جميع ذلك ) ."
2,85,"7- قوله تعالى :  {  وَإِنْ يَاتُوكُمُ أُسَرَى تُفَادُوهُمْ وَهُوَ مُحَرَّمٌ عَلَيْكُمُ إِخْرَاجُهُمُ أَفَتُومِنُونَ بِبَعْضِ اِلْكِتَبِ وَتَكْفُرُونَ بِبَعْضٍ فَمَا جَزَاءُ مَنْ يَّفْعَلْ ذَلِكَ مِنكُمُ إِلاَّ خِزْيٌ فِي اِلْحَيَاةِ اِلدُّنْيَا وَيَوْمَ اَلْقِيَامَةِ يُرَدُّونَ إِلَى أَشَدِّ اِلْعَذَابِ وَمَا اَللَّهُ بِغَافِلٍ عَمَّا يَعْمَلُونَ } ( 85 ) .

7- ( قال ابن خويز منداد :  تضمنت الآية وجوب فكّ الأسرى وبذلك وردت الآثار عن النبي صلى الله عليه وسلم أنه فك الأسارى وأمر بفكّهم ،  وجرى بذلك عمل المسلمين وانعقد به الإجماع .  ويجب فك الأسارى من بيت المال ،  فإن لم يكن فهو فرض على كافة المسلمين ؛  ومن قام به منهم أسقط الفرض عن الباقين ) ."
2,102,"8- قوله تعالى :  {  وَاتَّبَعُواْ مَا تَتْلُواْ الشَّيَطِينُ عَلَى مُلْكِ سُلَيْمَانَ وَمَا كَفَرَ سُلَيْمَانُ وَلَكِنَّ اَلشَّيَطِينَ كَفَرُواْ يُعَلِّمُونَ اَلنَّاَس اَلسِّحْرَ وَمَا أُنْزِلَ عَلَى اَلْمَلَكَيْنِ بِبَابِلَ هَارُوتَ وَمَارُوتَ وَمَا يُعَلِّمَانِ  مِنَ اَحَدٍ حَتَّى يَقُولاَ إِنَّمَا نَحْنُ فِتْنَةٌ فَلاَ تَكْفُرْ فَيَتَعَلَّمُونَ مِنْهُمَا مَا يُفَرِّقُونَ بِهِ بَيْنَ اَلْمَرْءِ وَزَوْجِهِ وَمَا هُم بِضَارِّينَ بِهِ مِنَ اَحَدٍ  إِلاَّ بِإِذْنِ اِللَّهِ وَيَتَعَلَّمُونَ مَا يَضُرُّهُمْ وَلاَ يَنفَعُهُمْ وَلَقَدْ عَلِمُواْ لَمَنِ اِشْتَرَيهُ مَا لَهُ فِي اِلآخِرَةِ مِنْ خَلاَقٍ وَلَبِيسَ مَا شَرَوْا بِهِ أَنفُسَهُمْ لَوْ كَانُواْ يَعْلَمُونَ } ( 102 ) .

8- قوله تعالى :  {  وَلَكِّنَّ اَلشَّيَطِينَ كَفَرُواْ يُعَلِّمُونَ اَلنَّاسَ اَلسِّحْرَ } :  ( قال ابن خويز منداد :  فأما إذا كان ذميا فقد اختلفت الرواية عن مالك فقال مرة :  يستتاب وتوبته الإسلام ،  وقال مرة :  يُقتل وإن أسلم ) ."
2,124,"9- قوله تعالى :  {  وَإِذِ اِبْتَلَى إِبْرَاهِيمَ رَبَّهُ بِكَلِمَاتٍ فَأَتَمَّهُنَّ قَالَ إِنِّي جَاعِلُكَ لِلنَّاسِ إِمَاماً قَالَ وَمِن ذُرِّيَّتِي قَالَ لاَ يَنَالُ عَهْدِيَ اَلظَّلِمِينَ } ( 124 ) .

9- قوله تعالى :  {  لاَ يَنَالُ عَهْدِيَ اَلظَّلِمِينَ } :  ( قال ابن خويز منداد :  وكل من كان ظالما لم يكن نبيا ولا خليفة ولا حاكما ولا مفتيا ،  ولا إمام صلاة ،  ولا يقبل عنه ما يرويه عن صاحب الشريعة ،  ولا تقبل شهادته في الأحكام غير أنه لا يعزل بفسقه حتى يعزله أهل الحل والعقد .  وما تقدم من أحكامه موافقا للصواب ماض غير منقوض .  .  .  وأما أخذ الأرزاق من الأئمة الظلمة فلذلك ثلاثة أحوال :

إن كان جميع ما في أيديهم مأخوذا على موجب الشريعة فجائز أخذه ،  وقد أخذت الصحابة والتابعون من يد الحجاج وغيره .

وإن كان مختلطا حلالا وظلما كما في أيدي الأمراء اليوم فالورع تركه ،  ويجوز للمحتاج أخذه ،  وهو كلص في يده مال مسروق ،  ومال جيد حلال قد وكله فيه رجل فجاء اللص يتصدق به على إنسان فيجوز أن تأخذ منه الصدقة ،  وإن كان قد يجوز أن يكون اللص يتصدق ببعض ما سرق ،  إذا لم يكن شيء معروف بنهب وكذلك لو باع أو اشترى كان العقد صحيحا لازما -وإن كان الورع التنزه عنه- وذلك أن الأموال لا تحرم بأعيانها وإنما تحرم لجهاتها .

وإن كان ما في أيديهم ظلما صراحا فلا يجوز أن يؤخذ من أيديهم .  ولو كان ما في أيديهم من المال مغصوبا غير أنه لا يعرف له صاحب ولا مطالب ؛  فهو كما لو وجد في أيدي اللصوص وقُطاع الطريق ،  ويجعل في بيت المال وينتظر طالبه بقدر الاجتهاد ،  فإذا لم يُعرف صرفه الإمام في مصالح المسلمين )  ."
2,152,"10- قوله تعالى :  {  فَاذْكُرُونِي أَذْكُرْكُمْ وَاشْكُرُواْ لِي وَلاَ تَكْفُرُونَ } ( 152 ) .

10- ( روي عن النبي  صلى الله عليه وسلم :  ( من أطاع الله فقد ذكر الله وإن أقل صلاته وصومه وصنيعه للخير ومن عصى الله فقد نسي الله وإن كثر صلاته وصومه وصنيعه للخير )4 ذكره أبو عبد الله محمد ابن خويز منداد في  "" أحكام القرآن ""  له ) ."
