surah_number,ayah_number,tafsir_text
4,8,"الآية الأولى :  قوله تعالى :  {  وإذا حضر القسمة أولوا القربى واليتامى والمساكين } [ النساء :  8 ] .

250- ابن كثير :  قال مالك ،  عن الزهري عن سعيد بن المسيب ،  هي منسوخة .  نسختها المواريث والوصية .

قوله تعالى :  {  فارزقوهم منه } [ النساء :  8 ] .

251- ابن كثير :  قال مالك فيما يروى عنه في التفسير من جزء مجموع عن الزهري ،  أن عروة أعطى من مال مصعب حين قسم ماله .

وقال مالك عن عبد الكريم عن مجاهد قال :  هي حق واجب ما طابت به الأنفس .

آيات الفرائض

فائدة :

252- ابن العربي :  روى مطرف عن مالك قال :  قال عبد الله بن مسعود :  من لم يتعلم الفرائض والحج والطلاق ،  فبم يفضل أهل البادية ؟

وقال ابن وهب ،  عن مالك :  كنت أسمع ربيعة يقول :  من تعلم الفرائض من غير علم بها من القرآن ما أسرع ما ينساها ،  قال مالك :  وصدق ."
4,11,"الآية الثانية :  قوله تعالى :  {  ولأبويه لكل واحد منهما السدس مما ترك إن كان له ولد فإن لم يكن له ولد وورثه أبواه فلأمه الثلث فإن كان له إخوة فلأمه السدس } [ النساء :  11 ] .

253- يحيى :  قال مالك :  الأمر المجتمع عليه عندنا ،  الذي لا اختلاف فيه ،  والذي أدركت عليه أهل العلم ببلدنا :  أن ميراث الأب من ابنه أو ابنته ،  أنه إن ترك المتوفى ولدا ،  أو ولد ابن ذكرا ،  فإنه يفرض للأب السدس فريضة .  فإن لم يترك المتوفى ولدا ،  ولا ولد ابن ذكرا فإنه يبدأ بمن شرك الأب من أهل الفرائض ،  فيعطون فرائضهم .  فإن فضل من المال السدس ،  فما فوقه ،  كان للأب .  وإن لم يفضل عنهم السدس فما فوقه ،  فرض للأب السدس ،  فريضة .

وميراث الأم من ولدها ،  إذ توفي ابنها أو ابنتها ،  فترك المتوفى ولدا أو ولد ابن ،  ذكرا كان أو أنثى ،  أو ترك من الإخوة اثنين فصاعدا ،  ذكورا كانوا أو إناثا ،  من أب وأم ،  أو من أب أو من أم ،  فالسدس لها .

وإن لم يترك المتوفى ،  ولدا ولا ولد ابن ،  ولا اثنين من الإخوة فصاعدا ،  فإن للأم الثلث كاملا ،  إلا في فريضتين فقط ،  وإحدى الفريضتين ،  أن يتوفى رجل ويترك امرأته وأبويه ،  فلامرأته الربع ،  ولأمه الثلث مما بقي وهو الربع من رأس المال .

والأخرى :  أن تتوفى امرأة .  وتترك زوجها وأبويها ،  فيكون لزوجها النصف ،  ولأمها الثلث مما بقي .  وهو السدس من رأس المال .

وذلك أن الله تبارك وتعالى يقول في كتابه :  {  ولأبويه لكل واحد منهما السدس مما ترك إن كان له ولد فإن لم يكن له ولد وورثه أبواه فلأمه الثلث فإن كان له إخوة فلأمه السدس } فمضت السنة أن الإخوة اثنان فصاعدا ."
4,12,"الآية الثالثة :  قوله تعالى :  {  ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد فإن كان لهن ولد فلكم الربع مما تركن من بعد وصية يوصين بها أو دين ولهن الربع مما تركتم إن لم يكن لكم ولد فإن كان لكم ولد فلهن الثمن مما تركتم من بعد وصية توصون بها أو دين } [ النساء :  12 ] .

254- يحيى :  قال مالك :  وميراث الرجل من امرأته ،  إذا لم تترك ولدا ،  ولا ولد ابن منه أو من غيره ،  النصف .  فإن تركت ولدا أو ولد ابن ذكرا كان أو أنثى ،  فلزوجها الربع ،  من بعد وصية توصي بها أو دين .

وميراث المرأة من زوجها ،  إذا لم يترك ولدا ولا ولد ابن ،  الربع .  فإن ترك ولدا ،  أو ولد ابن ،  ذكرا كان أو أنثى ،  فلامرأته الثمن .  من بعد وصية يوصي بها أو دين .  وذلك أن الله تبارك وتعالى يقول في كتابه :  {  ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد فإن كان لهن ولد فلكم الربع مما تركن من بعد وصية يوصين بها أو دين ولهن الربع مما تركتم إن لم يكن لكم ولد فإن كان لكم ولد فلهن الثمن مما تركتم من بعد وصية توصون بها أو دين } .

قوله تعالى :  {  وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس فإن كانوا أكثر من ذلك فهم شركاء في الثلث } [ النساء :  12 ]

255- يحيى :  قال مالك :  الأمر المجتمع عليه عندنا ،  أن الإخوة للأم لا يرثون مع الولد .  ولا مع ولد الأبناء ،  ذكرانا كانوا أو إناثا ،  شيئا ،  ولا يرثون مع الأب ولا مع الجد أبي الأب ،  شيئا .  وأنهم يرثون فيما سوى ذلك .  يفرض للواحد منهم السدس .  ذكرا كان أو أنثى .  فإن كانا اثنين .  فلكل واحد منهما السدس .  فإن كانوا أكثر من ذلك فهم شركاء في الثلث .  يقتسمونه بينهم بالسواء ،  للذكر مثل حظ الأنثيين .  وذلك أن الله تبارك وتعالى يقول في كتابه :  {  وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس فإن كانوا أكثر من ذلك فهم شركاء في الثلث } :  فكان الذكر والأنثى ،  في هذا بمنزلة واحدة .

256- يحيى :  قال مالك :  فهذه الكلالة التي لا يرث فيها الإخوة للأم ،  حتى لا يكون ولد ولا والد ."
4,19,"الآية السابعة والثلاثون :  قوله تعالى :  {  لا يحل لكم أن ترثوا النساء كرها } [ النساء :  19 ]

310م- ابن وهب :  قال حدثني مالك بن أنس في هذه الآية :   "" لا يحل لكم أن ترثوا النساء كرها ""  :  قال :  كان الرجل في الجاهلية يعضل امرأة أبيه حتى تموت فيرثها .  م"
4,22,"الآية الرابعة :  قوله تعالى :  {  ولا تنكحوا ما نكح آباؤكم من النساء إلا ما قد سلف } [ النساء : 22 ] .

257- الباجي :  قال مالك :  قال الله تبارك وتعالى اسمه :  {  ولا تنكحوا ما نكح آباؤكم من النساء } .  قال مالك :  فلو أن رجلا نكح امرأة في عدتها نكاحا حلالا فأصابها حرمت على ابنه أن يتزوجها ،  وذلك أن أباه نكحها على وجه الحلال لا يقام عليه فيه الحد ويلحق به الولد ،  الذي يولد فيه بأبيه ،  وكما حرمت على ابنه أن يتزوجها حين تزوجها أبوه في عدتها وأصابها فكذلك تحرم على الأب ابنتها إذا هو أصاب أمها ."
4,23,"الآية الخامسة :  وقوله تعالى :  {  وأمهات نسائكم } [ النساء :  23 ] .

258- يحيى :  عن مالك :  عن يحيى بن سعيد ،  أنه قال :  سئل زيد بن ثابت عن رجل تزوج امرأة ،  ثم فارقها قبل أن يصيبها .  هل تحل له أمها ؟  فقال زيد بن ثابت :  لا ،  الأم مبهمة .  ليس فيها شرط .  وإنما الشرط في الربائب .

وقال مالك ،  في الرجل يتزوج المرأة ،  ثم ينكح أمها فيصيبها :  أنه لا تحل له أمها أبدا .  ولا تحل لأبيه ،  ولا لابنه .  ولا تحل له ابنتها ،  وتحرم عليه امرأته .

قال مالك :  فأما الزنى فإنه لا يحرم شيئا من ذلك .  لأن الله تبارك وتعالى قال :  {  وأمهات نسائكم } فإنما حرم ما كان تزويجا ،  ولم يذكر تحريم الزنى .  فكل تزويج كان على وجه الحلال يصيب صاحبه امرأته ،  فهو بمنزلة التزويج الحلال .

فهذا الذي سمعت .  والذي عليه أمر الناس عندنا .

قوله تعالى :  {  اللاتي دخلتم بهن } [ النساء :  23 ] .

259- ابن العربي :  قال مالك :  هو التمتع من اللمس أو القبل .

قوله تعالى :  {  وأن تجمعوا بين الأختين إلا ما قد سلف } [ النساء :  23 ] .

260- يحيى :  قال مالك في الأمة تكون عند الرجل فيصيبها ،  ثم يريد أن يصيب أختها :  إنها لا تحل له ،  حتى يحرم عليه فرج أختها بنكاح ،  أو عتاقة ،  أو كتابة ،  أو ما أشبه ذلك يزوجها عبده ،  أو غير عبده ."
4,24,"الآية السادسة :  قوله تعالى :  {  والمحصنات } [ النساء :  24 ] .

261- ابن العربي :  قال مالك :  المحصنات ذوات الأزواج ."
4,25,"الآية السابعة :  قوله تعالى :  {  ومن لم يستطع منكم طولا } [ النساء :  25 ] .

قوله تعالى :  {  فمن ما ملكت أيمانكم من فتياتكم المؤمنات } [ النساء :  25 ] .

262- يحيى :  قال مالك :  هن الإماء المؤمنات .

قال مالك :  فإنما أحل الله ،  فيما نرى ،  نكاح الإماء المؤمنات .  ولم يحلل نكاح إماء أهل الكتاب .  اليهودية والنصرانية .

263- الطبري :  قال مالك :  لا يحل لحر مسلم ولا لعبد مسلم الأمة النصرانية لأن الله يقول :  {  فمن ما ملكت أيمانكم من فتياتكم المؤمنات } يعني بالنكاح ."
4,33,"الآية الثامنة :  قوله تعالى :  {  ولكل جعلنا موالي مما ترك الوالدان والأقربون } [ النساء :  33 ] .

264- المهدوي :  قال مالك :  كل من هلك من العرب ،  فلا يخلو أن يكون له وارث بهذه الآية ،  وإن لم تعرف عينه ."
4,34,"الآية التاسعة :  قوله تعالى :  {  واهجروهن في المضاجع } [ النساء :  34 ] .

265- ابن العربي :  روى ابن وهب عن مالك أنه قال في تفسير الآية :  بلغنا أن عمر بن عبد العزيز كان له نساء ،  فكان يغاضب بعضهن ،  فإذا كانت ليلتها يفرش في حجرتها وتبيت هي في بيتها ،  فقلت لمالك :  وذلك له واسع ؟  قال :  نعم ،  وذلك في كتاب الله تعالى :  {  واهجروهن في المضاجع } .

266- ابن العربي :  روى ابن وهب ،  وابن القاسم عن مالك قال :  لا يجمعها وإياه فراش ولا وطء حتى ترجع إلى الذي يريد .

قوله تعالى :  {  واضربوهن } [ النساء : 34 ] .

267- ابن العربي :  روى ابن نافع عن مالك عن يحيى بن سعيد أن رسول الله صلى الله عليه وسلم ( استؤذن في ضرب النساء ،  فقال :  اضربوا ،  ولن يضرب خياركم ) ."
