surah_number,ayah_number,tafsir_text
14,1,"الر كتاب أنزلناه إليك لتخرج الناس من الظلمات إلى النور بإذن ربهم إلى صراط العزيز الحميد

[ الر ] الله أعلم بمراده بذلك هذا القرآن [ كتاب أنزلناه إليك ] يا محمد [ لتخرج الناس من الظلمات ] الكفر [ إلى النور ] الإيمان [ بإذن ] أمر [ ربهم ] ويبدل من :  إلى النور [ إلى صراط ] طريق [ العزيز ] الغالب [ الحميد ] المحمود"
14,2,"الله الذي له ما في السماوات وما في الأرض وويل للكافرين من عذاب شديد

[ الله ] بالجر بدل أو عطف بيان وما بعده صفة والرفع مبتدأ خبره [ الذي له ما في السماوات وما في الأرض ] ملكاً وخلقاً وعبيداً [ وويل للكافرين من عذاب شديد ]"
14,3,"الذين يستحبون الحياة الدنيا على الآخرة ويصدون عن سبيل الله ويبغونها عوجا أولئك في ضلال بعيد

[ الذين ] نعت [ يستحبون ] يختارون [ الحياة الدنيا على الآخرة ويصدون ] الناس [ عن سبيل الله ] دين الإسلام [ ويبغونها ] أي السبيل [ عوجاً ] معوجة [ أولئك في ضلال بعيد ] عن الحق"
14,4,"وما أرسلنا من رسول إلا بلسان قومه ليبين لهم فيضل الله من يشاء ويهدي من يشاء وهو العزيز الحكيم

[ وما أرسلنا من رسول إلا بلسان ] بلغة [ قومه ليبين لهم ] ليفهمهم ما أتى به [ فيضل الله من يشاء ويهدي من يشاء وهو العزيز ] في ملكه

[ الحكيم ] في صنعه"
14,5,"ولقد أرسلنا موسى بآياتنا أن أخرج قومك من الظلمات إلى النور وذكرهم بأيام الله إن في ذلك لآيات لكل صبار شكور

[ ولقد أرسلنا موسى بآياتنا ] التسع وقلنا له [ أن أخرج قومك ] بني إسرائيل [ من الظلمات ] الكفر [ إلى النور ] الإيمان [ وذكرهم بأيام الله ] بنعمه [ إن في ذلك ] التذكير [ لآيات لكل صبار ] على الطاعة [ شكور ] للنعم"
14,6,"وإذ قال موسى لقومه اذكروا نعمة الله عليكم إذ أنجاكم من آل فرعون يسومونكم سوء العذاب ويذبحون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم

[ و ] اذكر [ إذ قال موسى لقومه اذكروا نعمة الله عليكم إذ أنجاكم من آل فرعون يسومونكم سوء العذاب ويذبحون أبناءكم ] المولودين [ ويستحيون ] يستبقون [ نساءكم ] لقول بعض الكهنة إن مولودا يولد في بني إسرائيل يكون سبب ذهاب ملك فرعون [ وفي ذلكم ] الإنجاء أو العذاب [ بلاء ] إنعام أو ابتلاء [ من ربكم عظيم ]"
14,7,"وإذ تأذن ربكم لئن شكرتم لأزيدنكم ولئن كفرتم إن عذابي لشديد

[ وإذ تأذن ] أعلم [ ربكم لئن شكرتم ] نعمتي بالتوحيد والطاعة [ لأزيدنكم ولئن كفرتم ] جحدتم النعمة بالكفر والمعصية لأعذبنكم دل عليه [ إن عذابي لشديد ]"
14,8,"وقال موسى إن تكفروا أنتم ومن في الأرض جميعا فإن الله لغني حميد

[ وقال موسى ] لقومه [ إن تكفروا أنتم ومن في الأرض جميعا فإن الله لغني ] عن خلقه [ حميد ] محمود في صنعه بهم"
14,9,"ألم يأتكم نبأ الذين من قبلكم قوم نوح وعاد وثمود والذين من بعدهم لا يعلمهم إلا الله جاءتهم رسلهم بالبينات فردوا أيديهم في أفواههم وقالوا إنا كفرنا بما أرسلتم به وإنا لفي شك مما تدعوننا إليه مريب

[ ألم يأتكم ] استفهام تقرير [ نبأ ] خبر [ الذين من قبلكم قوم نوح وعاد ] قوم هود [ وثمود ] قوم صالح [ والذين من بعدهم لا يعلمهم إلا الله ] لكثرتهم [ جاءتهم رسلهم بالبينات ] بالحجج الواضحة على صدقهم [ فردوا ] أي الأمم [ أيديهم في أفواههم ] أي إليها ليعضوا عليها من شدة الغيظ [ وقالوا إنا كفرنا بما أرسلتم به ] في زعمكم [ وإنا لفي شك مما تدعوننا إليه مريب ] موقع في الريبة"
14,10,"قالت رسلهم أفي الله شك فاطر السماوات والأرض يدعوكم ليغفر لكم من ذنوبكم ويؤخركم إلى أجل مسمى قالوا إن أنتم إلا بشر مثلنا تريدون أن تصدونا عما كان يعبد آبآؤنا فأتونا بسلطان مبين

[ قالت رسلهم أفي الله شك ] استفهام إنكار أي لا شك في توحيده للدلائل الظاهرة عليه [ فاطر ] خالق [ السماوات والأرض يدعوكم ] إلى طاعته [ ليغفر لكم من ذنوبكم ] من صلة فإن الإسلام يغفر به ما قبله أو تبعيضية لإخراج حقوق العباد [ ويؤخركم ] بلا عذاب [ إلى أجل مسمى ] أجل الموت [ قالوا إن ] ما [ أنتم إلا بشر مثلنا تريدون أن تصدونا عما كان يعبد آباؤنا ] من الأصنام [ فأتونا بسلطان مبين ] حجة ظاهرة على صدقكم"
14,11,"قالت لهم رسلهم إن نحن إلا بشر مثلكم ولكن الله يمن على من يشاء من عباده وما كان لنا أن نأتيكم بسلطان إلا بإذن الله وعلى الله فليتوكل المؤمنون

[ قالت لهم رسلهم إن ] ما [ نحن إلا بشر مثلكم ] كما قلتم [ ولكن الله يمن على من يشاء من عباده ] بالنبوة [ وما كان ] ما ينبغي [ لنا أن نأتيكم بسلطان إلا بإذن الله ] بأمره لأنا عبيد مربوبون [ وعلى الله فليتوكل المؤمنون ] يثقوا به"
