surah_number,ayah_number,tafsir_text
24,2,"327- قال الشافعي :  وحدت أحكام الله عز وجل على الرجال والنساء في الحدود واحدة ،  قال الله تبارك وتعالى :  { اَلزَّانِيَةُ وَالزَّانِى فَاجْلِدُوا كُلَّ وَاحِدٍ مِّنْهُمَا مِاْئَةَ جَلْدَةٍ } وقال :  { وَالسَّارِقُ وَالسَّارِقَةُ فَاقْطَعُوا أَيْدِيَهُمَا }  . (  الأم :  4/293  .  )

ـــــــــــــــــــــــــــ

328- قال الشافعي :  وكان الله قد فرق في حد الزنا بين المماليك والأحرار ،  فقال :

{ اَلزَّانِيَةُ وَالزَّانِى فَاجْلِدُوا كُلَّ وَاحِدٍ مِّنْهُمَا مِاْئَةَ جَلْدَةٍ } وقال في الإماء :  { فَإِذَا أُحْصِنَّ فَإِنَ اَتَيْنَ بِفَاحِشَةٍ فَعَلَيْهِنَّ نِصْفُ مَا عَلَى اَلْمُحْصَنَاتِ مِنَ اَلْعَذَابِ } وقال في الشهادات :

{ وَأَشْهِدُوا ذَوَىْ عَدْلٍ مِّنكُمْ } فلم يختلف من لقيت أنها على الأحرار دون العبيد  .  وذَكَرَ المواريث ،  فلم يختلف أحد لقيته في أن المواريث للأحرار دون العبيد  .  ورجم رسول الله صلى الله عليه وسلم الثيب الحر الزاني  .  ولم يختلف من لقيت أن لا رجم على عبد ثيب  . (  الأم :  5/216  .  ون الرسالة ص :  67  .  )

ـــــــ

329- قال الشافعي :  أقل ما يحضر حدَّ الزاني في الجلد والرجم أربعة ،  لقول الله عز وجل :  { وَلْيَشْهَدْ عَذَابَهُمَا طَآئِفَةٌ مِّنَ اَلْمُومِنِينَ }  . ( الأم :  6/155  .  ون مناقب الإمام الشافعي ص :  239  .  )

330- قال الشافعي رحمه الله تعالى :  قال الله تبارك وتعالى :  { اَلزَّانِى لا يَنكِحُ إِلا زَانِيَةً اَوْ مُشْرِكَةً } إلى :  { اَلْمُومِنِينَ } ،  قال الشافعي :  اختلف في تفسير هذه الآية فقيل :  نزلت في بغايا كانت لهم رايات وكن غير محصنات ،  فأراد بعض المسلمين نكاحهم ،  فنزلت هذه الآية بتحريم أن ينكحن إلا من أعلن بمثل ما أعلن به ،  أو مشركا  .  وقيل :  كن زواني مشركات ،  فنزلت :  لا ينكحن إلا زان مثلهن مشرك ،  أو مشرك وإن لم يكن زانيا :  { وَحُرِّمَ ذَلِكَ عَلَى اَلْمُومِنِينَ }  .  وقيل :  غير هذا  .  وقيل هي عامة ،  ولكنها نسخت  .

أخبرنا سفيان ،  عن يحيى بن سعيد ،  عن ابن المسيب في قوله :  { اَلزَّانِى لا يَنكِحُ إِلا زَانِيَةً اَوْ مُشْرِكَةً } قال :  هي منسوخة نسختها :  { وَأَنكِحُوا اَلاَيَامى مِنكُمْ } فهي من أيامى المسلمين  .

قال الشافعي :  فوجدنا الدلالة عن رسول الله صلى الله عليه وسلم في زانية وزان من المسلمين لم نعلمه حرم على واحد منهما أن ينكح غير زانية ولا زان ،  ولا حرَّم واحدا منهما على زوجه ؛  فقد أتاه ماعز بن مالك وأقر عنده بالزنا مرارا لم يأمره في واحدة منها أن يجتنب زوجة له إن كانت ،  ولا زوجته أن تجتنبه  .

ولو كان الزنا يحرمه على زوجته أشبه أن يقول له :  إن كانت زوجة حرمت عليك ،  أو لم تكن لم يكن لك أن تنكح ،  ولم نعلمه أمره بذلك ،  ولا أن لا ينكح ،  ولا غيره أن لا ينكحه إلا زانية  .

وقد ذكر له رجل أن امرأة زنت وزوجها حاضر ،  فلم يأمر النبي صلى الله عليه وسلم ـ فيما علمنا ـ زوجها باجتنابها ،  وأمر أنيسا أن يغدو عليها ،  فإن اعترفت رجمها  .

وقد جلد ابن الأعرابي في الزنا مائة وغربه عاما ،  ولم ينهه علمنا أن ينكح ،  ولا أحدا أن ينكحه إلا زانية  .

وقد رفع الرجل الذي قذف امرأته إليه أَمْرَ امرأته وقذفها برجل ،  وانتفى من حملها ،  فلم يأمره باجتنابها حتى لاعن بينهما  .

وقد روي عنه أن رجلا شكا إليه أن امرأته لا تدفع يَدَ لاَمِسٍ فأمره أن يفارقها ،  فقال له :  إني أحبها ،  فأمره أن يستمتع بها  .  أخبرنا سفيان بن عيينة ،  عن هارون بن رياب ،  عن عبد الله ابن عبيد بن عمير قال :  أتى رجل إلى رسول الله صلى الله عليه وسلم فقال :  يا رسول الله إن لي امرأة لا ترد يَدَ لامسٍ فقال النبي صلى الله عليه وسلم :  « طلقها » قال :  إني أحبها ،  قال :  «  فأمسكها إذا  »  . (  الأم :  5/11-12  .  ون الأم :  5/148  .  ومناقب الشافعي :  1/293-294  .  )"
24,3,/ت2
24,4,"331- قال الشافعي :  قال الله تبارك وتعالى في الذين يرمون المحصنات :  { ثُمَّ لَمْ يَاتُوا بِأَرْبَعَةِ شُهَدَاء فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً } فكانت الآية عامة على رامي المحصنة  .  فكان سواء قال الرامي لها :  رأيتها تزني ،  أو رماها ولم يقل :  رأيتها تزني ،  فإنه يلزمه اسم الرامي  . (  الأم :  5/131  .  ون مختصر المزني ص :  214  .  )

ــــــــــــ

332- قال الشافعي :  قال الله تبارك وتعالى :  { وَالذِينَ يَرْمُونَ اَلْمُحْصَنَاتِ ثُمَّ لَمْ يَاتُوا بِأَرْبَعَةِ شُهَدَاء فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً } فكان بينا أن المأمور بجلد ثمانين هو :  من قَصَدَ قَصْدَ محصنة بقذف ،  لا من وقع قذفه على محصنة بحال  . ( الأم :  6/241-242  .  )

ـــــــــــ

333- قال الشافعي :  قال الله تبارك وتعالى :  { وَالذِينَ يَرْمُونَ اَلْمُحْصَنَاتِ ثُمَّ لَمْ يَاتُوا بِأَرْبَعَةِ شُهَدَاء فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً } الآية  .  قال الشافعي :  ثم لم أعلم مخالفا في أن ذلك إذا طلبت ذلك المقذوفة الحرة ولم يأت القاذف بأربعة شهداء يخرجونه من الحد ،  وهكذا كل ما أوجبه الله تعالى لأحد وجب على الإمام أخذه له إن طلبه ،  أخذه له بكل حال  . ( الأم :  5/285  .  ون أحكام الشافعي :  1/237-238  .  )

ـــــــــــــــــــ

334- قال الشافعي :  قال الله جل ثناؤه :  { وَالذِينَ يَرْمُونَ اَلْمُحْصَنَاتِ ثُمَّ لَمْ يَاتُوا بِأَرْبَعَةِ شُهَدَاء فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً وَلا تَقْبَلُوا لَهُمْ شَهَادَةً اَبَدًا وَأُوْلَئِاكَ هُمُ اَلْفَاسِقُونَ }

قال الشافعي :  فالمحصنات ههنا البوالغ الحرائر  .  وهذا يدل على أن الإحصان اسم جامع لمعاني مختلفة  .  وقال :  { وَالذِينَ يَرْمُونَ أَزْوَاجَهُمْ وَلَمْ يَكُن لَّهُمْ شُهَدَاء اِلا أَنفُسُهُمْ فَشَهادَةُ أَحَدِهِمُ أَرْبَعَ شَهَادَاتٍ بِاللَّهِ إِنَّهُ لَمِنَ اَلصَّادِقِينَ وَالْخَامِسَةُ أَن لَّعْنَتُ اَللَّهِ عَلَيْهِ إِن كَانَ مِنَ اَلْكَاذِبِينَ وَيَدْرَؤُا عَنْهَا اَلْعَذَابَ أَن تَشْهَدَ أَرْبَعَ شَهَادَاتٍ بِاللَّهِ إِنَّهُ لَمِنَ اَلْكَاذِبِينَ وَالْخَامِسَةُ أَنْ غَضِبَ اَللَّهِ عَلَيْهَا إِن كَانَ مِنَ اَلصَّادِقِينَ }  .

فلما فرق الله بين حكم الزوج والقاذف سِوَاهُ ،  فحدَّ القاذف سواه ،  إلا أن يأتي بأربعة شهداء على ما قال ،  وأخرج الزوج باللعان من الحدّ :  دلّ ذلك على أن قَذَفَة المحصنات الذين أريدوا بالجلد :  قَذَفَةُ الحرائر البوالغ غير الأزواج  .  وفي هذا الدليل على ما وصفت ،  من أن القرآن عربي ،  يكون منه ظاهره عاما ،  وهو يراد به الخاص ،  لا أن واحدةً من الآيتين نسخت الأخرى ،  ولكن كل واحدة منهما على ما حَكَمَ الله به ،  فيفرقُ بينهما حيث فَرَقَ الله ،  ويجمعان حيث جمع الله :  فإذا التعن الزوج خرج من الحدّ ،  كما يخرج الأجنبيون بالشهود ،  وإذا لم يلتعن وزوجته حرة بالغة ،  حدّ  . (  الرسالة :  187-148  .  ون أحكام الشافعي :  1/311  .  والأم :  5/124 و 7/95  .  )

ــــــــــــ

335- قال الشافعي :  وقال الله عز وجل في قذفة المحصنات :  { فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً وَلا تَقْبَلُوا لَهُمْ شَهَادَةً اَبَدًا وَأُوْلَئِاكَ هُمُ اَلْفَاسِقُونَ إِلا اَلذِينَ تَابُوا } وقلنا :  إذا تاب القاذف قبلت شهادته ،  وذلك بين في كتاب الله عز وجل  .

قال الشافعي رحمه الله تعالى :  أخبرنا سفيان بن عيينة قال :  سمعت الزهري يقول :  زعم أهل العراق أن شهادة القاذف لا تجوز ،  لأشهد أخبرني سعيد بن المسيب أن عمر بن الخطاب قال لأبي بكرة :  تب تقبل شهادتك ،  أو إن تبت قبلت شهادتك  .

قال :  وسمعت سفيان يحدث به هكذا مرارا ،  ثم سمعته يقول :  شككت فيه قال سفيان :  أشهد لأخبرني ثم سمى رجلا فذهب عليَّ حفظ اسمه ،  فسألت فقال لي عمر ابن قيس هو سعيد بن المسيب وكان سفيان لا يشك أنه ابن المسيب  .

قال الشافعي رحمه الله تعالى :  وغيره يرويه عن ابن شهاب ،  عن سعيد بن المسيب ،  عن عمر ،  قال سفيان :  أخبرني الزهري ،  فلما قمت سألت فقال لي عمر بن قيس وحضر المجلس معي هو سعيد بن المسيب قلت لسفيان :  أشككت حين أخبرك أنه سعيد ؟  قال :  لا ،  هو كما قال ،  غير أنه قد كان دخلني الشك  .

قال الشافعي رحمه الله تعالى :  وأخبرنا من أثق به من أهل المدينة عن ابن شهاب ،  عن ابن المسيب :  أن عمر لما جلد الثلاثة استتابهم ،  فرجع اثنان ،  فقبل شهادتهما ،  وأَبَى أبو بكرة أن يرجع فرد شهادته  .

قال الشافعي رحمه الله تعالى :  وأخبرنا إسماعيل بن علية ،  عن ابن أبي نجيح في القاذف إذا تاب تقبل شهادته فقال :  وكلنا نقوله عطاء وطاوس ومجاهد  .

وقال بعض الناس :  لا تجوز شهادة المحدود في القذف أبداً ؟  !  قلتُ ؟  :  أفرأيت القاذف إذا لم يحد حدا تاما أتجوز شهادته إذا تاب ؟  قال :  نعم  .  قلتُ له :  ولا أعلمك إلا دخل عليك خلاف القرآن من موضعين :  أحدهما :  أن الله عز وجل أمر بجلده وأن لا تقبل شهادته ،  فزعمت أنه إذا لم يجلد قبلت شهادته  .  قال :  فإنه عندي إنما ترد شهادته إذا جلد ،  قلتُ :  أفتجد ذلك في ظاهر القرآن ،  أم في خبر ثابت ؟  قال :  أما في خبر فلا ،  وأما في ظاهر القرآن فإن الله عز وجل يقول :  { فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً وَلا تَقْبَلُوا لَهُمْ شَهَادَةً اَبَدًا } قلتُ :  أفبالقذف قال الله عز وجل :  { وَلا تَقْبَلُوا لَهُمْ شَهَادَةً اَبَدًا } أم بالجلد ؟  قال :  بالجلد ،  قال :  بالجلد عندي  .  قلتُ :  وكيف كان ذلك عندك ،  والجلد إنما وجب بالقذف ؟  وكذلك ينبغي أن تقول في ردِّ الشهادة  . ( الأم :  7/26  .  ون الأم :  7/89  .  وأحكام الشافعي :  2/135  .  ومناقب الإمام الشافعي ص :  185  .  )"
24,5,/ت4
24,6,"336- قال الشافعي :  وقال الله تبارك وتعالى :  { وَالذِينَ يَرْمُونَ أَزْوَاجَهُمْ وَلَمْ يَكُن لَّهُمْ شُهَدَاء اِلا أَنفُسُهُمْ } وقال عز وجل :  { وَيَدْرَؤُا عَنْهَا اَلْعَذَابَ } الآية ،  فحكم بالأيمان بينهما إذا كان الزوج يعلم من المرأة ما لا يعلمه الأجنبيون ،  ودرا عنه وعنها بها على أن أحدهما كاذب  .  وحكم في الرجل يقذف غير زوجته أن يُحَدَّ إن لم يأت بأربعة شهداء على ما قال  .

ولاَعَنَ رسول الله صلى الله عليه وسلم بين العجلاني وامرأته بنفي زوجها ،  وقذفها بشريك بن السحماء ،  فقال رسول الله صلى الله عليه وسلم :  «  انظروها فإن جاءت به ـ يعني الولد ـ أسْحَمَ ،  أدْعَجَ ،  عظيمَ الإلْيتين ،  فلا أراه إلا صدق » وتلك صفة شريك الذي قذفها به زوجها ،  وزعم أن حبلها منه ،

قال رسول الله صلى الله عليه وسلم :  «  وإن جاءت به أُحَيْمر كأنه وَحَرَةٌ فلا أراه إلا كذب عليها  » وكانت تلك الصفة صفة زوجها ،  فجاءت به يشبه شريك بن السحماء ،  فقال النبي صلى الله عليه وسلم :  « إن أمره لبين لولا ما حكم الله » أي لكان لي فيه قضاء غيره ،  يعني ـ والله أعلم ـ لبيان الدلالة بصدق زوجها  . (  الأم :  7/304  .  )

ـــــــــــــــــ

337- قٌرِئَ على الشافعي :  { أَن لَّعْنَتُ اَللَّهِ } فقال :  ليس هكذا ،  اقْرَا إِقْرَاء :  { أَنَّ لَعْنَتَ اَللَّهِ } و { أَنَّ غَضَبَ اَللَّهِ }  . (  مناقب الشافعي :  1/278  .  )

ــــــــــــ

338- قال الشافعي رحمه الله تعالى :  قال الله عز وجل :  { وَالذِينَ يَرْمُونَ أَزْوَاجَهُمْ وَلَمْ يَكُن لَّهُمْ شُهَدَاء اِلا أَنفُسُهُمْ } إلى قوله :  { أَنْ غَضِبَ اَللَّهِ عَلَيْهَا إِن كَانَ مِنَ اَلصَّادِقِينَ } قال الشافعي رحمه الله تعالى :  فبين ـ والله أعلم ـ في كتاب الله عز وجل أن كل زوج يلاعن زوجته ،  لأن الله عز وجل ذكر الزوجين مطلقين لم يخص أحدا من الأزواج دون غيره ،  ولم تدل سنة ولا أثر ولا إجماع من أهل العلم على أن ما أريد بهذه الآية بعض الأزواج دون بعض  .

قال الشافعي رحمه الله تعالى :  إن التعن الزوج ولم تلتعن المرأة حُدَّتْ إذا أبت أن تلتعن لقول الله عز وجل :  { وَيَدْرَؤُا عَنْهَا اَلْعَذَابَ أَن تَشْهَدَ } فقد أخبر ـ والله أعلم ـ أن العذاب كان عليها إلا أن تدرأه باللعان ،  وهذا ظاهر حكم الله عز وجل  . ( الأم :  7/25  .  ون الأم :  5/292  .  ومختصر المزني :  211-212  .  )

ــــــــــــ

339- قال الشافعي :  وقال الله تعالى :  { وَالذِينَ يَرْمُونَ أَزْوَاجَهُمْ وَلَمْ يَكُن لَّهُمْ شُهَدَاء اِلا أَنفُسُهُمْ فَشَهَادَةُ أَحَدِهِمُ أَرْبَعَ شَهَادَاتٍ بِاللَّهِ إِنَّهُ لَمِنَ اَلصَّادِقِينَ } إلى قوله :  { أَنْ غَضِبَ اَللَّهِ عَلَيْهَا إِن كَانَ مِنَ اَلصَّادِقِينَ } قال الشافعي :  فكان بينا في كتاب الله عز وجل أن الله أخرج الزوج من قذف المرأة بشهادته :  { أَرْبَعَ شَهَادَاتٍ بِاللَّهِ إِنَّهُ لَمِنَ اَلصَّادِقِينَ وَالْخَامِسَةُ أَن لَّعْنَتُ اَللَّهِ عَلَيْهِ إِن كَانَ مِنَ اَلْكَاذِبِينَ }  .  كما أخرج قاذف المحصنة غير الزوجة بأربعة شهود يشهدون عليها بما قذفها به من الزنا  .

وكانت في ذلك دَلالةٌ أن ليس على الزوج أن يلتعن حتى تطلب المرأة المقذوفة حدَّها ،  وكما ليس على قاذف الأجنبية حدّ حتى تطلب حدَّها  .

قال :  وكانت في اللعان أحكام بسنة رسول الله صلى الله عليه وسلم منها :  الفرقة بين الزوجين ونفي الولد  . ( الأم :  5/286  .  ون الأم :  5/135  .  وأحكام الشافعي :  1/238-239  .  ومختصر المزني :  207-208  .  )"
24,7,/ت6
24,8,/ت6
24,9,/ت6
24,13,"340- قال الشافعي رحمه الله :  قال الله تبارك وتعالى في القذفة :  { لَّوْلا جَاءو عَلَيْهِ بِأَرْبَعَةِ شُهَدَاء فَإِذْ لَمْ يَاتُوا بِالشُّهَدَاء فَأُوْلَئِاكَ عِندَ اَللَّهِ هُمُ اَلْكَاذِبُونَ }  .

قال الشافعي رحمه الله :  فلا يجوز في الزنا الشهود أقل من أربعة بحكم الله عز وجل ثم بحكم رسوله صلى الله عليه وسلم  .  فإذا لم يكملوا أربعة فهم قذفة ،  وكذلك حكم عليهم عمر بن الخطاب فجلدهم جلد القذفة  .  ولم أعلم بين أحد لقيته ببلدنا اختلافا فيما وصفت من أنه لا يقبل في الزنا أقل من أربعة ،  وأنهم إذا لم يكملوا أربعة حدُّوا حَدَّ القذف ،  وليس هكذا شيء من الشهادات غير شهود الزنا  .

قال الشافعي :  أخبرنا مالك ،  عن سهيل ،  عن أبيه ،  عن أبي هريرة :  أن سعد بن عبادة قال :  يا رسول الله أرأيت إن وجدت مع امرأتي رجلا أمهله حتى آتي بأربعة شهداء ؟  قال رسول الله صلى الله عليه وسلم :  «  نعم  »  .

قال الشافعي رحمه الله :  ففي هذا ما يبين أن شهود الزنا أربعة ،  وأن ليس لأحدٍ دون الإمام أن يقتل ولا يعاقب بما رأى  .

قال الشافعي :  أخبرنا مالك ،  عن يحيى بن سعيد ،  عن ابن المسيب :  أن رجلا بالشام وجد مع امرأته رجلا فقتله أو قتلها ،  فكتب معاوية إلى أبي موسى الأشعري بأن يسأل له عن ذلك عليا رضي الله عنه ،  فسأله فقال علي :  إن هذا لشيء ما هو بأرض العراق عزمت عليك لتخبرني فأخبره ،  فقال علي رضي الله عنه :  أنا أبو الحسن ،  إن لم يأت بأربعة شهداء فليعط برمته  .

قال الشافعي رحمه الله :  وبهذا كله نأخذ ،  ولا أحفظ عن أحد قبلنا من أهل العلم فيه مخالفا  . (  الأم :  6/137  .  ون الأم :  7/82 و 7/85  .  ومختصر المزني ص :  303 )

ــــــــــــ

341- قال الشافعي رحمه الله تعالى :  قال الله تبارك وتعالى :  { لَّوْلا جَاءو عَلَيْهِ بِأَرْبَعَةِ شُهَدَاء فَإِذْ لَمْ يَاتُوا بِالشُّهَدَاء فَأُوْلَئاكَ عِندَ اَللَّهِ هُمُ اَلْكَاذِبُونَ } وقال :  { وَالَّتاى يَاتِينَ اَلْفَاحِشَةَ مِن نِّسَآئِكُمْ فَاسْتَشْهِدُوا عَلَيْهِنَّ أَرْبَعَةً مِّنكُمْ } وقال الله عز وجل :  { وَالذِينَ يَرْمُونَ اَلْمُحْصَنَاتِ ثُمَّ لَمْ يَاتُوا بِأَرْبَعَةِ شُهَدَاء فَاجْلِدُوهُمْ ثَمَانِينَ جَلْدَةً }  .  أخبرنا مالك ،  عن سهيل ،  عن أبيه ،  عن أبي هريرة :  أن سعدا قال :  يا رسول الله أرأيت إن وجدت مع امرأتي رجلا أمهله حتى آتي بأربعة شهداء ؟  فقال رسول الله صلى الله عليه وسلم :  « نعم »  .

قال الشافعي رحمه الله تعالى :  فالكتاب والسنة يدلان على أنه لا يجوز في الزنا أقل من أربعة ،  والكتاب يدل على أنه لا يجوز شهادة غير عَدْلٍ  .

قال :  والإجماع يدل على أنه لا تجوز إلا شهادة عدل حرٍّ بالغ عاقل لما يشهد عليه  .

قال :  وسواء أي زِنا ما كان :  زنا حُرّين أو عبدين أو مشركين لأن كله زنا  .

ولو شهد أربعة على امرأة بالزنا أو على رجل أو عليهما معا ،  لم ينبغ للحاكم أن يقبل الشهادة ،  لأن اسم الزنا قد يقع على ما دون الجماع ،  حتى يصف الشهود الأربعة الزنا ،  فإذا قالوا :  رأينا ذلك منه يدخل في ذلك منها دخول المرْوَدِ في المكحلة ،  فأثبتوه حتى تغيب الحشفة ،  فقد وجب الحدّ ،  ما كان الحد رجما أو جَلْدًا ،  وإن قالوا :  رأينا فرجه على فرجها ولم يثبت أنه دخل فيه فلا حَدَّ ؛  ويُعَزَّرُ ،  فإن شهدوا على أن ذلك دخل في دبرها فقد وجب الحد كوجوبه في القبل  . (  الأم :  7/44  .  )"
24,30,"342- قال الشافعي :  وفرض على العينين أن لا ينظر بهما إلى ما حرم الله ،  وأن يغضيهما عما نهاه عنه ،  فقال تبارك وتعالى في ذلك :  { قُل لِّلْمُومِنِينَ يَغُضُّوا مِنَ اَبْصارِهِمْ وَيَحْفَظُوا فُرُوجَهُمْ } الآيتين :  أن ينظر أحدهم إلى فرج أخيه ،  ويحفظ فرجه من أن ينظر إليه  .

وقال :  كل شيء من حفظ الفرج في كتاب الله فهو من الزنا إلا هذه الآية ،  فإنها من النظر  .  فذلك ما فرض الله على العينين من غض البصر ،  وهو عملهما ،  وهو من الإيمان  . (  مناقب الشافعي :  1/390-391  .  )

ــــــــــــ

343- قال الشافعي :  وإذا أراد أن يتزوج المرأة فليس له أن ينظر إليها حاسرة ،  وينظر إلى وجهها وكفيها وهي متغطية ،  بإذنها وبغير إذنها ،  قال الله تعالى :  { وَلا يُبْدِينَ زِينَتَهُنَّ إِلا مَا ظَهَرَ مِنْهَا } قال :  الوجه والكفان  . ( مختصر المزني ص :  163  .  )"
