surah_number,ayah_number,tafsir_text
11,1,{ كتاب } القرآن ،   { أُحكمت آياته } بالأمر والنهي { ثم فُصّلت } بالثواب والعقاب ،   أو أُحكمت من الباطل ثم فُصّلت بالحلال والحرام والطاعة والمعصية ،   أو آيات هذه السورة كلها محكمة ،   { فُصلت } فُسّرت ،   أو أُحكمت آياته للمعتبرين وفُصلت للمتقين ،   أو أُحكمت آياته في القلوب وفُصّلت أحكامه على الأبدان .   { حكيم } في أفعاله { خبير } بمصالح عباده ،   أو حكيم فيما أنزل خبير بمن يتقبل .
11,2,{ ألا تعبدوا } يعني أني كتبت في الكتاب أن لا تعبدوا إلا الله ،   أو أمر رسوله صلى الله عليه وسلم أن يقول ذلك .   { نذير } من النار { وبشير } بالجنة .
11,3,"{ وأن استغفروا ربكم } مما سلف ثم توبوا إليه في المستأنف متى وقعت منكم ذنوب ،   أو قدّم الاستغفار ،   لأنه المقصود وأخّر التوبة لأنها سبب إليه .   { متاعا حسنا } في الدنيا بطيب النفس وسعة الرزق ،   أو بالرضا بالميسور والصبر على المقدور ،   أو بترك الخلق والإقبال على الحق قاله سهل رضي الله تعالى عنه { أجل مسمى } الموت ،   أو القيامة ،   أو وقت لا يعلمه إلا الله -تعالى-   "" ع ""  { ويُؤتِ كل ذي فضل فضله } يهديه إلى العمل الصالح  "" ع ""  ،   أو يجزيه به في الآخرة .   { كبير } يوم القيامة لكبر الأمور فيه ."
11,5,"{ يَثنون صدورهم } على الكفر { ليستخفوا } من الله – تعالى- أو على عداوة الرسول صلى الله عليه وسلم ليخفوها عنه ،   أو على ما أضمروه ليخفوه على الناس ،   أو كان المنافقون إذا مروا بالرسول صلى الله عليه وسلم غطوا رؤوسهم وحنوا صدورهم لئلا يراهم أو قال رجل إذا أغلقت بابي وأرخيت ستري وتغشيت ثوبي وثنيت صدري فمن يعلم بي فأخبر الله -تعالى- بذلك .   { يستغشون } يلبسون ويتغطون ،   قال :

أرعى النجوم ما كلفت رِعْيَتَها *** وتارة أتغشى فضل أطماري

كنى باستغشاء الثياب عن الليل ،   لأنه يسترهم بظلمته كما يستترون بالثياب وكانوا يخفون أسرارهم ليلاً ،   أو كانوا يغطون وجوههم وآذانهم بثيابهم بغضاً للرسول صلى الله عليه وسلم حتى لا يروه ولا يسمعوا كلامه ،   أو أراد المنافقين لأنهم لسترهم ما في قلوبهم كالمستغشي ثيابه ،   أو كان قوم من المسلمين يتنسكون بستر أبدانهم فلا يكشفونها تحت السماء فبين الله -تعالى- أن النسك بالاعتقاد والعمل .   { ما يُسرّون } في قلوبهم { وما يُعلنون } بأفواههم ،   أو ما يسرون الإيمان وما يعلنون العبادات ،   أو ما يسرون عمل الليل ،   وما يعلنون عمل النهار   "" ع ""  { بذات الصدور } بأسرارها ،   نزلت في الأخنس بن شريق  "" ع ""  ."
11,6,{ مستقرها } حيث تأوي { ومستودعها } حيث تموت أو مستقرها الرحم ومستودعها الصلب ،   أو مستقرها في الدنيا ومستودعها في الآخرة .
11,7,{ أحسن عملا } أتم عقلاً ،   أو أزهد في الدنيا ،   أو أكثر شكراً ،   أو أحسن عقلاً وأورع عن محارم الله وأسرع في طاعته ،   قاله الرسول صلى الله عليه وسلم .
11,8,{ أُمة } فناء أمة ،   أو الأجل عند الجمهور ،   الأمّة : الأجل .   { ما يحبسه } أي العذاب ،   قالوا ذلك تكذيباً له لتأخره ،   أو استعجالاً واستهزاء .
11,17,"{ بيِّنة } القرآن ،   أو دلائل التوحيد ووجوب الطاعة ،   أو محمد صلى الله عليه وسلم { شاهد منه } لسانه يشهد له بتلاوة القرآن ،   أو الرسول صلى الله عليه وسلم شاهد من الله -تعالى- أو جبريل - عليه السلام – "" ع ""  ،   أو قال علي - رضي الله عنه - ما في قريش أحد إلا وقد نزلت فيه آيه قيل : فما نزل فيك قال : ' ويتلوه شاهد منه ' { قبله } الضمير للقرآن ،   أو للرسول صلى الله عليه وسلم { إماما } للمؤمنين لاقتدائهم به { ورحمة } لهم ،   أو إماماً متقدماً علينا ورحمة لهم .   { أولئك يؤمنون به } أي من كان على بينة من ربه ويتلوه شاهد منه { الأحزاب } أهل الأديان كلها ،   أو المتحزبون على الرسول صلى الله عليه وسلم وحربه ؛ قريش ،   أو اليهود والنصارى ،   أو أهل الملل كلها .   { موعده } مصيره .   { فلا تك في مرية } من القرآن ،   أو من أن النار موعد الكافرين به ."
11,18,{ كذبا } بأن ادعى إنزال ما لم ينزل عليه ،   أو نفى ما أنزل عليه .   { يُعرَضون } يحشرون إلى موقف الحساب .   { الأشهاد } الأنبياء ،   أو الملائكة ،   أو الخلائق ،   أو الأنبياء والملائكة والمؤمنون والأجساد ،   الأشهاد : جمع شهيد كشريف وأشراف ،   أو جمع شاهد كصاحب وأصحاب .
11,19,"{ الذين يصدون } قريش صدوا الناس عن الرسول صلى الله عليه وسلم أو عن الدين  "" ع ""  ،   { ويبغونها عوجا } يرجون بمكة غير الإسلام ديناً ،   أو يبغون محمداً هلاكاً ،   أو يتأولون القرآن تأويلاً باطلاً ."
