surah_number,ayah_number,tafsir_text
83,1,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,2,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,3,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,4,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,5,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,6,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,7,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,8,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,9,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
83,10,{ ويل للمطففين } الباخسين حقوق الناس في الكيل والوزن، يمكن أن يحمل بعد الظاهر على التطفيف في الميزان الحقيقي الذي هو العدل، والموزونات به هي الأخلاق والأعمال، والمطففون هم الذين إذا اعتبروا كمالات أنفسهم متفضلين { على الناس يستوفون } يستكثرونها ويزيدون على حقوقهم في إظهار الفضائل العلمية والعملية أكثر مما لهم عجباً وتكبراً. { وإذا } اعتبروا كمالات الناس بالنسبة إلى كمالاتهم أخسروها واستحقروها ولم يراعوا العدالة في الحالين لرعونة أنفسهم ومحبة التفضل على الناس كقوله تعالى: [آل عمران، الآية:188]. { ألا يظنّ أولئك } الموصوفون بهذه الرذيلة التي هي أفحش أنواع الظلم، أي: ليس في ظنهم { أنهم مبعوثون } فيظهر ما في أنفسهم من الفضائل والرذائل، أو يحاسب عليه ويرتدع فضلاً عن العلم { ليوم عظيم } لا يقدر أحد فيه أن يظهر ما ليس فيه ولا أن يكتم ما فيه لانقلاب باطنه ظاهره وصفته صورته فيستحيي ويذوق وبال رذيلته. { يوم يقوم الناس } عن مراقد أبدانهم { لربّ العالمين } بارزين له لا يخفى عليه منهم شيء. { كلا } ردع عن هذه الرذيلة { إنّ كتاب الفجار } أي: ما كتب من أعمال المرتكبين للرذائل الذين فجروا بخروجهم عن حدّ العدالة المتفق عليها الشرع والعقل { لفي سجين } في مرتبة من الوجود مسجون أهلها في حبوس ضيقة مظلمة يزحفون على بطونهم كالسلاحف والحيّات والعقارب أذلاء أخساء في أسفل مراتب الطبيعة ودركاتها وهو ديوان أعمال أهل الشرّ ولذلك فسر بقوله: { كتاب مرقوم } أي: ذلك المحل المكتوب فيه أعمالهم كتاب مرقوم برقوم هيئات رذائلهم وشرورهم.
