surah_number,ayah_number,tafsir_text
92,1,قوله تعالى :  {  والليل إذا يغشى }  قال :  باطنها نفس الطبع .
92,2,{  والنهار إذا تجلى }  نفس الروح .
92,3,{  وما خلق الذكر والأنثى }  أي ومن خلق الخوف والرجاء ،   فالخوف ذكر والرجاء أنثى .
92,4,{  إن سعيكم لشتى }  فمنه ما هو خالص ومنه ما هو مشوب بالأحداث .
92,5,{  فأما من أعطى واتقى وصدق بالحسنى } [ 5-6 ] أبو بكر الصديق رضي الله عنه أعطى من نفسه وماله مجهوده ،   واتقى سكونه إلى نفس الطبع ،
92,6,وصدق بالحسنى كلمة التوحيد .   وقيل :  بالجزاء ،   ويقال :  هو الإخلاص .
92,7,{  فسنيسره لليسرى }  هو العود إلى الخير .
92,8,{  وأما من بخل واستغنى }  أبو جهل بخل بطاعته لله ورسوله ،   واستغنى :  أظهر من نفسه الاستغناء عنهما .
92,10,{  فسنيسره للعسرى }  أي نسهل عليه العمل ،   بعمل أهل النار ،   ألا تراه كيف قال عقبه :  {  وما يغني عنه ماله إذا تردى }  في النار .
92,11,/ت10
92,13,{  وإن لنا للآخرة والأولى }  فالآخرة نفس الروح ،   والأولى نفس الطبع ،   يهدي واحد إلى نفس الروح ،   وآخر إلى نفس الطبع .
92,17,قوله تعالى :  {  وسيجنبها الأتقى الذي يؤتي ماله يتزكى } [ 17-18 ] قال :  الأتقى هو الصديق هو أتقى الناس فإن الناس أعطوا واتقوا وهو لم ير الفاني وأبقى لنفسه الباقي كما قال رسول الله صلى الله عليه وسلم :  «ماذا أبقيت لنفسك ؟  قال :  الله ورسوله » .
92,18,/ت17
92,21,"قوله تعالى :  {  ولسوف يرضى }  قال :  يعني بما له عندنا ،   وهو محل الفضل ،   لا محل الثواب ،   سرا بسر ،   وحياة بحياة ،   وأزلية بأزلية .

والله سبحانه وتعالى أعلم ."
