surah_number,ayah_number,tafsir_text
56,1,{  إذا وقعت الواقعة ليس لوقعتها كاذبة خافضة رافعة إذا رجت الأَرض رجاً } حذف الله جواب الشرط في هذه الآيات من أجل أن يذهب الذهن في تقديره كل مذهب ،  يعني إذا وقعت الواقعة صارت الأهوال العظيمة ،  وصار انقسام الناس ،  وحصل ما حصل مما أخبر به الله ورسوله مما يكون في يوم القيامة ،  وقوله :  {  إذا وقعت الواقعة } كقوله :  {  الحاقة ما الحآقة } والمراد بذلك يوم القيامة
56,2,{  ليس لوقعتها كاذبة } أي :  ليست لوقعتها كذب ،  بل وقعتها حق ولابد ،  والإيمان بيوم القيامة أحد أركان الإيمان الستة التي أخبر بها رسول الله صلى الله عليه وعلى آله وسلم جبريل عليه السلام حين سأله عن الإيمان قال :  «أن تؤمن بالله ،  وملائكته ،  وكتبه ،  ورسله ،  واليوم الآخر ،  والقدر خيره وشره » وكثيراً ما يقرن الله الإيمان به بالإيمان باليوم الآخر ،  لأن الإيمان باليوم الآخر يحدو بالإنسان أن يعمل العمل الصالح ،  وأن يبتعد عن العمل السيء لأنه يؤمن أن هناك يوماً آخر يجازى فيه الإنسان المحسن بإحسانه والمسيء بإساءته
56,3,{  خافضة رافعة } يعني هي خافضة رافعة ،  أي :  يخفض فيها الناس ويرفع فيها آخرون .  ولكن من الذي يرفع ؟  قال الله - عز وجل - :  {  يرفع الله الذين آمنوا منكم والذين أوتوا العلم درجات } فأهل العلم والإيمان هم الذين لهم الرفعة في الدنيا والآخرة ،  ومن سواهم فإنهم موضوعون بحسب بعدهم عن الإيمان والعلم ،  وتخفض أهل الجهل والعصيان ،  وكم من إنسان في الدنيا رفيع الجاه ،  معظم عند الناس يكون يوم القيامة من أحقر عباد الله ،  والجبارون المتكبرون يحشرون يوم القيامة كأمثال الذر يطؤهم الناس بأقدامهم  ،  مع أنهم في الدنيا متبخترون مستكبرون عالون على عباد الله ،  لكنهم يوم القيامة موضوعون مهينون قد أخزاهم الله - عز وجل –
56,4,{  إذا رجت الأَرض رجاً } يعني زلزلت زلزلة عظيمة ،  ولهذا قال :  {  رجاً } أي :  رجًّا عظيماً ،  وأنت تصور أنك ترج إناء فيه ماء كيف يكون اضطراب الماء فيه ،  فالأرض يوم القيامة ترج بأمر الله - عز وجل - ،  وهذا كقوله تعالى :  {  إذا زلزلت الأَرض زلزالها } وقوله تعالى :  {  يا أيها الناس اتقوا ربكم إن زلزلة الساعة شيء عظيم } ،
56,5,{  وبست الجبال بساً } أي :  بعثرت وهبطت وصارت كثيباً مهيلاً ،  ولهذا قال :  {  فكانت هباءً منبثاً }
56,6,{  فكانت هباءً منبثاً } كالهباء الذي نراه حينما تنعكس أنوار الشمس في حجرة مظلمة ،  ترى هذا الهباء من خلال ضوء الشمس منبثًّا متفرقاً ،  هذه الجبال الصم الصلبة التي يكون الصخر فيها أكبر من الجبال ،  بل ربما يكون الجبل الواحد صخرة واحدة يكون يوم القيامة هباء منبثًّا بأمر الله - عز وجل - ،  فتبقى الأرض ليس فيها جبال ولا شجر ولا أودية ولا رمال ،  كما قال الله - عز وجل - :  {  ويسئلونك عن الجبال فقل ينسفها ربي نسفاً ينسفها ربي نسفاً فيذرها } أي الأرض {  قاعاً صفصفاً لا ترىفيها عوجاً ولا أمتاً }
56,7,{  وكنتم } الخطاب للآدميين عموماً {  أزواجاً ثلاثة } أي أصنافاً ،  كما قال الله عز وجل :  {  احشروا الذين ظلموا وأزواجهم } أي :  أصنافهم ،  وقال تعالى :  {  وءاخر من شكله أزواج } أي :  أصنافاً ،  فمعنى أزواجاً يعني أصنافاً ( ثلاثة ) لا رابع لها :  السابقون ،  وأصحاب اليمين ،  وأصحاب الشمال ،  فينقسم الناس يوم القيامة ثلاثة أقسام لا رابع لها
56,8,{  فأصحاب الميمنة مآ أصحاب الميمنة وأصحاب المشئمة مآ أصحاب المشئمة والسابقون السابقون } ذكرهم الله تعالى غير مرتبين في الفضل ،  فبدأ الله بأصحاب الميمنة ثم ثنَّى بأصحاب الشمال ،  ثم ثلَّث بالسابقين ،  لكن عند التفصيل بدأ بهم مرتبين على حسب الفضل فبدأ بالسابقين ،  ثم بأصحاب اليمين ،  ثم بأصحاب الشمال ،  وهذا التفصيل المرتب خلاف الترتيب المجمل ،  وهو من أساليب البلاغة ،  {  فأصحاب الميمنة مآ أصحاب الميمنة } .  يعني أنه - عز وجل - أخبر بأن أحد الأصناف أصحاب الميمنة ،  ثم قال {  مآ أصحاب الميمنة } من هم ،  وسيأتي إن شاءالله ذكرهم مفصلاً ،
56,9,{  وأصحاب المشئمة } أي :  ذوو الشؤم ،  وسيأتي أيضاً ذكرهم مفصلاً ،
56,10,{  والسابقون السابقون } هؤلاء أفضل الأصناف ،  وقوله {  والسابقون السابقون } .  أصح الأعاريب فيها أن قوله {  والسابقون } مبتدأ ،  وخبره {  السابقون } ،  يعني أن السابقين إلى الأعمال الصالحة هم السابقون إلى الثواب في الآخرة ،  فكأنه قال :  السابقون في الدنيا بالأعمال الصالحة هم السابقون في الآخرة بالثواب
