surah_number,ayah_number,tafsir_text
88,1,"هول القيامة ،  وأحوال أهل النار .

بسم الله الرحمان الرحيم

{  هل أتاك حديث الغاشية 1 وجوه يومئذ خاشعة 2 عاملة ناصبة 3 تصلى نارا حامية 4 تسقى من عين آنية 5 ليس لهم طعام إلا من ضريع 6 لا يسمن ولا يغني من جوع 7 وجوه يومئذ ناعمة 8 لسعيها راضية 9 في جنة عالية 10 لا تسمع فيها لاغية 11 فيها عين جارية 12 فيها سرر مرفوعة 13 وأكواب موضوعة 14 ونمارق مصفوفة 15 وزرابيّ مبثوثة 16 }

المفردات :

الغاشية :  القيامة تغشى الناس بأهوالها .

التفسير :

1- هل أتاك حديث الغاشية .

هل بلغك يا محمد خبر الغاشية التي تغشى الناس بأهوالها ؟  إذا لم يكن بلغك فأنا أحدّثك عنه ."
88,2,"المفردات :

خاشعة :  ذليلة خاضعة من الخزي .

عاملة :  تجرّ السلاسل والأغلال في النار .

ناصبة :  تعبة مما تلاقيه فيها من العذاب .

التفسير :

2 ،  3- وجوه يومئذ خاشعة ،  عاملة ناصبة .

وجوه الكفار في ذلك اليوم العظيم خاشعة ذليلة مهينة ،  وليس هذا خشوع العبادة والتبتل والتفرغ التام لمناجاة الله ،  بل خشوع المهانة والمذلّة والحزن والألم .

قال تعالى :  وتراهم يعرضون عليها خاشعين من الذل ينظرون من طرف خفي .  .  .  ( الشورى :  45 ) .

عاملة ناصبة .

مستمرة في العمل والنّصب ،  وهو التعب الأليم ،  حيث يجرّون السلاسل ،  ويرسفون في الأغلال والقيود ،  ويذوقون الآلام والعذاب والمهانة ،  بلا فتور ولا استراحة بل يضاعف لهم العذاب :  يوم يغشاهم العذاب من فوقهم ومن تحت أرجلهم .  .  .  ( العنكبوت :  55 ) .

وقيل :  عملت في الدنيا أعمال السوء والتذت بها وتنعمت ،  فهي في نصب منها في الآخرة ،  وقيل :  عملت في الدنيا على غير هدى ،  أو على غير إخلاص ،  فلا ثمرة لها إلا النصب ،  وخاتمتها النار ."
88,3,/ت2
88,4,"المفردات :

تصلى نارا حامية :  تدخل أو تقاسي نارا تناهى حرّها .

عين آنية :  بلغت أناها ( غايتها ) في الحرارة .

التفسير :

4 ،  5- تصلى نارا حامية* تسقى من عين آنية .

تصطلى وتحرق بنار قد أحميت لمدة طويلة ،  حتى تضاعف حرها ولهيبها ،  وإذا اشتاقت إلى التبريد وشرب الماء ليلطّف الحرارة ،  فإنها تشرب من عين قد اشتد حرّها .

قال تعالى :  وإن يستغيثوا يغاثوا بماء كالمهل يشوي الوجوه بئس الشراب وساءت مرتفقا .  ( الكهف :  29 ) ."
88,5,/ت4
88,6,"المفردات :

ضريع :  شيء في النار ،  كالشوك مر منتن .

لا يغني من جوع :  لا يدفع عنهم جوعا .

التفسير :

6 ،  7- ليس لهم طعام إلا من ضريع* لا يسمن ولا يغني من جوع .

يسلط على أهل النار الجوع ،  فيحتاجون إلى الطعام فيقدم لهم الضريع ،  وهو طعام خبيث به شوك ،  ويجبرون على أكل الطعام حتى تمتلئ بطونهم به ،  ومع هذا الألم فإن الطعام لا يقدم لهم الفائدة المرجوة ،  فلا يقدم لهم الشحم أو اللحم الذي يسمّن جسومهم ،  ولا الغذاء الذي يسدّ جوعهم ،  وقد تعددت أراء المفسرين وأهل اللغة في بيان الضريع .

( والرأى –والله أعلم- أنه من طعام أهل النار ،  لا يعرف له شبيه في الحياة الدنيا ،  ولهذا وصفه الله سبحانه بأنه :  لا يسمن ولا يغني من جوع .  أي :  إنه لا تتقبله الأجسام ،  ولا تتفاعل معه ،  كما أنه لا يشبع جوع الجياع .  .  .  )iii .

وقد ذكر في القرآن الكريم ألوان العذاب ،  وألون الطعام ،  وذكر في سورة الحاقة قوله تعالى :

ولا طعام إلا من غسلين .  ( الحاقة :  36 ) .

وهذا يفيد أن المعذبين من الكفار طبقات ،  فمنهم من طعامه في النار الضريع ،  ومنهم من طعامه الغسلين ،  ومنهم من طعامه الزقوم .

قال تعالى :  إن شجرة الزّقوم* طعام الأثيم* كالمهل يغلي في البطون* كغلي الحميم .  ( الدخان :  43 -46 ) .

وهي ألوان من العذاب في الطعام وفي الشراب وفي سمة الوجوه ،  وفي ألوان العذاب للأبدان ،  وفي ألوان الهوان للنفوس ،  وكأن الحق سبحانه يقول :

أيها الناس ،  أنقذوا أنفسكم من هذا العذاب ،  والوسيلة يسيرة ،  وهي أن تؤمنوا بالله تعالى وحده ،  وألا تشركوا به شيئا ،  وأن تؤمنوا بملائكته وكتبه ورسله واليوم الآخر ،  وأن تؤمنوا بالقضاء والقدر خيره وشره ،  حلوه ومره ."
88,7,/ت6
88,8,"المفردات :

ناعمة :  ذات بهجة وحسن ونضارة .

التفسير :

8 ،  9 ،  10 ،  11- وجوه يومئذ ناعمة* لسعيها راضية* في جنة عالية* لا تسمع فيها لاغية .

بعد أن ذكر حال أهل النار وما هم فيه من شقاء ،  ثنّى بذكر أهل الجنة وما هم فيه من نعيم .

وجوه يومئذ ناعمة .

في يوم القيامة نجد أهل الجنة ووجوههم يعلوها البشر والسرور ،  والنعيم والفرح والحبور .

قال تعالى :  تعرف في وجوههم نضرة النعيم .  ( المطففين :  24 ) .

وقال عز شأنه :  وجوه يومئذ مسفرة* ضاحكة مستبشرة .  ( عبس :  38 ،  39 ) ."
88,9,"لسعيها راضية .

أي :  لجزاء سعيها وعملها في الدنيا راضية مرضية ،  وقد رضيت عن ربها ،  ورضي ربها عنها .

قال تعالى :  رضي الله عنهم ورضوا عنه .  .  .  ( البينة :  8 ) .

فهي نعيم الجنة ،  وزيادة على ذلك من رضوان الله تعالى .

حيث قال سبحانه :  للذين أحسنوا الحسنة وزيادة .  .  .  ( يونس :  26 ) ."
88,10,"في جنة عالية .

في بساتين مرتفعة حسّيا ومعنويا ،  والبساتين العالية تتعرض لضوء الشمس ،  ويتميز نباتها بالخضرة الداكنة ،  وأي علو أفضل من علو الجنة ؟

إنهم يتمتعون بالثمار والأنهار والأشجار ،  والحور العين ،  وضيافة الجبار ."
