surah_number,ayah_number,tafsir_text
72,1,"قوله تعالى : ( قل أوحي إلي أنه استمع نفر من الجن ) سبب نزول هذه الآية ما روى سعيد بن جبير عن ابن عباس  "" أن النبي صلى الله عليه و سلم  انطلق في نفر من أصحابه عامدين إلى سوق عكاظ ،   فمر بالنخلة ،   وقد كان الشياطين منعوا من السماء ،   وأرسلت الشهب عليهم ،   فقالوا لقومهم : قد حيل بيننا وبين خبر السماء ،   فقالوا : إنما ذلك لأمر حدث في الأرض .   وروى أنهم قالوا ذلك لإبليس ،   وأن إبليس قال لهم : اضربوا في مشارق الأرض ومغاربها لتعرفوا ما الأمر الذي حدث ؟ فمر نفر منهم نحو تهامة فرأوا النبي صلى الله عليه و سلم  يصلي بأصحابه صلاة الفجر ببطن نخلة ،   وهو يقرأ القرآن ،   فقالوا : هذا هو الأمر الذي حدث ،   ورجعوا إلى قومهم وأخبروهم بذلك ،   وأنزل الله تعالى هذه الآية ""  .   وقد روى البخاري في الصحيح نحوا ( من رواية ) ابن عباس .   وذكر ابن جريح في تفسيره عن أبي عبيدة بن عبد الله بن مسعود عن ابن مسعود  "" أن النبي صلى الله عليه و سلم انطلق إلى الجن ليقرأ عليهم القرآن ويدعوهم إلى الله ،   فقال لأصحابه : من يصحبني منكم ؟ وفي رواية : ليقم منكم رجل معي ليس في قلبه حبة خردل من كبر .   فسكت القوم .   فقال ذلك ثانيا وثالثا ،   فقام عبد الله بن مسعود ،   قال ابن مسعود : فانطلقت مع رسول الله صلى الله عليه و سلم  قبل الحجون حتى دخلنا شعب أبي دب ،   فقال : فخط لي خطا فقال : لا تبرح هذا الخط ،   ونزل عليه الجن مثل الحجل .   قال فقرأ عليهم القرآن وعلا صوته ،   فلصقوا بالأرض حتى لا أراهم ""  وفي رواية : انهم قالوا له :  "" ما أنت ؟ ما أنت ؟ قال :نبي .   قالوا : ومن يشهد لك ؟ فقال : هذه الشجرة ،   قال : فدعا الشجرة فجاءت تجر عروقها ،   لها قعاقع ،   وشهدت الشجرة له بالنبوة ،   ثم عادت إلى مكانها ""  وفي هذا الخبر :  "" أنهم سألوه الزاد فأعطاهم العظم والبعر ،   فكانوا يجدون العظم أوقر ما يكون لحما ،   والبعر علفا لدوابهم ،   ونهى الرسول صلى الله عليه و سلم  حينئذ الاستنجاء بالعظم والروث ""  .   قال جماعة من أهل التفسير : أن أمر الجن كان مرتين ،   مرة بمكة ومرة ببطن نخلة ،   فالذي رواه ابن عباس هو الذي كان ببطن نخلة ،   والذي رواه ابن مسعود هو الذي كان بمكة ،   فأما الذي كان ببطن نخلة فإنهم مروا بالنبي صلى الله عليه و سلم  واستمعوا القرآن ،   وأما الذي كان بمكة فإن الرسول انطلق إليهم ،   وقرأ عليهم القرآن ودعاهم إلى الإيمان ،   فهذا هو الجمع بين الروايتين .   وقد روى أن عبد الله بن مسعود رأى بالعراق قوما من الزط ،   فقال : أشبههم بالجن ليلة الجن .   وفي رواية علقمة : أنه قال لعبد الله بن مسعود : هل كان منكم أحد مع رسول الله صلى الله عليه و سلم  ليلة الجن ؟ قال : لا ،   ما شهده منا أحد ،   وساق خبرا ذكره مسلم في كتابه .

وفي الباب اختلاف كثير في الروايات ،   وأما ما ذكرناه هو المختصر منها ،   ويحتمل أن ابن مسعود كان مع رسول الله صلى الله عليه و سلم  ليلة الجن إلا أنه لم يكن معه عند خطاب الجن وقراءة القرآن ،   عليهم ،   فإنه روى أنه قال :  "" خط رسول الله صلى الله عليه و سلم  لي خطا وقال : لا تبرح هذا الخط وانطلق في الجبل ،   قال فسمعت لغطا وصوتا عظيما ،   فأردت أن أذهب في أثره ،   فذكرت قول رسول الله صلى الله عليه و سلم : لا تبرح الخط فلم أذهب ،   فلما رجع ذكرت له ذلك ،   فقال لي : لو خرجت من الخط لم ترني أبدا ""  .

قوله تعالى : ( قل أوحي إلي أنه استمع نفر من الجن ) قال الفراء : النفر اسم لما بين الثلاثة إلى عشرة .   وحكاه ابن السكيت أيضا عن ابن زيد .   يقولون : عشرة نفر ،   ولا يقولون : عشرون نفرا ،   ولا ثلاثون نفرا .   وقد روى أنهم كانوا تسعة نفر ،   وذكروا أسماءهم ،   وقد بينا .   وروى عاصم عن زر أنه كان فيهم زوبعة .

وقوله تعالى : ( فقالوا إنا سمعنا قرآنا عجبا ) أي : عجبا في نظمه وتأليفه وصحة معناه ،   ولا يصح قوله : ( إنا سمعنا ) إلا بالكسر ."
72,2,قوله : ( يهدي إلى الرشد ) أي : إلى الصواب وطريق الحق .   وقوله تعالى : ( فآمنا به ولن نشرك بربنا أحدا ) أي : لا نجعل أحدا من خلقه شريكا له .
72,3,"قوله تعالى ( وأنه تعالى جد ربنا ) قرئ بالكسر والفتح ،   فمن قرأ بالكسر فهو أن الجن قالوا ،   ومن قرأ بالفتح فنصبه على معنى : آمنا وأنه تعالى جد ربنا ،   فانتصب بوقوع الإيمان عليه ،   والقراءة بالكسر أحسن القراءتين .   وقوله تعالى : ( جد ربنا ) أي : عظمة ربنا ،   هذا قول قتادة وغيره .   والجد : العظمة ،   وهو البخت أيضا ،   وهو أب الأب .   وفي حديث أنس : كان الرجل منا إذا قرأ البقرة وآل عمران جد فينا ،   أي : عظم [ فينا ] .

وقوله عليه الصلاة والسلام :  "" ولا ينفع ذا الجد منك الجد ""  أي : لا ينفع ذا البخت منك بخته إذا أردت به سوءا أو مكروها .   وعن الحسن قال : تعالى جد ربنا أي : غني ربنا .   وعن إبراهيم والسدي قالا : جد ربنا أي : أمر ربنا .

وقوله تعالى : ( ما اتخذ صاحبة ولا ولدا ) أي :زوجة وولدا ."
72,4,"قوله تعالى : ( وأنه كان يقول سفيهنا على الله شططا ) فيه قولان : أحدهما : أن السفيه هو إبليس عليه اللعنة ،   وهو قول مجاهد ،   والآخر : أنه كل عاص متمرد من الجن .

وقوله : ( شططا ) أي : كذبا .   وقيل : جورا ."
72,5,"قوله تعالى : ( وأنا ظننا أن لن تقول الإنس والجن على الله كذبا ) وقرأ يعقوب :  "" أن لن تقول الإنس والجن ""  أي : لن تقول ،   معناه ظاهر ،   كأنهم ظنوا أن كل من قال على الله شيئا فهو كما قال ،   وأنه لا ( يجزى ) الكذب على الله ."
72,6,"قوله تعالى : ( وأنه كان رجال من الإنس ) فإن قال قائل : قد قرئ هذا كله بالنصب ،  فما وجه النصب فيه ؟ والجواب عنه : قد بينا وجه النصب فيما سبق ،   وباقي الآيات نصبت بحكم المجاورة والعطف ،   أو بتقدير آمنا أو ظننا أو شهدنا ،   والعرب قد تتبع الكلمة الكلمة في الإعراب بنفس المجاورة والعطف مثل قولهم : جحر ضب خرب .

وقوله ( يعوذون برجال من الجن ) في التفسير : أن الرجل كان يسافر والقوم كانوا يسافرون ،   فإذا بلغوا مكانا قفرا من البرية وأمسوا قالوا : نعوذ بسيد هذا الوادي من سفهاء قومه .   وحكى عن بعضهم - وهو السائب بن أبي كردم - أنه قال : انطلقت مع أبي في سفر ومعنا قطعة من الغنم ،   فنزلنا واديا قال : فجاء ذئب وأخذ حملا من الغنم ،   فقام أبي وقال : يا عامر الوادي ،   نحن في جوارك ،   فحين قال ذلك أرسل الذئب الحمل ،   فرجع الحمل إلى الغنم فلم تصبه كدمة .   فإن قال قائل : كيف برجال من الجن ،   والجن لا يسمون رجالا ؟ والجواب : قلنا يجوز على طريق المجاز ،   وقد ورد في بعض أخبار العرب في حكاية أن قوما من الجن قالوا : نحن أناس من الجن ،   فإذا جاز أن يسموا أناسا جاز أن يسموا رجالا .

وأما قوله : ( فزادوهم رهقا ) فيه قولان : أحدهما : إلا أن الإنس زادوا الجن رهقا أي : عظمة في أنفسهم ،   كأن الإنس لما استعاذوا بالجن ازدادوا الجن في أنفسهم عظمة .   والقول الثاني : هو أن الإنس ازدادوا رقها بالاستعاذة من الجن .   ومعناه : طغيانا وإثما ،   كأن الإنس لما استعاذوا بالجن وأمنوا على أنفسهم ازدادوا كفرا ،   وظنوا أن أمنهم كان من الجن .   وقيل : رهقا أي : غشيانا للمحارم .   وقيل : مفارقة اللائم .   قال الأعشى :

لا شيء ينفعني من دون رؤيتها *** هل يشتفي عاشق ما لم يصب رهقا"
72,7,قوله تعالى : ( وأنهم ظنوا كما ظننتم أن لن يبعث الله أحدا ) في الآية دليل على أنه كان في الجن قوم لا يؤمنون بالبعث كما في الإنس .
72,8,"قوله تعالى : ( وأنا لمسنا السماء فوجدناها ملئت حرسا شديدا وشهبا ) أي : ملئت حرسا بالملائكة .   وقوله : ( شهبا ) جمع شهاب ،   وهو قطعة من النار ،   وقد ذكرنا من قبل صورة كيفية استراق الشياطين السمع من السماء ،   وأنهم كانوا يسمعون الكلمة فيضمون إليها عشرة ويلقونها إلى الكهنة ،   فلما كان في زمان النبي صلى الله عليه و سلم  حرست السماء ،   ورمى الشياطين بالشهب .   فإن قال قائل : لم يزل هذا الأمر معهودا قبل الرسول ،   وهو انقضاض الكواكب ،   وذكره شعراء الجاهلية في أشعارهم ،   وقال بعضهم .

فانقض كالدري يتبعه *** نقع ( يثور ) تخاله طنبا

( قاله لاقوه إلا وروى ) .

وإذا كان هذا أمرا معهودا في الجاهلية فما معنى تعليقه بنبوة محمد صلى الله عليه و سلم ،   وعندكم أنه كان معجزة له وأساسا لنبوته ؟ والجواب عنه من وجهين : أحدهما : أنه لم يكن هذا من قبل ،   وإنما حدث في زمان نبوة الرسول صلى الله عليه و سلم ،   والأشعار كلها منحولة على الجاهلية ،   أو قالوها بعد مولده حين قرب مبعثه .   وذكر السدي : أن أول من تنبه للرمي بالشهب هو هذا الحي من ثقيف ،   فخافوا خوفا شديدا وظنوا أن القيامة قد قربت ،   فجعلوا يعتقون العبيد ويسيبون المواشي ،   فقال لهم ابن عبد يا ليل : لا تعجلوا ،   وانظروا إلى النجوم المعروفة هل هي في أماكنها ؟ فقالوا : هي في أماكنها .   قال : فإن هذا لأمر هذا الرجل الذي خرج بمكة .

والجواب الثاني - وهو الأصح - أن الرمي بالشهب قد كان من قبل ،   ولكنه لما كان في زمان الرسول كثر وقوي .   قال معمر : قلت للزهري : أكان الرمي بالشهب قبل الرسول في الجاهلية ؟ قال : نعم ،   ولكنه لما كان زمان الرسول كثر واشتد ."
72,9,"قوله تعالى : ( وأنا كنا نقعد منها مقاعد للسمع ) أي : مقاعد للاستماع .

وقوله : ( فمن يستمع الآن يجد له شهابا رصدا ) أي : يجد شهابا أرصد له [ وهيء ] ليرمى به ."
72,10,قوله تعالى : ( وأنا لا ندري أشر أريد بمن في الأرض أم أراد بهم ربهم رشدا ) أي : أريد بهم الصلاح في ذلك أو الفساد أو الخير أو الشر .
