surah_number,ayah_number,tafsir_text
19,1,"بسم الله الرحمن الرحيم

نا عبد الرزاق أنا معمر عن قتادة في قوله تعالى : {  كهيعص } قال :  اسم من أسماء القرآن ،   قال معمر ،   وقال الكلبي :  كاف هاد عالم صادق .

عبد الرزاق قال أنا ابن عيينة عن عطاء بن السايب عن سعيد بن جبير عن ابن عباس ،   قال : {  كهيعص } قال : ( كاف ) من ( كافي ) ،   و ( يا ) من ( حكيم ) و( عين ) من ( عليم ) و( ها ) من ( هاد ) ،   و( صاد ) من ( صادق ) ."
19,4,عبد الرزاق قال :  أنا معمر عن قتادة في قوله تعالى : {  ولم أكن بدعائك رب شقيا } قال :  كنت تعرفني الإجابة فيما مضى .
19,5,عبد الرزاق :  قال أنا معمر عن قتادة في قوله تعالى : {  وإني خفت الموالى } قال :  العصبة .
19,6,"عبد الرزاق قال :  أنا معمر عن قتادة عن الحسن في قوله : {  يرثني ويرث من آل يعقوب } قال :  نبوته وعلمه .

قال معمر ،   وقال قتادة :  إن النبي صلى الله عليه وسلم قال :  ""  يرحم الله زكريا ،   وما كان عليه من ورثه ؟  !  ويرحم الله لوطا إن كان ليأوي إلى ركن شديد ""  ."
19,7,عبد الرزاق قال :  أنا معمر عن قتادة في قوله تعالى : {  لم نجعل له من قبل سميا } قال :  لم يسم أحد قبله يحيى .
19,8,عبد الرزاق عن معمر عن قتادة في قوله : {  من الكبر عتيا } قال :  سنا ،   قال :  وكان ابن بضع وسبعين سنة .
19,10,عبد الرزاق قال :  أنا معمر عن قتادة عن عكرمة في قوله : {  ثلاث ليال سويا } قال :  سويّا من غير خرس ،   وقاله قتادة .
19,11,"عبد الرزاق قال :  أنا معمر عن قتادة في قوله تعالى : {  فأوحى إليهم } قال :  فأومأ إليهم أن صلوا بكرة وعشيا .

عبد الرزاق قال :  أنا الثوري عن ابن أبي ليلى عن الحكم في قوله : {  فأوحى إليهم } قال :  كتب لهم .

عبد الرزاق قال :  أنا معمر عن قتادة عن الحسن أن يحيى قال لعيسى حين التقيا :  إنك خير مني ،   فقال عيسى :  بل أنت خير مني ،   سلم الله عليك ،   وسلمت أنا على نفسي ."
19,12,قال عبد الرزاق :  وسمعت معمرا يقول :  قال الصبيان ليحيى اذهب بنا نلعب ،   فقال :  ما للعب خلقت ،   قال فأنزل الله عز وجل : {  وآتيناه الحكم صبيا } .
19,13,"عبد الرزاق قال :  أنا معمر عن قتادة في قوله تعالى : {  وحنانا من لدنا } قال :  رحمة من عندنا .

قال عبد الرزاق :  وأنا عن عبد الصمد بن معقل ابن أخي وهب قال :  سمعت وهبّا يقول :  نادى مناد من السماء أن يحيى بن زكريا سيد من ولدت النساء ،   وأن جرجس سيد الشهداء .

عبد الرزاق قال :  أنا معمر عن رجل عن شهر بن حوشب أن عيسى بن مريم خرج يستسقي ،   وخرج بالناس ثم قال لهم :  من كان ذا ذنب فليرجع ،   قال :  فجعل الناس يرجعون حتى لم يبق معه إلا رجل أعور ،   فقال له عيسى :  أما أذنبت قط ؟  قال :  نظرت بعيني هذه مرة إلى ما لا يحل لي ففقأتها ،   فقال له عيسى :  فأنت ،   ثم قال له عيسى :  ادع وأنا أؤمن ،   قال :  فدعا وأمن عيسى فسقاهم الله .

عبد الرزاق قال أنا ابن عيينة عن رجل عن أبيه عن ابن عباس في قوله تعالى : {  وحنانا من لدنا } قال :  ترحم الله على العباد .

معمر قال :  أنا قتادة في قوله تعالى : {  وزكاة } قال :  صدقة .

عبد الرزاق قال :  أنا معمر عن قتادة عن الحسن عن النبي صلى الله عليه وسلم قال :  "" ما أذنب يحيى بن زكريا ذنبا ،   ولا هم بامرأة ""  ."
