surah_number,ayah_number,tafsir_text
61,1,"بسم الله الرحمن الرحيم  :

{ سبح لله ما في السماوات وما في الأرض وهو العزيز الحكيم ( 1 ) يا أيها الذين آمنوا لم تقولون ما لا تفعلون ( 2 ) كبر مقتا عند الله أن تقولوا ما لا تفعلون ( 3 ) إن الله يحب الذين يقاتلون في سبيله صفا كأنهم بنيان مرصوص }[ الصف : 1-4 ] .

/م1

الإيضاح :{ سبح لله ما في السماوات وما في الأرض وهو العزيز الحكيم } أي شهد له بالربوبية والوحدانية والقدرة وغيرهما من صفات الكمال جميع ما في السماوات والأرض ، وهو الغالب على أمره ، القاهر فوق عباده ، الحكيم في تدبير خلقه وفق ما سنه من السنن ، وأرشد إليه من ضروب الهداية ."
61,2,"/م1

شرح المفردات : لم : أي لأي شيء تقولون قد فعلنا كذا وكذا ، وأنتم لم تفعلوا ؟ والمراد بذلك التأنيب والتوبيخ على صدور هذا الكذب منهم  .  وبعد أن وصف نفسه بصفات الكمال ذكر ما يلحق المخلوقين من صفات النقص فقال :{ يا أيها الذين آمنوا لم تقولون ما لا تفعلون } أي لأي شيء ولأي غرض تقولون لوددنا أن نعمل كذا وكذا من أفعال الخير حتى إذا طلب منكم ذلك كرهتم ولم تفعلوا ؟ .

والتوبيخ والإنكار موجه إلى عدم فعلهم ما وعدوا به ، وإنما وجه إلى القول لبيان أن معصيتهم مزدوجة ، وأنهم عملوا جرمين .  فهم تركوا فعل الخير .  وقد وعدوا بفعله .

وبهذه الآية استدل السلف على وجوب الوفاء بالوعد ، وبما ثبت في السنة من قوله صلى الله عليه وسلم : ( آية المنافق ثلاث : إذا وعد أخلف ، وإذا حدث كذب ، وإذا اؤتمن خان ) ."
61,3,"/م1

كبر : أي عظم ، والمقت : أشد البغض وأعظمه ، ورجل مقيت وممقوت إذا كان يبغضه كل أحد ،ثم بين شدة قبح ذلك وأنه بلغ الغاية في بغض الله له فقال  :{ كبر مقتا عند الله أن تقولوا ما لا تفعلون } أي عظم جرما عند الله أن تقولوا ما لا تفعلون .

ذلك أن الوفاء بالوعد دليل على كريم الشيم ، وجميل الخصال ، وبه تكون الثقة بين الجماعات ، فترتبط برباط المودة والمحبة حين يتعامل بعض أفرادها مع بعض ، ويكونون يدا واحدة فيما انتووا من الأعمال ، والعكس بالعكس ، فإذا فشا في أمة خلف الوعد قلّت الثقة بين أفرادها ، وانحلت عرا الروابط بينهم ، وأصبحوا عقدا متناثرا لا ينتفع به ، ولا يخشى منهم عدوّ إذا اشتدت الأزمات ، وعظمت الخطوب ، لما يكون بينهم من التواكل ، وعدم ائتمان بعضهم بعضا ."
61,4,"/م1

والمرصوص : المحكم ، قال المبرد : تقول رصصت البناء إذا لا أمت بين أجزائه وقاربت حتى يصير كقطعة واحدة .

وبعد أن ذم المخالفين في أمر القتال وهم الذي وعدوا ولم يفعلوا ، مدح الذين قاتلوا في سبيله وبالغوا فيه فقال :

{ إن الله يحب الذين يقاتلون في سبيله صفا كأنهم بنيان مرصوص } أي إن الله يحب الذين يصفون أنفسهم حين القتال ولا يكون بينهم فرَج فيه كأنهم بنيان متلاحم الأجزاء ، كأنه قطعة واحدة قد صبت صبا ، وعلى هذا الطريقة تسير الجيوش في العصر الحاضر .

وسر هذا : أنهم إذا كانوا كذلك زادت قوتهم المعنوية ، وتنافسوا في الطعان والنزال ، والكرّ والفرّ ، إلى ما في ذلك من إدخال الروع والفزع في نفوس العدو ، إلى ما لحسن النظام من إمضاء العمل بالدقة والإحكام ، ومن ثم أمرنا بتسوية الصفوف في الصلاة ، وألا يجلس المصلي في صف خلفي إلا إذا اكتمل ما في الصف الأمامي ، وهكذا تراعي الأمم في عصرنا الحاضر النظام في كل أعمالها ، في أكلها ونومها ورياضتها وتربية أولادها ، بحيث لا يطغى عمل على عمل ، فللجدّ وقت لا يعدوه ، وللرياضة وقت آخر ، وللنوم كذلك ، ولهذا لا يوجد تواكل ولا تراخ في الأعمال ، ولا تخاذل فيها ، ومن ثم جاء في الأثر :  ""  أفضل الأعمال إلى الله أدومها وإن قلّ ""  ."
61,5,"{ وإذ قال موسى لقومه يا قوم لم تؤذونني وقد تعلمون أني رسول الله إليكم فلما زاغوا أزاغ الله قلوبهم والله لا يهدي القوم الفاسقين ( 5 ) وإذ قال عيسى ابن مريم يا بني إسرائيل إني رسول الله إليكم مصدقا لما بين يدي من التوراة ومبشرا برسول يأتي من بعدي اسمه أحمد فلما جاءهم بالبينات قالوا هذا سحر مبين }[ الصف : 5-6 ] .

شرح المفردات : تؤذونني : أي تخالفون أمري بترك القتال ، زاغوا : أي أصروا على الزيغ والانحراف عن الحق الذي جاء به موسى عليه السلام ، أزاغ الله قلوبهم : أي صرفها عن قبول الحق ، الفاسقين : أي الخارجين عن الطاعة ومنهاج الصدق المصرين على الغواية ،

/م5

الإيضاح : { وإذ قال موسى لقومه يا قوم لم تؤذونني وقد تعلمون أني رسول الله إليكم } أي واذكر لقومك خبر عبده ورسوله موسى بن عمران كليم الله حين قال لقومه : لم تؤذونني وتخالفون أمري فتتركوا القتال وأنتم تعلمون صدقي فما جئتكم به من رسالة ربي ؟ وفي هذا تسلية لرسوله محمد صلى الله عليه وسلم فيما أصابه من قومه الكافرين ومن غيرهم ، وأمر له بالصبر ، ولهذا قال صلى الله عليه وسلم : ( رحمة الله على موسى لقد أوذي بأكثر من هذا فصبر ) كما أن فيه نهيا للمؤمنين أن ينالوا من النبي صلى الله عليه وسلم أو يوصلوا إليه أذى كما جاء في قوله تعالى : { يا أيها الذين آمنوا لا تكونوا كالذين آذوا موسى فبرأه الله مما قالوا وكان عند الله وجيها } [ الأحزاب : 69 ] .

ثم بين عاقبة عصيانهم ومخالفة أمره بقوله :{ فلما زاغوا أزاغ الله قلوبهم } أي فلما عدلوا عن اتباع الحق مع علمهم به ، وأصرّوا على ذلك ، صرف الله قلوبهم عن الهدى ، وأسكنها الحيرة والشك ، جزاء وفاقا لما دسّوا به أنفسهم من الذنوب والآثام ، ومخالفة أوامر رسوله ، وانهماكهم في الطغيان والمعاصي ، فران على قلوبهم ، وطمس على أعينهم ، فلم تنظر إلى ما تشاهد من دليل ، ولا تبصر ما ترى من برهان كما قال :{ ونقلب أفئدتهم وأبصارهم كما لو يؤمنوا به أول مرة ونذرهم في طغيانهم يعمهون }[ الأنعام : 110 ] .

ثم أكد إزاغته لقلوبهم وبين علتها بقوله :{ والله لا يهدي القوم الفاسقين } أي والله لا يوفق لإصابة الحق من اختار الكفر ونبذ طاعة الله ورسوله ، بما يرين على قلبه من الضلالة ، فيحرمه النظر إلى الأدلة التي نصبت في الكون ، وجعلت منارا للعقول ، وشفاء للصدور ."
61,6,"/م5

وأحمد : من أسماء نبينا محمد صلى الله عليه وسلم ، قال حسان :

صلى الإله ومن يحفّ بعرشه *** والطيّبون على المباك أحمد

{ وإذ قال عيسى ابن مريم يا بني إسرائيل إني رسول الله إليكم مصدقا لما بين يدي من التوراة } أي واذكر لقومك ما قال عيسى ابن مريم لقومه : يا قوم إني مرسَل إليكم من الله ، وإني مصدق بالتوراة وبكتب الله وأنبيائه جميعا من تقدم منهم ومن تأخر .

{ ومبشرا برسول يأتي من بعدي اسمه أحمد } أي وداعيا إلى التصديق بهذا الرسول الكريم الذي جاءت البشارة به في التوراة .  فقد جاء في الفصل العشرين من السفر الخامس منها : أقبل الله من سينا ، وتجلى من ساعير ، وظهر من جبال فاران ، معه الربوات الأطهار عن يمينه .   "" سينا مهبط الوحي على موسى ، وساعير مهبط الوحي على عيسى ، وفاران جبال مكة مهبط الوحي على محمد صلى الله عليه وسلم ""  .

وفيها في الفصل الحادي عشر من هذا السفر : يا موسى إني سأقيم لبني إسرائيل نبيا من إخوتهم مثلك ، أجعل كلامي في فيه ، ويقول لهم ما آمره به ، والذي لا يقبل قول ذلك النبي الذي يتكلم باسمي ، أنا أنتقم منه ومن سبطه .

وكذلك جاء في الإنجيل ما هو بشارة به ففي إنجيل يوحنا في الفصل الخامس عشر قال يسوع المسيح : إن الفارَقْلِيط روح الحق الذي يرسله أبي ، يعلمكم كل شيء .

وفيه أيضا : قال المسيح من يحفظ كلمتي يحبني ، وأبي يحبه ، وعنده يتخذ المنزلة ، كلمتكم بهذا لأني لست عندكم بمقيم ، والفارقليط روح القدس الذي يرسله أبي هو يعلمكم كل شيء ، وهو يذكركم كل ما قلت لكم ، أستودعكم سلامي ، لا تقلق قلوبكم ولا تجزع ، فإني منطلق وعائد إليكم ، لو كنتم تحبوني تفرحون بمضيي إلى الأب .

وفيه أيضا : إن خيرا لكم أن أنطلق لأبي لأني إن لم أذهب لم يأتكم الفارقليط فإذا انطلقت أرسلته إليكم ، فإذا جاء فهو يوبخ العالم على خطيئته ، وإن لي كلاما كثيرا أريد قوله ، ولكنكم لا تستطيعون حمله ، ولكن إذا جاء روح الحق ذاك الذي يرشدكم إلى جميع الحق ، لأنه ليس ينطق من عنده ، بل يتكلم بما يسمع ، ويخبركم بكل ما يأتي ، ويعرفكم جميع ما للأب .

( والفارقليط لفظ يؤذن بالحمد ، فسره بعضهم بالحمّاد وبعضهم بالحامد ، ففي مدلوله إشارة إلى اسمه عليه السلام أحمد ) كما لا يخفى على من كشف الله تعالى غشاوة التعصب عن عينيه .

{ فلما جاءهم بالبينات قالوا هذا سحر مبين } أي فحين جاءهم أحمد المبشر به بالأدلة الواضحة ، والمعجزات الباهرة ، فاجؤوه بالتكذيب والإعراض عنه استكبارا وعنادا وقالوا : إن ما جئت به ما هو إلا ترّهات وأباطيل ، وسحر واضح لا شك فيه .

ونحو الآية قوله تعالى :{ الذين يتبعون الرسول النبي الأمي الذي يجدونه مكتوبا عندهم في التوراة والإنجيل }[ الأعراف : 157 ] ."
61,7,"{ ومن أظلم ممن افترى على الله الكذب وهو يدعى إلى الإسلام والله لا يهدي القوم الظالمين ( 7 ) يريدون ليطفئوا نور الله بأفواههم والله متمّ نوره ولو كره الكافرون ( 8 ) هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون }[ الصف : 7-9 ] .

شرح المفردات : الإسلام : الاستسلام والانقياد والخضوع لله عز وجل  .

/م7

الإيضاح : { ومن أظلم ممن افترى على الله الكذب وهو يدعى إلى الإسلام } أي ومن أشد ظلما وعدوانا ممن اختلق على الله الكذب وجعل له أندادا وشركاء وهو يدعي إلى التوحيد والإخلاص ؟ .

وتلخيص المعنى : أيّ الناس أشد ظلما ممن يدعي إلى الإسلام والخضوع ، فلا يجيب الداعي بل يفتري على الله الكذب بتكذيب رسوله وتسمية آياته سحرا ؟ والمراد أنه أظلم من كل ظالم ، لأنه قد أهدر عقله ، وركب هواه ، وألقى الأدلة وراءه ظهريا .

ثم بين سبب ظلمهم وفساد عقائدهم فقال :

{ والله لا يهدي القوم الظالمين } أي والله لا يرشد الظالمين لأنفسهم إلى ما فيه صلاحهم ورشادهم ، لأنهم دسوها باجتراح السيئات ، وارتكاب الموبقات ، فختم على قلوبهم ، وجعل على أبصارهم غشاوة ، فلا تفهم الأدلة المنصوبة في الكون ، ولا تهتدي بهدى العقل ، بل تسير في عماية ؛ وتمشي في ظلام دامس لا تلوي على شيء ."
61,8,"/م7

والمراد من إبطال نور الله بأفواههم إرادتهم إبطال الإسلام ، بنحو قولهم هذا سحر مفتري ، والله متم نوره : أي والله متم الحق ومبلغه غايته ،

ثم ذكر جدّهم واجتهادهم في إبطال الدين ، واستهزأ بما اتخذوه من الوسائل فقال :{ يريدون ليطفئوا نور الله بأفواههم } أي إن مثلهم في مقاومتهم لدعوة الدين ، وجدهم في إخماد نوره- مثل من ينفخ في الشمس بفيه ليطفئ نورها ، ويحجب ضياءها ، وأنى له ذلك ؟ فما هو إلا كمن يضرب في حديد بارد ، أو كمن يريد أن يضرم النار في الرماد ، أو كمن يريد أن يصطاد العنقاء .

أرى العنقاء تكبر أن تصادا *** فعاند من تطيق له عنادا

{ والله متم نوره ولو كره الكافرون } أي والله معلن الحق ومظهر دينه ، وناصر محمدا عليه الصلاة والسلام على من عاداه ولو كره ذلك الكافرون به .

روي عن ابن عباس : أن الوحي أبطأ أربعين يوما فقال كعب بن الأشرف : يا معشر يهود أبشروا ، أطفأ الله نور محمد فيما كان ينزل عليه ، وما كان ليتم نوره ، فحزن الرسول صلى الله عليه وسلم فنزلت : { يريدون ليطفئوا نور الله } الآية ."
61,9,"/م7

بالهدى : أي بالقرآن ، ودين الحق : أي بالملة السمحة ، ليظهره : أي ليعليه ، على الدين كله : أي على سائر الأديان

ثم بين العلة في إخماد دعوتهم ، وأنه لا سبيل لقبولها لدى العقول فقال :

{ هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون } أي هو الله الذي أرسل محمدا صلى الله عليه وسلم بالقرآن والملة الحنيفية ، ليعليه على جميع الأديان المخالفة له ، وقد أنجز الله وعده ، فلم يبق دين من الأديان إلا وهو مغلوب مقهور بدين الإسلام .

وإنما قال أولا : { ولو كره الكافرون } ، وقال ثانيا : { ولو كره المشركون } ، لأنه ذكر أولا النور وإطفاءه فاللائق به الكفر ، لأنه ستر وتغطية ، وذكر ثانيا الحاسدين للرسول وأكثرهم من قريش ، فناسب ذكر المشركين ."
61,10,"{ يا أيها الذين آمنوا هل أدلكم على تجارة تنجيكم من عذاب أليم ( 10 ) تؤمنون بالله ورسوله وتجاهدون في سبيل الله بأموالكم وأنفسكم ذلكم خير لكم إن كنتم تعلمون ( 11 ) يغفر لكم ذنوبكم ويدخلكم جنات تجري من تحتها الأنهار ومساكن طيبة في جنات عدن ذلك الفوز العظيم ( 12 ) وأخرى تحبونها نصر من الله وفتح قريب وبشر المؤمنين ( 13 ) يا أيها الذين آمنوا كونوا أنصار الله كما قال عيسى ابن مريم للحواريين من أنصاري إلى الله قال الحواريون نحن أنصار الله فآمنت طائفة من بني إسرائيل وكفرت طائفة فأيدنا الذين آمنوا على عدوهم فأصبحوا ظاهرين } [ الصف : 10- 14 ] .

شرح المفردات : التجارة هنا : ما يقدمه المرء من عمل صالح ، لينال به الثواب كما قال سبحانه : { إن الله اشترى من المؤمنين أنفسهم وأموالهم بأن لهم الجنة } [ التوبة :111 ]

/م10

الإيضاح : { يا أيها الذين آمنوا هل أدلكم على تجارة تنجيكم من عذاب أليم } أي يا أيها الذين آمنوا بالله وصدقوا رسوله : ألا أدلكم على صفقة رابحة ، وتجارة نافعة ، تنالون بها الربح العظيم ، والنجح الخالد الباقي .

وهذا أسلوب يفيد التشويق والاهتمام بما يأتي بعده ، كما تقول : هل أدلك على عالم عظيم ذي خلق حسن ، وعلم فياض ؟ هو فلان ، فيكون ذلك أروع في الخطاب وأجلب لقبوله ."
