surah_number,ayah_number,tafsir_text
6,52,قوله تعالى: { وَلاَ تَطْرُدِ ٱلَّذِينَ يَدْعُونَ رَبَّهُمْ }  183- أخبرنا محمد بن بشار، نا عبد الرحمن، نا سفيان، عن المِقدام بن شُريح، عن أبيه، عن سعد في هذه الآية { وَلاَ تَطْرُدِ ٱلَّذِينَ يَدْعُونَ رَبَّهُمْ بِٱلْغَدَاةِ وَٱلْعَشِيِّ } قال: نزلت في ستة: أنا وابن مسعود فيهم، فنزلت: أن ائذن لهؤلاء.
6,65,"قوله تعالى: { قُلْ هُوَ ٱلْقَادِرُ عَلَىٰ أَن يَبْعَثَ / عَلَيْكُمْ عَذَاباً }  184- أنا محمد بن النضر، ويحيى بن حبيب بن عربي، وقتيبة بن سعيد، عن حماد، عن عمرو بن دينار، عن جابر قال: "" لما نزلت { قُلْ هُوَ ٱلْقَادِرُ عَلَىٰ أَن يَبْعَثَ عَلَيْكُمْ عَذَاباً مِّن فَوْقِكُمْ } قال النبي صلى الله عليه وسلم: "" أعوذُ بوجهك "" [قال: { أَوْ مِن تَحْتِ أَرْجُلِكُمْ } قال النبي صلى الله عليه وسلم: "" أعوذُ بوجهك "" ] { أَوْ يَلْبِسَكُمْ شِيَعاً } قال النبي صلى الله عليه وسلم: "" هذا أيسر  "". اللفظ لقتيبة. 185- أنا محمد بن رافع، نا عبد الرزاق، نا معمر، عن عمرو بن دينار قال: سمعت جابراً قال: "" لما نزلت { قُلْ هُوَ ٱلْقَادِرُ عَلَىٰ أَن يَبْعَثَ عَلَيْكُمْ عَذَاباً مِّن فَوْقِكُمْ } قال: قال النبي صلى الله عليه وسلم: "" أعوذُ بوجهك "" { أَوْ مِن تَحْتِ أَرْجُلِكُمْ } قال النبي صلى الله عليه وسلم: "" أعوذُ بوجهك "" { أَوْ يَلْبِسَكُمْ شِيَعاً } قال النبي صلى الله عليه وسلم: "" هذا أهون  "". - قال أبو عبد الرحمن: بعض حروف { أَوْ يَلْبِسَكُمْ } لم تصح عن محمد."
6,82,قوله تعالى: { وَلَمْ يَلْبِسُوۤاْ إِيمَانَهُمْ بِظُلْمٍ }  186- أنا بشر بن خالد، أنا محمد بن جعفر، عن شُعبة، عن سليمان، عن إبراهيم، عن علقمة، عن عبد الله قال: لما نزلت هذه الآية { ٱلَّذِينَ آمَنُواْ وَلَمْ يَلْبِسُوۤاْ إِيمَانَهُمْ بِظُلْمٍ } قال أصحاب رسول الله صلى الله عليه وسلم: أيُّنا لم يَظلم؟ فأنزل الله جل وعزَّ [لقمان: 13].
6,84,"بركة الذرية 188- أنا محمد بن سلمة، أنا ابن القاسم، عن مالك قال: حدثني عبد الله بن أبي بكر بن محمد بن عمرو بن حزم، عن أبيه، عن عمرو بن سليم الزُّرقي قال: أخبرني أبو حُميد السَّاعدي أنهم قالوا: "" يا رسول الله، كيف نصلي / عليك؟ فقال رسول الله صلى الله عليه وسلم: "" قولوا: اللهم صلِّ على محمد وأزواجه وذريته كما صليت على آل إبراهيم، وبارك على محمد وأزواجه وذريته كما باركت على آل إبراهيم إنك حميد مجيد "" ""."
6,86,"قوله تعالى: { وَيُونُسَ وَلُوطاً وَكُلاًّ فَضَّلْنَا عَلَى ٱلْعَالَمِينَ }  187- أنا محمود بن غَيلان، نا وكيع، عن سفيان، عن الأعمش، عن أبي وائل، عن عبد الله، عن النبي صلى الله عليه وسلم قال: "" لا ينبغي لأحد أن يقول: أنا خير من يونس بن متَّى ""."
6,90,"قوله تعالى: { أُوْلَـٰئِكَ ٱلَّذِينَ هَدَى ٱللَّهُ فَبِهُدَاهُمُ ٱقْتَدِهْ }  189- أنا عبيد الله بن سعد، نا عمي، عن شريك، عن حُصين بن عبد الرحمن، عن مجاهد، عن ابن عباس أنه سجد في "" صۤ "" ثم قال: "" أمرني الله أن أقتدي بالأنبياء "" ثم قرأ { أُوْلَـٰئِكَ ٱلَّذِينَ هَدَى ٱللَّهُ فَبِهُدَاهُمُ ٱقْتَدِهْ }. 190- أنا عتبة بن عبد الله، أنا سفيان، عن أيوب، عن عكرمة، عن ابن عباس قال: رأيت النبي صلى الله عليه وسلم يسجد في صۤ { أُوْلَـٰئِكَ ٱلَّذِينَ هَدَى ٱللَّهُ فَبِهُدَاهُمُ ٱقْتَدِهْ }."
6,121,قوله تعالى: { وَلاَ تَأْكُلُواْ مِمَّا لَمْ يُذْكَرِ ٱسْمُ ٱللَّهِ عَلَيْهِ }  191- أنا عمرو بن علي، نا يحيى، نا سفيان، حدثني هارون بن أبي وكيع، عن أبيه، عن ابن عباس في قوله [عزَّ وجل] { وَلاَ تَأْكُلُواْ مِمَّا لَمْ يُذْكَرِ ٱسْمُ ٱللَّهِ عَلَيْهِ } قال: خاصمهم المشركون، فقالوا: ما ذبح [الله فَـ] لا تأكلوه، وما ذبحتم أنتم أكلتموه؟!
6,146,"قوله تعالى: { وَعَلَى ٱلَّذِينَ هَادُواْ حَرَّمْنَا }  192- إنا إسحاق بن إبراهيم، أنا سفيان، عن عمرو، عن طاووس، عن ابن عباس قال: بلغ [عمر] أن سمرة باع خمرا، فقال: قاتل الله سَمُرة، ألم يعلم أن رسول الله صلى الله عليه وسلم قال: "" قاتل الله اليهود، حرمت عليهم الشحوم فجملوها "" ، قال سفيان: يعني أذابوها."
6,151,"قوله تعالى: { وَلاَ تَقْرَبُواْ ٱلْفَوَاحِشَ }  193- أنا محمد بن المثنى، ومحمد بن بشار قالا: حدثنا محمد بن جعفر، نا شعبة، عن عمرو بن مُرَّة قال: سمعت أبا وائل قال: سمعت عبد الله يقول ورفعه قال: "" لا أحد - يعني أغْيَر - من الله، ولذلك حرم الفواحش ما ظهر منها وما بطن، وما أحدٌ / أحبُّ إليه المدح من الله عز وجل، ولذلك مدح نفسه ""."
6,153,"قوله تعالى: { وَأَنَّ هَـٰذَا صِرَاطِي مُسْتَقِيماً }  194- أنا يحيى بن حبيب بن عربي، نا حماد، عن عاصم، عن أبي وائل قال: قال عبد الله: "" خط لنا رسول الله صلى الله عليه وسلم يوما خطًّا، وخطَّه لنا عاصم - فقال: هذا سبيل الله، ثم خطَّ خطوطاً عن يمين الخط، وعن شماله فقال: "" هذه السُّبل، وهذه سُبُل على كل سبيل منها شيطان يدعو إليه "" ثم تلا هذه الآية { وَأَنَّ هَـٰذَا صِرَاطِي مُسْتَقِيماً فَٱتَّبِعُوهُ } للخط الأول { وَلاَ تَتَّبِعُواْ ٱلسُّبُلَ } للخطوط { فَتَفَرَّقَ بِكُمْ عَن سَبِيلِهِ ذٰلِكُمْ وَصَّاكُمْ بِهِ لَعَلَّكُمْ تَتَّقُونَ } "". 195- أنا الفضل بن العباس بن إبراهيم، نا أحمد بن يونس، نا أبو بكر، عن عاصم، عن زِرٍّ، عن عبد الله قال: "" خطَّ رسول الله صلى الله عليه وسلم خطًّا وخطَّ عن يمين الخط وعن شماله خُطَطاً ثم قال: "" هذا صراط الله مستقيماً، وهذه السبل على كل سبيل منها شيطان يدعو إليه "" ، ثم قرأ { وَأَنَّ هَـٰذَا صِرَاطِي مُسْتَقِيماً } ""."
6,158,"قوله تعالى: { يَوْمَ يَأْتِي بَعْضُ ءَايَاتِ رَبِّكَ لاَ يَنفَعُ نَفْساً إِيمَٰنُهَا لَمْ تَكُنْ ءَامَنَتْ مِن قَبْلُ }  196- أنا إسحاق بن إبراهيم، أنا إسماعيل بن إبراهيم، عن يونس بن عبيد، عن إبراهيم التيميِّ، عن أبيه، عن أبي ذر، عن رسول الله صلى الله عليه وسلم قال: "" "" أتدرون أين تذهب هذه الشمس؟ "" قالوا: الله ورسوله أعلم قال: "" فإنها تجري حتى تنتهي إلى مستقرها تحت العرش، فيقال لها: ارتفعي فاطلعي من مغربك، فتطلع من مغربها "" قال رسول الله صلى الله عليه وسلم: "" أتدرون ماذاكم؟ ذاك حين { لاَ يَنفَعُ نَفْساً إِيمَٰنُهَا لَمْ تَكُنْ ءَامَنَتْ مِن قَبْلُ } الآية  "". 197- أنا أحمد بن حرب، نا ابن فضيل، عن عمارة، عن أبي زُرعة، عن أبي هريرة قال: سمعت رسول الله صلى الله عليه وسلم / يقول: "" لا تقوم الساعة حتى تطلع الشمس من مغربها، فإذا طلعت فرآها الناس آمن من عليها فذاك حين { لاَ يَنفَعُ نَفْساً إِيمَٰنُهَا لَمْ تَكُنْ ءَامَنَتْ مِن قَبْلُ } "". 198- نا محمد بن النضر بن مساور، نا حماد، عن عاصم، عن زِرٍّ قال: أتيت صفوان بن عسَّال المُرَاديَّ قلت: "" هل حفظت عن رسول الله صلى الله عليه وسلم في الهوى حديثا؟ قال: نعم، كنا مع رسول الله صلى الله عليه وسلم في سفر - قد سماه عاصم - إذ ناداه رجل كان في أُخريات القوم بصوت له جهوري جِلْف جَافي، فقال: يا محمد، يا محمد، فقال له القوم: مَهْ إنك نهيت عن هذا، فأجابه رسول الله صلى الله عليه وسلم على نحو من صوته: هاؤُمُ هاؤُمُ، فقال: الرجل يحب القوم، ولمَّا يلحق بهم، قال رسول الله صلى الله عليه وسلم: "" المرءُ مع من أحب  "". فما برح يحدثنا حتى حدثنا أن الله جعل بالمغرب بابا مسيرة عرضه سبعون عاما للتوبة، لا يُغلق ما لم تطلع الشمس من قِبَله قال: "" وذلك قول الله عز وجل { يَوْمَ يَأْتِي بَعْضُ ءَايَاتِ رَبِّكَ لاَ يَنفَعُ نَفْساً إِيمَٰنُهَا لَمْ تَكُنْ ءَامَنَتْ مِن قَبْلُ أَوْ كَسَبَتْ فِيۤ إِيمَٰنِهَا خَيْراً } "". 199- أنا علي بن خَشْرَم، أنا عيسى، عن عوف، عن محمد بن سيرين، عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: "" من تاب قبل أن تطلع الشمس من مغربها، تاب الله عليه "". 200- أنا أبو صالح المكِّي، نا فضيل، عن الأعمش، عن عمرو بن مرَّة، عن أبي عبيدة، عن أبي موسى قال: قال رسول الله صلى الله عليه وسلم: "" إن الله تبارك وتعالى باسط يده لِمُسيء الليل ليتوب بالنهار، ولِمُسيء النهار ليتوب بالليل حتى تطلع الشمس من مغربها ""."
6,160,"قوله تعالى: { مَن جَآءَ بِٱلْحَسَنَةِ فَلَهُ عَشْرُ أَمْثَالِهَا }  201- أنا قتيبة بن سعيد، نا سفيان، عن أبي الزِّناد، عن الأعرج، عن أبي هريرة/، عن رسول الله صلى الله عليه وسلم: "" قال الله تعالى: إذا همَّ عبدي بحسنة، فاكتبوها له، فإن عملها فاكتبوها بعشر أمثالها، وإذا همَّ بسيئة فلا تكتبوها، فإن عملها، فاكتبوها واحدة، وإن تركها، فاكتبوها حسنة ""."
