surah_number,ayah_number,tafsir_text
21,7,626: 1: 26- سفين { فَاسْئَلُوۤاْ أَهْلَ ٱلذِّكْرِ إِن كُنتُمْ لاَ تَعْلَمُونَ } قال، أهل التورية والإنجيل ومن كان يعلم. [الآية 7].
21,8,627: 2: 37- سفين عن مجاهد { وَمَا جَعَلْنَاهُمْ جَسَداً } قال، ليس فيهم الروج { وَلاَ هُمْ مِّنَّا يُصْحَبُونَ } قال، يمنعون. [الآية 8 والآية 43].
21,10,628: 3: 27- سفين { لَقَدْ أَنزَلْنَآ إِلَيْكُمْ كِتَاباً فِيهِ ذِكْرُكُمْ } قال، شرفكم. [الآية 10]. قال، شرف لك ولقومك. [الزخرف: 44].
21,20,629: 4: 15- سفين عن رجل عن مجاهد { يُسَبِّحُونَ ٱلَّيلَ وَٱلنَّهَارَ لاَ يَفْتُرُونَ } قال، نفسهم التسبيح. [الآية 20].
21,29,630: 5: 30- سفين قال { وَمَن يَقُلْ مِنْهُمْ إِنِّيۤ إِلَـٰهٌ مِّن دُونِهِ } قال، إبليس. [الآية 29].
21,30,"531: 6: 4- سفين عن سعيد بن مسروق عن عكرمة قال، سئل بن عباس "" أكان الليل قبل أو النهار ""؟ فقرأ { أَوَلَمْ يَرَ ٱلَّذِينَ كَفَرُوۤاْ أَنَّ ٱلسَّمَٰوَٰتِ وَٱلأَرْضَ كَانَتَا رَتْقاً فَفَتَقْنَاهُمَا } ثم قال، هل كان بينهما إلا ظلمة. ذلك ليعلموا إن الليل قبل النهار. [الآية 30].  632: 7: 5- سفين عن خصيف عن مجاهد في قول الله { فَفَتَقْنَاهُمَا } قال، فتقت هذه بالماء وهذه بالنبات.  633: 8: 36- سفين عن الضحاك في قوله { كَانَتَا رَتْقاً فَفَتَقْنَاهُمَا } قال، كن سبعا ملتزقات. ففتق بعضهن من بعض. [الآية 30]."
21,31,634: 9: 31- سفين (في) قوله { وَجَعَلْنَا فِيهَا فِجَاجاً سُبُلاً } قال، الطرق. [الآية 31].
21,37,635: 10: 32- سفين قال { خُلِقَ ٱلإنْسَانُ مِنْ عَجَلٍ } قال، آدم، [الآية 37].
21,42,636: 11: 17- سفين عن عيسى عن مجاهد في قوله { قُلْ مَن يَكْلَؤُكُم بِٱلْلَّيْلِ وَٱلنَّهَارِ مِنَ ٱلرَّحْمَـٰنِ } قال، من يحفظكم بالليل والنهار؟ [الآية 42].
21,43,627: 2: 37- سفين عن مجاهد { وَمَا جَعَلْنَاهُمْ جَسَداً } قال، ليس فيهم الروج { وَلاَ هُمْ مِّنَّا يُصْحَبُونَ } قال، يمنعون. [الآية 8 والآية 43].  637: 12: 33- سفين (في) قوله { لاَ يَسْتَطِيعُونَ نَصْرَ أَنْفُسِهِمْ وَلاَ هُمْ مِّنَّا يُصْحَبُونَ } قال، ينصرون. وقال، كان أصحاب عبد الله يقرءونها { يصحبون }. [الآية 43].
21,44,638: 13: 2- سفين عن منصور عن مجاهد في قوله { أَفَلاَ يَرَوْنَ أَنَّا نَأْتِي ٱلأَرْضَ نَنقُصُهَا مِنْ أَطْرَافِهَآ } قال، الموت. [الآية 44].
21,48,639: 14: 38- سفين عن مجاهد { وَلَقَدْ آتَيْنَا مُوسَىٰ وَهَارُونَ ٱلْفُرْقَانَ } قال، فرق بين الحق والضلالة [الآية 48].
21,51,640: 15: 2- سفين عن بن جريج عن مجاهد { وَلَقَدْ آتَيْنَآ إِبْرَاهِيمَ رُشْدَهُ مِن قَبْلُ } قال، هداه صغيراً. [الآية 51].
21,63,641: 16: 29- سفين في قوله { بَلْ فَعَلَهُ كَبِيرُهُمْ هَـٰذَا } ، قال، صنمهم. [الآية 63].
21,69,642: 17: 6- سفين عن الأعمش عن شيخ عن علي في قول الله { يٰنَارُ كُونِي بَرْداً } قال، بردت على إبراهيم حتى كادت أن تقتله. فقيل لها: كوني سلاماً، لا تضر به. [الآية 69].
21,71,643: 18: 25- سفين { وَنَجَّيْنَاهُ وَلُوطاً إِلَى ٱلأَرْضِ ٱلَّتِي بَارَكْنَا فِيهَا لِلْعَالَمِينَ } قال، هي الشام. [الآية 71].
21,72,644: 19: 7- سفين عن بن جريج عن عطاء في قوله { وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ نَافِلَةً } قال، يعقوب النافلة. والنافلة عطية. [الآية 72].
21,78,"645: 20: 18- سفين عن أبي إسحق عن مرة عن مسروق في قوله { إِذْ يَحْكُمَانِ فِي ٱلْحَرْثِ } قال، الحرث عنب { إِذْ نَفَشَتْ فِيهِ غَنَمُ ٱلْقَوْمِ } قال، بالليل. قال، فحكم فيها داود عليه السلام أن تدفع إليهم الغنم. قال سليمان: "" ما قال داود ""؟ قالوا: "" دفع إليهم الغنم "". فقال: "" لو كنت أنا، لم أدفعها. ولكن كنت أجعلها لهم ينتفعون بأصوافها وألبانها وسمنها. ويقوم أصحاب الغنم بالحرث. حتى يصيرونه إلى مثل ما كان. ثم ترد عليهم الغنم، ويردون الحرث على أربابه "". فأنزل الله عز وجل { فَفَهَّمْنَاهَا سُلَيْمَانَ }. [الآية 78]."
21,79,"645: 20: 18- سفين عن أبي إسحق عن مرة عن مسروق في قوله { إِذْ يَحْكُمَانِ فِي ٱلْحَرْثِ } قال، الحرث عنب { إِذْ نَفَشَتْ فِيهِ غَنَمُ ٱلْقَوْمِ } قال، بالليل. قال، فحكم فيها داود عليه السلام أن تدفع إليهم الغنم. قال سليمان: "" ما قال داود ""؟ قالوا: "" دفع إليهم الغنم "". فقال: "" لو كنت أنا، لم أدفعها. ولكن كنت أجعلها لهم ينتفعون بأصوافها وألبانها وسمنها. ويقوم أصحاب الغنم بالحرث. حتى يصيرونه إلى مثل ما كان. ثم ترد عليهم الغنم، ويردون الحرث على أربابه "". فأنزل الله عز وجل { فَفَهَّمْنَاهَا سُلَيْمَانَ }. [الآية 78]."
21,85,"646: 21: 28- سفين عن الأعمش عن المنهال بن عمرو عن عبدالله بن الحرث قال، كان نبي من الأنبياء قال: "" من تكفل لي بأن لا يغضب وهو معي في درجتي في الجنة ""؟ فقام شاب، فقال: "" أنا "". فقال: "" اقعد "". ثم قال الثانية. فقام ذلك الشاب، فقال: "" أنا "". فقال: "" اقعده "". ثم قالها الثالثة. فقام الشاب، فقال: "" أنا "". قال: "" فنعم إذاً "". قال، ثم مات النبي، صلى الله عليه وسلم، واستخلف الشاب مكانه. فكان يقضي بينهم. ولا يغضب. فاحتال له إبليس بكل شيء ليغضبه، فلم يقدر على أن يغضبه. فلما (كان) ذات يوم، وهو نصف النهار، وقد فرغ من قضائه بين الناس، ودخل ليقيل وهو صائم، أتاه، فدق عليه الباب. فأرسل معه رسولاً. فذهب مع الرسول. ثم رجع فقال: "" إنه لم يصنع في حاجتي شياً "". فأرسل معه رسولاً آخر. فذهب، ثم رجع، فقال: "" لم يصنع في حاجتي شياً "". فأخذ بيده وبنفسه. ثم انطلق معه. فلما كان معه في السوق، انفلت منه. قال: فسمي ذا الكفل. [الآية 85]."
21,87,647: 22: 3- سفين عن إسمعيل بن عبد الملك عن سعيد بن جبير في قوله { إِذ ذَّهَبَ مُغَاضِباً فَظَنَّ أَن لَّن نَّقْدِرَ عَلَيْهِ } قال، ذهب مغاضباً لربه. [الآية 87].
21,88,648: 23: 13- سفين عن إسمعيل بن عبد الملك عن سعيد بن جبير في قوله { وَنَجَّيْنَاهُ مِنَ ٱلْغَمِّ } قال، ظلمة البحر، وظلمة بطن الحوت، وظلمة الليل. [الآية 88].
21,90,649: 24: 19- سفين عن طلحة بن عمرو عن عطاء في قوله { وَأَصْلَحْنَا لَهُ زَوْجَهُ } قال، كان في لسانها طول. [الآية 90].  650: 25: 34- سفين (في) قوله { وَيَدْعُونَنَا رَغَباً وَرَهَباً } قال، رغبا فيما عندنا ورهبا مما عندنا. [الآية 90].  651: 26: 14- سفين عن رجل عن الحسن { وَكَانُواْ لَنَا خاشِعِينَ } قال، الخشوع الخوف الدايم في القلب. [الآية 90].
21,95,652: 27: 1- سفين عن داود عن عكرمة عن بن عباس في قوله { عَلَىٰ قَرْيَةٍ أَهْلَكْنَاهَآ أَنَّهُمْ لاَ يَرْجِعُونَ } قال لا يتوبون. [الآية 95].
21,96,653: 28: 22- سفين في قوله { وَهُمْ مِّن كُلِّ حَدَبٍ يَنسِلُونَ } قال، الحدب الشيء اليابس من الأرض. [الآية 96].
21,98,"654: 29: 8- سفين عن عبد الملك بن الأبجر عن عكرمة في قوله { حَصَبُ جَهَنَّمَ } قال، حطب جهنم. [الآية 98].  655: 30: 23- سفين قال، لما نزلت { إِنَّكُمْ وَمَا تَعْبُدُونَ مِن دُونِ ٱللَّهِ حَصَبُ جَهَنَّمَ أَنتُمْ لَهَا وَارِدُونَ } قال، خاصم المشركون إلى النبي صلى الله عليه وسلم، فقالوا: "" فقد عبد عزير وعيسى والملائكة فهم في النار؟ فنزلت [الآية 101]."
21,104,656: 31: 16- سفين عن السدي في قوله { يوم نطوي السماء كطي السجل للكتاب } قال، السجل ملك. [الآية 104].  657: 32: 24- سفين قال، أصحاب عبد الله يقرءونها { كطي السجل للكتاب }.
21,105,658: 33: 10- سفين عن الأعمش عن سعيد بن جبير في قوله { وَلَقَدْ كَتَبْنَا فِي ٱلزَّبُورِ مِن بَعْدِ ٱلذِّكْرِ } قال، الزبور التورية والإنجيل والقرآن { مِن بَعْدِ ٱلذِّكْرِ } قال، الذكر الذي في السماء. [الآية 105].  659: 34: 11- سفين عن الأعمش عن سعيد بن جبير { مِن بَعْدِ ٱلذِّكْرِ } الذي في السماء.  660: 35: 12- سفين { أَنَّ ٱلأَرْضَ يَرِثُهَا عِبَادِيَ ٱلصَّالِحُونَ } قال، أرض الجنة. [الآية 105].
