surah_number,ayah_number,tafsir_text
33,4,أَخبرنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { مَّا جَعَلَ ٱللَّهُ لِرَجُلٍ مِّن قَلْبَيْنِ فِي جَوْفِهِ } [الآية: 4]. قال: قال رجل من بني فهر: إِن في جوفي لقلبين أَعقل بواحد منهما أَفضل من عقل محمد صلى الله عليه [وسلم]، وكذب.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { وَمَا جَعَلَ أَدْعِيَآءَكُمْ أَبْنَآءَكُمْ } [الآية: 4]. قال: نزلت في زيد بن حارثة، وكان النبي، صلى الله عليه [وسلم] تبناه.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { وَلَيْسَ عَلَيْكُمْ جُنَاحٌ فِيمَآ أَخْطَأْتُمْ بِهِ }. قال: هذا قبل النهي في هذا وغيره { وَلَـٰكِن مَّا تَعَمَّدَتْ قُلُوبُكُمْ } [الآية: 5]. قال: العمد ما أَتى بعد البيان والنهي.
33,5,أَخبرنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { مَّا جَعَلَ ٱللَّهُ لِرَجُلٍ مِّن قَلْبَيْنِ فِي جَوْفِهِ } [الآية: 4]. قال: قال رجل من بني فهر: إِن في جوفي لقلبين أَعقل بواحد منهما أَفضل من عقل محمد صلى الله عليه [وسلم]، وكذب.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { وَمَا جَعَلَ أَدْعِيَآءَكُمْ أَبْنَآءَكُمْ } [الآية: 4]. قال: نزلت في زيد بن حارثة، وكان النبي، صلى الله عليه [وسلم] تبناه.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { وَلَيْسَ عَلَيْكُمْ جُنَاحٌ فِيمَآ أَخْطَأْتُمْ بِهِ }. قال: هذا قبل النهي في هذا وغيره { وَلَـٰكِن مَّا تَعَمَّدَتْ قُلُوبُكُمْ } [الآية: 5]. قال: العمد ما أَتى بعد البيان والنهي.
33,6,انا عبد الرحمن، قال: نا إِبراهيم، قال: ثنا آدم، قال: نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { ٱلنَّبِيُّ أَوْلَىٰ بِٱلْمُؤْمِنِينَ مِنْ أَنْفُسِهِمْ } [الآية: 6]. قال: هو أَب لهم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { إِلاَّ أَن تَفْعَلُوۤاْ إِلَىٰ أَوْلِيَآئِكُمْ مَّعْرُوفاً } [الآية: 6]. قال: يعني إِلى حلفائكم الذين والى بينهم رسول الله، من المهاجرين والأَنصار. { كَانَ ذَلِكَ فِي ٱلْكِتَابِ مَسْطُوراً } [الآية: 6]. قال: يعني العقل والنصر بينهم.  أَنا عبد الرحمن، نا إِبراهيم، ثنا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ أَخَذْنَا مِنَ ٱلنَّبِيِّيْنَ مِيثَاقَهُمْ وَمِنْكَ } [الآية: 7]. يعني: النبي: صلى الله عليه [وسلم] { وَمِن نُّوحٍ }. يعني: في ظهر آدم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { لِّيَسْأَلَ ٱلصَّادِقِينَ عَن صِدْقِهِمْ } [الآية: 8]. قال: يعني المبلِّغينَ المؤدين من الرسل.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن عاصم في قوله: { إِذْ جَآءَتْكُمْ جُنُودٌ } [الآية: 9]. قال: الأَحزاب عُيينة بن بدر، وأَبو سفيان بن حرب وقريظة.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد في قوله: { وَأَخَذْنَا مِنْهُمْ مِّيثَاقاً غَلِيظاً } [الآية: 7]. قال: أَخذ منهم من الميثاق أَغلظ مما أَخذ من النبيين كلهم. يعني: ممن سمى في هذه الآية.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { فَأَرْسَلْنَا عَلَيْهِمْ رِيحاً } [الآية: 9] قال: يعني ريح الصَّبَا، أُرسلت على الأَحزاب يوم الخندق حتى كفأَت قدورهم /61 و/ على أَفواهها ونزع فساطيطهم حتى أَظعنتهم، { وَجُنُوداً لَّمْ تَرَوْهَا } [الآية: 9]. يعني: الملائكة. قال: ولم تقاتل الملائكة يومئذ.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِذْ جَآءُوكُمْ مِّن فَوْقِكُمْ }. يعني: عيينة بن بدر في أَهل نجد، { وَمِنْ أَسْفَلَ مِنكُمْ } [الآية: 10]: أَبو سفيان بن حرب. مواجهتكم قريظة.
33,7,انا عبد الرحمن، قال: نا إِبراهيم، قال: ثنا آدم، قال: نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { ٱلنَّبِيُّ أَوْلَىٰ بِٱلْمُؤْمِنِينَ مِنْ أَنْفُسِهِمْ } [الآية: 6]. قال: هو أَب لهم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { إِلاَّ أَن تَفْعَلُوۤاْ إِلَىٰ أَوْلِيَآئِكُمْ مَّعْرُوفاً } [الآية: 6]. قال: يعني إِلى حلفائكم الذين والى بينهم رسول الله، من المهاجرين والأَنصار. { كَانَ ذَلِكَ فِي ٱلْكِتَابِ مَسْطُوراً } [الآية: 6]. قال: يعني العقل والنصر بينهم.  أَنا عبد الرحمن، نا إِبراهيم، ثنا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ أَخَذْنَا مِنَ ٱلنَّبِيِّيْنَ مِيثَاقَهُمْ وَمِنْكَ } [الآية: 7]. يعني: النبي: صلى الله عليه [وسلم] { وَمِن نُّوحٍ }. يعني: في ظهر آدم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { لِّيَسْأَلَ ٱلصَّادِقِينَ عَن صِدْقِهِمْ } [الآية: 8]. قال: يعني المبلِّغينَ المؤدين من الرسل.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن عاصم في قوله: { إِذْ جَآءَتْكُمْ جُنُودٌ } [الآية: 9]. قال: الأَحزاب عُيينة بن بدر، وأَبو سفيان بن حرب وقريظة.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد في قوله: { وَأَخَذْنَا مِنْهُمْ مِّيثَاقاً غَلِيظاً } [الآية: 7]. قال: أَخذ منهم من الميثاق أَغلظ مما أَخذ من النبيين كلهم. يعني: ممن سمى في هذه الآية.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { فَأَرْسَلْنَا عَلَيْهِمْ رِيحاً } [الآية: 9] قال: يعني ريح الصَّبَا، أُرسلت على الأَحزاب يوم الخندق حتى كفأَت قدورهم /61 و/ على أَفواهها ونزع فساطيطهم حتى أَظعنتهم، { وَجُنُوداً لَّمْ تَرَوْهَا } [الآية: 9]. يعني: الملائكة. قال: ولم تقاتل الملائكة يومئذ.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِذْ جَآءُوكُمْ مِّن فَوْقِكُمْ }. يعني: عيينة بن بدر في أَهل نجد، { وَمِنْ أَسْفَلَ مِنكُمْ } [الآية: 10]: أَبو سفيان بن حرب. مواجهتكم قريظة.
33,8,انا عبد الرحمن، قال: نا إِبراهيم، قال: ثنا آدم، قال: نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { ٱلنَّبِيُّ أَوْلَىٰ بِٱلْمُؤْمِنِينَ مِنْ أَنْفُسِهِمْ } [الآية: 6]. قال: هو أَب لهم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { إِلاَّ أَن تَفْعَلُوۤاْ إِلَىٰ أَوْلِيَآئِكُمْ مَّعْرُوفاً } [الآية: 6]. قال: يعني إِلى حلفائكم الذين والى بينهم رسول الله، من المهاجرين والأَنصار. { كَانَ ذَلِكَ فِي ٱلْكِتَابِ مَسْطُوراً } [الآية: 6]. قال: يعني العقل والنصر بينهم.  أَنا عبد الرحمن، نا إِبراهيم، ثنا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ أَخَذْنَا مِنَ ٱلنَّبِيِّيْنَ مِيثَاقَهُمْ وَمِنْكَ } [الآية: 7]. يعني: النبي: صلى الله عليه [وسلم] { وَمِن نُّوحٍ }. يعني: في ظهر آدم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { لِّيَسْأَلَ ٱلصَّادِقِينَ عَن صِدْقِهِمْ } [الآية: 8]. قال: يعني المبلِّغينَ المؤدين من الرسل.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن عاصم في قوله: { إِذْ جَآءَتْكُمْ جُنُودٌ } [الآية: 9]. قال: الأَحزاب عُيينة بن بدر، وأَبو سفيان بن حرب وقريظة.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد في قوله: { وَأَخَذْنَا مِنْهُمْ مِّيثَاقاً غَلِيظاً } [الآية: 7]. قال: أَخذ منهم من الميثاق أَغلظ مما أَخذ من النبيين كلهم. يعني: ممن سمى في هذه الآية.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { فَأَرْسَلْنَا عَلَيْهِمْ رِيحاً } [الآية: 9] قال: يعني ريح الصَّبَا، أُرسلت على الأَحزاب يوم الخندق حتى كفأَت قدورهم /61 و/ على أَفواهها ونزع فساطيطهم حتى أَظعنتهم، { وَجُنُوداً لَّمْ تَرَوْهَا } [الآية: 9]. يعني: الملائكة. قال: ولم تقاتل الملائكة يومئذ.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِذْ جَآءُوكُمْ مِّن فَوْقِكُمْ }. يعني: عيينة بن بدر في أَهل نجد، { وَمِنْ أَسْفَلَ مِنكُمْ } [الآية: 10]: أَبو سفيان بن حرب. مواجهتكم قريظة.
33,9,انا عبد الرحمن، قال: نا إِبراهيم، قال: ثنا آدم، قال: نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { ٱلنَّبِيُّ أَوْلَىٰ بِٱلْمُؤْمِنِينَ مِنْ أَنْفُسِهِمْ } [الآية: 6]. قال: هو أَب لهم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { إِلاَّ أَن تَفْعَلُوۤاْ إِلَىٰ أَوْلِيَآئِكُمْ مَّعْرُوفاً } [الآية: 6]. قال: يعني إِلى حلفائكم الذين والى بينهم رسول الله، من المهاجرين والأَنصار. { كَانَ ذَلِكَ فِي ٱلْكِتَابِ مَسْطُوراً } [الآية: 6]. قال: يعني العقل والنصر بينهم.  أَنا عبد الرحمن، نا إِبراهيم، ثنا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ أَخَذْنَا مِنَ ٱلنَّبِيِّيْنَ مِيثَاقَهُمْ وَمِنْكَ } [الآية: 7]. يعني: النبي: صلى الله عليه [وسلم] { وَمِن نُّوحٍ }. يعني: في ظهر آدم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { لِّيَسْأَلَ ٱلصَّادِقِينَ عَن صِدْقِهِمْ } [الآية: 8]. قال: يعني المبلِّغينَ المؤدين من الرسل.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن عاصم في قوله: { إِذْ جَآءَتْكُمْ جُنُودٌ } [الآية: 9]. قال: الأَحزاب عُيينة بن بدر، وأَبو سفيان بن حرب وقريظة.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد في قوله: { وَأَخَذْنَا مِنْهُمْ مِّيثَاقاً غَلِيظاً } [الآية: 7]. قال: أَخذ منهم من الميثاق أَغلظ مما أَخذ من النبيين كلهم. يعني: ممن سمى في هذه الآية.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { فَأَرْسَلْنَا عَلَيْهِمْ رِيحاً } [الآية: 9] قال: يعني ريح الصَّبَا، أُرسلت على الأَحزاب يوم الخندق حتى كفأَت قدورهم /61 و/ على أَفواهها ونزع فساطيطهم حتى أَظعنتهم، { وَجُنُوداً لَّمْ تَرَوْهَا } [الآية: 9]. يعني: الملائكة. قال: ولم تقاتل الملائكة يومئذ.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِذْ جَآءُوكُمْ مِّن فَوْقِكُمْ }. يعني: عيينة بن بدر في أَهل نجد، { وَمِنْ أَسْفَلَ مِنكُمْ } [الآية: 10]: أَبو سفيان بن حرب. مواجهتكم قريظة.
33,10,انا عبد الرحمن، قال: نا إِبراهيم، قال: ثنا آدم، قال: نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { ٱلنَّبِيُّ أَوْلَىٰ بِٱلْمُؤْمِنِينَ مِنْ أَنْفُسِهِمْ } [الآية: 6]. قال: هو أَب لهم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { إِلاَّ أَن تَفْعَلُوۤاْ إِلَىٰ أَوْلِيَآئِكُمْ مَّعْرُوفاً } [الآية: 6]. قال: يعني إِلى حلفائكم الذين والى بينهم رسول الله، من المهاجرين والأَنصار. { كَانَ ذَلِكَ فِي ٱلْكِتَابِ مَسْطُوراً } [الآية: 6]. قال: يعني العقل والنصر بينهم.  أَنا عبد الرحمن، نا إِبراهيم، ثنا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ أَخَذْنَا مِنَ ٱلنَّبِيِّيْنَ مِيثَاقَهُمْ وَمِنْكَ } [الآية: 7]. يعني: النبي: صلى الله عليه [وسلم] { وَمِن نُّوحٍ }. يعني: في ظهر آدم.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { لِّيَسْأَلَ ٱلصَّادِقِينَ عَن صِدْقِهِمْ } [الآية: 8]. قال: يعني المبلِّغينَ المؤدين من الرسل.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن عاصم في قوله: { إِذْ جَآءَتْكُمْ جُنُودٌ } [الآية: 9]. قال: الأَحزاب عُيينة بن بدر، وأَبو سفيان بن حرب وقريظة.  أَنبا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد في قوله: { وَأَخَذْنَا مِنْهُمْ مِّيثَاقاً غَلِيظاً } [الآية: 7]. قال: أَخذ منهم من الميثاق أَغلظ مما أَخذ من النبيين كلهم. يعني: ممن سمى في هذه الآية.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد في قوله: { فَأَرْسَلْنَا عَلَيْهِمْ رِيحاً } [الآية: 9] قال: يعني ريح الصَّبَا، أُرسلت على الأَحزاب يوم الخندق حتى كفأَت قدورهم /61 و/ على أَفواهها ونزع فساطيطهم حتى أَظعنتهم، { وَجُنُوداً لَّمْ تَرَوْهَا } [الآية: 9]. يعني: الملائكة. قال: ولم تقاتل الملائكة يومئذ.  أَنا عبد الرحمن، نا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِذْ جَآءُوكُمْ مِّن فَوْقِكُمْ }. يعني: عيينة بن بدر في أَهل نجد، { وَمِنْ أَسْفَلَ مِنكُمْ } [الآية: 10]: أَبو سفيان بن حرب. مواجهتكم قريظة.
33,11,أَنا عبد الرحمن، نا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { هُنَالِكَ ٱبْتُلِيَ ٱلْمُؤْمِنُونَ } [الآية: 11]. قال: محصوا.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ يَقُولُ ٱلْمُنَافِقُونَ وَٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٌ } [الآية: 12]. تكلمهم بالنفاق يومئذ، وتكلم المؤمنين بالحق والإِيمان، فقالوا: هذا ما وعدنا الله ورسوله.  أَنا عبد الرحمن، ثنا. إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِنَّ بُيُوتَنَا عَوْرَةٌ } [الآية: 13]. قالوا: نخشى عليها لسرق.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { أَشِحَّةً عَلَيْكُمْ } [الآية: 19]. قال: يعني بالخير. يقول: يشحون عليكم بالخير، وهم المنافقون.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { يَحْسَبُونَ ٱلأَحْزَابَ لَمْ يَذْهَبُواْ } [الآية: 20]. يقول: يحسبونهم قريباً.  أَنا عبد الرحمن، ثنا إِبراهيم، ثنا آدم، ثنا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { يَسْأَلُونَ عَنْ أَنبَآئِكُمْ } [الآية: 20]. قال: يعني عن أَخباركم.
33,12,أَنا عبد الرحمن، نا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { هُنَالِكَ ٱبْتُلِيَ ٱلْمُؤْمِنُونَ } [الآية: 11]. قال: محصوا.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ يَقُولُ ٱلْمُنَافِقُونَ وَٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٌ } [الآية: 12]. تكلمهم بالنفاق يومئذ، وتكلم المؤمنين بالحق والإِيمان، فقالوا: هذا ما وعدنا الله ورسوله.  أَنا عبد الرحمن، ثنا. إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِنَّ بُيُوتَنَا عَوْرَةٌ } [الآية: 13]. قالوا: نخشى عليها لسرق.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { أَشِحَّةً عَلَيْكُمْ } [الآية: 19]. قال: يعني بالخير. يقول: يشحون عليكم بالخير، وهم المنافقون.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { يَحْسَبُونَ ٱلأَحْزَابَ لَمْ يَذْهَبُواْ } [الآية: 20]. يقول: يحسبونهم قريباً.  أَنا عبد الرحمن، ثنا إِبراهيم، ثنا آدم، ثنا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { يَسْأَلُونَ عَنْ أَنبَآئِكُمْ } [الآية: 20]. قال: يعني عن أَخباركم.
33,13,أَنا عبد الرحمن، نا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { هُنَالِكَ ٱبْتُلِيَ ٱلْمُؤْمِنُونَ } [الآية: 11]. قال: محصوا.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، نا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { وَإِذْ يَقُولُ ٱلْمُنَافِقُونَ وَٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٌ } [الآية: 12]. تكلمهم بالنفاق يومئذ، وتكلم المؤمنين بالحق والإِيمان، فقالوا: هذا ما وعدنا الله ورسوله.  أَنا عبد الرحمن، ثنا. إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { إِنَّ بُيُوتَنَا عَوْرَةٌ } [الآية: 13]. قالوا: نخشى عليها لسرق.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { أَشِحَّةً عَلَيْكُمْ } [الآية: 19]. قال: يعني بالخير. يقول: يشحون عليكم بالخير، وهم المنافقون.  أَنا عبد الرحمن، ثنا إِبراهيم، نا آدم، ثنا ورقاءُ عن ابن أَبي نجيح، عن مجاهد: { يَحْسَبُونَ ٱلأَحْزَابَ لَمْ يَذْهَبُواْ } [الآية: 20]. يقول: يحسبونهم قريباً.  أَنا عبد الرحمن، ثنا إِبراهيم، ثنا آدم، ثنا ورقاءُ عن ابن أَبي نجيح عن مجاهد: { يَسْأَلُونَ عَنْ أَنبَآئِكُمْ } [الآية: 20]. قال: يعني عن أَخباركم.
