surah_number,ayah_number,tafsir_text
27,1,"بسم الله الرحمن الرحيم

{ طس تلك آيات القرآن وكتاب مبين } آية يعنى بين ما فيه أمره ونهيه ."
27,2,{ هدى } يعنى بيان من الضلالة لمن عمل به ، { وبشرى } لما فيه من الثواب { للمؤمنين } آية يعنى للمصدقين بالقرآن بأنه من الله عز وجل .
27,3,ثم نعتهم ، فقال سبحانه : { الذين يقيمون الصلاة } يعنى يتمون الصلاة المكتوبة { ويؤتون الزكاة } يعنى ويعطون الزكاة المفروضة { وهم بالآخرة } يعنى بالبعث الذي فيه جزاء الأعمال { هم يوقنون } .
27,4,{ إن الذين لا يؤمنون بالآخرة } يعنى لا يصدقون بالبعث { زينا لهم أعمالهم } يعنى ضلالتهم { فهم يعمهون } آية ، يعنى يترددون فيها .
27,5,{ أولئك الذين لهم سوء } يعنى شدة { العذاب } في الآخرة { وهم في الآخرة هم الأخسرون } .
27,6,{ وإنك لتلقى } يعني لتؤتى { القرآن } كقوله سبحانه : { وما يلقاها } [ فصلت :35 ] يعنى وما يؤتاها ، ثم قال : { من لدن حكيم } في أمره { عليم } آية ، بأعمال الخلق .
27,7,{ إذ قال موسى لأهله } يعنى امرأته حين رأى النار { إني آنست نارا } يقول : إني رأيت نارا ، وهو نور رب العزة جل ثناؤه ، رآه ليلة الجمعة عن يمين الجبل بالأرض المقدسة { سئاتيكم منها بخبر } أين الطريق ، وقد كان تحير وترك الطريق ، ثم قال : فإن لم أجد من يخبرني الطريق ، { أو آتيكم بشهاب قبس } يقول : آتيكم بنار قبسة مضيئة { لعلكم تصطلون } آية من البرد .
27,8,{ فلما جاءها } يعني النار ، وهو نور رب العزة ، تبارك وتعالى ، { نودى أن بورك من في النار ومن حولها } يعنى الملائكة { وسبحان الله رب العالمين } آية في التقديم .
27,9,ثم قال : { يا موسى إنه أنا الله } يقول : إن النور الذي رأيت أنا { العزيز الحكيم }
27,10,{ وألق عصاك فلما رءاها تهتز } يعني تحرك { كأنها جان } يعني كأنها كانت حية { ولى مدبرا } من الخوف من الحية { ولم يعقب } يعنى ولم يرجع ، يقول الله عز وجل : { يا موسى لا تخف } من الحية { إني لا يخاف لدي } يعنى عندي { المرسلون } .
27,11,{ إلا من ظلم } نفسه من الرسل ، فإنه يخاف ، فكان منهم آدم ، ويونس ، وسليمان ، وإخوة يوسف ، وموسى بقتله النفس ، عليهم السلام ، { ثم بدل حسنا بعد سوء } يعنى فمن بدل إحسانا بعد إساءته { فإني غفور رحيم } .
27,12,{ وأدخل يدك } اليمنى { في جيبك } يعنى جيب المدرعة من قبل صدره ، وهي مضربة { تخرج } اليد من المدرعة { بيضاء } لها شعاع كشعاع الشمس { من غير سوء } يعنى من غير برص ، ثم انقطع الكلام ، يقول الله تبارك وتعالى لمحمد صلى الله عليه وسلم { في تسع آيات } يعنى أعطى تسع آيات اليد ، والعصا ، والطوفان ، والجراد ، والقمل ، والضفادع ، والدم ، والسنين ، والطمس ، فآيتان منهما أعطى موسى عليه السلام ، بالأرض المقدسة اليد والعصى ، حين أرسل إلى فرعون ، وأعطى سبع آيات بأرض مصر حين كذبوه ، فكان أولها اليد ، وآخرها الطمس ، يقول : { إلى فرعون } واسمه فيطوس { وقومه } أهل مصر { إنهم كانوا قوما فاسقين } آية ، يعنى عاصين .
27,13,{ فلما جاءتهم آياتنا مبصرة } يعنى مبينة معاينة يرونها { قالوا } : يا موسى { هذا } الذي جئت به { سحر مبين } آية يعنى بين .
27,14,يقول الله عز وجل : { وجحدوا بها } يعنى بالآيات ، يعني بعد المعرفة ، فيها تقديم { واستيقنتها أنفسهم } أنها من الله عز وجل ، وأنها ليست بسحر { ظلما } شركا { وعلوا } تكبرا { فانظر كيف كان عاقبة المفسدين } آية في الأرض بالمعاصي ، كان عاقبتهم الغرق ، وإنما استيقنوا بالآيات أنها من الله ، لدعاء موسى ربه أن يكشف عنهم الرجز ، فكشفه عنهم ، وقد علموا ذلك .
27,15,{ ولقد آتينا } يعنى أعطينا { داود وسليمان علما } بالقضاء ، وبكلام الطير ، وبكلام الدواب ، { وقالا الحمد لله الذي فضلنا على كثير من عباده المؤمنين } آية ، يعنى بالقضاء والنبوة ، والكتاب ، وكلام البهائم ، والملك الذي أعطاهما الله عز وجل ، وكان سليمان أعظم ملكا من داود ، وأفطن منه ، وكان داود أكثر تعبدا من سليمان .
27,16,"{ وورث سليمان داود } يعنى ورث سليمان علم داود وملكه ، { وقال } سليمان لبني إسرائيل : { يا أيها الناس علمنا منطق الطير وأوتينا من كل شيء } يعنى أعطينا الملك والنبوة والكتاب والرياح ، وسخرت لنا الشياطين ، ومنطق الدواب ، ومحاريب ، وتماثيل ، وجفان كالجوابي ، وقدرو راسيات وعن القطر ، يعنى عين الصفر .

{ إن هذا } الذي أعطينا { لهو الفضل المبين } آية يعنى البين ."
27,17,{ وحشر لسليمان } يعنى وجمع لسليمان { جنوده من الجن } طائفة { و } من { والإنس و } من { والطير } طائفة { فهم يوزعون } آية يعنى يساقون ، وكان سليمان استعمل جندا يرد الأول على الآخر حتى ينام الناس .
27,18,وقال عز وجل : { حتى إذا أتوا على واد النمل } من أرض الشام { قالت نملة } واسمها الجرمى { يا أيها النمل ادخلوا } وهن خارجات ، فقالت : ادخلوا { مساكنكم } يعنى بيوتكم { لا يحطمنكم سليمان } يعني لا يهلكنكم سليمان { وجنوده وهم لا يشعرون } آية ، بهلاككم ، فسمع سليمان قولها من ثلاثة أميال ، فانتهى إليها سليمان حين قالت : { وهم لا يشعرون } .
27,19,{ فتبسم ضاحكا من قولها } ضحك من ثناءها على سليمان بعدله في ملكه ، أنه لو يشعر بكم لم يحطمكم ، يعنى بالضحك الكشر ، وقال سليمان : لقد علمت النمل أنه ملك لا بغي فيه ، ولا فخر ، ولئن علم بنا قبل يغشانا لم نوطأ ، ثم وقف سليمان بمن معه من الجنود ليدخل النمل مساكنهم ، ثم حمد ربه عز وجل حين علمه منطق كل شيء ، فسمع كلام النملة { وقال رب أوزعني } يعني ألهمني { أن أن أشكر نعمتك التي أنعمت علي وعلى والدي } من قبلي ، يعنى أبويه داود ، وأمه بتشايع بنت الياثن ، { و } ألهمني { وأن أعمل صالحا ترضاه وأدخلني برحمتك } يعني بنعمتك { في } يعني مع { عبادك الصالحين } آية ، الجنة .
27,20,{ وتفقد الطير } يعني الهدهد حين سار من بيت المقدس قبل اليمن فلما مر بالمدينة وقف ، فقال إن الله عز وجل : سيبعث من هاهنا نبيا طوبى لمن تبعه ، فلما أراد أن ينزل { فقال مالي لا أرى الهدهد أم } والميم ها هنا صلة ، كقوله تعالى : { أم عندهم } يعنى أعندهم { الغيب فيهم يكتبون } [ الطور :41 ، والقلم :47 ] أم { كان من الغائبين }
27,21,{ لأعذبنه عذابا شديدا } يعنى لأنتفن ريشه ، فلا يطير مع الطير حولا { أو لأذبحنه } يعنى لأقتلنه ، { أو ليأتيني بسلطان مبين } آية ، يعنى حجة بينة أعذره بها .
27,22,{ فمكث غير بعيد } يقول : لم يلبث إلا قليلا ، حتى جاء الهدهد ، فوقع بين يدي سليمان ، عليه السلام ، فجعل ينكث بمنقاره ويومئ برأسه إلى سليمان ، { فقال } لسليمان : { أحطت بما لم تحط به } يقول : علمت ما لم تعلم به { وجئتك } بأمر لم تخبرك به الجن ، ولم تنصحك فيه ، ولم يعمل به الإنس ، وبلغت ما لم تبلغه أنت ولا جنودك ، وجئتك { من } أرض { سبإ } باليمن { بنبإ يقين } آية ، يقول : بحديث لا شك فيه ، فقال سليمان : وما ذلك ؟ .
27,23,قال الهدهد : { إني وجدت امرأة تملكهم } يعنى تملك أهل سبأ { وأوتيت } يعنى وأعطيت { من كل شيء } يكون باليمن ، يعنى العلم والمال والجنود والسلطان والزينة وأنواع الخير ، فهذا كله من كلام الهدهد ، وقال الهدهد : { ولها عرش عظيم } آية يعنى ضخم ثمانون ذراعا في ثمانين ذراعا ، وارتفاع السرير من الأرض أيضا ثمانون ذراعا في ثمانين ذراعا ، مكلل بالجوهر ، والمرأة اسمها بلقيس بنت أبي سرح ، وهي من الإنس وأمها من الجن ، اسمها فارمة بنت الصخر .
27,24,ثم قال : { وجدتها وقومها يسجدون للشمس من دون الله وزين لهم الشيطان أعمالهم } السيئة ، يعنى سجودهم للشمس { فصدهم عن السبيل } يعنى عن الهدى { فهم لا يهتدون } .
27,25,ثم قال الهدهد : { ألا يسجدوا لله الذي يخرج الخبء } يعنى الغيث { في السماوات والأرض ويعلم ما تخفون } في قلوبكم { وما تعلنون } آية بألسنتكم .
27,26,{ الله لا إله إلا هو رب العرش العظيم } آية يعنى بالعظيم العرش .
27,27,"{ قال } سليمان للهدهد : دلنا على الماء { سننظر } فيما تقول ، { أصدقت } في قولك { أم كنت } يعنى أم أنت { من الكاذبين } آية ، مثل قوله عز وجل : { كنتم خير أمة أخرجت للناس } [ آل عمران :110 ] .

وكان الهدهد يدلهم على قرب الماء من الأرض إذا نزلوا ، فدلهم على ماء ، فنزلوا واحتفروا الركايا ، وروى الناس والدواب ، وكانوا قد عطشوا ، فدعا سليمان الهدهد ."
27,28,وقال : { اذهب بكتابي هذا فألقه إليهم } يعنى إلى أهل سبأ { ثم تول } يقول : ثم انصرف { عنهم فانظر ماذا يرجعون } آية ، الجواب ، فحمل الهدهد الكتاب بمنقاره ، فطار حتى وقف على رأس المرأة ، فرفرف ساعة والناس ينظرون ، فرفعت المرأة رأسها ، فألقى الهدهد الكتاب في حجرها ، فلما رأت الكتاب ورأت الخاتم رعدت وخضعت ، وخضع من معها من الجنود ، لأن ملك سليمان ، عليه السلام ، كان في خاتمه فعرفوا أن الذي أرسل هذا الطير أعظم من ملكها ، فقالت : إن ملكا رسله الطير ، إن ذلك الملك عظيم ،
