surah_number,ayah_number,tafsir_text
37,1,"قوله عز وجل : { والصافات صفا }( 1 ) يعني صفوف الملائكة في الصلاة .  وهو تفسير السدي .

ا سعيد عن قتادة قال : الملائكة .

ا الفرات بن سلمان عن عبد الكريم الجزري عن عطاء قال : ليس في السماوات السبع موضع شبر إلا عليه ملك قائم  أو راكع أو ساجد .

إبراهيم ( بن محمد عن محمد بن المنكدر قال : قال رسول الله صلى الله عليه وسلم : ""اطّت السماء وحق لها أن تَئِط ليس فيها موضع شبر إلا وعليه ملك قائم أو راكع أو ساجدا"" ) ."
37,2,قوله عز وجل : { فالزاجرات زجرا }( 2 ) الملائكة ،  والرعد ملك يزجر السحاب .  وقد قال في لآية أخرى : { فإنما هي زجرة واحدة } وهي النفخة الآخرة ينفخ فيه صاحب الصور .
37,3,"قوله عز وجل : { فالتاليات }( 3 ) يعني الملائكة .

{ ذكرا }( 3 ) يعني الوحي .  وهو تفسير السدي ،  تتلو القرآن ،  الوحي الذي تأتي به الأنبياء .

عاصم بن حكيم أن مجاهدا قال : هذا كله الملائكة ،  اقسم بهذا كله ."
37,5,"{ رب السماوات والأرض وما بينهما ورب المشارق }( 5 )

سعيد عن قتادة قال : لها ثلاثمائة وستون مشرقا وثلاثمائة وستون مغربا .

وسمعت غير سعيد يقول : هي ثمانون ومائة منزلة ،  تطلع كل يوم في منزلة حتى تنتهي إلى آخرها ،  ثم ترجع في الثمانين ومائة فتكون ثلاثمائة وستين ،  فهي كل يوم في منزلة .

قال سعيد : وقال قتادة : { رب المشرقين ورب المغربين } قال : لها مشرق في الشتاء ،  ومشرق في الصيف ،  ومغرب في الشتاء ،  ومغرب في الصيف .

وقوله عز وجل : { رب المشرق والمغرب } المشرق كله والمغرب كله ."
37,7,"{ وحفظا }( 7 ) أي وجعلناها يعني الكواكب حفظا للسماء .

{ من كل شيطان مارد }( 7 ) مرد على المعصية ،  أي اجترأ على المعصية ،  وهم سراة إبليس ."
37,8,"قوله عز وجل : { لا يسمعون }( 8 ) أي لئلا يسمعوا .

{ إلى الملإ الأعلى }( 8 ) الملائكة في السماء ،  وكانوا يسمعون قبل أن يبعث النبي صلى الله عليه وسلم أخبارا من أخبار السماء فأما الوحي فلم يكونوا يقدرون

على أن يسمعوه .  وكانوا يقعدون منها / مقاعد للسمع ،  فلما بعث الله النبي صلى الله عليه وسلم منعوا من تلك المقاعد .

قال : { لا يسمعون إلى الملإ الأعلى ويقذفون }( 8 ) أي يرمون .  { من كل جانب }( 8 ) تفسير ابن مجاهد عن أبيه : من كل مكان ."
37,9,"{ دحورا }( 9 ) طردا ،  يطردون عن السماء .  وقال ابن مجاهد عن أبيه مدحورين ،  مطرودين .

حدثنا ( عبيد الصمد ) قال : سمعت أبا رجاء العطاردي يقول : كنا قبل أن يبعث النبي صلى الله عليه وسلم ما نرى نجما يرمي به ،  فبينما نحن ذات ليلة إذ النجوم قد رمي بها ،  فقلنا : ما هذا ؟ إن هذا لأمر حدث ،  فجاءنا أن النبي صلى الله عليه وسلم بعث ،  وأنزل الله هذه الآية في سورة الجن { وأنا كنا نقعد منها مقاعد للسمع فمن يستمع الآن يجد له شهابا رصدا } .

قوله عز وجل : { ولهم عذاب واصب }( 9 ) دائم في تفسير مجاهد ."
37,10,"قوله عز وجل : { إلا من خطف الخطفة فأتبعه شهاب ثاقب }( 10 ) رجع إلى أول الكلام { وحفظا من كل شيطان مارد ( 7 ) لا يسمعون إلى الملإ الأعلى (  .  .  .  ) إلا من خطف الخطفة }( 10 ) استمع الإستماعة كقوله : { إلا من استرق السمع فأتبعه شهاب مبين } .

قال : { فأتبعه شهاب ثاقب } أي مضيء .  سعيد عن قتادة قال : ثقوبه ،  ضوءه .

يونس بن أبي إسحاق عن أبيه عن سعيد بن جبير عن ابن عباس قال : إذا رأيتم الكوكب قد رمي به فتوارى فإنه لا يخطئ ،  وهو يحرق ما أصاب ولا يقتل .

وتفسير الحسن أنه يقتله في أسرع من الطرف .

يزيد بن إبراهيم عن محمد بن سيرين عن رجل قال : كنا مع أبي قتادة على سطح فانقض كوكب ،  فنهانا أبو قتادة أن نتبعه أبصارنا .

ا أبو سهل عن عمرو قال : سأل حفص الحسن أأتبع بصري الكوكب ؟ فقال : قال الله : { وجعلناها رجوما للشياطين } .  وقال : { أولم ينظروا في ملكوت السماوات } كيف نعلم إذا لم ننظر إليه ؟ لأتبعنه بصري ."
37,11,"قوله عز وجل : { فاستفتهم }( 11 ) يعني المشركين ،  أي فاسألهم في ما حدثني سعيد عن قتادة .  وقال الحسن : / فحاجهم .

{ أهم أشد خلقا أم من خلقنا }( 11 ) يعني السماء في قول ( سفيان ومجاهد ) .

وقال الحسن : أم السماء والأرض .  وقال في آية أخرى : { أأنتم أشد خلقا أم السماء بناها( 27 ) رفع سمكها فسواها ( 28 ) }إلى قوله : { والأرض بعد ذلك دحاها } .

وقال : { لخلق السماوات والأرض أكبر من خلق الناس } يقول : فاسألهم على الاستفهام ،  يحاجهم بذلك : أهم { أشد خلقا أم السماء } في قول مجاهد .  وفي قول الحسن أم السماء والأرض ؟ أي أنهما أشد خلقا منهم .

وقال السدي : { أهم أشد خلقا } يعني بعثا في الآخرة { أم من خلقنا } .

قال : { إنا خلقناهم من طين لازب }( 11 ) واللازب الذي يلصق باليد في تفسير قتادة .

قال يحيى : يلصق ويلزق واحد ،  هي لغة ،  وهي تقال بالسين يلسق أيضا .

وقال مجاهد : { لازب } لازم .  وهو واحد ،  وهو الطين الحر في تفسير الحسن .

يعني خلق آدم ،  كان أول خلقه ترابا ،  ثم كان طينا .  قال : { من تراب } .

وقال : { من صلصال كالفخار } وهو التراب اليابس الذي يسمع له صلصلة

في ما حدثني عثمان عن قتادة ،  وقال : { من طين لازب } وقال : { من حمإ مسنون } يعني الطين المنتن ."
37,12,"قوله عز وجل : { بل عجبت }( 12 ) لقد عجبت .  تفسير السدي .  قال : { ويسخرون } ( 12 )

ا سعيد عن قتادة قال : بل عجبت يا محمد أن أعطيت هذا القرآن .  { ويسخرون } هم يعني المشركين ."
