surah_number,ayah_number,tafsir_text
19,1,كاف .  ها .  يا .  عين .  صاد .  هكذا تُقرأ .  وهي تنبيه للسامعين ،  وتوجيه لنظرهم .
19,2,"نقصّ عليك أيها الرسولَ خَبَر رحمتِنا لعبدِنا زكريا .

ذُكر زكريا في القرآن الكريم ثمان مرات :  في سورة آل عمران ،  والأنعام ،  ومريم والأنبياء .  ولم يذكر نسب زكريا في القرآن ولا في كتب الأنبياء عند أهل الكتاب .  وكل ما هو معروف أنه من وَلَدِ سليمان بن داود ،  وكان زوجاً لخالة مريم .  وذكر في حديث المعراج أن زكريا ويحيى ابن خالةٍ ،  وعلى هذا يكون ذلك تجوُّزا .

ويحيى بن زكريا عُرف عنه الصلاح وطلبُ العلم منذ صباه ،  فكان يقضي أكثر أوقاته في البريّة يعيش على العسَل والجراد ،  حتى حصل على رتبة عالية في الشريعة الموسوية ،  وأصبح مرجعا مهما لكل من يَستفتي في أحكامها .  {  وَآتَيْنَاهُ الحكم صَبِيّاً } .

وكان يحيى على أكملِ أوصاف الصلاح والتقوى ،  وقد نُبّىء قبل الثلاثين ،  وكان يدعو الناس إلى التوبة من الذنوب ،  وكان يُعَمِّدُهم في نهر الأردن للتوبة من الخطايا .  وهو الذي عمَّدَ المسيح واسمه عندهم :  يوحَنّا المَعْمَدان .

وكان حاكمُ فلسطين في زمنه :  هيرودس ،  وكانت له بنت أخٍ يقال لها :  هيروديا ،  كانت بارعةَ الجمال ،  فأراد عمُّها أن يتزوجها .  وكانت البنت موافقة وكذلك أمها ،  غير أن يحيى لم يرضَ عن هذا الزواج لأنه محرَّم .  فأخذت الأُم ابنتَها إلى مجلس عمِّها وجعلتها ترقص له ،  وقالت لها :  إذا عَرَضَ عليك شيئا فاطلبي رأس يحيى ،  ففعلتْ .  ووفّى لها عمّها الحاكمُ بذلك .  .  قتل يحيى وأحضر لها رأسه على طبق .  وبعد أن قُتل يحيى أخذ المسيحُ يَجْهَرُ بدعوته ،  وقام في الناس واعظاً ."
19,3,حين دعا ربَّه في خفيةٍ عن الناس .
19,4,"وهَن العظم مني :  ضعف ورقّ من الكبر .

اشتعل الرأسُ شيبا :  صار الشيب كأنه نار ،  والشَّعر كالحطب ،  والمقصود أن رأسه شابَ من الكبر .

ولم أكن بدعائك ربِّ شقيا :  وكنت بدعائي لك سعيدا غير شقي ،  فإنك كنتَ تستجيب لي دائما .

فقال :  ربِّ إني قد ضعُفت وشابَ رأسي ،  وإنك يا ربّ تمنُّ عليَّ دائما وتستجيب دعائي  لذلك فإني سعيدٌ بدعائي لك ولم أكن به شقيا ."
19,5,"الموالي :  أقارب الرجل .

من ورائي :  من بعد موتي .

عاقر :  لا تلد ،  ويقال للرجل والمرأة عاقر .

وليّا .  وارثا .

لقد خِفتُ بعد موتي ألا يحسن أقاربي القيامَ على أمر الدين ،  وامرأتي عاقر لا تلد ،  فارزقْني من رحمتِك وفضلِك غلاماً يخلُفُني في قومي ."
19,6,"رضيّا :  مرضيّا عندك .

اجعله يا ربّ يرثني في العلم والدِين ويرِث من آل يعقوب واجعلْه يا رب بَرّاً تقيا مرضيا عندك وعند خلقك .  والمراد بالوراثة هنا وراثةُ العلم والدين لأن الأَنبياء لا يُوَرّثِون مالاً ولا عقارا .

قراءات :

قرأ أبو عمرو والكسائي :  {  يرثْني ويرثْ من آلِ يعقوبَ } بجَزْمِ الفِعلين ."
19,7,"لم نجعل له من قبل سَمِيّا :  لم يُسمَّ أحد بهذا الاسم قبله .

لقد أخبر الله تعالى زكريا انه أجاب دعاءه وتولى تسمية الولد بنفسِه ،  ونادى :  زكريا ،  إنا نبشّرك بهبتِنا لك غلاماً اسمُه يحيى ،  ولم نسمِّ به أحدا من قبله .

قراءات :

قرأ حمزة :  {  نُبْشِرك } بضم النون وإسكان الباء من أبشر ،  والباقون :  {  نبشرك } بفتح الباء وتشديد الشين ."
19,8,"عَتَا الشيخ :  كبر وانتهى .  وقد بلغت من الكِبَرِ عتيّا :  بلغت من الكبر حالةٌ يبستْ معها مفاصلي وعظامي .

فَسُرَّ زكريا بهذه البشرى وقال متعجباً :  يا ربّ كيف يكون لي ولدٌ وزوجتي عاقر وأنا قد ضعفتُ من الكِبَرِ وبلغت سن الشيخوخة !  .

القراءات

قرأ حمزة والكسائي وحفص :  {  عتيا } بكسر العين ،  والباقون :  {  عتيا } بضم العين ."
19,9,فأوحى الله لعبده زكريا أن الأمر كما بُشِّرْتَ .  إن مَنْحَكَ الولدَ وأنت على هذه الحالة من كبر السنّ وعقم الزوجة هيّن علي .  ثم ذكر ما هو أعجبُ مما سأل عنه فقال :  {  وَقَدْ خَلَقْتُكَ مِن قَبْلُ وَلَمْ تَكُ شَيْئاً } خلقتُك من العدَم .
19,10,"آية :  علامة

سوياً :  سليما صحيحا .

قال زكريا عندما سمع هذه البشرى وتحقَّق من تمامها :  ربِّ اجعل لي علامةً تدلّ على حصول ما بُشرتُ به ،  قال :  علامتك هي أن لا تستطيع الكلامَ مدةَ ثلاثِ ليالٍ وأنت صحيحٌ سليم الحواس ."
19,11,"المحراب :  المصلّى .

فأوحى زكريا إليهم :  أشار إليهم .

فخرج زكريا على قومه من مصلاَّه وهو منطلق اللسان بذِكر الله ولا يستطيع أن يكلِّم الناس ،  فأشار إلى قومه أن سبِّحوا اللّهَ صباحاً ومساء ."
19,12,"الكتاب :  التوراة .

بقوة :  بجد واجتهاد .

الحُكم :  الحكمة والمعرفة .

ثم ناداه الله :  يا يحيى ،  خذ التوراةَ واعمل بجّدٍ واجتهاد وعزم ،  وآتاه الحكمةَ والعلم منذ صباه ،  ونشأ على التقوى ."
19,13,"حنانا :  عطفا على الناس .

وزكاة :  طهارة من الذنوب .

وقد جَعَلَه الله ذا حنانٍ وشفقة على الناس ،  وطهارة نفس ،  وكان تقيا ."
19,14,"وبرا بوالديه :  كثير الإحسان إليهما .

ولم يكن جبارا عصيّا :  لم يكن متكبرا متعاليا مخالفا لما أُمر به .

كما جعلّه كثير البِرّ بوالديه والإحسان إليهما وإلى الناس ،  ولم يجعله متجبّرا عليهم ،

ولا عاصياً لله ."
19,15,"ثم ذكر سبحانه جزاء يحيى على ما قدّم من عمل صالح وأسلف من طاعةِ ربه فقال :

{  وَسَلاَمٌ عَلَيْهِ .  .  .  .  } :  وتحيةٌ من الله عليه ،  وأمانٌ له يوم موته ويوم يُبعث يوم القيامة حيا .  في هذه المواطن الثلاثة يكون العبدُ أحوجَ ما يكون للرحمة والأمان .  ذلك هو يحيى الذي أعطاه الله الحكم صبيا ،  واستجاب دعاء أبيه زكريّا ووهبه ذلك الغلام الطاهر ."
19,16,"انتبذتْ :  اعتزلت .

مكاناً شرقيا :  شرقي بيتَ لحم ،  وذلك في الغور لأنه المكان الوحيد في بلادنا الذي يثمر فيه النخل .

بعد أن ذكر الله قصة زكريا واستجابة دعائه ،  ويحيى الذي أوجده الله من شيخين فانيين ،  ثنى بقصة عيسى لأنها أغرب من ذلك ،  وقد فتنت قصة عيسى عليه السلام كثيرا من البشر حتى تصوروه إلهاً ،  ونسجوا حوله كثيرا من الخرافات والأساطير ،  فجاء القرآن الكريم يقص كيف وقعت هذه القصة العجيبة ،  ويبرز دلالتها الحقيقية ،  وينفي تلك الخرافات والأساطير .

واذكر أيها الرسول ،  ما في القرآن من قصة مريم حين اعتزلت عن أهلها في مكان شرقيّ بيت لحم والقدس حيث كانوا يقيمون ."
