surah_number,ayah_number,tafsir_text
62,1,"{  1 } {  بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ يُسَبِّحُ لِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ الْمَلِكِ الْقُدُّوسِ الْعَزِيزِ الْحَكِيمِ }

أي :  يسبح لله ،  وينقاد لأمره ،  ويتألهه ،  ويعبده ،  جميع ما في السماوات والأرض ،  لأنه الكامل الملك ،  الذي له ملك العالم العلوي والسفلي ،  فالجميع مماليكه ،  وتحت تدبيره ،  {  الْقُدُّوسُ } المعظم ،  المنزه عن كل آفة ونقص ،  {  الْعَزِيزُ } القاهر للأشياء كلها ،  {  الْحَكِيمُ } في خلقه وأمره .

فهذه الأوصاف العظيمة مما تدعو إلى عبادة الله وحده لا شريك له ."
62,2,"{  2-4 } {  هُوَ الَّذِي بَعَثَ فِي الْأُمِّيِّينَ رَسُولًا مِنْهُمْ يَتْلُو عَلَيْهِمْ آيَاتِهِ وَيُزَكِّيهِمْ وَيُعَلِّمُهُمُ الْكِتَابَ وَالْحِكْمَةَ وَإِنْ كَانُوا مِنْ قَبْلُ لَفِي ضَلَالٍ مُبِينٍ * وَآخَرِينَ مِنْهُمْ لَمَّا يَلْحَقُوا بِهِمْ وَهُوَ الْعَزِيزُ الْحَكِيمُ * ذَلِكَ فَضْلُ اللَّهِ يُؤْتِيهِ مَنْ يَشَاءُ وَاللَّهُ ذُو الْفَضْلِ الْعَظِيمِ }

المراد بالأميين :  الذين لا كتاب عندهم ،  ولا أثر رسالة من العرب وغيرهم ،  ممن ليسوا من أهل الكتاب ،  فامتن الله تعالى عليهم ،  منة عظيمة ،  أعظم من منته على غيرهم ،  لأنهم عادمون للعلم والخير ،  وكانوا في ضلال مبين ،  يتعبدون للأشجار والأصنام والأحجار ،  ويتخلقون بأخلاق السباع الضارية ،  يأكل قويهم ضعيفهم ،  وقد كانوا في غاية الجهل بعلوم الأنبياء ،  فبعث الله فيهم رسولاً منهم ،  يعرفون نسبه ،  وأوصافه الجميلة وصدقه ،  وأنزل عليه كتابه {  يَتْلُو عَلَيْهِمْ آيَاتِهِ } القاطعة الموجبة للإيمان واليقين ،  {  وَيُزَكِّيهِمْ } بأن يحثهم على الأخلاق الفاضلة ،  ويفصلها لهم ،  ويزجرهم عن الأخلاق الرذيلة ،  {  وَيُعَلِّمُهُمُ الْكِتَابَ وَالْحِكْمَةَ } أي :  علم القرآن  وعلم السنة ،  المشتمل ذلك علوم الأولين والآخرين ،  فكانوا بعد هذا التعليم والتزكية منه أعلم الخلق ،  بل كانوا أئمة أهل العلم والدين ،  وأكمل الخلق أخلاقًا ،  وأحسنهم هديًا وسمتًا ،  اهتدوا بأنفسهم ،  وهدوا غيرهم ،  فصاروا أئمة المهتدين ،  وهداة المؤمنين ،  فلله عليهم ببعثه هذا الرسول صلى الله عليه وسلم ،  أكمل نعمة ،  وأجل منحة ."
62,3,وقوله {  وَآخَرِينَ مِنْهُمْ لَمَّا يَلْحَقُوا بِهِمْ } أي :  وامتن على آخرين من غيرهم أي :  من غير الأميين ،  ممن يأتي بعدهم ،  ومن أهل الكتاب ،  لما يلحقوا بهم ،  أي :  فيمن باشر  دعوة الرسول ،  ويحتمل أنهم لما يلحقوا بهم في الفضل ،  ويحتمل أن يكونوا لما يلحقوا بهم في الزمان ،  وعلى كل ،  فكلا المعنيين صحيح ،  فإن الذين بعث الله فيهم رسوله وشاهدوه وباشروا دعوته ،  حصل لهم من الخصائص والفضائل ما لا يمكن أحدًا أن يلحقهم فيها ،  وهذا من عزته وحكمته ،  حيث لم يترك عباده هملاً ولا سدى ،  بل ابتعث فيهم الرسل ،  وأمرهم ونهاهم .
62,4,وذلك من فضل الله العظيم ،  الذي يؤتيه من يشاء من عباده ،  وهو أفضل من نعمته عليهم بعافية البدن وسعة الرزق ،  وغير ذلك ،  من النعم الدنيوية ،  فلا أعظم من نعمة الدين التي هي مادة الفوز ،  والسعادة الأبدية .
62,5,"{  5-8 } {  مَثَلُ الَّذِينَ حُمِّلُوا التَّوْرَاةَ ثُمَّ لَمْ يَحْمِلُوهَا كَمَثَلِ الْحِمَارِ يَحْمِلُ أَسْفَارًا بِئْسَ مَثَلُ الْقَوْمِ الَّذِينَ كَذَّبُوا بِآيَاتِ اللَّهِ وَاللَّهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ * قُلْ يَا أَيُّهَا الَّذِينَ هَادُوا إِنْ زَعَمْتُمْ أَنَّكُمْ أَوْلِيَاءُ لِلَّهِ مِنْ دُونِ النَّاسِ فَتَمَنَّوُا الْمَوْتَ إِنْ كُنْتُمْ صَادِقِينَ * وَلَا يَتَمَنَّوْنَهُ أَبَدًا بِمَا قَدَّمَتْ أَيْدِيهِمْ وَاللَّهُ عَلِيمٌ بِالظَّالِمِينَ * قُلْ إِنَّ الْمَوْتَ الَّذِي تَفِرُّونَ مِنْهُ فَإِنَّهُ مُلَاقِيكُمْ ثُمَّ تُرَدُّونَ إِلَى عَالِمِ الْغَيْبِ وَالشَّهَادَةِ فَيُنَبِّئُكُمْ بِمَا كُنْتُمْ تَعْمَلُونَ }

لما ذكر تعالى منته على هذه الأمة ،  الذين ابتعث فيهم النبي الأمي ،  وما خصهم الله به من المزايا والمناقب ،  التي لا يلحقهم فيها أحد وهم الأمة الأمية الذين فاقوا الأولين والآخرين ،  حتى أهل الكتاب ،  الذين يزعمون أنهم العلماء الربانيون والأحبار المتقدمون ،  ذكر أن الذين حملهم الله التوراة من اليهود وكذا النصارى ،  وأمرهم أن يتعلموها ،  ويعملوا بما فيها ،  وانهم لم يحملوها ولم يقوموا بما حملوا به ،  أنهم لا فضيلة لهم ،  وأن مثلهم كمثل الحمار الذي يحمل فوق ظهره أسفارًا من كتب العلم ،  فهل يستفيد ذلك الحمار من تلك الكتب التي فوق ظهره ؟  وهل يلحق به فضيلة بسبب ذلك ؟  أم حظه منها حملها فقط ؟  فهذا مثل علماء اليهود  الذين لم يعملوا بما في التوراة ،  الذي من أجله وأعظمه الأمر باتباع محمد صلى الله عليه وسلم ،  والبشارة به ،  والإيمان بما جاء به من القرآن ،  فهل استفاد من هذا وصفه من التوراة إلا الخيبة والخسران وإقامة الحجة عليه ؟  فهذا المثل مطابق لأحوالهم .

بئس مثل القوم الذين كذبوا بآيات الله الدالة على صدق رسولنا وصدق ما جاء به .

{  وَاللَّهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ } أي :  لا يرشدهم إلى مصالحهم ،  ما دام الظلم لهم وصفًا ،  والعناد لهم نعتًا ."
62,6,ومن ظلم اليهود وعنادهم ،  أنهم يعلمون أنهم على باطل ،  ويزعمون أنهم على حق ،  وأنهم أولياء الله من دون الناس .
62,7,ولهذا أمر الله رسوله ،  أن يقول لهم :  إن كنتم صادقين في زعمكم أنكم على الحق ،  وأولياء الله :  {  فَتَمَنَّوُا الْمَوْتَ } وهذا أمر خفيف ،  فإنهم لو علموا أنهم على حق لما توقفوا عن هذا التحدي الذي جعله الله دليلاً على صدقهم إن تمنوه ،  وكذبهم  إن لم يتمنوه ولما لم يقع منهم مع الإعلان لهم بذلك ،  علم أنهم عالمون ببطلان ما هم عليه وفساده ،  ولهذا قال :  {  وَلَا يَتَمَنَّوْنَهُ أَبَدًا بِمَا قَدَّمَتْ أَيْدِيهِمْ } أي من الذنوب والمعاصي ،  التي يستوحشون من الموت من أجلها ،  {  وَاللَّهُ عَلِيمٌ بِالظَّالِمِينَ } فلا يمكن أن يخفى عليه من ظلمهم شيء .
62,8,"هذا وإن كانوا لا يتمنون الموت بما قدمت أيديهم ،  و يفرون  منه [ غاية الفرار ] ،  فإن ذلك لا ينجيهم ،  بل لا بد أن يلاقيهم الموت الذي قد حتمه الله على العباد وكتبه عليهم .

ثم بعد الموت واستكمال الآجال ،  يرد الخلق كلهم يوم القيامة إلى عالم الغيب والشهادة ،  فينبئهم بما كانوا يعملون ،  من خير وشر ،  قليل وكثير ."
62,9,"{  9-11 } {  يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا نُودِيَ لِلصَّلَاةِ مِنْ يَوْمِ الْجُمُعَةِ فَاسْعَوْا إِلَى ذِكْرِ اللَّهِ وَذَرُوا الْبَيْعَ ذَلِكُمْ خَيْرٌ لَكُمْ إِنْ كُنْتُمْ تَعْلَمُونَ * فَإِذَا قُضِيَتِ الصَّلَاةُ فَانْتَشِرُوا فِي الْأَرْضِ وَابْتَغُوا مِنْ فَضْلِ اللَّهِ وَاذْكُرُوا اللَّهَ كَثِيرًا لَعَلَّكُمْ تُفْلِحُونَ * وَإِذَا رَأَوْا تِجَارَةً أَوْ لَهْوًا انْفَضُّوا إِلَيْهَا وَتَرَكُوكَ قَائِمًا قُلْ مَا عِنْدَ اللَّهِ خَيْرٌ مِنَ اللَّهْوِ وَمِنَ التِّجَارَةِ وَاللَّهُ خَيْرُ الرَّازِقِينَ }

يأمر تعالى عباده المؤمنين بالحضور لصلاة الجمعة والمبادرة إليها ،  من حين ينادى لها والسعي إليها ،  والمراد بالسعي هنا :  المبادرة إليها والاهتمام لها ،  وجعلها أهم الأشغال ،  لا العدو الذي قد نهي عنه عند المضي إلى الصلاة ،  وقوله :  {  وَذَرُوا الْبَيْعَ } أي :  اتركوا البيع ،  إذا نودي للصلاة ،  وامضوا إليها .

فإن {  ذَلِكُمْ خَيْرٌ لَكُمْ } من اشتغالكم بالبيع ،  وتفويتكم الصلاة الفريضة ،  التي هي من آكد الفروض .

{  إِنْ كُنْتُمْ تَعْلَمُونَ } أن ما عند الله خير وأبقى ،  وأن من آثر الدنيا على الدين ،  فقد خسر الخسارة الحقيقية ،  من حيث ظن أنه يربح ،  وهذا الأمر بترك البيع مؤقت مدة الصلاة ."
62,10,{  فَإِذَا قُضِيَتِ الصَّلَاةُ فَانْتَشِرُوا فِي الْأَرْضِ } لطلب المكاسب والتجارات ولما كان الاشتغال في التجارة ،  مظنة الغفلة عن ذكر الله ،  أمر الله بالإكثار من ذكره ،  فقال :  {  وَاذْكُرُوا اللَّهَ كَثِيرًا } أي في حال قيامكم وقعودكم وعلى جنوبكم ،  {  لَعَلَّكُمْ تُفْلِحُونَ } فإن الإكثار من ذكر الله أكبر أسباب الفلاح .
