surah_number,ayah_number,tafsir_text
72,1,"بسم الله الرحمن الرحيم

{ قل أوحي إلي أنه } ،   الضمير للشأن ،   { استمع نفر } : جماعة ما بين الثلاثة إلى العشرة ،   { من الجن } ،   أمر الله رسوله أن يخبر قومه أن جماعة من الجن استمعوا للقرآن ،   فآمنوا به وصدقوه ،   { فقالوا } : حين رجعوا إلى قومهم ،   { إنا سمعنا قرآنا عجبا } : في نهاية البلاغة مصدر وضع المبالغة موضع العجيب ،"
72,2,{ يهدي } : الخلق ،   { إلى الرشد } : إلى الصواب ،   والسداد ،   { فآمنا به ولن نشرك بربنا أحدا } ،   ولن نعود إلى ما كنا عليه من الإشراك ،
72,3,"{ وأنه } أي : الشأن ،   { تعالى جد } : عظمة ،   { ربنا } ،   أو علا ملكه ،   أو غناه ،   وقراءة  "" إن ""  بالكسر عطف على  "" إنا سمعنا ""  من جملة المقول ،   وأما الفتح ،   فعلى العطف على  "" به ""  في  "" آمنا به ""  بحذف حرف الجر وحذفه من أن وإن كثير والأولى عندي أن يكون عطفا لعلى أنه استمع أي : أوحى إلى هذا الكلام ،   وهو أنه تعالى جد ربنا حكاية عن كلام الجن حتى لا يحتاج في وأنه كان رجال وغيره إلى تمحل عظيم ،   فتأمل ،  { ما اتخذ صاحبة ولا ولدا } بيان لقوله تعالى : ""  جد ربنا ""  ،   كأنه قال : تعالى عظمته عن اتخاذ الصاحبة والولد ،"
72,4,{ وأنه كان يقول سفيهنا } : إبليس ،   أو جاهلنا ،   { على الله شططا } أي : قولا ذا شطط ،   وهو مجاوزة الحد في الظلم ،
72,5,"{ وأنا ظننا أن لن تقول الإنس والجن على الله كذبا } أي : حسبنا أن أحدا لن يفتري عليه ،   فكنا نصدق ما أضافوا إليه حتى تبين لنا من القرآن افتراؤهم ،   و "" كذبا ""  مصدر ؛ لأنه نوع من القول ،"
72,6,{ وأنه كان رجال من الإنس ويعودون برجال من الجن } إذا نزلوا واديا في الجاهلية قالوا : أعوذ بسيد هذا الوادي من شر سفهاء قومه ،   كما كانت عادتهم دخول بلاد الأعداء في جوار رجل كبير منهم ،   وخفارته ،   { فزادوهم } أي : الجن والإنس ،   { رهقا } : إخافة وإرهابا ،   عن عكرمة : كان إذا نزل الإنس واديا هرب الجن منهم ،   فلما سمع الجن يقول الإنس : نعوذ بأهل هذا الوادي قالوا : نراهم يفرقون منا كما نفرق منهم فدنوا من الإنس فأصابوهم بالجنون ،   والخبل ،   أو فزاد الجن تكبرا وطغيانا بسبب استعاذة الإنس بهم ،
72,7,{ وأنهم } : أي : الإنس : { ظنوا كما ظننتم } : أيها الجن ،   { أن لن يبعث الله أحد } : بعد ذلك بالرسالة أو لا بعث ،   ولا حشر ،   وهذا قول نفر من الجن لقومهم حين رجعوا إليهم ،
72,8,{ وأنا لمسنا } : طلبنا ،   واللمس والمس استعير للطلب ،   لأن الماس طالب متعرف ،   { السماء } أي : بلوغها لاستراق السمع ،   { فوجدناها ملئت حرسا } ،   اسم بمعنى الحراس كالخدم ،   { شديدا } : من الملائكة ،   { وشهبا } : من النجوم ،
72,9,{ وأنا كنا } : قبل ذلك ،   { نقعد منها } : من السماء ،   { مقاعد } : صالحة للترصد ،   { للسمع } : لاستماع أخبار السماء ،   { فمن يستمع الآن يجد له شهابا رصدا } : راصدا لأجله يمنعه من الاستماع ،
72,10,{ وأنا لا ندري أشر أريد بمن في الأرض } : بحراسة السماء ،   { أو أراد بهم ربهم رشدا } : خيرا ،   وهذا من أدبهم ،   حيث أسندوا الشر إلى غير فاعل ،   ثم اعلم أن الكواكب يرمي بها قبل المبعث ،   لكن ليس بكثير ،   والأحاديث تدل عليه ،   وبعد مبعثه قد كثرت الشهب بحيث لم يقدر الجن بعد على استراق السمع من غير أن يأتيه شهاب ،   فهال ذلك الإنس والجن ،   نعم : قد يسترق كلمة فيلقيها إلى صاحبه ،   ثم يدركه الشهاب كما ورد في الصحيحين ،   وهذا هو الذي حملهم على تطلب السبب في ذلك ،   فأخذوا يضربون مشارق الأرض ومغاربها حتى وجدوا رسول الله- صلى الله عليه وسلم- يقرأ في الصلاة فعرفوا أن هذا هو السبب في حراسة السماء ،   فآمن من آمن منهم ،   وتمرد من تمرد ،
72,11,{ وأنا منا الصالحون ومنا } : قوم ،   { دون ذلك } ،   وهم الطالحون ،   أو المقتصدون ،   { كنا طرائق قددا } أي : كنا ذوي مذاهب متفرقة ،
72,12,{ وأنا ظننا } أي : علمنا ،   { أن لن نعجز الله في الأرض } : إن أراد بنا أمرا ،   { ولن نعجزه } : إن طلبنا ،   { هربا } : هاربين ،   وفي الأرض وهربا حالان وفائدة ذكر الأرض تصوير أنه مع تلك البسطة ليس فيها بمهرب من الله ،
72,13,{ وأنا لما سمعنا الهدى } : القرآن ،   { آمنا به } ،   كرروا ذلك للافتخار ،   { فمن يؤمن بربه فلا يخاف } أي : فهو لا يخاف بحذف المبتدأ للدلالة على الاختصاص ،   ولذلك لم يقل لا يخف ،   { بخسا } : نقصا في الجزاء ،   { ولا رهقا } : ظلما ،
72,14,{ وأنا منا المسلمون ومنا القاسطون } : الحائرون عن الحق ،   { فمن أسلم فأولئك تحروا } : قصدوا ،   { رشدا } : عظيما ،
72,15,{ وأما القاسطون فكانوا لجهنم حطبا } : كما لكفار الإنس ،
72,16,{ وأن لو استقاموا } ،   عطف على أنه استمع لا غير أي : وأن الشأن لو استقام الجن أو الإنس والجن ،   { على الطريقة } : الحسنى ،   وآمنوا كلهم ،   { لأسقيناهم ماء غدقا } : مطرا كثيرا ،   ووسعنا عليهم في الرزق ،
72,17,{ لنفتنهم } : نحشرهم ،   { فيه } : في سقي الماء كيف يشكرونه { آلم أحسب الناس أن يتركوا أن يقولوا آمنا وهم لا يفتنون }( العنكبوت :1 ،   2 ) أو معناه أن لو استقاموا على طريقتهم القديمة من الكفر لأوسعنا عليهم الرزق استدراجا كما قال تعالى :{ فلما نسوا ما ذكروا به فتحنا عليهم } الآية ( الأنعام :44 ) { ومن يعرض عن ذكر ربه } : ولم يؤمن به ،   { يسلكه } : يدخله ،   { عذابا صعدا } : شاقا يعلو المعذب مصدر وصف به ابن عباس- رضي الله عنهما- هو جبل في جهنم ،
72,18,{ وأن المساجد } : مواضع بنيت للعبادة ،   أو المراد جميع الأرض ،   أو أعضاء السجود ،   { لله فلا تدعوا } : فلا تعبدوا أيها الإنس والجن ،   { مع الله أحدا } : فيها ،   أو بها نزلت حين قالت الجن : ائذن لنا يا رسول الله فنشهد معك الصلوات في مسجدك ،   أو حين قالوا : كيف نشهد الصلاة ونحن ناءون عنك ؟ وعن قتادة اليهود والنصارى أشركوا بالله في كنائسهم فأمرنا الله بالتوحيد ،
