surah_number,ayah_number,tafsir_text
24,2,"346- معنى قول الله- عز وجل- :  {  الزانية والزاني فاجلدوا كل واحد منهما مائة جلدة } معناه الأبكار دون من قد أحصن ،  وأما المحصن فحده الرجم ،  إلا عند الخوارج ،  ولا يعدهم العلماء خلافا ،  لجهلهم وخروجهم عن جماعة المسلمين .  ( ت :  5/324 )

347- روى وكيع عن عمران بن حدير ،  عن أبي مجلز ،  في قوله- عز وجل :  {  و لا تأخذكم بهما رأفة في دين الله } ،  قال :  إقامة الحدود إذا رفعت إلى السلطان .  ( س :  24/92-93 )"
24,3,"348- أخبرنا عبد الله ،  حدثنا محمد ،  حدثنا أبو داود ،  حدثنا إبراهيم بن محمد التميمي ،  قال :  حدثنا يحيى ،  عن عبيد الله بن الأخنس ،  عن عمرو بن شعيب ،  عن أبيه ،  روى عن جده ،  أن مرثد الغنوي كان يحمل الأسارى بمكة ،  وكان بمكة بغي يقال لها عناق ،  وكانت صديقته ،  قال :  جئت النبي- صلى الله عليه وسلم- وقلت :  يا رسول الله ،  أنكح عناقا ؟  قال :  فسكت عني ،  ونزلت :  {  الزاني لا ينكح إلا زانية }-الآية ،  فدعاني صلى الله عليه وسلم وقرأها علي ،  وقال :  ( لا تتزوجها ) .  ( الاستيعاب :  3/1385 )

349- قال أبو عمر :  قد يأتي النهي بلفظ الخبر ،  ويكون معناه النهي ،  وذلك موجود في كتاب الله كثير ،  نحو قوله :  {  الزاني لا ينكح إلا زانية أو مشركة } ،  جاء بلفظ الخبر ،  وكان سعيد بن المسيب وغيره يقول :  إنها منسوخة بقول الله- عز وجل- :  {  وانكحوا الأيامى منكم } ،  ولو لم يكن عمده في هذا الخبر معنى النهي ؛  ما أجاز فيه النسخ ،  ومثله كثير .  ( ت :  17/399 )"
24,6,"350- قال مالك :  فالأمر الذي لا اختلاف فيه عندنا أن الذي يجلد الحد ثم تاب وأصلح ،  تجوز شهادته ،  وهو أحب ما سمعت إلي في ذلك .

قال أبو عمر :  هذا يدل على أنه سمع الاختلاف في هذه المسالة .  ( س :  22/35 )

351- قال أبو عمر :  إنما جعل الله الذين يرمون المحصنات فاسقين برميهم لهن لا بجلدهم ،  والمحصنون في حكم المحصنات بإجماع ،  وكذلك كل مؤمن محمول على العفاف حتى يصح غيره ،  وقذف المؤمن من الكبائر ،  فمن قذفه سقطت شهادته حتى تصح براءته- والله أعلم وبالله التوفيق .  ( س :  22/45 )"
24,8,"352- اليمين قد تسمى شهادة ،  قال الله تعالى ذكره :  {  أربع شهادات بالله } ،  أي أربه أيمان .  ( س :  22/27 )

353- قال الضحاك في قوله :  {  ويدؤوا عنها العذاب أن تشهد أربع شهادات بالله }-الآية ،  قال :  إن أبت أن تلاعن رجمت إن كانت ثيبا ،  وجلدت إن كانت بكرا ،  وهو قول الجمهور .  ( س :  17/210 )"
24,27,"354- مالك عن ربيعة بن أبي عبد الرحمان ،  عن غير واحد من علمائهم ،  أن أبا موسى الأشعري جاء يستأذن على عمر بن الخطاب .  فاستأذن ثلاثا ثم رجع ،  فأرسل عمر بن الخطاب في أثره فقال :  مالك لم تدخل ؟  فقال أبو موسى :  سمعت رسول الله- صلى الله عليه وسلم- يقول :  ( الاستئذان ثلاث ،  فإن أذن لك فادخل وإلا فارجع ) .  فقال عمر :  ومن يعلم هذا ؟  لئن لم تأتني بمن يعلم ذلك لأفعلن بك كذا وكذا ،  فخرج أبو موسى حتى جاء مجلسا في المسجد يقال له مجلس الأنصار .  فقال :  إني أخبرت عمر بن الخطاب أني سمعت رسول الله- صلى الله عليه وسلم يقول :  الاستئذان ثلاث ،  فغن أذن لك فادخل وإلا فارجع ) .  فقال :  لئن لم تأتني بمن يعلم هذا لأفعلن بك كذا وكذا ،  فإن كان سمع ذلك أحد منكم فليقم معي .  فقالوا لأبي سعيد الخذري :  قم معه ،  وكان أبو سعيد أصغرهم .  فقام معه ،  فأخبر بذلك عمر بن الخطاب ،  فقال عمر بن الخطاب لأبي موسى :  أما إني لم أتهمك ولكن خشيت أن يتقول الناس على رسول الله – صلى الله عليه وسلم .

قال أبو عمر :  في هذا الحديث من الفقه إيجاب الاستئذان ،  وهو يخرج في تفسير قول الله – عز وجل :  {  لا تدخلوا بيوتا غير بيوتكم حتى تستأذنوا وتسلموا على أهلها } ،  والاستئناس في هذا الموضع هو الاستئذان ،  كذلك قال أهل التفسير ،  وكذلك في قراءة أبي ،  وابن عباس  "" تستأذنوا وتسلموا على أهلها ""  .

أخبرنا عبد الوارث بن سفيان ،  قال :  حدثنا قاسم بن أصبغ ،  قال :  حدثنا محمد بن إسماعيل أبو جعفر الصائغ ،  قال :  حدثنا عفان ،  قال :  حدثني ثابت بن زيد ،  قال :  حدثنا عاصم الأحول ،  عن عكرمة ،  قال :  في قراءة أبي بن كعب :  حتى تسلموا أو تستأذنوا ،  قال :  وتعلم منه ابن عباس .  ( ت :  3/196-197 )"
24,31,"355- قال أبو عمر :  اختلف العلماء في تأويل قول الله – عز وجل :  {  ولا يبدين زينتهن إلا ما ظهر منها } ،  فروي عن ابن عباس وابن عمر :  {  إلا ما ظهر منها } ،  الوجه والكفان ،  وروي عن ابن مسعود :  {  ما ظهر منها } ،  الثياب ،  قال :  لا يبدين قرطا ،  ولا قلادة ،  ولا سوارا ،  ولا خلخالا ،  إلا ما ظهر من الثياب .  وقد روي عن أبي هريرة في قوله تعالى :  {  ولا يبدين زينتهن إلا ما ظهر منها } ،  قال :  القلب والفتحة ،  رواه ابن وهب عن جرير بن حازم ،  قال :  حدثني قيس بن سعد ؛  أن أبا هريرة كان يقول :  فذكره .  قال جرير بن حازم ،  القلب :  السوار .  والفتحة :  الخاتم ،  وقال جابر بن زيد :  هي كحل في عين أو خاتم في خنصر .  وقال سعيد بن جبير :  الجلباب والرداء .  وعن عائشة مثل قول أبي هريرة .  وقد روي عن ابن مسعود – ولا يصح – البنان ،  والقرط ،  والدملج ،  والخلخال ،  والقلادة يريد موضع ذلك- والله أعلم .  واختلف التابعون فيها أيضا على هذين القولين ،  وعلى قول ابن عباس وابن عمر الفقهاء في هذا الباب .  ( ت :  6/368-369 .  وانظر س :  5/444-445 )

356- قال أبو عمر :  اختلف العلماء في معنى قوله تعالى :  {  أو ما ملكت أيمانهن } ،  في الآيتين ،  إحداهما في سورة النور ،  قوله :  {  وليضربن بخمرهن على جيوبهن ولا يبدين زينتهن إلا لبعولتهن أو آبائهن أو أبناء بعولتهن أو أبنائهن أو أبناء بعولتهن أو إخوانهن أو بني إخوانهن أو بني أخواتهن أو نسائهن أو ما ملكت أيمانهن } .  والأخرى في سورة الأحزاب ،  قوله :  {  لا جناح عليهن في آبائهن ولا أبنائهن ولا إخوانهن ولا أبناء إخوانهن ولا أبناء أخواتهن ولا نسائهن ولا ما ملكت أيمانهن } .  ذكر إسماعيل ابن إسحاق ،  قال :  حدثنا أبو بكر- يعني ابن أبي شيبة- قال :  أخبرنا أبو أسامة .  عن يونس بن أبي إسحاق .  عن طارق .  عن ابن المسيب .  قال :  لا تغرنكم هذه الآية :  {  أو ما ملكت أيمانهن } ،  إنما عني بها الآباء ولم يعن بها العبيد ،  قال :  وأخبرنا أبو بكر قال :  أخبرنا شريك ،  عن السدي ،  عن أبي مالك ،  عن ابن عباس قال :  لا بأس أن ينظر المملوك إلى شعر مولاته .  ( ت :  16/325-236 )

357- اختلف العلماء في معنى قوله- عز وجل- :  {  أو التابعين غير أولي الإربة من الرجال } اختلافا متقارب المعنى لمن تدبر .

ذكر ابن أبي شيبة ،  قال :  حدثنا سهل بن يوسف ،  عن عمرو ،  عن الحسن :  {  أو التابعين غير أولي الإربة من الرجال } ،  قال :  هم قوم طبعوا على التخنيث ،  فكان الرجل منهم يتبع الرجل يخدمه ليطعمه وينفق عليه ،  لا يستطيعون غشيان النساء ولا يشتهونهن قال :  وحدثنا ابن إدريس ،  عن ليث ،  عن مجاهد في قوله :  {  غير أولي الإربة من الرجال } ،  قال :  هو الأبله الذي لا يعرف أمر النساء .  قال :  وأخبرنا جرير عن مغيرة ،  عن الشعبي ،  قال :  هو الذي لم يبلغ أربه أن يطلع على عورات النساء .  وذكر محمد بن ثور ،  وعبد الرزاق- جميعا- عن معمر ،  عن قتادة :  {  أو التابعين غير أولي الإربة } ،  قال :  هو التابع الذي تبعك فيصيب من طعامك ،  {  غير أولي الإربة } ،  يقول :  لا إرب له ،  ليس له في النساء حاجة .

وعن علقمة قال :  هو الأحمق الذي لا يريد النساء ولا يردنه ،  وعن طاوس وعكرمة مثله ،  وعن سعيد بن جبير :  هو الأحمق الضعيف العقل ،  وعن عكرمة أيضا هو العنينووكيع عن سفيان ،  عن ابن أبي نجيح ،  عن مجاهد قال :  هو الذي يريد الطعام ،  ولا يريد النساء ،  ليس له هم إلا بطنه ،  وعن الشعبي أيضا ،  وعطاء مثله ،  وعن الضحاك هو الأبله .  وقال الزهري :  هو الأحمق الذي لا همة له في النساء ولا أرب .  وقيل :  كل من لا حاجة له في النساء من الأتباع نحو الشيخ والهرم ،  والمجبوب .  والطفل ،  والمعتوه ،  والعنين .  ( ت :  22/273-274 )

قال أبو عمر :  هذه أقاويل متقاربة المعنى ،  ويجتمع في أنه لا فهم له ولا همة ينتبه بها إلى أمر النساء ."
24,33,"358- أصح ما في تأويل الآية- والله أعلم- أن الخير المذكور فيها هو القدرة على الاكتساب مع الأمانة ،  وقد يكتسب السؤال كما قيل :  السؤال آخر كسب الرجل ،  أي أرذل كسب الرجل .  ( س :  23/194 )

359- اختلف أهل العلم في معنى قول الله- عز وجل- :  {  وآتوهم من مال الله الذي آتاكم } فذهبت طائفة من أهل العلم- وهو قول بعض أهل النظر من متأخري أصحاب الشافعي- إلى أن قوله – عز وجل- :  {  وآتوهم من مال الله } ،  لم يرد به سيدي المكاتبين ؛  وإنما هو خطاب عام للناس ،  مقصود به إلى من أتاه الله مالا تجب فيه زكاة .  فأعلم الله عباده أن وضع الزكاة في العبد المكاتب جائز وإن كان لا يؤمن عليه العجز ،  وخصه من بين سائر العبيد بذلك ،  فجعل للمكاتبين حقا في الزكوات بقوله :  {  وفي الرقاب } قالوا :  وهذا هو الوجه الذي يجب الاعتماد عليه في الإيتاء المذكور في الآية ،  لأن وضع بعض الكتابة لا تسميه العرب إيتاء ،  والإيتاء هو إعطاء ما تتناوله الأيدي بالدفع والقبض ،  وهذا هو المعروف عند أهل اللسان ؛  قالوا :  ولو أراد الوضع عن المكاتب ،  لقال :  ضعوا عنهم ،  أو فأعينوهم به ،  بل هو من مال غير الكتابة ،  ومعروف في نظام القرآن أن يسبق بضمير على غيره كما قال :  {  وإذا طلقتم النساء فبلغن أجلهن فلا تعضلوهن } ،  والمأمور بالعضل :  الأولياء لا المطلقون ،  ومثله قوله :  {  أولئك مبرءون مما يقولون } ،  والمبرؤون غير القائلين ،  وهذا كثير في القرآن .  ( ت :  22/188 )

360- روي عن علي بن أبي طالب وابن عباس في قوله – عز وجل- :  {  وءاتوهم من مال الله الذي آتاكم } ،  قال :  الربع من كتابته .

وقال أبو حنيفة وأصحابه :  ليس على السيد أن يضع عن مكاتبه شيئا من كتابته وتأويل قول الله- عز وجل- عندهم :  {  وءاتوهم من مال الله الذي آتاكم } ،  على الندب والحض على الخير لا على الإيجاب .

وممن روي عنه أن الأمر بالإيتاء ندب وحض :  بريدة الأسلمي ،  والحسن البصري ،  وإبراهيم النخعي ،  وسفيان الثوري ،  وكان يرى الإيتاء أيضا فرضا من غير حد ،  ولا يرى وضع آخرها من هذا المعنى .  ( ت :  22/189 )"
24,36,361- روى أبو كريب قال :  حدثنا أبو سلمة قال :  حدثنا صالح بن حسان ،  قال :  حدثنا عبد الله بن بريدة في قول الله- عز وجل- :  {  في بيوت أذن الله أن ترفع ويذكر فيها اسمه } ،  إنما هي أربعة مساجد لم يبنهن إلا نبي :  الكعبة بناها إبراهيم وإسماعيل ،  وبيت أريحا- بيت المقدس- بناه داود وسليمان ،  ومسجد المدينة ومسجد قباء الذي أسس على التقوى بناهما رسول الله – صلى الله عليه وسلم .  ( ت :  13/268 )
24,58,"362- قال بعض أهل العلم :  إن الاستئذان ثلاث مأخوذ من قول الله- عز وجل- :  {  يا أيها الذين آمنوا ليستأذنكم الذين ملكت أيمانكم والذين لم يبلغوا الحلم منكم ثلاث مرات } ،  قال :  يريد ثلاث دفعات .  قال :  فورد القرآن في المماليك والصبيان ،  وسنة رسول الله صلى الله عليه وسلم للناس أجمعين .

قال أبو عمر :  ما ذكره هذا القائل ،  وإن كان له وجه ،  فإنه غير معروف عن العلماء في تفسير الآية التي نزع بها .  والذي عليه جمهور أهل العلم في قوله- عز وجل- في هذه الآية :  {  ثلاث مرات } ،  أي ثلاث أوقات ،  ويدل على صحة هذا القول مساق الآية وتمامها فيها :  {  من قبل صلاة الفجر وحين تضعون ثيابكم من الظهيرة ومن بعد صلاة العشاء ثلاث عورات لكم ليس عليكم ولا عليهم جناح بعدهن طوافون عليكم بعضكم على بعض } ،  وللكلام في هذه الآية في معنى العورات موضع غير هذا .  ( س :  27/161-162 )

363- قال مجاهد في قول الله- عز وجل : {  يا أيها الذين آمنوا ليستأذنكم الذين ملكت أيمانكم }ن قال :  عبيدكم المملوكون .  {  والذين لم يبغوا الحلم منكم } ،  قال :  الذين لم يحتلموا من أحراركم .

وقال ابن جريج :  قلت لعطاء :  {  وإذا بلغ الأطفال منكم الحلم فليستأذنوا } قال :  واجب على الناس جميعا أن يستأذنوا أحرار كانوا أو عبيدا .

وقال سفيان ،  عن أبي حصين ،  عن أبي عبد الرحمان السلمي ،  قال :  {  ليستأذنكم الذين ملكت أيمانكم } ،  قال :  النساء ،  ما عنى بها إلا النساء .  قال سفيان :  نحن نقول :  عنى بها الرجال إذا بلغوا الحلم استأذنوا .

وقال أبو إسحاق الفزاري :  قلت للأوزاعي :  ما حد الطفل الذي يستأذن ؟  قال :  ابن أربع سنين ،  قال :  لا يدخل على المرأة حتى يستأذن .

قال أبو عمر :  قد جاءت رخصة في المملوك الوغد ،  وفي معاني من هذا الباب ،  تركت ذكرها ؛  لأني لم أر من الصواب إلا أن يكون المملوك من غير أولي الإربة ،  فيكون حكمه حكم الأطفال الذين لا يفطنون لعورات النساء ،  وكم من المماليك الأوغاد أتى منهم الفساد .  ( س :  26/344-345 )

364- معنى الطوافين علينا :  الذين يداخلوننا ويخالطوننا ،  ومنه قوله تعالى في الأطفال : {  طوافون عليكم بعضكم على بعض } .  ( س :  2/115 )"
24,59,/ت58
