surah_number,ayah_number,tafsir_text
9,5,"{  فاقتلوا المشركين } .

487- يخرج من قوله {  اقتلوا المشركين } أهل الذمة مرة والعسيف مرة ،  والمرأة مرة أخرى ،  وكذلك على التدريج والإحالة في شيء من ذلك .  [ المستصفى :  1/382 ] ."
9,14,"{  قاتلوهم يعذبهم الله بأيديكم } .

488- يدرك الفرق بين حقائق المعاني وظاهر التفسير بمثال ؛  قال تعالى :  {  قاتلوهم يعذبهم الله بأيديكم } فإن كانوا هم المقاتلين كيف يكون الله سبحانه هو المعذب ؟  وإن كان الله تعالى هو المعذب بتحريك أيديهم فما معنى أمرهم بالقتال ؟

وحقيقة هذا يستمد من بحر عظيم من علوم المكاشفات لا يغني عنه ظاهر التفسير وهو أن يعلم وجه ارتباط الأفعال بالقدرة الحادثة ،  ويفهم وجه ارتباط القدرة بقدرة الله عز وجل حتى ينكشف بعد إيضاح أمور كثيرة غامضة ،  صدق قوله عز وجل :  {  وما رميت إذ رميت ولكن الله رمى } ولعل العمر لو أنفق في استكشاف أسرار هذا المعنى وما يرتبط بمقدماته ولواحقه لا يقضى العمر قبل استيفاء جميع لواحقه ،  وما من كلمة من القرآن إلا وتحقيقها محوج إلى مثل ذلك ،  وإنما ينكشف للراسخين في العلم من أسراره بقدر غزارة علومهم وصفاء قلوبهم وتوفر دواعيهم على التدبر وتجردهم للطلب ،  ويكون لكل واحد حد  الترقي إلى درجة أعلى منه .  فأما الاستيفاء فلا مطمع فيه ولو كان البحر مدادا والأشجار أقلاما ،  فأسرار كلمات الله لا نهاية لها ،  فتنفد الأبحر قبل أن تنفد كلمات الله عز وجل .

فمن هذا الوجه تتفاوت الخلق في الفهم بعد الاشتراك في معرفة ظاهرة التفسير وظاهرة التفسير لا يغني عنه [ الإحياء :  1/346 ] .

489- {  قاتلوهم يعذبهم الله بأيديكم } فأضاف القتل إليهم والتعذيب إلى نفسه ،  والتعذيب هو عين القتل ،  بل صرح وقال تعالى :  {  فلم تقتلوهم ولكن الله قتلهم } [ الإحياء :  4/273 ] ."
9,24,"{  قل إن كان آباؤكم وأبناؤكم وإخوانكم وأزواجكم وعشيرتكم وأموال اقترفتموها وتجارة تخشون كسادها ومساكن ترضونها أحب إليكم من الله ورسوله وجهاد في سبيله فتربصوا حتى يأتي الله بأمره } الآية .

490- ٍأجرى ذلك في معرض التهديد والإنكار [ نفسه :  4/312 ]"
9,25,"{  ويوم حنين إذ أعجبتكم كثرتكم فلم تغن عنكم شيئا وضاقت عليكم الأرض بما رحبت ثم وليتم مدبرين } .

491- لما اتكل أصحاب رسول الله صلى الله عليه وسلم يوم حنين على قوتهم وكثرتهم ،  ونسوا فضل الله تعالى ،  وقالوا لا نغلب اليوم من قلة وكلوا إلى أنفسهم فقال تعالى :  {  ويوم حنين إذا أعجبتكم كثرتكم فلم تغن عنكم شيئا وضاقت عليكم الأرض بما رحبت ثم وليتم مدبرين } .  [ نفسه :  4/312 ] ."
9,28,"{  إنما المشركون نجس } .

482- تنبيها للعقول على [ أن ]  الطهارة والنجاسة غير مقصورة على الظواهر بالحس ،  فالمشرك قد يكون نظيف الثوب مغسول البدن ولكنه نجس الجوهر ،  أي باطنه ملطخ بالخبائث .

والنجاسة عبارة عما يجتنب ويطلب البعد منه ،  وخبائث صفات الباطن أهم بالاجتناب ،  فإنها مع خبثها في الحال مهلكات في المآل .  [ نفسه :  1/62 ]

493- نبه على أن الطهارة والنجاسة غير مقصورتين على الظاهر ،  ولذلك قال عليه السلام :  ( لا تدخل الملائكة بيتا فيه كلب ) والقلب منزل الملائكة ومحل نظرهم ومصب أثرهم ،  والصفات الردية كلاب مانعة .  [ ميزان العمل :  342 ]"
9,29,"{  حتى يعطوا الجزية عن يد وهم صاغرون } .

494- {  اقتلوا المشركين }  يخصص قوله تعالى :  {  حتى يعطوا الجزية عن يد } بأهل الكتاب .

وقوله تعالى :  {  حتى يعطوا الجزية عن يد } لقوله تعالى :  {  اقتلوا المشركين } بأهل الحرب من غير افتقار إلى دليل آخر .  [ المنخول من تعليقات الأصول :  436 ] ."
9,34,"{  والذين يكنزون الذهب والفضة ولا ينفقونها في سبيل الله فبشرهم بعذاب أليم } .

495- شدد الوعيد على المقصرين في الزكاة فقال :  {  والذين يكنزون الذهب والفضة ولا ينفقونها في سبيل الله فبشرهم بعذاب أليم } ومعنى الإنفاق في سبيل الله إخراج حق الزكاة .

قال الأحنف بن قيس :  كنت في نفر من قريش فمر أبو ذر فقال :  بشر الكانزين بكي في ظهورهم يخرج من جنوبهم ،  وبكي في أقفائهم يخرج من جباهم .  وفي رواية :  أنه يوضع على حلمة ثدي أحدهم فيخرج من نغض كتفيه ،  ويوضع على نغض كتفيه حتى  يخرج من حلمة ثدييه يتزلزل ،  وقال أبو ذر :  انتهيت إلى رسول الله صلى الله عليه وسلم وهو جالس في ظل الكعبة فلما رآني قال :  ( هم الأخسرون ورب الكعبة ،  قفلت :  ومن هم ؟  قال :  الأكثرون أموالا ،  إلا من قال هكذا وهكذا من بين يديه ومن خلفه وعن يمينه وعن شماله وقليل ما هم ،  ما من صاحب إبل ولا بقر ولا غنم لا يؤدي زكاتها إلا جاءت يوم القيامة أعظم ما كانت وأسمنه تنطحه بقرونها وتطؤه بأظلافها كلما نفدت أخراها عادت عليه أولاها حتى يقضى بين الناس ) .  [ الإحياء :  1/245 ] .

496- في حديث عمر رضي الله عنه أنه قال :  لما نزل قوله تعالى :  {  والذين يكنزون الذهب والفضة ولا ينفقونها في سبيل الله } قال صلى الله عليه وسلم :  ( تبا للدنيا تبا للدينار والدرهم ) فقلنا :  يا رسول الله نهانا الله عن كنز الذهب والفضة ،  فأي شيء ندخر ؟  فقال صلى الله عليه وسلم :  ( تبا للدنيا تبا للدينار والدرهم ) فقلنا :  يا رسول الله نهانا الله عن كنز الذهب والفضة ،  فأي شيء ندخر ؟  فقال صلى الله عليه وسلم :  ( ليتخذ أحدكم لسانا ذاكرا وقلبا شاكرا وزوجة صالحة تعينه على أمر آخرته ) .  [ الإحياء :  4/237 ] ."
9,60,"{  إنما الصدقات للفقراء والمساكين والعاملين عليها والمؤلفة قلوبهم وفي الرقاب والغارمين وفي سبيل الله وابن السبيل فريضة من الله والله عليم حكيم } .

497- قال قوم :  قوله تعالى :  {  إنما الصدقات للفقراء والمساكين } :  الآية نص في التشريك ،  فالصرف إلى واحد إبطال له ،  وليس كذلك عندنا ،  بل هو عطف على قوله تعالى :  {  ومنهم من يلمزك في الصدقات فإن اعطوا منها رضوا .  .  .  } .  إلى قوله {  إنما الصدقات للفقراء والمساكين } يعني :  أن طمعهم في الزكاة مع خلوهم عن شرط الاستحقاق باطل ،  ثم عدد شروط الاستحقاق ليبين مصرف الزكاة ومن يجوز صرف الزكاة إليه .  [ المستصفى :  1/399 ] .

498- تخيل أبو حنيفة رضي الله عنه سد الحاجة من قوله :  {  إنما الصدقات للفقراء والمساكين } ومصيره إلى جواز صرفه إلى صنف واحد ،  وهذا التأويل باطل بمسلكين :

أحدهما :  وهو أنه تعالى ذكر الأصناف وجنسهم ،  ووصفهم بصفاتهم التي يتميزون بها عما عداهم ،  ثم أضاف المال إليهم بلام التمليك ،  فاقتضى ذلك توزيع المال عليهم ،  إذ تعريف الأصناف بصفاتهم كتعريف الأشخاص بألقابهم ،  ولو أضاف إلى أشخاص معنيين وجب صرفها إلى جميعهم .

	هذا مع أن الصدقات مال يتكرر وجوبها على الأغنياء ،  جعل مناطا لحاجات الفقراء دون الكفارات التي لا تجب إلا عند ارتكاب جرائم ،  وليس لفظ الصدقات متناولا لأنواع حتى يتخيل توزيع الأنواع على الأجناس مع اختصاص كل نوع بكل جنس ،  كقولك :   "" الدار والفرس لزيد وعمرو ""  فلا حاجة إلى تخيل التوزيع .

فإن قيل :  سد الخلة متخيل ،  وذكر الأصناف فائدته ضبط جهات الحاجة المدعى سدها .

قلنا :  يبطل بقول الموصي :  أوصيت ثلث مالي للفقراء والمساكين ،  وعد الأصناف الثمانية ،  يصرف إليهم ،  وتخيل غرض سد الحاجة ممكن ،  ولكن قيل :  أضاف إليهم بلام التمليك ،  فينقض عليهم .

قالوا :  قول الشاعر عليه السلام يقبل التخصيص بالقياس دون قول الموصي وأقوالنا ،  وعلى هذا لو خصص المعلل علته بعد الانتقاض لم يقبل منه .  قلنا :  المفهوم من كلام النبي عليه السلام متبع كالمفهوم من كلامنا ،  ولا يخصص العام منها إلا بقرينة .

إلا أن لفظ الشارع عليه السلام إذا عارضه قانون في القياس كان طرده على الظن أقرب من فهم العموم ،  فيكون قرينة في فهم التخصيص .

ولا قياس يقتضي الحرمان في مسألتنا .

وأقوالنا يتطرق إليها التخصيص ،  بدليل تخصيص لفظ الدراهم من المقر والموصي لثلثه .

فأما المعلل فإنما يتصدى ليبدي العلة ،  فإذا ورد عليه نقض فذلك لعدم ذكره كل العلة ،  وشطر العلة لا يكون علة .  فقرينة حاله قضى عليه بذلك .

المسلك الثاني :

وهو الجواب عن سؤالهم ،  وهو أن نقول :  مراعاة سد الخلات مع مراعاة جملة الجهات ممكنة ،  ولا يبعد أن تكون مراعاة الجهات مقصودة ،  فقد تعارضت الاحتمالات ،  فمطابقة الظاهر أولى من تركه .  [ المنخول :  194 ] .

499- إن استيعاب الأصناف واجب ،  وعليه يدل ظاهر قوله تعالى :  {  إنما الصدقات للفقراء والمساكين } الآية .  فإنه يشبه قول المريض :  إنما ثلث مالي للفقراء والمساكين ،  وذلك يقتضي التشريك في التمليك .  والعبادات يجب أن يتوقى عن الهجوم فيها على الظواهر ،  وقد عدم من الثمانية صنفان في أكثر البلاد :  وهم المؤلفة قلوبهم والعاملون على الزكاة ،  ويوجد في جميع البلاد أربعة أصناف :  الفقراء والمساكين والغارمون والمسافرون- أعني أبناء السبيل- وصنفان يوجدان في بعض البلاد دون البعض :  وهم الغزاة والمكاتبون .

فإن وجد خمسة أصناف مثلا قسم بينهم زكاة ماله بخمسة أقسام متساوية أو متقاربة وعين لكل صنف قسم ،  ثم قسم كل قسم ثلاثة أسهم فما فوقه إما متساوية أو متفاوتة وليس عليه التسوية بين آحاد الصنف فإن له أن يقسمه على عشرة وعشرين فينقص نصيب كل واحد ،  وأما الأصناف فلا تقبل الزيادة والنقصان ،  فلا ينبغي أن ينقص من كل صنف عن ثلاثة إن وجد ،  ثم لو لم يجب إلا صاع للفطرة ووجد خمسة أصناف فعليه أن يوصله إلى خمسة عشر نفرا ،  ولو نقص منهم واحد مع الإمكان غرم نصيب ذلك الواحد ،  فإن عسر عليه ذلك لقلة الواجب فليتشارك جماعة ممن عليهم الزكاة وليخلط مال نفسه بمالهم وليجمع المستحقين وليسلم إليهم حتى يساهموا فيه ،  فإن ذلك لا بد منه .  [ الإحياء :  1/252 ] .

500- بيان الأصناف الثمانية :

الصنف الأول :  الفقير :  وهو الذي لا يملك شيئا أصلا ولا يقدر ( ح )- على كسب يليق بمروءته ،  أو كان يقدر على كسب ولكنه يمنعه الاشتغال به عن التفقه وهو متفقه ،  وإن كان يمنعه عن استغراق الوقت بالعبادات فلا يعطي سهم الفقراء ،  ولا يشترط الزمانة ولا التعفف عن السؤال في استحقاق هذا السهم على الجديد ( و ) .

والمكفي بنفقة أبيه هل يعطي ؟  فيه وجهان ،  ولا يجوز للأب إعطاؤه قطعا لأنه يدفع النفقة عن نفسه والمكيفة بنفقة زوجها لا تعطي على أظهر الوجهين لأن نفقتها كالعوض .

الثاني :  المسكين ،  وهو كل من لا يملك قدر كفايته ،  وإن ملك شيئا وقدر على الكسب ،  والفقير أشد حالا منه ( ح و م ) .

الثالث :  العامل على الزكاة كالساعي والكاتب والقسام والحاشر والعريف ،  أما القاضي فرزقه من خمس الخمس لأن عمله عام ،  وأجرة الكيال على المالك في أحد الوجهين .

الرابع :  المؤلفة قلوبهم ،  ولا يجوز أن يعطى هذا السهم لكافر تألف على الإسلام ،  إذ لا صدقة لكافر ،  أما المسلم إذا كان	ضعيف النية في الإسلام ،  فهل يتألف تقريرا له عليه بإعطاء مال ؟  فيه قولان :  وكذا من له نظراء في الكفر ينتظر في إعطائه إسلامهم .

أحد القولين :  أنهم لا يعطون لاستغناء الإسلام عن التألف .

الثاني :  نعم ،  تأسيا برسوله الله صلى الله عليه وسلم ،  وعلى هذا فقولان :

أحدهما أنه يعطى من المصالح ،  والثاني من الزكاة إذ هو المراد بالمؤلفة ،  وأما من يتألف على الجهاد مع الكفار أو مع مانعي الزكاة ،  إن كان تألفهم بمال أهون على الإمام من بعث جيش لقربهم من المقصودين بالقتال فهؤلاء يعطون قطعا ،  وفي محله أربعة أوجه ،  وقيل قولان :

أحدهما :  أنه من المصالح ،  والثاني :  من سهم المؤلفة ،  والثالث :  من سهم سبيل الله فإنه تألف على الجهاد ،  والرابع ( و ) إن رأى الإمام أن يجمع بين سهم المؤلفة وسهم سبيل الله فعل .

الخامس :  الرقاب ،  فيصرف ثمن الصدقات على المكاتبين ( م ) العاجزين عن النجوم ،  وطريقة الصرف إلى السيد بإذن المكاتب ،  والصرف إلى المكاتب بغير إذن السيد جائز أيضا ،  ويجوز إعطاؤه قبل حلول النجم على أظهر الوجهين ،  فإن أعطيناه فاستغنى عنه بتبرع السيد باعتاقه أو بتبرع غيره استرد على الصحيح ( و ) ،  إلا إذا تلف قبل العتق فلا يغرم ( و ) وإن صرف إلى سيده فرده إلى الرق لعجزه ببقية النجوم يسترد ( و ) .

السادس :  الغارم ،  والديون ثلاثة :  دين لزمه بسبب نفسه فيقضى من الصدقات بشرط أن يكون معسرا ( و ) ،  وسبب الاستقراض مباحا ،  فإن كان معصية وهو مصر لا يعطى ،  وإن كان تائبا أعطي على أحد الوجهين .  الثاني :  ما لزم بسبب حمالة تبرع بها تطفئة ،  لثائرة فتنة فيقضي دينه ،  وإن كان موسر ( ح ) إلا إذا كان غنيا بالنقد ففيه وجهان .

الثالث :  دين الضامن فإن كان معسرين ، - أعني الأصيل والكفيل- قضي ،  وإن كانا موسرين أو كان المضون عنه موسرا فلا يقضي لأن فائدته ترجع إلى الأصيل ،  وإن كان الأصيل معسرا والكفيل موسرا فوجهان :  أحدهما :  نعم كالحمالة ،  والثاني :  لا إذ صرفه إلى الأصيل ممكن وبه يحصل براءة الضامن .

السابع :  سهم سبيل الله ،  والمراد به المتطوعة من الغزاة الذين لا يأخذون من الفيء ،  فأما من يأخذ من الفيء واسمه في الديوان فلا يصرف إليه الصدقة ،  والغازي يعطي وإن كان غنيا .

الثامن :  ابن السبيل ،  وهو الذي شخص ( ح م ) من بلد ليسافر أو اجتاز به ،  يصرف إليه سهم إن كان معسرا بشرط ألا يكون السفر معصية ،  فهؤلاء هم المستحقون بشرط أن لا يكون الموصوف بصفة من هذه الصفات كافرا ،  ولا من المرتزقة ثابت الاسم في الديوان ،  ولا هاشميا ،  فالصدقة محرمة على هؤلاء ،  وفي الهاشمي وجهان .  [ الوجيز في الفقه :  1/392-394 ] ."
9,71,"{  والمؤمنون والمؤمنات بعضهم أولياء بعض يأمرون بالمعروف وينهون عن المنكر ويقيمون الصلاة } ( 72 ) .

501- نعت المؤمنين بأنهم يأمرون بالمعروف وينهون عن المنكر ،  فالذي هجر الأمر بالمعروف والنهي عن المنكر خارج عن هؤلاء المؤمنين المنعوتين في هذه الآية .  [ الإحياء :  2/334 ] ."
9,72,"{  ومساكن طيبة في جنات عدن ورضوان من الله أكبر } ( 73 ) .

502- رفع الله الرضا فوق جنات عدن كما رفع ذكره فوق الصلاة حيث قال :  {  إن الصلاة تنهى عن الفحشاء والمنكر ولذكر الله أكبر } فكما أن مشاهدة المذكور في الصلاة أكبر من الصلاة ،  فرضوان رب الجنة أعلى من الجنة ،  بل هو غاية مطلب سكان الجنان [ نفسه :  4/ 363 ]

503- يقول الله تعالى :  إني عنكم راض ،  فيكون ذلك أفضل من الهدية والتسليم فذلك قوله تعالى :  {  ورضوان من الله أكبر } أي من النعيم الذي هم فيه .  [ الإحياء :  4/364 ]"
