surah_number,ayah_number,tafsir_text
17,7,780- أي :  فعليها .  ( الذخيرة :  11/294 ) .
17,15,"781- يدل على اشتراط العلم في التكليف قوله تعالى :  {  وما كنا معذبين حتى نبعث رسولا } .  نفى التعذيب حتى يحصل العلم بالتبليغ للسامع .  ( شرح التنقيح :  79 ) .

782- فائدة :  الاستدلال بقوله تعالى :  {  وما كنا معذبين حتى نبعث رسولا } لا يتم إلا بمقدمتين :

فإنه لا يلزم من نفي التعذيب نفي التكليف لاحتمال أن يكون المكلف أطاع فلا تعذيب حينئذ ،  مع أن التكليف واقع ؛  أو يكون عصى غير أن العذاب قد تأخر إلى بعد البعثة ،  كما تأخر عن بعد البعثة إلى يوم القيامة .  فلابد من مقدمتين وهم قولنا :   "" لو كلفوا قبل البعثة لتركوا عملا بالغالب ،  فإن الغالب على العالم العصيان لقوله تعالى :  {  وما وجدنا لأكثرهم من عهد } ،  وقوله تعالى :  {  وإن تطع أكثر من في الأرض يضلوك عن سبيل الله } .  فهذه هي إحدى المقدمتين .

الثانية :  أنهم لو تركوا لعوقبوا عملا بالأصل ،  لأن الأصل ترتيب المسبب على سببه .  والعصيان سبب العقوبة ،  فيترتب عليه ،  فتنتظم ملازمتان هكذا :   "" لو كلفوا لتركوا ،  ولو تركوا لعذبوا ""  .  فالعذاب لازم التكليف ،  ولازم اللازم لازم ،  فانتفاء اللازم الأخير يقتضي انتفاء الملزوم الأول ،  كما أن انتفاء الشرط يقتضي انتفاء المشروط .  فلذلك يلزم من انتفاء العذاب قبل البعثة انتفاء التكليف قبل البعثة ،  وهو معنى قولي :   "" نفى التعذيب قبل البعثة فينتفي ملزومه ""  .  ( نفسه :  94 ) ."
17,23,"783- قوله تعالى :  {  وقضى ربك ألا تعبدوا إلا إياه } أي :  شرع لكم ذلك وأمركم به . ( شرح التنقيح :  189 )

* قوله تعالى :  {  فلا تقل لهما أف } :

784- إنه يدل على تحريم ما فوق التأفيف من الشتم والضرب وأنواع الأذى .  وهذه الأنواع غير متناهية الأفراد ،  وقد شملها حكم التحريم بدلالة الالتزام .  ( العقد :  1/ 378 ) .

785- هو من باب التنبيه بالأدنى على الأعلى .  ( الذخيرة :  3/308 ) .

786-  فهمنا أن علة هذا النهي هو العقوق ،  ونحن نعلم أن العقوق بالضرب اشد فنأخذ من تحريم التأفيف تحريم الضرب بطريق الأولى ،  فصار تحريم الضرب بينا بسبب التعليل .  ( شرح التنقيح :  278 ) ."
17,25,"787- قال الشيخ عز الدين بن عبد السلام رحمه الله :  إنه يتعين أن الوعد بالغفران هاهنا مختص بمن تقدم ذكره من المخاطبين في قوله تعالى :  {  إن تكونوا } ولا يعم هذا الحكم جميع الخلائق ولا جميع الأمم الماضية بسبب أن التعاليق اللغوية أسباب والجزاءات المترتبة عليها مسببات ،  والمسبب ناشئ عن سببه ،  وصلاحنا نحن لا يكون سببا لمغفرة ذنوب الأمم السالفة من عادة الله تعالى في خلقه ،  وإن صلاح كل أمة يختص بها ولا يعد إصلاح أحد لغيره إلا أن يكون له في ذلك سبب أو معونة ،  لقوله تعالى :  {  وأن ليس للإنسان إلا ما سعى } ،  وقال عليه السلام :   "" إذا مات ابن آدم انقطع عمله إلا من ثلاث :  صدقة جارية أو علم ينتفع به أو ولد صالح يدعو له ""  . ( العقد :  2/ 462 ) .

788- قال الشيخ عز الدين بن عبد السلام :   "" الشرط المتقدم هو صلاح المخاطبين الحاضرين ،  وصلاحهم لا يكون سببا للمغفرة لمن تقدم من الأمم ،  أو يأتي بعده ،  فإن قواعد الشرع تأبى ذلك .  وإن سعي كل أحد لا يتعداه لغفران غيره إلا أن يكون له فيه تسبب .  وهاهنا لا تسبب ،  فلا يتعدى ،  فيتعين أن يكون المراد :   "" فإنه كان للأوابين منكم غفورا ""  فإن شرط الجزاء لا يترتب جزاؤه على غيره .  وهذه قاعدة لغوية وشرعية .  أما إذا لم يكن شرطا أمكن جريان الخلاف ""  .  ( شرح التنقيح :  222 ) ."
17,31,"789- إن القتل الغالب عليه أن لا يقع في الأولاد إلا لتوقع ضرر كالإملاق الذي هو الفقر أو نحو ذلك من الفضيحة فلا تكون له دلالة على جواز القتل عند عدم خوف الإملاق .  ( الفروق :  3/138 ) .

790- مفهومه :   "" أنكم إذا لم تخشوا الإملاق لا يحرم عليكم القتل ""  ،  وهو مفهوم ملغى إجماعا بسبب أنه قد غلب في العادة أن الإنسان لا يقتل ولده إلا لضرورة وأمر قاهر لأن حنة الأبوة مانعة من قتله .  فتقييد القتل بخشية الإملاق تقييد له بوصف هو كان الغالب عليهم في القتل في ذلك الوقت ،  فكانوا لا يقتلون إلا خوف الفقر أو الفضيحة في البنات وهو الوأد الذي صرح به في الكتاب العزيز .  ( نفسه :  2/40 ) .

791- قاعدة أصولية :   "" اللفظ إذا خرج مخرج الغالب لا يكون له مفهوم كقوله تعالى :  {  ولا تقتلوا أولادكم خشية إملاق } ""  .  ( الذخيرة :  1/291 ) ."
17,33,"792- هذا عام في كل نفس ،  والقضاء فيه بالسلب على كل فرد من أفراد النفوس ،  فإذا قال بعد ذلك :   "" لا تقتلوا النفس القرشية التي حرم الله بالحق ""  خرج من النهي من ليس بقرشي ،  ولم يحصل مفهوم العموم الأول الذي في ضمن المقيد البتة ،  بل حصل التنافي بين النصين والتنافر ،  وتعذر الجمع بين مفهوم المطلق والمقيد .  ( العقد المنظوم :  2/486 ) .

* قوله تعالى :  {  ومن قتل مظلوما فقد جعلنا لوليه سلطانا } :

793- وكل الله تعالى بيان هذا السلطان للنبي صلى الله عليه وسلم فبينه بالقسامة .  ( الذخيرة :  12/288 ) ."
17,36,"794- نهى الله تعالى نبيه صلى عليه السلام عن إتباع غير المعلوم ،  فلا يجوز الشروع في شيء حتى يعلم فيكون طلب العلم واجبا في كل حالة .  ( الفروق :  2/149 ) .

795- لا يجوز التقليد في أصول الدين لمجتهد لا للعموم عند الجمهور لقوله تعالى :  {  ولا تقف ما ليس لك به علم } ولعظم الخطإ والخطر في جانب الربوبية ،  بخلاف الفروع ،  ولأنه ربما كفر في الأول ويثاب في الثاني جزما .  ( تنقيح الفصول ،  مع الذخيرة :  1/148 .  وشرح التنقيح :  443-444 ) .

796- الأصل ألا يعتبر في الشرع إلا العلم لقوله تعالى :  {  ولا تقف ما ليس لك به علم } لعدم الخطإ فيه قطعا .  ( الذخيرة :  1/218 ) .

797- إن الأصل في التكاليف العلم لقوله تعالى :  {  ولا تقف ما ليس لك به علم } .  ( نفسه :  2/124 و2/294 ) ."
17,59,"798- في الآية من الأسئلة :  كيف يكون تكذيب الأولين مانعا لله تعالى ،  والله تعالى لا يمنعه من التصرف في ملكه مانع ؟  وهل هذا المانع عقلي أو عادي ؟  وهل هذا الاستثناء متصل أم لا ؟  وما موضع  "" أن ""  الأولى و "" أن ""  الثانية ؟  وهل إعرابها واحد أو مختلف ؟  .

والجواب :  إن هذه الآية من المشكلات ،  وتحتاج إلى تحرير من علم البيان وأصول الديانات ،  وقد احتج بها الملحدة وأرباب الشبهات على أن الله تعالى لم يبعث محمدا عليه السلام بشيء من المعجزات ،  لذكره تعالى المانع من إرسال الآيات .

وأصل المعنى في الآية :  أن الله تعالى أجرى عادة في خلقه أن متى اقترح قوم آية وجاءت ،  ولا يؤمن أولئك المقترحون عجلوا بالعذاب ،  وجرى بذلك قضاؤه وقدره وسابق علمه ،  وتعلق به كلامه النفساني وجرى قدره أيضا سبحانه وتعالى أن هذه الأمة لا تعامل بهذه المعاملة ببركة نبيها ولطفه ،  ونعمته تعالى على نبيه وعليها ،  وأنه تعالى قدر أن يخرج من هؤلاء الكفار من أصلابهم المؤمنون ،  والعلماء ،  والشهداء ،  والصديقون ،  والأولياء إلى قيام الساعة .  فيكون تقدير الآية من جهة علم البيان :   "" وما منعنا أن نرسل بالآيات المقترحات إلا كراهة سنة أن كذب بها الأولون ""  .  فيبقى لفظ الآية على صورته ووضعه ،  ولا يتغير فيه شيء ،  وحذف مضافين لا غرو فيهما ،  فقد يحذف أكثر من كما في قوله تعالى :  {  فقبضت قبضة من أثر الرسول } قال أرباب علم البيان :   "" أصله :  فقبضت قبضة من أثر تراب حافر فرس الرسول ""  .

وكراهة الله تعالى هي متعلق إرادته بضد المكروه في مثل هذا السياق .

وقد يكون بغير هذا المعنى ،  كقوله تعالى :  {  كره الله انبعاثهم } .  أي :  أراد إقامتهم ""  .  وكذلك فسره العلماء .

فكراهة الله تعالى لسنة الأولين :  إرادة ضدها ،  وهو الاهمال ،  لأنه ضد التعجيل .

وهذا المانع عقلي ،  لأن خلاف ما تعلقت به الإرادة أو العلم أو الخبر محال عقلا .  وليس في ذلك وصمة ولا خلل في كمال الربوبية ونفوذ التصرف ،  فإن المنع جاء من التصرف وتعليق الإرادة بالضد ،  فلو جاء بغير التصرف فمنع التصرف ورد السؤال وأشكل ،  وليس كذلك ،  بل ذلك بمشيئة الله تعالى وقضاه وقدره ،  فلا خلل حينئذ .

والمانع حينئذ ليس تكذيب الأولين ،  وإنما المانع المضاف المحذوف ،  ولا ينتظم الكلام إلا به ،  وهو المراد .

وكيف يتصور عاقل أن تكذيبا مضى أهله ،  ولم يبق له أثر يمنع في الوقت الحاضر من فعل أقل الفاعلين والمتصرفين ؟  فكيف برب العالمين وأقدر القادرين ؟  .

ويكن هذا الاستثناء متصلا ،  لأن المتقدمة سلبت جميع الموانع بالنفي .

وتقدير الكلام :   "" ما منعنا مانع من إرسال الآيات المقترحات إلا كراهة سنة أن كذب بها الأولون ""  وهذا مانع من جملة الموانع ،  فيكون الاستثناء متصلا ،  ولا يكون للملحدة في هذه الآية شبهة .  فإن الآيات المنفية في هذه الآية إنما هي المقترحات ،  وأما غير المقترحات فلم تنف ،  بل صرح القرآن بوجودها في غير موضع من القرآن ،  كقوله تعالى :  {  وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين } .

وأخبر الله تعالى أن جملة القرآن آيات بقوله تعالى :  {  بل هو آيات بينات في صدور الذين أوتوا العلم } .  .  .  إلى غير ذلك من الألفاظ الدالة على الإتيان بالمعجزات والآيات البينات .

فإن قلت :  قد ورد في الأخبار أنهم اقترحوا على النبي صلى الله عليه وسلم انشقاق القمر ومجيء الشجر ،  فلم تنتف الآيات المقترحات كلها .

قلت :   "" المراد المقترح الملجئ للإيمان في مجرى العادة ،  ولا تبقى معه شبهة كناقة صالح وخروجها من الحجر ،  وقول قريش :   "" أزل عنا الجبال وتبقى مواضعها أرضا نزرعها ""  و "" اجعل لنا الصفا ذهبا ""  .  فإنها أمور تدوم ويحصل بها من الإلجاء ما لا يحصل من مكث المعجزة الساعة الواحدة ،  والزمن الذي لا يدوم ""  .

فإن قلت :  لم قدرت مضافين ؟  ولم لا اكتفيت بواحدة وهو  "" سنة الأولين ""  أو كراهة أن كذب بها الأولون ؟

قلت :   "" يتعين المضافان بسبب أن الكراهة مع التكذيب فقط تقتضي أن الأولين آمنوا ،  فإن الله تعالى إذا كره تكذيبهم فقد أراد إيمانهم ،  ولو أراد إيمانهم لآمنوا ،  لكنهم لم يؤمنوا ،  فلا يكون الله تعالى أراد إيمانهم .

ولو قدرنا  "" سنة أن كذب بها الأولون ""  فقط كان ذلك فعلا قد مضى ،  وانقضى ،  وهو عقوباتهم وتعجيلها لهم ،  وذلك لا يصلح للمنع فيتعين أن يكون التقدير :   "" كراهة سنة أن كذب الأولون ""  .

وأما الأولى فموضعها نصب  "" يمنعنا ""  وتقديره :   "" وما منعنا إرسال الآيات ""  وأن الثانية موضعها رفع ،  لأنه الفاعل ب :   "" منعنا ""  وكلاهما مع ما بعده من الفعل بتأويل المصدر ،  لكن أحد المصدرين في موضع نصب والآخر في موضع رفع .  ( الاستثناء :  335 إلى 338 ) .

799- قوله تعالى :  {  وما نرسل بالآيات إلا تخويفا } المراد بالآيات هاهنا ،  قال المفسرون :  الآيات التي تقع في الوجود على طول الأيام مثل :  الخسف والكسوف والخسوف والريح العاصفة والزلزلة ،  ونحو ذلك ،  فإن الله تعالى يبعثها في الوجود ليخاف العباد ؛  فإنها علامات على قيام الساعة وما وعدوا به من خراب العالم فيخافون المآل وسوء الحال ،  فهو استثناء من الأسباب ،  أي :   "" لم يقع إرسال إلا لهذا السبب دون غيره ""  وهو استثناء متصل .  ( الاستغناء :  504 ) ."
17,60,"800- قال صاحب القبس :   "" تقول العرب :  رأيت رؤية :  إذا عاينت ببصرك .  ورأيت رأيا :  إذا اعتقدت بقلبك .  ورأيت رؤيا- بالقصر- إذا عاينت في منامك .  وقد تستعمل في اليقظة ""  .  قلت :  قال الله سبحانه وتعالى :  {  وما جعلنا الرؤيا التي أريناك إلا فتنة للناس } .  والجمهور على أنها في اليقظة .  ( الفروق :  4/241 ) .

801- المراد هاهنا بالرؤيا رؤية الإسراء .  واختلف العلماء فيها ،  فقيل :  هي رؤيا عين ويقظة وعليه الجمهور .  وقالت عائشة رضي الله عنها :   "" هي رؤيا منام ""  .

وظاهر الآية يعضد الجمهور ،  لأنها وصفت بأنها فتنة ،  والمنام لا فتنة فيه ،  فلو قال الرسول عليه السلام :   "" رأيت في المنام أني صعدت إلى السماء ""  لما صعب ذلك على نفوس الناس ،  فإن لا أحد يتوقع له مثل ذلك في منامه .  وإنما يصح وصفها بالفتنة إلا إذا كانت رؤيا يقظة .

والفتنة هاهنا :  الاختيار ،  من قولك :   "" فتنت الذهب في النار ""  :  إذا اختبرته .

والأخبار بالإسراء وقع به اختبار ثابت بالإيمان من ضعيف الإيمان ،  وتبين به ما في النفوس ،  فمن مصدق ومن مستبعد فهلك من هلك عن بينة ،  وحيي من حيي عن بينة ،  فهذا هو الفتنة .

فإن قلت :  إن الله تعالى جعل هذه الرؤيا التي هي الإسراء لأجل أمور ،  أحدها :  الافتتان ،  ومع ذلك تشريف للرسول صلى الله عليه وسلم بأنواع المواهب لا يحصى عددها ،  وفرض الصلاة ،  وغير ذلك من الأسباب ،  فكيف يصح الحصر في أنها لم تجعل إلا لهذا الغرض ؟  بل إذا قيس هذا بالنسبة إلى ما تقدم من المقاصد كان أضعف وأقل منها ،  فكيف يقع الحصر فيه ؟

قلت :  هذا حصر بحسب بعض الاعتبارات ،  أي باعتبار الملتبس أمرهم من الناس ،  فيتبين حالهم ،  أي أثر الجعل في هذه الطائفة :  اختبارهم ،  وإن كان الجعل أمور عظيمة لكن ليست هي باعتبار هذه الطائفة فالحصر في الآية مقيد لا مطلق . ( الاستغناء :  505 ) ."
17,75,802- أي :  نعذبك مثل ما نعذب غيرك على هذا الذنب مرتين في الحياة ومرتين في الممات .  ( العقد :  2/473 .  والذخيرة :  1/50 .  )
