surah_number,ayah_number,tafsir_text
80,1,قال بعضهم فى قوله: { عَبَسَ وَتَوَلَّىٰ * أَن جَآءَهُ ٱلأَعْمَىٰ } عاتب الله نبيه صلى الله عليه وسلم بألطف عتاب وهو ما عاتبه به فى الفقراء الصادقين أعلمه بذلك رتبة الفقر وتعظيم أهله.
80,5,قال أبو عثمان: أمر الله تعالى نبيه صلى الله عليه وسلم بمجالسة الفقراء وحثه على تعظيمهم ونهاه عن محبة الأغنياء بقوله: { أَمَّا مَنِ ٱسْتَغْنَىٰ * فَأَنتَ لَهُ تَصَدَّىٰ }.
80,6,قال أبو عثمان: أمر الله تعالى نبيه صلى الله عليه وسلم بمجالسة الفقراء وحثه على تعظيمهم ونهاه عن محبة الأغنياء بقوله: { أَمَّا مَنِ ٱسْتَغْنَىٰ * فَأَنتَ لَهُ تَصَدَّىٰ }.
80,7,قال الواسطى: استهانة بمن أعرض عنه.  قال جعفر الخلدى: لم يكرم بالإقبال على من لم يكرمه بالهداية ولم يريه بالمعرفة.
80,11,قال ابن عطاء: موعظة بليغة مباركة فمن شاء الله له التوفيق قبلها.
80,17,سمعت منصور بن عبد الله يقول: سمعت أبا القاسم البزاز يقول: قال ابن عطاء منع الانسان عن طريق الخيرات لجهله بطلب رشده وسكونه إلى ما وعد له ربه.  وقال الواسطى - رحمة الله عليه -: ما أجهله بالمعرفة وذلك لجهله.
80,20,قال ابن عطاء: يسر على من قدر له التوفيق طلب رشده واتباع نجاته.  وقال أبو بكر بن طاهر: يسّر على كل أحد ما يخلقه له وقدّر عليه.
80,23,قال القاسم: ذكر أوائله وأواخره وأراد به أن كل ذلك من عنده ثم أمره بالتبتل إليه ورؤية مننه.
80,25,سمعت منصور بن عبد الله يقول: سمعت أبا القاسم البزاز يقول: سمعت ابن عطاء يقول: صب من ماء معانيه على قلوب أهل معاملته صبًا فشق منها معرفة وحدًا ثم أنبت فيها محبةً وهيبةً وحكمًا وفهمًا.
80,34,سمعت منصور بن عبد الله يقول: سمعت ابن عمر عن ابن طاهر يقول فى قوله: { يَوْمَ يَفِرُّ ٱلْمَرْءُ } قال: يفر منه إذا ظهر له عجزه وقلة حيلته إلى من يملك كشف تلك الكروب والهموم عنهم ولو ظهر له ذلك فى الدنيا لما اعتمد سوى ربه الذى لا يعجزه شىء وتمكن من فسحة التوكل واستراح فى ظل التفويض.
80,35,سمعت منصور بن عبد الله يقول: سمعت ابن عمر عن ابن طاهر يقول فى قوله: { يَوْمَ يَفِرُّ ٱلْمَرْءُ } قال: يفر منه إذا ظهر له عجزه وقلة حيلته إلى من يملك كشف تلك الكروب والهموم عنهم ولو ظهر له ذلك فى الدنيا لما اعتمد سوى ربه الذى لا يعجزه شىء وتمكن من فسحة التوكل واستراح فى ظل التفويض.
80,37,قال يحيى بن معاذ: شغلك فى نفسك وفى دنياك وعقباك عن ربك أما فى الدنيا ففى طلب مرادها واتباع شهواتها وأما فى الآخرة فقد أخبر الله عنه بقوله: { لِكُلِّ ٱمْرِىءٍ مِّنْهُمْ يَوْمَئِذٍ شَأْنٌ يُغْنِيهِ } فمتى تتفرغ إلى معرفة ربك وطاعته؟.
80,38,قال ابن عطاء: كشف عنه ستور الغفلة فضحكت بالدنو من الحق واستبشرت بمشاهدته وقال: أسفرت تلك الوجوه بنظرها إلى مولاها وأضحكها رضا الله عنها.  وقال القاسم فى هذه الآية: وجوه يومئذ منورة بضياء التوحيد ضاحكة إلى مولاها مستبشرة برضاه عنها.
80,40,قال سرى: ظاهر عليها حزن البعاد لأنها صارت محجوبة وعن الباب مطرودة.
