surah_number,ayah_number,tafsir_text
19,1,"بسم الله الرحمن الرحيم .

قوله تعالى : { كهيعص } قرأ ابن كثير :  "" كهيعص ذكر ""  بفتح الهاء والياء وتبيين الدال التي في هجاء  "" صاد ""  .   وقرأ أبو عمرو :  "" كهيعص ""  بكسر الهاء وفتح الياء ويدغم الدال في الذال ،   وكان نافع يلفظ بالهاء والياء بين الكسر والفتح ،   ولا يدغم الدال التي في هجاء  "" صاد ""  في الذال من { ذكر } .   وقرأ أبو بكر عن عاصم ،   والكسائي ،   بكسر الهاء والياء ،   إلا أن الكسائي لا يبين الدال ،   وعاصم يبينها .   وقرأ ابن عامر ،   وحمزة ،   بفتح الهاء وكسر الياء ويدغمان .   وقرأ أبي بن كعب :  "" كهيعص ""  برفع الهاء وفتح الياء .   وقد ذكرنا في أول  "" البقرة ""  ما يشتمل على بيان هذا الجنس .   وقد خصّ المفسرون هذه الحروف المذكورة هاهنا بأربعة أقوال :

أحدها : أنها حروف من أسماء الله تعالى ،   قاله الأكثرون .   ثم أختلف هؤلاء في الكاف من أي اسم هو ،   على أربعة أقوال : أحدها : أنه من اسم الله الكبير .

والثاني : من الكريم .

والثالث : من الكافي ،   روى هذه الأقوال الثلاثة سعيد بن جبير عن ابن عباس .

والرابع : أنه من الملك ،   قاله محمد بن كعب .   فأما الهاء ،   فكلهم قالوا : هي من اسمه الهادي ،   إلا القرظي فانه قال : من اسمه الله .   وأما الياء ،   ففيها ثلاثة أقوال :

أحدها : أنها من حكيم .

والثاني : من رحيم .

والثالث : من أمين ،   روى هذه الأقوال الثلاثة سعيد بن جبير عن ابن عباس .   فأما العين ،   ففيها أربعة أقوال :

أحدها : أنها من عليم .

والثاني : من عالم .

والثالث : من عزيز ،   رواها أيضا سعيد بن جبير عن ابن عباس .

والرابع : أنها من عدل ،   قاله الضحاك .   وأما الصاد ،   ففيها ثلاثة أقوال :

أحدها : أنها من صادق .

والثاني : من صدوق ،   رواهما سعيد بن جبير أيضا عن ابن عباس .

والثالث : من الصمد ،   قاله محمد بن كعب .

والقول الثاني : أن { كهيعص } قسم أقسم الله به ،   وهو من أسمائه ،   رواه علي بن أبي طلحة عن ابن عباس .   وروي عن علي عليه السلام أنه قال : هو اسم من أسماء الله تعالى .   وروي عنه أنه كان يقول : كهيعص اغفر لي .   قال الزجاج : والقسم بهذا والدعاء لا يدل على أنه اسم واحد ،   لأن الداعي إذا علم أن الدعاء بهذه الحروف يدل على صفات الله فدعا بها ،   فكأنه قال : يا كافي ،   يا هادي ،   يا عالم ،   يا صادق ،   وإذا أقسم بها ،   فكأنه قال : والكافي الهادي العالم الصادق ،   وأسكنت هذه الحروف لأنها حروف تهجّ ،   النيّة فيها الوقف .

والثالث : أنه اسم للسورة ،   قاله الحسن ،   ومجاهد .

والرابع : اسم من أسماء القرآن ،   قاله قتادة .

فان قيل : لم قالوا : هايا ،   ولم يقولوا في الكاف : كا ،   وفي العين : عا ،   وفي الصاد : صا ،   لتتفق المباني كما اتفقت العلل ؟

فقد أجاب عنه ابن الأنباري ،   فقال : حروف المعجم التسعة والعشرون تجري مجرى الرسالة والخطبة ،   فيستقبحون فيها اتفاق الألفاظ واستواء الأوزان ،   كما يستقبحون ذلك في خطبهم ورسائلهم ،   فيغيّرون بعض الكلم ليختلف الوزن وتتغير المباني ،   فيكون ذلك أعذب على الألسن وأحلى في الأسماع ."
19,2,قوله تعالى : { ذِكْرُ رَحْمَتِ رَبّكَ } قال الزجاج : الذكر مرفوع بالمضمر ،   المعنى : هذا الذي نتلو عليك ذكر رحمة ربك عبده .   قال الفراء : وفي الكلام تقديم وتأخير ؛ المعنى : ذكر ربك عبده بالرحمة ،   و{ زكريا } في موضع نصب .
19,3,"قوله تعالى : { إِذْ نَادَى رَبَّهُ } النداء هاهنا بمعنى الدعاء .

وفي علة إخفائه لذلك ثلاثة أقوال :

أحدها : ليبعد عن الرياء ،   قاله ابن جريج .

والثاني : لئلا يقول الناس : انظروا إلى هذا الشيخ يسأل الولد على الكبر ،   قاله مقاتل .

والثالث : لئلا يعاديه بنو عمه ،   ويظنوا أنه كره أن يلوا مكانه بعده ،   ذكره أبو سليمان الدمشقي .   وهذه القصة تدل على أن المستحب إسرار الدعاء ،   ومنه الحديث :  "" إنكم لا تدعون أصم ""  ."
19,4,"قوله تعالى : { قَالَ رَبّ إني وَهَنَ الْعَظْمُ مِنّي } وقرأ معاذ القارئ ،   والضحاك :  "" وهن ""  بضم الهاء ،   أي : ضعف .   قال الفراء : وغيره : وهن العظم ،   ووهن ،   بفتح الهاء وكسرها ؛ والمستقبل على الحالين كليهما : يهن .   وأراد أن قوة عظامه قد ذهبت لكبره ؛ وإنما خص العظم ،   لأنه الأصل في التركيب .   وقال قتادة : شكا ذهاب أضراسه .

قوله تعالى : { وَاشْتَعَلَ الرَّأْسُ شَيْباً } يعني : انتشر الشيب فيه ،   كما ينتشر شعاع النار في الحطب ،   وهذا من أحسن الاستعارات .   { وَلَمْ أَكُنْ بِدُعَائِكَ } أي : بدعائي إياك { رَبّ شَقِيّاً } أي : لم أكن أتعب بالدعاء ثم أخيّب ،   لأنك قد عودتني الإجابة ؛ يقال : شقي فلان بكذا ،   إذا تعب بسببه ،   ولم ينل مراده ."
19,5,"قوله تعالى : { وَإِنّي خِفْتُ الْمَوَالِيَ } يعني : الذين يلونه في النسب ،   وهم بنو العم والعصبة { مِن وَرَائِي } أي : من بعد موتي .

وفي ما خافهم عليه قولان :

أحدهما : أنه خاف أن يرثوه ،   قاله ابن عباس .   فان اعترض عليه معترض ،   فقال : كيف يجوز لنبي أن ينفس على قراباته بالحقوق المفروضة لهم بعد موته ؟

فعنه جوابان :

أحدهما : أنه لما كان نبيا ،   والنبي لا يورث ،   خاف أن يرثوا ماله فيأخذوا ما لا يجوز لهم .

والثاني : أنه غلب عليه طبع البشر ،   فأحب أن يتولى ماله ولده ،   ذكرهما ابن الأنباري .

قلت : وبيان هذا أنه لا بد أن يتولى ماله و إن ولم يكن ميراثا ،   فأحب أن يتولاه ولده .

والقول الثاني : أنه خاف تضييعهم للدين ونبذهم إياه ،   ذكره جماعة من المفسرين .

وقرأ عثمان ،   وسعد بن أبي وقاص ،   وعبد الله بن عمرو ،   وابن جبير ،   ومجاهد ،   وابن أبي شريح عن الكسائي :  "" خفت ""  بفتح الخاء وتشديد الفاء ؛ على معنى  "" قلت ""  ؛ فعلى هذا يكون إنما خاف على علمه ونبوته ألا يورثا فيموت العلم .   وأسكن ابن شهاب الزهري ياء  "" الموالي ""  .

قوله تعالى : { مِن وَرَائِي } أسكن الجمهور أسكن الجهور هذه الياء ،   وفتحها ابن كثير في رواية قنبل .   وروى عنه شبل :  "" وراي ""  مثل  "" عصاي ""  .

قوله تعالى : { فَهَبْ لي مِن لَّدُنْكَ } أي : من عندك { وَلِيّاً } أي : ولدا صالحا يتولاني ."
19,6,"قوله تعالى : { يرثني وَيَرِثُ مِنْ آلِ يَعْقُوبَ } قرأ ابن كثير ،   ونافع ،   وعاصم ،   وابن عامر ،   وحمزة :  "" يرثني ويرث ""  برفعهما .   وقرا أبو عمرو ،   والكسائي :  "" يرثني ويرث ""  بالجزم فيهما .   قال أبو عبيدة : من قرأ بالرفع ،   فهو على الصفة للولي ؛ فالمعنى : هب لي وليا وارثا ،   ومن جزم ،   فعلى الشرط والجزاء ،   كقولك : إن وهبته إن وهبته لي ورثني .

وفي المراد بهذا الميراث أربعة أقوال :

أحدها : يرثني مالي ،   ويرث من آل يعقوب النبوة ،   رواه عكرمة عن ابن عباس ،   وبه قال أبو صالح .

والثاني : يرثني العلم ،   ويرث من آل يعقوب الملك ،   فأجابه الله تعالى إلى وراثة العلم دون الملك ،   وهذا مروي عن ابن عباس أيضا .

والثالث : يرثني نبوتي وعلمي ،   ويرث من آل يعقوب النبوة أيضا ،   قاله الحسن .

والرابع : يرثني النبوة ،   ويرث من آل يعقوب الأخلاق ،   قاله عطاء .   قال مجاهد : كان زكريا من ذرية يعقوب ،   وزعم الكلبي أن آل يعقوب كانوا أخواله ،   وأنه ليس بيعقوب أبي يوسف .   وقال مقاتل : هو يعقوب بن ماثان ،   وكان يعقوب هذا وعمران  أبو مريم  أخوين .

والصحيح : أنه لم يرد ميراث المال لوجوه :

أحدها : أنه قد صح عن رسول الله صلى الله عليه وسلم أنه قال : ""  نحن معاشر الأنبياء لا نورث ،   ما تركناه صدقة ""  .

والثاني : أنه لا يجوز أن يتأسف نبي الله على مصير ماله بعد موته إذا وصل إلى وارثه المستحق له شرعا .

والثالث : أنه لم يكن ذا مال .   وقد روى أبو هريرة عن رسول الله صلى الله عليه وسلم أن زكريا كان نجارا .

قوله تعالى : { وَاجْعَلْهُ رَبّ رَضِيّاً } قال اللغويون : أي : مرضيا ،   فصرف عن مفعول إلى فعيل ،   كما قالوا : مقتول وقتيل ."
19,7,"قوله تعالى : { يا زَكَرِيَّا إِنَّا نُبَشّرُكَ } في الكلام إضمار ،   تقديره : فاستجاب الله له فقال : { يا زكريا إنا نبشرك } .   وقرأ حمزة :  "" نبشرك ""  بالتخفيف .   وقد شرحنا هذا في آل عمران : .

قوله تعالى : { لَمْ نَجْعَل لَّهُ مِن قَبْلُ سَمِيّاً } فيه ثلاثة أقوال :

أحدها : لم يسم يحيى قبله ،   رواه أبو صالح عن ابن عباس ،   وبه قال عكرمة ،   وقتادة ،   وابن زيد ،   والأكثرون .

فإن اعترض معترض ،   فقال : ما وجه المدحة باسم لم يسم به أحد قبله ،   ونرى كثيرا من الأسماء لم يسبق إليها ؟ فالجواب : أن وجه الفضيلة أن الله تعالى تولى تسميته ،   ولم يكل ذلك إلى أبويه ،   فسماه باسم لم يسبق إليه .

والثاني : لم تلد العواقر مثله ولداً ،   رواه ابن أبي طلحة عن ابن عباس .   فعلى هذا يكون المعنى : لم نجعل له نظيراً .

والثالث : لم نجعل له من قبل مثلا وشبها ،   قاله مجاهد .   فعلى هذا يكون عدم الشبه من حيث أنه لم يعص ولم يهم بمعصية .

وما بعد هذا مفسر في آل عمران :  إلى قوله : { وَكَانَتِ امْرَأَتِي عَاقِرًا } ."
19,8,"وفي معنى { كانت } قولان :

أحدهما : أنه توكيد للكلام ،   فالمعنى : وهي عاقر ،   كقوله : { كُنتُمْ خَيْرَ أُمَّةٍ } [ آل عمران : 110 ] أي : أنتم .

والثاني : أنها كانت منذ كانت عاقرا ،   لم يحدث ذلك بها ،   ذكرهما ابن الأنباري ،   واختار الأول .

قوله تعالى : { وَقَدْ بَلَغْتُ مِنَ الْكِبَرِ عِتِيّاً } قرأ ابن كثير ،   ونافع ،   وأبو عمرو ،   وابن عامر ،   وأبو بكر عن عاصم :  "" عتيا ""  و "" بكيا ""  [ مريم : 58 ] و "" صليا ""  [ مريم : 70 ] بضم أوائلها .   وقرأ حمزة ،   والكسائي ،   بكسر أوائلها ،   وافقهما حفص عن عاصم ،   إلا في قوله :  "" بكيا ""  فإنه ضم أوله .   وقرأ ابن عباس ،   ومجاهد :  "" عسيا ""  بالسين قال مجاهد :  "" عتيا ""  هو قحول العظم .   وقال ابن قتيبة : أي يبسا ؛ يقال : عتا وعسا بمعنى واحد .   قال الزجاج : كل شيء انتهى ،   فقد عتا يعتو عتياً ،   وعتواً ،   وعسواً ،   وعسياً ."
19,9,"قوله تعالى : { قَالَ كَذلِكَ } أي : الأمر كما قيل لك من هبة الولد على الكبر { قَالَ رَبُّكَ هُوَ عَلَىَّ هَيّنٌ } أي : خلق يحيى علي سهل .   وقرأ معاذ القارئ ،   وعاصم الجحدري :  "" هين ""  بإسكان الياء .   { وَقَدْ خَلَقْتُكَ مِن قَبْلُ } أي : أوجدتك .   قرأ ابن كثير ،   ونافع ،   وأبو عمرو ،   وعاصم ،   وابن عامر :  "" خلقتك ""  .   وقرأ حمزة ،   والكسائي :  "" خلقناك ""  بالنون والألف .   { وَلَمْ تَكُ شَيْئاً } المعنى : فخلق الولد ،   كخلقك .

وما بعد هذا مفسر في آل عمران :  إلى قوله : { ثَلَثَ لَيَالٍ سَوِيّاً }"
19,10,قال الزجاج : { سويا } منصوب على الحال ،   والمعنى : تمنع عن الكلام وأنت سوي .   قال ابن قتيبة : أي : سليما غير أخرس .
