surah_number,ayah_number,tafsir_text
27,1,"ابتدأت السورة بالحروف الهجائية المفردة ، ولا يعرف لها معنى معين ولكن لوجودها حكمة يقررها المدركون ، وقد أشرنا إلى أن منها الإعجاز ليشير لهم بأن القرآن مكون من الحروف التي يتكون منها كلامكم في شعركم وخطبكم وخطاباتكم ، ومع ذلك كان معجزا يتحداكم ذلك التحدي الشامل ، وتقفون وتسكتون ومنها أنهم قد تفاهموا على ألا يستمعوا لهذا القرآن ، وأن يلغوا فيه ، فإذا ابتدئ بترتيل هذه الحروف الصوتية أصغوا إليه غير مختارين ، ثم يهجم عليهم القرآن بمعانيه وعباراته ، وما فيها من بلاغة وفصاحة تحير عقولهم ، وفوق ذلك فإن النبي كان أميا لا يقرأ ولا يكتب ، فكيف ينطق بهذه البلاغة التي لا ينطق بها إلا كاتب قارئ . { تِلْكَ آيَاتُ الْقُرْآنِ وَكِتَابٍ مُّبِينٍ ( 1 ) } . الإشارة إلى ما جاء في السورة من آيات متلوة ، وفي ذلك بيان أن هذه الحروف يحتمل أن تكون اسما للسورة ، وقد ذكر للقرآن وصفان :

أحدهما أنه كتاب مقروء متلو ، يتلى ، وتلاوته عبادة ، وقد علمنا سبحانه وتعالى كيف نتلوه ، وعلم نبينا تلاوته ليعلمها للناس أجمعين ، فهو متواتر بلفظه ، ومتواتر بتلاوته ، كما قال تعالى : { ورتلناه ترتيلا ( 32 ) } [ الفرقان ] ، وكما قال تعالى : { ورتل القرآن ترتيلا ( 4 ) } [ المزمل ] ، وكما قال تعالى : { إن علينا جمعه وقرآنه ( 17 ) } [ القيامة ] .

والوصف الثاني أنه كتاب مبين أي بين في ذاته ، ومبين لكل ما اشتمل عليه من دلائل التوحيد ، ودلائل النبوة وأحكام شرعية ، وهداية للناس ، كما قال تعالى : { يا أيها الناس قد جاءتكم موعظة من ربكم وشفاء لما في الصدور وهدى ورحمة للمؤمنين ( 57 ) } [ يونس ] ."
27,2,وقد ذكر سبحانه وصفا ثالثا ورابعا ، فقال تعالى : { هُدًى وَبُشْرَى } ، أي أنه هو ذاته يهدي فهو بإعجازه وبلاغته وعباراته المحكمة ، يهدي النفوس الطالبة للحق المهتدية التي تتجه إلى الحق ، كما تتجه إبرة البوصلة إلى قطبها ، فهو في ذاته هداية ، وهو أيضا مشتمل على الهداية ، ففيه دعائم التوحيد ، وصور الكون الهادية ، وآيات الله البينات في الأحكام الشرعية ، والمواعظ والعبر ، وقصص الماضين من الأنبياء ، وإن في قصصهم لعبرة لأولي الأبصار . والقرآن نور لا يرى نوره إلا المبصر ، وغذاء للأرواح ، ولكن لا يتغذى به إلا الأصحاء ، وشفاء ، ولكن لا يشفي به إلا من كان قابلا للشفاء ، ولذا قال فيمن ينتفعون ببشراه ، وهي الوصف الثاني الذي معناه أنه يبشر المؤمنين بالجنة والنعيم فقال : للمؤمنين .
27,3,"وقد قال  عز من قائل  من بعد ذلك في التعريف بالمؤمنين .

{ الَّذِينَ يُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ وَهُم بِالْآخِرَةِ هُمْ يُوقِنُونَ ( 3 ) } .

ذكر للمؤمنين أمورا ثلاثة هي :

الصفة الأولى : أنهم يقيمون الصلاة ، أي يؤدونها ، مستوفية أركانها الحسية والروحية ، والمصلى يستشعر عظمة الله تعالى وجلاله ، ويحس أنه في حضرة الله تعالى ، وذلك كله يتضمنه معنى الإقامة ؛ لأن الإقامة إقامة الشيء مستويا مستقيما لا عوج فيه ، ولا اضطراب ، بل يتجه إلى أعلى اتجاها مستقيما ، وفي ذكر إقامة الصلاة إشارة إلى المعاني الروحية في العبادات الإسلامية من صلاة وصوم وحج ، فهو ابتداء تطهير النفوس من أدرانها ، وإقامة للعلاقات الإنسانية على هذه الطهارة من أدران الأحقاد والأضغان .

والصفة الثانية : أنهم يؤتون الزكاة ، وهي الفريضة المادية الروحية ، والتي يقوم عليها التعاون الاجتماعي بين الغني والفقير ، ولذا سميت الزكاة بالماعون ، أي ما يكون به العون ، كما قال تعالى في وصف الضالين : { فويل للمصلين ( 4 ) الذين هم عن صلاتهم ساهون ( 5 ) الذين هم يراءون ( 6 ) ويمنعون الماعون ( 7 ) } [ الماعون ] ، والماعون هو الزكاة التي هي أساس للتعاون الإنساني .

والصفة الثالثة : وهي الأصل للأوليين ، وهي الإيمان باليوم الآخر ، فهو لب الدين ، وهو توجيه الإنسان إلى حقيقة معناه فقال سبحانه { وَهُم بِالْآخِرَةِ هُمْ يُوقِنُونَ } .

بالآخرة  تتعلق بالفعل يوقون ، أي يؤمنون مذعنين غير مترددين ؛ لأن العلم اليقينية يدفع الإنسان إلى عمل الخير ، ولو كان تناله المشقة منه في الحياة ، فإن ذلك يكون دافعا إلى الاستمرار مؤمنا بأن جزاءه يستقبله ، وكلما زادت المشقة فيه ، زاد الأجر ، وما عند الله خير وأبقى .

ولقوة هذه الخصلة الكريمة للمؤمنين وكونها لب الإيمان أكد الله تعالى إيمان المؤمنين باليوم الآخر بعدة مؤكدات ، أولها بتقديم الجار والمجرور ، وثانيها بالجملة الاسمية ، وذكر ضمير الفصل مرتين في صدد الجملة وآخرها ."
27,4,"وقد ذكر سبحانه بعد ذلك حال الذين لا يؤمنون بالآخرة ، فقال سبحانه وتعالت كلماته :

{ إِنَّ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ زَيَّنَّا لَهُمْ أَعْمَالَهُمْ فَهُمْ يَعْمَهُونَ ( 4 ) أُوْلَئِكَ الَّذِينَ لَهُمْ سُوءُ الْعَذَابِ وَهُمْ فِي الْآخِرَةِ هُمُ الْأَخْسَرُونَ ( 5 ) } .

أكد سبحانه أن الذين لا يؤمنون بالآخرة لهم في الدنيا أمران أحدهما سبب للآخر ، ولهم في الآخرة سوء العذاب ، وهم في الآخرة هم الأخسرون .

ولنتكلم مستشرفين لمعاني القرآن الكريم في الأمرين في الدنيا والآخرة ، وقبل أن نخوض فيها خوضا نقرر أنه كما أن اليقين باليوم الآخر خلة المؤمن الدافعة إلى الخير ، والتي تجعله يتحمل متاعب هذه الحياة راجيا ما وراءها فإن فقد الإيمان باليوم الآخر ينسى الإنسان نفسه فيعتقد أن هذه الحياة هي وحدها الحياة ، ولا حياة بعدها ، ويحسب أنه خلق عبثا ، ولذا قال سبحانه : { زَيَّنَّا لَهُمْ أَعْمَالَهُمْ } ، أي حسن الله لهم أعمالهم ، فحسبوها وحدها الخير ، ولا يحسبون أن أعمالهم كلها زينة وأمر حسن ، فهم دائما ممن زين لهم أعمالهم فرأوه حسنا ، فكل أعمالهم لا ينظرون إليها إلا من وراء نفوسهم غير المستقيمة ، ولا يعترفون بإرشاد مرشد ، ولا هداية هاد ، واعظ أو زاجر ، فهم في لهو دائم عن الحق ، وإن من كانت حاله كذلك ، قد ضرب على آذانه ، فلا يسمع الحق ، ولا يهتدي بهديه ، قد أهمل عقله وتفكيره ، وما أعطاه الله تعالى من مواهب ، وفطرة مستقيمة ، ولذا قال تعالى : { فَهُمْ يَعْمَهُونَ } الفاء لبيان أن ما بعدها مترتب على ما قبلها ، أي ترتب على هذا التزيين لكل الأعمال التي يعلمون ، ويحسبونها زينة يترتب على ذلك أنهم يعمهون .

والعمه : التردد والحيرة ، أي ترتب على أن أعمالهم زينتها لهم نفوسهم ، أن صاروا في حيرتهم لفطرتهم السليمة التي تريهم الحق حقا ، والباطل باطلا ، وتزين نفوسهم للباطل حقا ، وللحق باطلا ، فتكون الحيرة بين الفطرة الهادية والشر المتحكم ، والضلال المظلم ."
27,5,وقد أكد الله سبحانه وتعالى هذه الحال بمؤكدات : أولها بإن المؤكدة ، وبإضافة التزيين إليه سبحانه ، وأن ما يريده الله لا يتخلف ، ولا يمكن أن يتخلف ، ولكن التزيين ابتدأ من أنفسهم ، وتمكن الشيطان منهم وإغوائهم ، وقد ذكر سبحانه بعد وصف حالهم في الدنيا ، وهو أن الدنيا تكون لهم مضطربا فسيحا ، فإن من الحيرة والاضطراب حالهم في الآخرة ، فذكر أمرين أولهما سوء العذاب ، وثانيهما أنهم وحدهم الأخسرون ، فقال : { أُوْلَئِكَ الَّذِينَ لَهُمْ سُوءُ الْعَذَابِ } الإشارة إلى المتصفين بعدم الإيمان باليوم الآخر ، وتزيين العمل السيئ لهم ، فحسبوه حسنا ، وما هو بحسن ، وهذه الأحوال هي سبب العذاب لأن ذكر الإشارة إلى الصفات يومئ إلى أن هذه الصفات هي سبب الحكم ، وسوء العذاب هو العذاب الذي يسوء النفوس ، ويشوي الوجوه ، وهو النار الدائمة ، والعذاب المقيم الدائم ما شاء الله تعالى أن تدوم ، خالدين فيها أبدا . وقال الله تعالى في بيان حالهم : { وَهُمْ فِي الْآخِرَةِ هُمُ الْأَخْسَرُونَ } الأخسرون جمع أخسر ، وهو أفعل تفضيل على غير بابه ، أي هم الذين خسروا خسارة ليس فوقها خسارة أبدا ، وفيه تأكيد للقول الكريم ، وقد أكد ثانيا ب ( هم ) التي تكررت ، وأكد ثالثا بالقصر لتعريف الطرفين ، أي هم وحدهم الأخسرون ، ولا يخسر أحد سواهم .
27,6,"بعد ذلك بين الله تعالى معدن الهداية ، وهو القرآن الكريم فقال :

{ وَإِنَّكَ لَتُلَقَّى الْقُرْآنَ مِن لَّدُنْ حَكِيمٍ عَلِيمٍ ( 6 ) } .

وتلقي معناها يلقي إليك بقوة فتقاه راضيا بقوة متحملا ما يوجبه تحمله وتلقيه من صبر دائم ، وجهاد مستمر ومصابرة لأعدائه ، وتلقيه هو من عند الله تعالى الحكيم الذي يعطي كلاما هو صالح ، وهو عليم بالنفوس يطب لأدرانها بما يزيل أسقامها .

وهو وصف للقرآن الكريم بأحكم الصفات وأعمقها في معناها .

فهو أولا من عند الله ، ولا يجيء من عند الله إلا ما هو خير ، وقد شرفه الله تعالى بذلك الذي لا يقدر قدره ، وهو الحكيم الذي يشرع للناس ما يصلحهم في معادهم ومعاشهم ، وما يجمع ويصلح ، ولا يفرق ويشتت ، وهو العليم بكل شيء ، قد أحاط بكل شيء علما .

وقد أكد الله تعالى القول ، بخطاب النبي ، وحمله عبء القرآن الكريم .

إشارة إلى بعض قصة موسى عليه السلام"
27,7,"إذ ظرف دال على الزمان ، وهو متعلق بتلقي في الآية السابقة ، أي أنك تتلقى القرآن من حكيم عليم صادق في الوقت الذي جرت فيه أحداث قصة موسى وفرعون ، فهي قصة صادقة من لدن حكيم عليم ، وهو الله سبحانه الذي أحاط بكل شيء علما .

ونجد أن قصة موسى هنا في جملتها ليست مكررة مع غيرها ، وقد فصلت جزءا لم يفصل في موضع آخر ، فصل فيه بعض حياته مع أهله ، وفصل فيه لقاءه بربه ، والكلام الذي كان بينهما ، وذكر ارتباطه بالرسالة ، ودليلها وهو العصا وإخراج اليد من الجيب بيضاء من غير سوء ، وكونها في تسع آيات قدمها لفرعون برهانا على الرسالة ، وإذا كانت بعض الأمور ذكرت مكررة كالعصا ، فلأن المقام اقتضاها ، وليست ثابتة بالقصد الأول ، بل هي جاءت تابعة لإثبات الرسالة لموسى نفسه ، لا لإثباتها لغيره ، وهو فرعون وقومه ، أي لإثبات أن الذي يخاطبه من وراء الشجرة ربه ، لا أحد غيره .

كان موسى وأهله في ليلة ليلاء قرور شديد بردها ، يلتمسون ما يستدفئون من نار ، فنظر في الجو ،فحسب أنه رأى نارا فقال لأهله : إني آنست نارا أي رأيت نارا قال وهو يتمناها ، ويرعاها ، كقوله تعالى : { فإن آنستم منهم رشدا فادفعوا إليهم أموالهم ( 6 ) } [ النساء ] ، { سَآتِيكُم مِّنْهَا بِخَبَرٍ أَوْ آتِيكُم بِشِهَابٍ قَبَسٍ } أي إني ذاهب إليها لعلي آتيكم منها بخبر نستفيد منه علم ما لم نكن نعلم ، أو شهاب ، والشهاب هو الشعلة المشتعلة من نجم أو نار أو نحوها  وقبس بدل أو عطف بيان ، والقبس هو القطعة من جذوة النار ، أي آتيكم بقطعة من النار شديدة الاشتعال فنلقيها حول أحطاب نستدفئ منها ، وهذا معنى { لعلكم تصطلون } أي تستدفنون بها ، فيقال من صلى قلبت التاء طاء ، لأنها من حروف الإطباق أي رجاء أن تستدفئوا ، ومؤدي ذلك أنهم كانوا في برد شديد ، وهكذا عاش من تربى في بيت فرعون فهو يذوق الحر والبرد في صحراء ، في هذا الوقت ، وفي هذه الشديدة ، بعث موسى عليه السلام ."
27,8,"( من ) هنا للعاقل ، فالبركة ليست في شيء يتعلق بما يلهبها ، إنما البركة والنماء والزيادة فيمن هو ذاهب إلى النار ، ويوشك أن يكون فيها ، وهو كليم الله تعالى موسى عليه السلام ، ولأنها بقعة مباركة فيها الملائكة ، واختار الله تعالى أن يخاطب نبيه الكليم الأمين فيها ، عليه وعلى نبينا أزكى السلام .

ومن حولها من ملائكة أطهار ، فهي أرض طاهرة مقدسة منها كانت رسالة موسى ، كما كانت رسالة عيسى عليه السلام من ساعير ، ورسالة محمد عليه السلام في فاران . وهي كما ترى ذلك في التوراة حتى بعد تحريفها في هذه الأيام ، وهذه البقعة المباركة . كما صرح سبحانه بذلك في سورة القصص { فَلَمَّا أَتَاهَا نُودِي مِن شَاطِئِ الْوَادِي الْأَيْمَنِ فِي الْبُقْعَةِ الْمُبَارَكَةِ مِنَ الشَّجَرَةِ أَن يَا مُوسَى إِنِّي أَنَا اللَّهُ رَبُّ الْعَالَمِينَ ( 30 ) } [ القصص ] .

والبركة نماء الخير وزيادته ، وجعلت البركة في النار ، لأن النار سبب مجيء موسى إليها ، فهو جاء على أنها نار ، وليست شجرة مباركة خضراء ، ولذا فسر بعض المفسرين النار بأنها النور ، وكذلك كانت تلك الشجرة الخضراء نورا إذ بعث فيها رسول من أولي العزم من الرسل ، وهو موسى عليه السلام .

وختم الله سبحانه وتعالى الآية الكريمة بتسبيح الله الواجب على عباده ، فقال { وَسُبْحَانَ اللَّهِ رَبِّ الْعَالَمِينَ } أي التسبيح الخالص لله رب العالمين الخالق والمنعم عليهم بربوبيته الكاملة سبحان ، ولا يدركها إلا العالمون العقلاء المدركون إن استقامت مداركهم ، واتجهوا إلى الحق وحده غير مضطربين ، ولا معوجين ، وأن في قوله { أَن بُورِكَ مَن فِي النَّارِ وَمَنْ حَوْلَهَا } هي تفسير للنداء من الحق جل جلاله ، فالنداء هو ذكر الله تعالى لهذه البركة النامية المتجددة في كل حين ."
27,9,"النداء المتكرر من الله تعالى لكليمه موسى عليه السلام ليؤنسه بذاته العلية ، وليشعر بنصرته له أمام من سيرسل إليه ، وهو فرعون طاغية الأرض في عصره ، ومن تأله ، وملك أخصب أرض الله تعالى ، وكان يقول أليس لي ملك مصر ، وهذه الأنهار تجري من حولي .

الضمير في { إنه } ضمير الشأن { أنا الله } تدل على قصر الألوهية على ذاته ، العلية ، وذلك بتعريف الطرفين ، فليس فرعون الذي تذهب إليه إلها أو شبه إله ، كما يدعي لنفسه بين المصريين ، ويقول مستخفا لهم { ما علمت لكم من إله غيري ( 38 ) } [ القصص ] ووصف ذاته العلية بقوله : { العزيز الحكيم } ، أي القوي الغالب على كل شيء ، الحكيم الذي يدبر الوجود كله على مقتضى علمه الذي أحاط بكل شيء علما ، وفي ذلك إشعار بأن فرعون الطاغية لن يرهبه ، ولن يفزعه ، إذا احتدم الأمر .

ولكن موسى يود أن يطمئن إلى أن الله تعالى هو الذي يخاطبه ويمنحه ذلك الشرف ، ولذا أمره بأن يلقي عصاه حجة تدل على أن الله تعالى هو الذي يخاطبه ، فقال :"
27,10,"كان موسى في حال من يكون في حيرة من أمره ، يخاطبه الله ، فالله جل جلاله أزال عنه هذه الخشية ، بدليل قاطع يدل على أن الله تعالى يخاطبه ، وأنه رسول من عنده ، بالعصا  ألقاها ، فتحولت العصا إلى شيء يهتز ويضطرب كأنه حية تسعى ، والجان هنا حية تهتز وتتحرك ، فلما رآها كذلك { ولى مدبرا } ، أي سائرا إلى الخلف ، وظهره كأنه وجهه ولم يعقب ، أي لم يرجع ، كالجندي الذي يقاتل يرتد إلى الوراء ليحسن الهجوم ، فيعقب على خصمه يضربه ، ولكن رجوع موسى عليه السلام كان رجوع الخائف الوجل ، ليس من شأنه أن يقدم بعد إحجامه ، بل يحجم لغير غاية ، ولذا قال تعالى عالما بخوفه : { لَا تَخَفْ إِنِّي لَا يَخَافُ لَدَيَّ الْمُرْسَلُونَ } أمره سبحانه بألا يخاف تأنيا له وتقريبا ، وبيانا له بأنه كالئه وحاميه ، ولا يخاف من الله ناصره ، وقال تعالى ما هو بمنزلة السبب للنهي { إِنِّي لَا يَخَافُ لَدَيَّ الْمُرْسَلُونَ } إني لا يمكن أن يخاف عندي المرسلون ، لأني مانع كل شر عنهم ، ولا يمكن أن ينالهم عندي إلا أمان الذي لا يكون بعده أمان ، فكيف تخاف ، وأنت في حضرة المولى جل جلاله ، ثم فوق ذلك أنت مرسل من قبلي للدعوة إلى الهداية ، وكيف يخاف مرسل أرسله مع المرسلين .

ولكن موسى عليه السلام كان قد قتل مصريا مناصرة لإسرائيلي ، وقال شاعرا بخطئه : { قَالَ رَبِّ بِمَا أَنْعَمْتَ عَلَيَّ فَلَنْ أَكُونَ ظَهِيراً لِّلْمُجْرِمِينَ ( 17 ) } [ القصص ] وإن هذه الفعلة هي التي ألجأته إلى مدين ، بين الله تعالى أنه غافرها ، ما دام قد عمل حسنا بعدها"
