surah_number,ayah_number,tafsir_text
10,2,"{  أن لهم قدم صدق } القدم :  السابقة والسالفة .  والعرب تسمى كل سابق في خير أو شر قدما .  وإضافته إلى الصدق من إضافة الموصوف إلى الصفة ،  كما في مسجد الجامع ،  فتفيد المدح ،  وما قدموه هو الإيمان .  أو الأعمال الصالحة المستتبعة للثواب .  أي أن لهم سابقة فضل ومنزلة رفيعة عند ربهم .

أو أجرا حسنا . أو ثوابا كريما بما أسلفوا .  وسمي قدما لأنه لا ينال إلا بالسعي وهو لا يحصل إلا بالقدم ،  فسمي المسبب باسم السبب ."
10,3,{  خلق السماوات والأرض }( آية 54 الأعراف ص 262 ) .  {  يدبر الأمر } يقضى ويقدر شئون جميع الكائنات على وفق الحكمة والوجه الأكمل .  وأصل التدبير :  النظر في أدبار الأمور وأعقابها ،  لتقع على الوجه المحمود .
10,4,{  وعد الله حقا } وعدكم بالبعث والرجوع إليه وعدا ،  وحق ذلك الوعد حقا ،  أي ثبت ووجب ثباتا ووجوبا لا شك فيه ،  فيجازيكم على جحودكم ، {  إنه يبدأ الخلق .  .  .  } دليل على قدرته ،  وهو كالتعليل لما قبله .  {  والذين كفروا } أي وليجزي الذين كفروا بكفرهم {  لهم شراب من حميم } أي ماء حار بالغ نهاية الحرارة .  والجملة بيان لجزائهم في الآخرة .
10,5,{  جعل الشمس ضياء .  .  .  } شروع في بيان أدلة كمال قدرته تعالى وعظيم حكمته وتدبيره ،  ردا على منكري البعث .  أي هو الذي جعل الشمس ذات ضياء في النهار  ،  والقمر ذا نور في الليل ،  وقدر سير القمر في منازله الثمانية والعشرون في كل شهر وتقديرا بديعا محكما ،  ليعرف بذلك ابتداء وانتهاء الشهور والسنين وعددها والحساب بالأوقات من الأشهر والأيام .  وبذلك تنتظم مصالح العباد في العبادات والمعاملات وسائر الشئون  المعاشية .  وهو الذي جعل الليل والنهار خلفة يتعاقبان دائما بحسب طلوع الشمس وغروبها  ،  ويتفاوتان بحسب الأمكنة طولا وقصرا .
10,7,{  إن الذين لا يرجون لقاءنا .  .  } لا يتوقعون لقاء حسابنا  ،  فلا يأملون ثوابنا ،  ولا يخشون عقابنا ،  لإنكارهم البعث .  والرجاء في الأصل :  توقع الخير ،  كالأمل .  ويستعمل في الخوف وتوقع الشر ،  وفي مطلق التوقع الشامل للأمل والخوف ،  وهو المراد هنا .
10,10,{  دعواهم فيها سبحانك }أي دعاؤهم في الجنة التسبيح والتنزيه ،  الذي هو إشارة إلى وصفه تعالى بصفات الجلال  ،  فيقابلون بالتحية منه تعالى ،  أو من الملائكة بالسلام ،  أي بالدعاء لهم بالسلامة من كل مكروه والتحية :  التكرمة بالحالة الجليلة .  وأصلها من الحياة ،  أي أحياك الله حياة طيبة .  ثم يختمون دعاءهم بالتحميد ،  الذي هو إشارة إلى وصفه بنعوت الجمال والإكرام .
10,11,"{  ولو يعجل الله للناس } نزلت في المشركين حين استعجلوا العذاب الذي اوعدوا به ،  استهزاء وتكذيبا لإنكارهم البعث ،  فقالوا :  {  اللهم إن كان هذا هو الحق من عندك فأمطر علينا حجارة من السماء أو اثتنا بعذاب أليم } .  أي ولو يعجل الله لهم الشر الذي استعجلوه {  استعجالهم بالخير } أي تعجيله لهم بالخير .  فوضع الاستعجال بالخير ،  حتى كان استعجالهم بالخير تعجيل له ،  لسبق رحمته تعالى لعباده . {  لقضى إليهم أجلهم } أهلكوا جميعا .  يقال إليه اجله ،  أي أنهى إليه مدته التي قدرها لموته فهلك .  ولكنه تعالى لا يعجل الشر لهم ،  ولا يقضى آجالهم استدراجا لهم .

{  في طغيانهم } وهو إنكارهم البعث ،  وما يتفرغ عليه من الأعمال الفاسدة .  {  يعمهون } يترددون ويتحيرون . أو يعمون عن الرشد .  والجملة حالية ( آية 15 البقرة ص 18 ) ."
10,12,{  و إذا مس الإنسان .  .  .  } أي إذا أصاب الإنسان أي شدة ومكروه- ولو قليلا يسيرا- دعانا لكشفه في كل أحواله ،  فإذا استجبنا له استمر على حالته الأولى ونسي ما كان فيه من البلاء ،  كأنه لم يدعنا إلى كشفه .  والمراد جنس الإنسان ،  أو الكافر من الناس باعتبار حال بعض أفراده ،  وهو من يذكر الله عند البلاء وينساه عند الرخاء .  والآية بيان لكذب الذين استعجلوا العذاب ،  لأنهم سيضرعون إلى الله عند نزوله ،  لكشفه وعجزهم عن احتماله .
10,13,{  أهلكنا القرون } الأمم الماضية ( آية 2 الأنعام ص 210 ) .
10,14,{  خلائف } خالفين  لمن سبقكم .  جمع خليفة ( آية 165 الأنعام ص 251 ) .  {  لننظر كيف تعملون } أي لنعلم أي عمل تعملون ،  خيرا أو شرا .  والمراد :  لنعاملكم معاملة من يطلب العلم بما يكون منكم لنجازيكم بحسبه ،  وإلا فهو تعالى عالم بما يكون منهم .
