surah_number,ayah_number,tafsir_text
34,1,{ ٱلْحَمْدُ للَّهِ ٱلَّذِي لَهُ مَا فِي ٱلسَّمَاوَاتِ وَمَا فِي ٱلأَرْضِ } حمد نفسه قبل الكون ورفع حقوق الحمد عن الخليقة ثم حمد نفسه بعد الكون علما بعجزهم عن أداء شكره { وَلَهُ ٱلْحَمْدُ فِي ٱلآخِرَةِ } حيث يقبل الحسنات ويعفو عن السيئات ويدنى العارفين من المشاهدات ويكشف لهم جمال الذات والصفات قال ابو العباس بن عطا المحمود من لم يربط عباده بشئ من الاكوان قطع املاكهم عن الجميع لئلا يشتغلوا بها ويكون اشتغالهم بمن له الاكوان وما فيها وله الحمد فى الأخرة حيث لم يناقش بالمحاسبة مع عباده وهو الحكيم فيما دبره الخبير عما عفا وستر.
34,3,قوله تعالى { لاَ يَعْزُبُ عَنْهُ مِثْقَالُ ذَرَّةٍ } وصف نفسه بالاحاطة على كل ذرة من العرش الى الثرى كيف يعزب عن علمه شئ من علمه وإرادته وقدرته بدا ذلك الشئ وبه قيامه ووجوده قال الواسطى فى هذه الأية كيف يخفى عليه ما هو انشاها او كيف يستعظم شيئا هو ابداها.
34,10,قوله تعالى { وَلَقَدْ آتَيْنَا دَاوُودَ مِنَّا فَضْلاً } علما بجلاله وجماله ومحبته للقائه وشوقا الى وصاله وحكمه بامور العبودية وعلما بانوار الربوبية وكشفا من اسراره وإلباسه اياه وصف جلاله حتى يطيب قلبه بالعشق وروحه بالمحبة وعقله بالبصيرة وسره بالانس وصدره باليقين وخلقه بالصوت الحسن فهذه بركة اوصاف الازل التى البسها الله اياه بنعت التجلى والتدلى الا ترى الى قوله منا فضلا وذلك الفضل اتصافه بانوار الذات والصفات لذلك اجابة الجبال بالتسبيح والتهليل بقوله يا جبال أوِّبي معه وكذلك الطير بقوله والطير اذا زمزم من طيب عشقه قام العالم معه قال جعفر فى قوله فضلا ثقة بالله وتوكلا عليه وقال النهرجورى حلاوة صوته فى المناجاة وقال ابن خلاد افضل الفضل من الله على عباده ان يعرّفهم اقدارهم وان يمكن لهم سبيل الرجوع اليه قال عبد العزيز المكى حبا للمساكين ورحمة على الضعفاء وقال الاستاذ حسن خلقه مع امته وفيما اوحى الله اليه يا داود أنين المذنبين احب إلي من صراخ العابدين.
34,13,قوله تعالى { ٱعْمَلُوۤاْ آلَ دَاوُودَ شُكْراً } لما بلغ الله داود وسليمان الى محل التمكين من المعرفة والتصرف فى المملكة الذى هو أخر درجة من درجات الصديقين طالبهم بشكر ذلك النعمة اعملوا آل داود الشكر الحقيقى اى بذلوا انفسكم فى خدمتى واعرفوا معطيَكم بسقوط نظركم عن العطا فان الشكر الحقيقى معرفة المشكور على ما هو به قال ابن عطا اعلموا من الاعمال ما تستوجبون به الشكر وقال الانطاكى اصل الشكر الطاعة والتوبة والشدة بالقلب قال الله اعملوا أل داود شكرا ثم شكا من الاكثر من قلة شكرهم بقوله { وَقَلِيلٌ مِّنْ عِبَادِيَ ٱلشَّكُورُ } اى قليل من واقف بوقف الفناء فى مقام الحياء حين عاين قدم الالوهية وروية مواهب السنية بغير علة قيل قليل من عبادى من يرى الطاعة منة منى عليه قال بعضهم الشاكرين من العباد قليل والشكور من الشاكرين قليل والشكار من الشكور قليل.
34,23,قوله تعالى { حَتَّىٰ إِذَا فُزِّعَ عَن قُلُوبِهِمْ } وصف الله سبحانه اهل الوجد من الملائكة المقربين وذلك من صولة الخطاب فاذا سمعوا كلام الحق من نفس العظمة وقعوا فى بحار هيبته واجلاله حتى فنوا تحت سلطان كبرياء ولم يعرفوا معنى الخطاب فى اوّل وارد السلطنة فاذا أفاقوا سألوا معنى الخطاب من جبرئيل عليه السّلام وهو من اهل الصحو والتمكين فى المعرفة بقوله { قَالُواْ مَاذَا قَالَ رَبُّكُمْ قَالُواْ ٱلْحَقَّ وَهُوَ ٱلْعَلِيُّ ٱلْكَبِيرُ } قوله تعالى { وَمَآ أَمْوَالُكُمْ وَلاَ أَوْلاَدُكُمْ بِٱلَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ } لا ينال زلفته الا بزلفته واين الحدثان من ان يقرب العارف من الله وانه بنفسه جل جلاله قربهم منه اليه قال سهل الزلفى هو التقرب الى الله وقال بعضهم الزلفى هو قطع الاسباب والتعلق بالتجاء.
34,24,قوله تعالى { حَتَّىٰ إِذَا فُزِّعَ عَن قُلُوبِهِمْ } وصف الله سبحانه اهل الوجد من الملائكة المقربين وذلك من صولة الخطاب فاذا سمعوا كلام الحق من نفس العظمة وقعوا فى بحار هيبته واجلاله حتى فنوا تحت سلطان كبرياء ولم يعرفوا معنى الخطاب فى اوّل وارد السلطنة فاذا أفاقوا سألوا معنى الخطاب من جبرئيل عليه السّلام وهو من اهل الصحو والتمكين فى المعرفة بقوله { قَالُواْ مَاذَا قَالَ رَبُّكُمْ قَالُواْ ٱلْحَقَّ وَهُوَ ٱلْعَلِيُّ ٱلْكَبِيرُ } قوله تعالى { وَمَآ أَمْوَالُكُمْ وَلاَ أَوْلاَدُكُمْ بِٱلَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ } لا ينال زلفته الا بزلفته واين الحدثان من ان يقرب العارف من الله وانه بنفسه جل جلاله قربهم منه اليه قال سهل الزلفى هو التقرب الى الله وقال بعضهم الزلفى هو قطع الاسباب والتعلق بالتجاء.
34,25,قوله تعالى { حَتَّىٰ إِذَا فُزِّعَ عَن قُلُوبِهِمْ } وصف الله سبحانه اهل الوجد من الملائكة المقربين وذلك من صولة الخطاب فاذا سمعوا كلام الحق من نفس العظمة وقعوا فى بحار هيبته واجلاله حتى فنوا تحت سلطان كبرياء ولم يعرفوا معنى الخطاب فى اوّل وارد السلطنة فاذا أفاقوا سألوا معنى الخطاب من جبرئيل عليه السّلام وهو من اهل الصحو والتمكين فى المعرفة بقوله { قَالُواْ مَاذَا قَالَ رَبُّكُمْ قَالُواْ ٱلْحَقَّ وَهُوَ ٱلْعَلِيُّ ٱلْكَبِيرُ } قوله تعالى { وَمَآ أَمْوَالُكُمْ وَلاَ أَوْلاَدُكُمْ بِٱلَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ } لا ينال زلفته الا بزلفته واين الحدثان من ان يقرب العارف من الله وانه بنفسه جل جلاله قربهم منه اليه قال سهل الزلفى هو التقرب الى الله وقال بعضهم الزلفى هو قطع الاسباب والتعلق بالتجاء.
34,26,قوله تعالى { حَتَّىٰ إِذَا فُزِّعَ عَن قُلُوبِهِمْ } وصف الله سبحانه اهل الوجد من الملائكة المقربين وذلك من صولة الخطاب فاذا سمعوا كلام الحق من نفس العظمة وقعوا فى بحار هيبته واجلاله حتى فنوا تحت سلطان كبرياء ولم يعرفوا معنى الخطاب فى اوّل وارد السلطنة فاذا أفاقوا سألوا معنى الخطاب من جبرئيل عليه السّلام وهو من اهل الصحو والتمكين فى المعرفة بقوله { قَالُواْ مَاذَا قَالَ رَبُّكُمْ قَالُواْ ٱلْحَقَّ وَهُوَ ٱلْعَلِيُّ ٱلْكَبِيرُ } قوله تعالى { وَمَآ أَمْوَالُكُمْ وَلاَ أَوْلاَدُكُمْ بِٱلَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ } لا ينال زلفته الا بزلفته واين الحدثان من ان يقرب العارف من الله وانه بنفسه جل جلاله قربهم منه اليه قال سهل الزلفى هو التقرب الى الله وقال بعضهم الزلفى هو قطع الاسباب والتعلق بالتجاء.
34,27,قوله تعالى { حَتَّىٰ إِذَا فُزِّعَ عَن قُلُوبِهِمْ } وصف الله سبحانه اهل الوجد من الملائكة المقربين وذلك من صولة الخطاب فاذا سمعوا كلام الحق من نفس العظمة وقعوا فى بحار هيبته واجلاله حتى فنوا تحت سلطان كبرياء ولم يعرفوا معنى الخطاب فى اوّل وارد السلطنة فاذا أفاقوا سألوا معنى الخطاب من جبرئيل عليه السّلام وهو من اهل الصحو والتمكين فى المعرفة بقوله { قَالُواْ مَاذَا قَالَ رَبُّكُمْ قَالُواْ ٱلْحَقَّ وَهُوَ ٱلْعَلِيُّ ٱلْكَبِيرُ } قوله تعالى { وَمَآ أَمْوَالُكُمْ وَلاَ أَوْلاَدُكُمْ بِٱلَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ } لا ينال زلفته الا بزلفته واين الحدثان من ان يقرب العارف من الله وانه بنفسه جل جلاله قربهم منه اليه قال سهل الزلفى هو التقرب الى الله وقال بعضهم الزلفى هو قطع الاسباب والتعلق بالتجاء.
34,28,قوله تعالى { حَتَّىٰ إِذَا فُزِّعَ عَن قُلُوبِهِمْ } وصف الله سبحانه اهل الوجد من الملائكة المقربين وذلك من صولة الخطاب فاذا سمعوا كلام الحق من نفس العظمة وقعوا فى بحار هيبته واجلاله حتى فنوا تحت سلطان كبرياء ولم يعرفوا معنى الخطاب فى اوّل وارد السلطنة فاذا أفاقوا سألوا معنى الخطاب من جبرئيل عليه السّلام وهو من اهل الصحو والتمكين فى المعرفة بقوله { قَالُواْ مَاذَا قَالَ رَبُّكُمْ قَالُواْ ٱلْحَقَّ وَهُوَ ٱلْعَلِيُّ ٱلْكَبِيرُ } قوله تعالى { وَمَآ أَمْوَالُكُمْ وَلاَ أَوْلاَدُكُمْ بِٱلَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ } لا ينال زلفته الا بزلفته واين الحدثان من ان يقرب العارف من الله وانه بنفسه جل جلاله قربهم منه اليه قال سهل الزلفى هو التقرب الى الله وقال بعضهم الزلفى هو قطع الاسباب والتعلق بالتجاء.
