surah_number,ayah_number,tafsir_text
40,1,"/م1

التفسير : { حم } اسم الله الأعظم .   وقيل : { حم } ما هو كائن أي قدّر .   وروي أن أعرابياً قال للنبي صلى الله عليه وسلم : ما حم ؟ فقال : أسماء وفواتح سور .   وقد تقدم القول في حواميم في مقدمات الكتاب وفي أول  ""  البقرة  ""  .   ومن جملة تلك التقادير أن يقال : السورة المسماة بحم .

/خ22"
40,2,"/م1

{ تنزيل الكتاب من الله العزيز العليم } وقد مر نظيره في أول  ""  الزمر  ""  .

/خ22"
40,3,"/م1

ثم وصف نفسه بما يجمع الوعد والوعيد فقال { غافر الذنب وقابل التوب شديد العقاب ذي الطول } قالت المعتزلة : معناه أنه غافر الذنب إذا استحق غفرانه إما بالتوبة إن كان كبيراً ،   أو طاعة أعظم منه ثواباً إن كان صغيراً .   وقال الأشعري : إنه قد يعفو عن الكبائر بدون التوبة لئلا يلزم التكرار بقوله { قابل التوب } وليفيد المدح المطلق ويؤيده إدخال الواو بين هذين الوصفين فقط كأنه قيل : الجامع بين المغفرة إن كانت بدون توبة وبين القبول إن كانت بتوبة فقد جمع للمذنب بين رحمتين بحسب الحالتين .   وقيل : غافر الذنب الصغير وقابل التوب عن الكبير ،   أو غافر الذنب بإسقاط العقاب وقابل التوب بإيجاب الثواب .   ثم إن قبول التوبة واجب على الله أم لا ؟ فيه بحث أيضاً للفريقين .   فالمعتزلة أوجبوه ،   والأشعري يقول : إنه على سبيل التفضيل وإلا لم بتمدّح به .   والظاهر أن التوب مصدر .   وقيل : جمع توبة أي ما ذنب تاب منه العبد إلا قبل توبته .   وقد ذكر أهل الإعراب هاهنا سؤالاً وهو أن غافر الذنب وقابل التوب يمكن بوجيههما بأنهما معرفتان كما سبق في

{ مالك يوم الدين } [ الفاتحة : 3 ] وهو أنهما بمعنى الماضي أو الاستمرار فيصح وقوعهما صفتين لله إلا أن قوله { شديد العقاب } لا يمكن فيه هذا الوجه لأنه في معنى شديد عقابه .   فإن قلنا إنه صفة لزم وقوع النكرة صفة للمعرفة ،   وإن قلنا إنه بدل لزم نبوّ ظاهر للزوم بدل واحد فيما بين صفات كثيرة .   وأجيب على تقدير أن لا يكون الكل أبدالاً بأن الألف واللام من شديد محذوف لمناسبة ما قبله مع الأمن من اللبس ومن جهالة الموصوف ،   أو تعمد تنكيره من بين الصفات للإبهام والدلالة على فرط الشدة .   وجوزوا أن تكون هذه النكتة سبباً لجعله بدلاً من بين سائر أخواته .   وهذا ما قاله صاحب الكشاف .   وعندي أنه لا مانع من جعل { شديد العقاب } أيضاً للاستمرار والدوام حتى يصير إضافة حقيقية .   قوله { ذي الطول } أي ذي الفضل بسبب ترك العقاب وقد مر في قوله{ ومن لم يستطع منكم طولاً } [ النساء : 25 ] وإنما أورد هذا الوصف بعد وصفه نفسه بشدة العقاب ليعلم أن خاتمة أمره مبنية على التفضل كما أن فاتحته مبنية على الغفران وقبول التوبة وقد تقع عقوبة في الوسط أعاذنا الله منها ،   إلا أنه لا يبقى مؤمن في النار خالداً ببركة قوله لا إله إلا الله وهو المبدأ وسبب علمه أنه إليه المصير وهو المعاد .   وفيه أن من آمن بالمبدأ والمعاد فإن أخل في الوسط ببعض التكاليف كان مرجواً أن يغفر الله له ويقبل توبته .

/خ22"
40,4,"/م1

ثم بين أحوال من لا يقبل هذه التقريرات ولا يخضع لها فقال { ما يجادل في آيات الله إلا الذين كفروا } والجدال في آياته نسبتها إلى الشعر تارة وإلى السحر أخرى إلى غير ذلك من المطاعن وفضول الكلام .   فأما البحث عنها لاستنباط حقائقها والوقوف على دقائقها وحل مشكلاتها فنوع من الجهاد في سبيل الله ،   ولمكان الفرق بين هذين الجدالين قال صلى الله عليه وسلم  ""  إن جدالاً في القرآن كفر  ""  فنكر الجدال ليشمل أحد نوعيه فقط وهو الجدال بالباطل كما يجيء في قوله { وجادلوا بالباطل ليدحضوا به الحق } ثم عقب الكلام بقوله { فلا يغررك } ليعلم أن جدالهم الصادر عن البطر والأشر والجاه والخدم لا اعتبار به وكذا { تقلبهم في البلاد } للتجارات والمكاسب فإن قريشاً كانت أصحاب أموال متجرين إلى الشام واليمن مترفين بأموالهم مستكبرين عن قبول الحق لذلك .

/خ22"
40,5,"/م1

ثم مثل حالهم بحال الأمم السالفة الذين تحزبوا على الرسل وكادوا يقتلونهم فأهلكهم الله ودمرهم ونجى الرسل .

/خ22"
40,6,"/م1

ثم بين بقوله { وكذلك حقت } أنهم في الآخرة أيضاً معذبون .   وقوله { أنهم أصحاب النار } بدل من { كلمة ربك } أي مثل ذلك الوجوب وجب على الكفرة كونهم في الآخرة من أصحاب النار .   وجوّز جار الله أن يكون { أنهم } في محل النصب بحذف لام التعليل وإيصال الفعل .   وقوله { الذين كفروا } قريش أي كما وجب إهلاك أولئك الأمم كذلك وجب إهلاك هؤلاء لأن العلة الجامعة وهي أنهم أصحاب النار واحدة في الفريقين .   ومن قرأ { كلمات } على الجمع أراد بها علم الله السابق أو معلوماته التي لا نهاية لها ،   أو الآيات الواردة في وعيد الكفار .

/خ22"
40,7,"/م1

وحين بين أن الكفار بالغوا في إظهار عداوة المؤمنين حكى أن أشرف طبقات أكثر المخلوقات وهم حملة العرش ،   والحافون حوله يبالغون في محبتهم ونصرتهم كأنه قيل : إن كان هؤلاء الأراذل يعادونهم فلا تبال بهم ولا تقم لهم وزناً فإن الأشراف يحابونهم .   روى صاحب الكشاف أن حملة العرش أرجلهم في الأرض السفلى ورؤوسهم قد خرقت العرش وهم خشوع لا يعرفون طرفهم .   وروي عن النبي صلى الله عليه وسلم  ""  لا تتفكروا في عظم ربكم ولكن تفكروا فيما خلق من الملائكة فإن خلقاً من الملائكة يقال له إسرافيل زاوية من زوايا العرش على كاهله وقدماه في الأرض السفلى وقد مرق رأسه من سبع سموات وإنه ليتضاءل من عظمة الله حتى يصير كأنه الوصع وهو طائر صغير شبه العصفور  ""  وروي أن الله تعالى أمر جميع الملائكة أن يغدوا ويروحوا بالسلام على حملة العرش تفضيلاً لهم على سائر الملائكة .   وقيل : خلق الله العرش من جوهرة خضراء وبين القائمتين من قوائمه خفقان الطير المسرع ثمانين ألف عام ،   وعدد حملة العرش يوم القيامة ثمانية لقوله عز وجل { ويحمل عرش ربك فوقهم يومئذ ثمانية } [ الحاقّة : 17 ] أما في غير ذلك الوقت فلا يعلم به إلا الله .   أما الذين حول العرش فقيل : سبعون ألف صف من الملائكة يطوفون مهللين مكبرين ومن ورائهم سبعون ألف صف قيام قد وضعوا أيديهم على عواتقهم رافعين أصواتهم بالتهليل والتكبير ،   ومن ورائهم مائة ألف صف قد وضعوا الأيمان على الشمائل ما منهم أحد إلا وهو يسبح بما لا يسبح به الآخر .   وهذه الآثار كلها منقولة من كتاب الكشاف .   سؤال : ما فائدة قوله { ويؤمنون به } ولا يخفى أن حملة العرش ومن حوله مؤمنون ؟ أجاب في الكشاف بأن فائدته التنبيه على شرف الإيمان والترغيب فيه .   وأيضاً فيه تكذيب المجسمة فإن الأمر لو كان على زعمهم لكانت الملائكة يشاهدونه فلا يوصفون بالإيمان به لأنه لا يوصف بالإيمان إلا الغائب ،   فعلم أن إيمانهم كإيمان أهل الأرض والكل سواء في أن إيمانهم بطريق النظر والاستدلال .

واستحسن هذا الكلام الإمام فخر الدين الرازي في تفسيره الكبير حتى ترحم عليه وقال : لو لم يكن في كتابه إلا هذه النكتة لكفى به فخراً وشرفاً .   وأنا أقول : لا نسلم أن الإيمان لا يكون إلا بالغائب وإلا لم يكن الإيمان بالنبي وقت تحديه بالقرآن .   وإن شئت فتأمل قوله تعالى { الذين يؤمنون بالغيب } فلو لم يكن إيمان بالشهادة لم يكن لقوله { بالغيب } فائدة .   على أنه يحتمل أن يشاهد الرب وينكر كونه إلهاً ،   ويمكن أن يكون محمول الشيء محجوباً عن ذلك الشيء فمن أين يلزم تكذيب المجسمة ؟ وقال بعضهم في الجواب : أراد أنهم يسبحون تسبيح تلفظ لا تسبيح دلالة .   وزعم فخر الدين أن في الآية دلالة أخرى على إبطال قول أهل التجسيم إن الإله على العرش فإنه لو كان كما زعموا وحامل الشيء حامل لكل ما على ذلك الشيء لزم أن تكون الملائكة حاملين لإله العالم حافظين له ،   والحافظ أولى بالإلهية من المحفوظ .   قلت : لا شك أن هذه مغالطة فإن جاز الحمل لأجل العظمة وإظهار الكبرياء على ما يزعم الخصم في المسألة كيف يلزم منه ذلك ؟ وهل يزعم عاقل أن الحمار أشرف من الإنسان الراكب عليه من جهة الركوب عليه ؟ وإنما ذكرت ما ذكرت لكونه وارداً على كلام الإمامين مع وفور فضلهما وبعد غورهما ،   لا لأني مائل في المسألة على ما يزعم الخصم إلى غير معتقدهما .   قال جار الله : وقد روعي التناسب في قوله { ويؤمنون به ويستغفرون للذين آمنوا } كأنه قيل : ويؤمنون ويستغفرون لمن في مثل حالهم ،   وفيه أنهم بعد التعظيم لأمر الله يقبلون على الشفقة على خلق الله ولاسيما المؤمنين لأن الإيمان جامع لا أجمع منه يجذب السماوي إلى الأرضي ،   والروحاني إلى العنصري .   احتج كثير من العلماء بالآية على أفضلية الملك قالوا : لأنها تدل على أنه لا معصية للملائكة وإلا لزم بحكم   "" ابدأ بنفسك  ""  أن يستغفروا أوّلاً لأنفسهم قال الله تعالى { واستغفر لذنبك وللمؤمنين والمؤمنات } [ محمد : 19 ]

{ وقال نوح رب اغفر لي ولوالديّ ولمن دخل بيتي مؤمناً } [ نوح : 28 ] قلت : لا نزاع بالنسبة إليهم وإلى غير المعصومين من البشر وإنما النزاع بينهم وبين المعصومين فلا دليل في الآية ،   ولا يلزم من طلب الاستغفار لأحد .   لو سلم أن قوله { للذين آمنوا } عام أن يكون المستغفر له عاصياً على أنه قد خص الاستغفار في قوله { فاغفر للذين تابوا } وهذا فيه بحث يجيء .   وفي قولهم { ربنا وسعت كل شيء رحمة } ولو بإعطاء الوجود { وعلماً } وقد مر في  ""  الأنعام  ""  إشارة إلى أن الحمد والثناء ينبغي أن يكون مقدماً على الدعاء .   وفي لفظ { ربنا } خاصية قوية في تقديم الدعاء كما ذكرنا في آخر  ""  آل عمران  ""  كأن الداعي يقول : كنت نفياً صرفاً وعدماً محض فأخرجتني إلى الوجود وربيتني فاجعل تربيتك لي شفيعاً إليك ،   ولا ريب أن ذكر الله أول كل شيء بمنزلة الإكسير الأعظم للنحاس من حيث إنه يقوّي جوهر الروح ويكسبه إشراقاً وصفاء .   وفي تقديم الرحمة على العلم فائدة هي أن مطلوب الملائكة في هذا المقام هو أن يرحم المؤمنين فكأنهم قالوا : ارحم من علمت منه التوبة واتباع الدين .   قالت علماء المعتزلة : الفائدة في استغفارهم لهم وهم تائبون صالحون ،   طلب مزيد الكرامة والثواب فهو بمنزلة الشفاعة ،   وإذا ثبت شفاعة الملائكة لأهل الطاعة فكذلك شفاعة الأنبياء ضرورة أنه لا قائل بالفرق .   وقال علماء السنة : إن مراد الملائكة { فاغفر للذين تابوا } عن الكفر { واتبعوا سبيلك } الإيمان وهذا لا ينافي كون المستغفر لهم مذنبين ومما يؤيد ما قلنا أن الاستغفار طلب المغفرة والمغفرة لا تذكر إلا في إسقاط العذاب ،   أما طلب النفع الزائد فإنه لا يسمى استغفاراً .   قال أهل التحقيق : هذا الاستغفار من الملائكة يجري مجرى الاعتذار من قولهم { أتجعل فيها من يفسد فيها } [ البقرة : 30 ] أما قوله { وقهم عذاب الجحيم } فتصريح بالمطلوب بعد الرمز لأن دلالة المغفرة على الوقاية من العذاب كالضمنية .

/خ22"
40,8,"/م1

وحين طلبوا لأجلهم إسقاط العذاب ضمناً وصريحاً طلبوا إيصال الثواب إليهم بقولهم { ربنا وأدخلهم جنات عدن التي وعدتهم } قال علماء السنة : كل أهل الإيمان موعودون بالجنة وإن كانوا من أهل الكبائر غاية ذلك أنهم يعذبون بالنار مدّة إن لم يكن عفواً وشفاعة ثم يخرجون إلى الجنة .   قال الفراء والزجاج : قوله { ومن صلح } يجوز أن يكون معطوفاً على الضمير في { وأدخلهم } فيكون دعاء من الملائكة بإدخال هؤلاء الأصناف الجنة تكميلاً لأنس الأولين وتتميماً لابتهاجهم وإشفاقاً على هؤلاء أيضاً .   ويجوز أن يكون عطفاً على الضمير في { وعدتهم } لأنه تعالى قال في سورة الرعد { أولئك لهم عقبى الدار جنات عدن يدخلونها ومن صلح من آبائهم وأزواجهم وذرياتهم } [ الآية : 23 ] وعلى هذا لا يشمل دعاء الملائكة هؤلاء الأصناف اللهم إلا ضمناً .   قال أهل السنة : المراد بمن صلح أهل الإيمان منهم وإن كانوا ذوي كبائر .   ثم ختم الآية بقوله { إنك أنت العزيز الحكيم } لأنه إن لم يكن غالباً على الكل لم يصح منه وقوع المطلوب كما يراد ،   وإن لم يكن حكيماً أمكن منه وضع الشيء في غير موضعه .

/خ22"
40,9,"/م1

ثم قالوا { وقهم السيئات } فقيل : يعني العقوبات أو عذاب السيئات على حذف المضاف .   واعترض بأنهم قالوا مرة وقهم عذاب الجحيم فيلزم التكرار .   وأجيب بأن الأوّل دعاء للأصول وهذه لفروعهم وهم الأصناف الثلاثة ،   أو الأول مخصوص بعذاب النار وهذا شامل لعذاب الموقف وعذاب الحساب وعذاب السؤال ،   أو المراد بالسيئات العقائد الفاسدة والأعمال الضارة ،   وعلى هذا يكون { يومئذ } في قوله { ومن تق السيئات يومئذ } إشارة إلى الدنيا .   وقوله { فقد رحمته } يجوز أن يكون في الدنيا وفي الآخرة .   قال في الكشاف : السيئات هي الصغائر والكبائر المتوب عنها ،   والوقاية منها التكفير أو قبول التوبة .

/خ22"
40,10,"/م1

ثم إنه تعالى عاد إلى شرح أحوال الكفرة المجادلين في آياته وأنهم سيعترفون يوم القيامة بما كانوا ينكرونه في الدنيا من البعث ،   وذلك إذا عاينوا النشأة وتذكروا النشأة الأولى فقال { إن الذين كفروا ينادون } أي يوم القيامة .   وفي الآية حذف وفيها تقديم وتأخير .   أما الحذف فالتقدير لمقت الله أنفسكم أكبر من مقتكم أنفسكم ،   فاستغنى بذكرها مرة .   وأما التقديم والتأخير فهو أن قوله { إذ تدعون } منصوب بالمقت الأول .   وفي المقت وجوه : الأول كان الله يمقت أنفسكم الأمارة بالسوء والكفر حين كان الأنبياء يدعونكم إلى الإيمان فتأبون ،   وذلك أشد من مقتكم أنفسكم اليوم في النار إذ أوقعتكم فيها باتباعكم هواهّن وفيه توبيخ .   ولا ريب أن سخط الله وبغضه الشديد لا نسبة له إلى سخط غيره ولهذا أوردهم النار .   الثاني عن الحسن : لما رأوا أعمالهم الخبيثة مقتوا أنفسهم فنودوا بلسان خزنة جهنم لمقت الله وهو قريب من الأول .   الثالث قال محمد بن كعب : إذا خطبهم إبليس وهم في النار بقوله { وما كان لي عليكم من سلطان } إلى قوله { ولوموا أنفسكم } [ إبراهيم : 22 ] وفي هذه الحالة مقتوا أنفسهم .   فلعل المعنى .   لمقت الله إياكم الآن أكبر من مقت بعضكم لبعض ومن لعنه إياه .

/خ22"
