surah_number,ayah_number,tafsir_text
23,15,"قوله تعالى :  {  ثم إنكم بعد ذلك لميّتون }(  ) [ المؤمنون :  15 ] .

إن قلتَ :  لم أكّده باللام ،  دون قوله بعده {  ثم إنكم يوم القيامة تبعثون } [ المؤمنون :  16 ] مع أن المذكورين ينكرون البعث دون الموت ؟

قلتُ :  لما كان العطف ب  "" ثُمّ ""  ،  المحتاج إليه هنا ،  يقتضي الاشتراك في الحكم ،  أغنى به عن التأكيد باللام ."
23,20,"قوله تعالى :  {  وشجرة تخرج من طور سيناء .  .  .  } [ المؤمنون :  20 ] .  المراد بها :  شجرة الزيتون .

فإن قلتَ :  لم خصَّها بطور سيناء ،  مع أنها تخرج من غيره أيضا ؟   !

قلتُ :  أصلها منه ،  ثم نُقلت إلى غيره ."
23,21,"قوله تعالى :  {  لكم فيها فواكه كثيرة ومنها تأكلون } [ المؤمنون :  21 ] .  قاله هنا بالجمع وبالواو ،  وقال في الزخرف :  {  لكم فيها فاكهة كثيرة منها تأكلون } [ الزخرف :  73 ] بالإفراد وحذف الواو ،  موافقة لما قبلهما ،  إذ ما هنا تقدمت  "" جنّات ""  بالجمع ،  وما بعد الواو معطوف على مقدّر تقديره :  منها تدّخرون ،  ومنها تأكلون ،  وما في الزخرف تقدّمت جنّة بالتوحيد في قوله :  {  وتلك الجنّة } [ الزخرف :  72 ] وليس في فاكهة الجنة الأكل ،  فناسب الجمع والواو هنا ،  والإفراد وحذف الواو  "" ثَمّ ""  ."
23,24,"قوله تعالى :  {  فقال الملأ الذين كفروا من قومه ما هذا إلا بشر مثلكم .  .  .  } [ المؤمنون :  24 ] الآية .

قال ذلك هنا ،  بتقديم الصّلة على قومه ،  وقال بعد بالعكس(  ) .  لأنه اقتصر هنا في صلة الموصول على الفعل والفاعل ،  وفيما بعدُ طالت فيه الصّلة ،  بزيادة العطف على الصّلة مرّة بعد أخرى ،  فقدّم عليها {  من قومه } لأن تأخيره عن المفعول ملبِّسٌ ،  وتوسيطه بينه وبين ما قبله ركيك(  ) .

قوله تعالى :  {  ولو شاء الله لأنزل ملائكة } [ المؤمنون :  24 ] الآية .  قاله هنا بلفظ  "" الله ""  وفي فصّلت(  ) بلفظ ربّنا ،  موافقة لما قبلهما ،  إذْ ما هنا تقدَّمه لفظ  "" الله ""  دون  "" ربنا ""  وما في ( فصلت ) تقدّمه لفظ الربّ في  "" ربّ العالمين ""  سابقا على لفظ  "" الله ""  فناسب ذكر  "" الله ""  هنا ،  وذكر الرّبِّ ثَمَّ ."
23,41,"قوله تعالى :  {  فبعدا للقوم الظالمين } [ يونس :  41 ] .  قاله هنا بالتعريف ،  وقال بعدُ :  {  فبعدا لقوم لا يؤمنون } [ المؤمنون :  44 ] بالتنكير ،  لأن الأول لقوم  "" صالح ""  بقرينة قوله :  {  فأخذتهم الصّيحة } [ يونس :  41 ] فعرّفهم تعريف عهد ،  ونكّر الثاني لخلوّه عن قرينة تقتضي تعريفه ،  وموافقة لتنكير ما قبله ،  وهو {  قرونا آخرين } [ المؤمنون :  42 ] ."
23,51,"قوله تعالى :  {  واعملوا صالحا إني بما تعملون عليم } [ المؤمنون :  51 ] .

قاله هنا بلفظ {  عليم } وفي سبأ(  ) بلفظ  "" بصير ""  مناسبة لما قبلهما ،  إذ ما هنا تقدّمه آيتا الكتاب ،  وجعل  "" مريم ""  وابنها آية ،  والعلم بهما أنسب من بصرهما ،  وما هناك تقدّمه قوله :  {  وألنّا له الحديد } [ سبأ :  10 ] والبصر بإلانة الحديد ،  أنسب من العلم بها ."
23,70,"قوله تعالى :  {  بل جاءهم بالحقّ وأكثرهم للحقّ كارهون } [ المؤمنون :  70 ] .  نزل في كفار مكة ،  والمراد بالحقّ :  التوحيد .

فإن قلتَ :  كيف قال ذلك ،  مع أنهم كلّهم كانوا كارهين للتوحيد ؟

قلتُ :  كان منهم من ترك الإيمان به ،  أنفة وتكبّرا من توبيخ قومهم ،  لئلا يقولوا :  ترك دين آبائه ،  لا كراهة للحقّ ،  كما يُحكى عن أبي طالب وغيره ."
23,83,"قوله تعالى :  {  لقد وُعدنا نحن وآباؤنا هذا من قبل إنْ هذا إلا أساطير الأولين } [ المؤمنون :  83 ] ،  أي من قبل البعث ،  قاله هنا بتأخير  "" هذا ""  عمّا قبله .

وقاله في النمل(  ) بالعكس ،  جريا على القياس هنا ،  من تقويم المرفوع على المنصوب ،  وعكس ثمّ بيانا لجواز تقديم المنصوب على المرفوع ،  وخصّ ما هنا بتأخير  "" هذا ""  جريا على الأصل بلا مقتضى لخلافه ،  وما هناك بتقديمه اهتماما به من منكري البعث ،  ولهذا قالوا بعدُ {  إنْ هذا إلا أساطير الأولين } [ المؤمنون :  83 ] ."
23,85,"قوله تعالى :  {  سيقولون لله .  .  .  } [ المؤمنون :  85 ] .

قاله هنا بلفظ  "" لله ""  ،  وبعدُ بلفظ  "" الله "" (  ) مرتين ،  لأنه في الأول ،  وقع في جواب مجرور باللام ،  في قوله :  {  قل لمن الأرض } [ المؤمنون :  84 ] فطابَقه بجرّه باللام ،  بخلاف ذلك في الأخيرين ،  فإنهما إنما وقعا في جواب مجرد عن اللام ."
23,105,"قوله تعالى :  {  ألم تكن آياتي تتلى عليكم فكنتم بها تكذّبون } [ المؤمنون :  105 ] ،  ذكره بعد قوله :  {  قد كانت آياتي تتلى عليكم فكنتم على أعقابكم تنكصون } [ المؤمنون :  66 ] لأن هذا في الدنيا عند نزول العذاب ،  وهو  "" الجدب ""  عند بعضهم ،  ويوم بدر عند بعضهم .

وهذا في الآخرة وهم في الجحيم ،  بدليل قوله :  {  ربّنا أخرجنا منها فإن عدنا فإنا ظالمون } [ المؤمنون :  107 ] ."
